,author,title,journal/conference/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26
Row_397,"Jung, M (Jung, Manuel) [1] ; Wentland, A (Wentland, Alexander) [1]",Beyond scalable impacts: Roles of mobility experiments in local transition governance,GAIA-ECOLOGICAL PERSPECTIVES FOR SCIENCE AND SOCIETY,2024,4,"In this article, we explore the role of real -world experiments in local transition governance, focusing on the negotiation between measurable impacts and the evaluation of localized, tangible outcomes. In our qualitative comparative analysis, we examine three distinct mobility experiments aimed at advancing sustainable transformation in mobility and urban planning, namely the co -creative research project City2Share in Munich, the political program of the Superblocks in Barcelona, and the real -world test bed for automated shuttles Digibus Austria in Koppl near Salzburg. Despite the structural limitations of the temporal, spatial, and legal framework and the uncertainties in measuring the impact, all experiments were presented as successful. This success was negotiated and re -framed via five discursive strategies: mobilizing citizen engagement, highlighting small achievements, manifesting institutional embedding, generating political momentum, and delegating responsibility. As we argue, success and scaling are not just the result of scientific proof, but also a matter of negotiating the political issues raised by the experiment.",autonomous driving,impact assessment,living labs,mobility,scaling,shared spaces,superblock,urban experiments,SUSTAINABILITY,,,,,,,,,,,,,,,,,
Row_398,"Nguyen, BN (Nguyen, Binh N. N.) [1] ; Turner, S (Turner, Sarah) [1]",Turf wars: The livelihood and mobility frictions of motorbike taxi drivers on Hanoi's streets,ASIA PACIFIC VIEWPOINT,AUG 2023,5,"In Vietnam's capital city Hanoi, the growing popularity of application based (app-based) motorbike taxis has offered many inhabitants new opportunities to pursue a mobile livelihood with ride-hailing platforms. Nonetheless, as this influx of app-based drivers has hit the city's streets, specific livelihood and mobility frictions have emerged, notably with informal, 'traditional' motorbike taxi drivers, or xe om. In this paper we analyse these evolving sites and moments of friction and their impacts on driver livelihoods and mobilities for both driver groups. We draw conceptually on debates regarding mobility, platform economies, and urban livelihoods, while specifically interrogating the concept of friction to highlight three possible analytical applications. Methodologically, we interpret static and ride-along interviews completed with over 130 drivers. We highlight a range of tactics 'traditional' and app-based motorbike taxi drivers have employed to respond to rising frictions, defend their 'turf', and maintain their street-based livelihoods. Driver responses reveal differing access to distinctive forms of social capital and social networks, and contrasting levels of agency regarding their mobilities. By conceptually teasing apart the notion of friction, we wish to expand and deepen understandings of the experiences of vulnerability, precarity, and other impacts of platformisation for different motorbike taxi driver cohorts.",friction,mobility,platform livelihoods,urban informality,Vietnam,CHI-MINH CITY,LABOR,MIGRATION,TRANSPORT,POLITICS,SERVICES,WORK,,,,,,,,,,,,,,
Row_399,"Yu, L (Yu, Li) [1] , [2] ; Xu, W (Xu, Wei) [2] ; Maclachlan, I (Maclachlan, Ian) [2]",The lived housing experience of the urban poor in Chengdu: Four distinct periods in the urban housing career,POPULATION SPACE AND PLACE,JAN 2025,0,"Current research on the housing careers of urban low-income groups, dominated by quantitative modelling, has discussed the housing predicament faced by the urban poor at length. While much is known about the factors influencing their housing careers, these studies have failed to provide a satisfactory understanding of the intricacy and depth of human struggles those vulnerable groups experienced in the urban housing market. This contributes a four-period model, through a dialogue with the established life cycle/life course theories, to the reconceptualization of housing career of the urban poor and depicts a vivid and continuous housing trajectory by analysing their lived experiences at each period. This paper finds that, in a highly constrained and segregated housing market, the housing problems experienced by low-income earners and their coping strategies are far more complex and variegated than traditional life cycle/course theory would predict. Factors at individual, household, community and even national levels are often interwoven and, more importantly, the combinations of these influences are constantly changing, sometimes repeating along their housing career forming a nuanced dynamism that has been largely overlooked by existing research.",housing career,housing mobility,housing pathway,housing trajectory,lived experience,low-income housing,RESIDENTIAL-MOBILITY,LIFE-COURSE,CHINA,GUANGZHOU,HOME,MIGRANTS,NEIGHBORHOODS,DETERMINANTS,MIGRATION,CITIES,,,,,,,,,,
Row_400,"Saeidizand, P (Saeidizand, Pedram) [1] ; Fransen, K (Fransen, Koos) [2] ; Boussauw, K (Boussauw, Kobe) [2]",Revisiting car dependency: A worldwide analysis of car travel in global metropolitan areas,CITIES,JAN 2022,41,"This article aims to contribute to the understanding of car dependency of cities, a line of inquiry which emerged in the late 1980s. First, we update possibly outdated insights based on more recent data. Second, we highlight methodological limitations of this type of research, which will help determine the relevance of typical findings in the broader debate on urban sustainability. For our analysis, we base ourselves on the Mobility in Cities Database which includes properties of urban form and mobility of 56 metropolitan areas worldwide. Using OLS modelling, we found that density, public transport supply and demand, car ownership, fuel price and level of congestion are important predictors of car use. However, although these variables are significantly associated with car travel in metropolitan areas, they do explain variance to a limited extent only, partly since such variables do not cover underlying personal attributes such as age, income, attitudes, or residential self-selection. This puts the findings and the implications of earlier comparative analysis of car dependency of metropolitan areas into perspective and questions the tendency of urban planning policies to view urban density as a silver bullet solution.",Car dependency,Global metropolitan areas,Urban planning policies,Density,BUILT ENVIRONMENT,URBAN FORM,LAND-USE,MODE CHOICE,FUEL PRICE,NEIGHBORHOOD CHARACTERISTICS,ASYMMETRIC RESPONSES,HOUSEHOLD TRAVEL,OLDER-ADULTS,PEAK CAR,,,,,,,,,,,,
Row_401,"Poklewski-Koziell, D (Poklewski-Koziell, Damian) [1] ; Dudzic-Gyurkovich, K (Dudzic-Gyurkovich, Karolina) [1] ; Duarte, CM (Duarte, Carlos Marmolejo) [2]","Investigating urban form, and walkability measures in the new developments. The case study of Garnizon in Gdansk",LAND USE POLICY,FEB 2023,4,"Sustainable transport choices are gaining much attention as they may support the global shift towards reducing the carbon footprint and developing more energy-efficient cities. The relation between urban form and sustainable transport has been discussed by academics and practitioners and there is a consensus that specific parameters of urban form can encourage walking and discourage car use. Following global recommendations on sustainable development, countries take steps towards strengthening pedestrian accessibility by implementing spatial characteristics of walkable neighbourhoods, but also by mobility and urban design strategies. This issue, however, is not properly recognised in countries with short experience in sustainable urban development, such as former socialist countries. In Poland no studies on walkability-related parameters of urban form have been carried out, hence the knowledge in this field is limited. This paper aims to address this gap by providing evidence of a newly built urban district located in Gdansk, Poland. We present the Polish case with three examples of new urban districts from Western Europe, that are designed as sustainable and walkable environments. The methodology is based on the descriptive case study. It includes characteristics of design parameters namely the components of the ""walkability index"" as well as mobility solutions and urban design guidelines. The results show the current position of Garnizon development in relation to the Western European cases with regard to the existing post-communist legacy and allow for indicating differences and possible shortcomings. Additionally, the study results can be discussed in the context of improving the quality of the housing environment in Poland through pedestrian-oriented development strategies.",Walkability,Urban form,Active transport,Urban design,Sustainable development,BUILT ENVIRONMENT,PHYSICAL-ACTIVITY,LAND-USE,NEIGHBORHOOD WALKABILITY,WALKING,COMMUNITIES,DESIGN,TRANSPORTATION,ASSOCIATIONS,PERCEPTIONS,,,,,,,,,,,
Row_402,"Aldao, E (Aldao, Enrique) [1] ; Fontenla-Carrera, G (Fontenla-Carrera, Gabriel) [1] ; González-desantos, LM (Gonzalez-desantos, Luis Miguel) [1] ; González-Jorge, H (Gonzalez-Jorge, Higinio) [1]",Assessment of LiDAR detection capabilities for Urban Air Mobility applications,"2023 INTERNATIONAL CONFERENCE ON UNMANNED AIRCRAFT SYSTEMS, ICUAS",2023,0,"This paper presents a quantitative analysis of the detection capabilities for U-Space applications using a solid-state LiDAR, specifically the Livox Avia. The focus of this study is the use of this technology as a ground surveillance system, with a particular emphasis on its potential installation in ground infrastructures such as a vertiports. A point cloud simulator was used to replicate the behavior of this device and the acquisition of moving obstacle point clouds was simulated. This information was processed to estimate the position, speed and size of different intruders. Multiple study cases were generated to evaluate the sensor performance under different operating conditions. Finally, a statistical analysis of the results was carried out to evaluate the influence of the distance, speed and size of the intruders on the results.",Solid-State LiDAR,Urban Air Mobility,Detect and Avoid,SPEED ESTIMATION,,,,,,,,,,,,,,,,,,,,,,
Row_403,"Pajvancic-Cizelj, A (Pajvancic-Cizelj, Ana) [1] , [2]",European urban networks as aspirational horizon of Europeanization in the Balkans,URBAN RESEARCH & PRACTICE,NOV 2024,0,"This paper examines the role of European urban networks (UNs) in the Europeanization of Balkan cities and their influence on urban transformation across the region. The research uses desk analysis to map the UNs and expert interviews with network members in Belgrade, Zagreb, and Pristina. It shows that UNs 'Europeanize' the Balkans by shaping their urban aspirations towards Europe and fostering hopes for democratization of planning. Unlike Zagreb, where the challenges in realizing such aspirations are similar to those in other EU cities, Belgrade, and Pristina face more substantial obstacles, hindering the network's transformative potential.",Balkans cities,Europeanization,EU,urban networks,urban planning,INTERURBAN NETWORKS,POLICY,POLITICS,PERSPECTIVE,PARTNERSHIP,GOVERNANCE,PATTERNS,MOBILITY,,,,,,,,,,,,,
Row_404,"Silonsaari, J (Silonsaari, Jonne) [1] , [2] ; Simula, M (Simula, Mikko) [1] ; te Brömmelstroet, M (te Brommelstroet, Marco) [2]",From intensive car-parenting to enabling childhood velonomy? Explaining parents' representations of children's leisure mobilities,MOBILITIES,JAN 2 2024,4,"Intensive parenting has become a key term for analysing the pressures and priorities of contemporary western parenting culture. For mobility studies it provides a discursive framework for understanding why children's leisure has shifted from free play and mobility towards various adult-led organised activities and why parents deem it necessary to control children's leisure journeys in an unprecedented manner. Most of the research on parenting and mobility has explained these trends with urban risks and safeguarding, but this paper highlights how parents also control, manage and enable children's mobility to resource and enrich them with various dispositions. We use children's mobility experiments and parents' interviews to explain two contrasting representations of children's mobility-intensive car-parenting and childhood velonomy-in a local community in Finland. The paper sheds new light on how community and place shape parents' notions of parenting, childhood and mobility.",Intensive parenting,car-parenting,velonomy,children's autonomy,cycling,critical discourse analysis,INDEPENDENT MOBILITY,GEOGRAPHIES,ENCOUNTERS,JOURNEY,RISK,,,,,,,,,,,,,,,
Row_405,"Väisänen, T (Vaisanen, Tuomas) [1] , [2] , [3] , [5] ; Järv, O (Jarv, Olle) [1] , [2] , [3] ; Toivonen, T (Toivonen, Tuuli) [1] , [2] , [3] ; Hiippala, T (Hiippala, Tuomo) [1] , [2] , [3] , [4]",Capturing urban diversity through languages: Long-term changes in multilingual residential neighbourhoods in the Helsinki Metropolitan Area,POPULATION SPACE AND PLACE,JAN 2024,0,"Contemporary cities are becoming highly diverse on an unprecedented scale due to accelerating urbanization, international migration and mobility. Research on urban diversity commonly focuses on ethnicities and countries of origin, disregarding equally informative characteristics, such as information on languages and language use, which might reveal new aspects of urban diversity. In this paper, we analyse the development of urban diversity in the Helsinki Metropolitan Area between 1987 and 2019 using language information retrieved from the Finnish population register and examine the extent to which linguistic diversity captures urban diversity. We focus on two population groups, speakers of Estonian and Somali, to analyse how linguistic diversity and socioeconomic characteristics have changed in their residential neighbourhoods and to estimate to what extent these population groups have integrated into the host society. We measured linguistic diversity using Shannon entropy, performed spatial clustering analyses and used Markov chains to examine the likelihood of changes in linguistic diversity. We found clear spatial patterns and high spatial variability in the development of linguistic diversity, which shows that geographical space is a central component in linguistic diversity. Our results suggest that linguistic diversity is more likely to change in more segregated neighbourhoods and show that linguistic diversity is a suitable proxy for urban diversity. Understanding urban diversity is a key element for supporting social sustainability and cohesion in urban areas now and in the future. Mapping the spatio-temporal and intersectional patterns of urban diversity is crucial for managing its negative effects, but more importantly, in leveraging its positive effects.",linguistic landscapes,neighbourhood change,segregation,spatial analysis,urban diversity,urban geography,LINGUISTIC DIVERSITY,ETHNIC-DIFFERENCES,ENCOUNTERS,MIGRATION,MOBILITY,SOMALIS,CITY,,,,,,,,,,,,,
Row_406,"Liu, BJ (Liu, Baoju) [1] , [3] ; Tang, ZA (Tang, Zhongan) [2] , [3] ; Deng, M (Deng, Min) [1] , [3] ; Shi, Y (Shi, Yan) [1] , [3] ; He, X (He, Xiao) [1] ; Huang, B (Huang, Bo) [4]",Estimation of travel flux between urban blocks by combining spatio-temporal and purpose correlation,JOURNAL OF TRANSPORT GEOGRAPHY,APR 2024,1,"Understanding the travel flux between urban blocks is fundamental for traffic demand prediction, urban area planning and urban traffic management. However, the uncertainty of human mobility patterns and the complexity of urban transportation systems usually yield challenges in accurately estimating the travel flux within a city. Thus, we propose a novel travel flux estimation method that integrates traffic flow characteristics (traffic volume and travel time), spatio-temporal autocorrelation, and travel purpose correlation. First, the geographically weighted method was used to model and verify the spatio-temporal autocorrelation of origin-destination flows, whereas the purpose correlation of origin-destination flows was expressed through the function feature vectors of urban blocks. Then, a multi-objective bi-level programming model, according to the generalized least squares method, was constructed to estimate the travel flux between blocks. This was used to solve the problem of accurate estimation of travel flux by combining microscopic traffic flow characteristics with macroscopic spatio-temporal and purpose characteristics. Finally, an empirical analysis of the Hankou district, Wuhan City, demonstrated that in contrast to the existing method, the accuracy of the proposed method for predicting the human travel flux improved by approximately 20%. The estimated results were consistent with the spatial distribution pattern of human travel. Moreover, these results can provide targeted decision support for planning urban spaces, allocating urban resources, and guiding vehicular traffic.",Travel flux estimation,Spatio-temporal autocorrelation,Purpose correlation,Integer programming,SPATIAL INTERACTION PATTERNS,ORIGIN-DESTINATION MATRICES,TRAFFIC DEMAND,MOBILITY,IDENTIFICATION,PREDICTION,NETWORKS,FLOWS,LAW,,,,,,,,,,,,,
Row_407,"Emanuel, M (Emanuel, Martin) [1]","Leisure walking in the original compact city: senses, distinction, and rhythms of the bourgeois promenade",MOBILITIES,SEP 3 2023,1,"The 'compact city' implies a return to the urban morphology of the nineteenth-century city, one in which most people walked, predominantly for utilitarian purposes. This article, however, details a leisure practice-the bourgeois promenade-as it unfolded in Stockholm. Employing a diverse set of texts and visual sources the article seeks to understand how this genteel urban practice was enabled and performed in the midst of a growing working-class population with which they shared the streets. It suggests that new street lighting and smoother pavements redirected vision from the ground to the people around, opening up for walking practices that foregrounded the visual over other senses-one being the bourgeois promenade. It further highlights the multiple rhythms of the promenade and the upper middle class' efforts to create hierarchies of walking on city pavements and in urban parks. In sum, the article shows that leisure mobility was central to the very idea of nineteenth century urban life. Meanwhile, its exclusive character cautions against the one-sided imaginaries of strolling and consumption in today's endeavours to recreate the compact city.",Historical method,mobility practice,promenade,rhythms,sensescapes,social class,walking,PUBLIC SPACE,URBAN,POLITICS,STREETS,,,,,,,,,,,,,,,
Row_408,"Graells-Garrido, E (Graells-Garrido, Eduardo) [1] ; Schifanella, R (Schifanella, Rossano) [2] ; Opitz, D (Opitz, Daniela) [3] ; Rowe, F (Rowe, Francisco) [4]","Measuring the local complementarity of population, amenities and digital activities to identify and understand urban areas of interest",ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,MAY 2023,3,"Identifying and understanding areas of interest are essential for urban planning. These areas are normally defined from static features of the resident population and urban amenities. Research has emphasised the importance of human mobility activity to capture the changing nature of these areas throughout the day, and the use of digital applications to reflect the increasing integration between material and online activities. Drawing on mobile phone data, this paper develops a novel approach to identify areas of interest based on the degree of complementarity of digital activities, available amenities and population levels. As a case study, we focus on the largest urban agglomeration of Chile, Santiago, where we identify three distinctive groups of areas: those concentrating (1) high availability of amenities; (2) high diversity of amenities and digital activities; and (3) areas lacking amenities, yet, presenting high usage of digital leisure and mobility applications. These findings identify areas where digital activities and local amenities play a complementary role in association with local population levels, and provide data-driven insights into the structure of material and digital activities in urban spaces that may characterise large Latin American cities.",Mobile phone data,areas of interest,digital activities,INFORMATION,,,,,,,,,,,,,,,,,,,,,,
Row_409,"Flores-Juca, E (Flores-Juca, Enrique) [1] ; García-Navarro, J (Garcia-Navarro, Justo) [2] ; Mora-Arias, E (Mora-Arias, Estefania) [1] ; Chica, J (Chica, Jessica) [1]",,EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,MAY 2023,2,"The mobility difficulties caused by spatial segregation expose the economic, social and environmental problems to which populations that inhabit left-behind areas face. The purpose of this study is to analyze and compare the mobility conditions of workers in peri-urban areas of Cuenca and thus determine the spatial segregation to which they are exposed. The quantitative cross-sectional methodology is based on a two-scale analysis in which population density is considered the unit of analysis. The work identifies that 35% of peri-urban households do not have bus services, a situation that is complicated given high labor dependency on the city and limited car ownership. The work shows that spatial segregation occurred mainly in the low-density areas, which have less access to employment areas.",intermediate cities,urban sprawl,urban transportation,RESIDENTIAL SEGREGATION,COMPACT CITY,EXPANSION,TRANSPORT,CITIES,FORMS,,,,,,,,,,,,,,,,,
Row_410,"Hoang, LA (Hoang, Lan Anh) [1] , [3] ; Zhang, J (Zhang, Juan) [2]",Migrant immobilities beyond the pandemic: Changing migration patterns and aspirations,ASIAN AND PACIFIC MIGRATION JOURNAL,JUN 2023,1,"Transnational migration entails profound changes to gender subjectivities and family structures, social networks and urban landscapes, and lifestyles and aspirations. Pandemic-induced immobilities have led many to question the assumed links between migration and mobility, and heightened interest in mobility inequalities. This research note offers critical insights into the ""immobility turn"" scholarship and highlights the gaps in our understanding of immobilities as both a social phenomenon and a conceptual tool. By placing our analytical focus on migrant immobilities, this research note sheds light on important changes in the meanings and values associated with migration and (im)mobility across contexts.",migration,immobilities,aspiration,inequalities,globalization,TRANSNATIONAL URBANISM,INFRASTRUCTURES,MOBILITY,,,,,,,,,,,,,,,,,,
Row_411,"Zhao, PL (Zhao, Pengli) [1] ; Post, J (Post, Joseph) [1] ; Wu, ZQ (Wu, Zhiqiang) [1] ; Du, WB (Du, Wenbo) [2] ; Zhang, Y (Zhang, Yu) [1]",Environmental impact analysis of on-demand urban air mobility: A case study of the Tampa Bay Area,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,SEP 2022,10,"Urban Air Mobility (UAM) uses electric vertical take-off and landing (eVTOL) vehicles to provide an alternative way of transporting passengers in urban areas. This study proposes a method of comparing air pollutant emissions from using ground transportation versus switching to multi -modal UAM, including greenhouse gases and other air pollutants (NOx, SO2, PM2.5). A study by Wu and Zhang (2021) addressed planning questions regarding the optimal placement of verti-ports and estimated diverted demand from ground transportation modes by combining network design and travel mode choice models. The proposed method is applied to the case study of Tampa Bay region. A sensitivity analysis was conducted to further evaluate the impacts. The study reveals that on-demand UAM (considering vertiport access and egress modes) generates more greenhouse gases and other air pollutants (except NOx) in the case study region compared to ground transportation modes. The emissions depend on the structure of power production. A lower UAM service price and more vertiports will further increase emissions.Superscript/Subscript Available",Advanced air mobility,High density operation of UAM,Air pollutant emissions,Sensitivity analysis,,,,,,,,,,,,,,,,,,,,,,
Row_412,"Gao, Q (Gao, Quan) [1] ; Wei, N (Wei, Nan) [1] , [2] ; Zhang, Q (Zhang, Qian) [1] , [2] ; Zhou, SY (Zhou, Siyu) [1] , [2] ; Xie, J (Xie, Jing) [1] , [2] , [3]",Visualising the academic mobility of Nobel laureates,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,OCT 2024,0,"The academic mobility of Nobel laureates (NLs) epitomises not only the inter-urban knowledge flows and networks but also the spatial evolution of the world's scientific hubs. Yet the understanding of the mobility and patterns of Nobel laureates' scholarly migration remains limited. To address this gap, we elucidate the trajectories of academic mobility for 734 Nobel laureates and how their migratory patterns change in different geopolitical eras by establishing a life-course database encompassing NLs in science and economics from 1901 to 2023. First, the migratory patterns of NLs have evolved from multi-cored diversification in Phase A (-1945) to polarisation in Phase B (1946-1991) and to re-diversification in Phase C (1992-2023). Second, the academic mobility of NLs, and especially their international mobility, has significantly declined over the past century, which contrasts with other observations that scientists tend to be more mobile as globalisation advances.",Nobel laureates,academic mobility,migratory pattern,geopolitics,,,,,,,,,,,,,,,,,,,,,,
Row_413,"Darvishy, A (Darvishy, Alireza) [1] ; Hutter, HP (Hutter, Hans-Peter) [1] ; Mosimann, R (Mosimann, Roland) [1]",Towards Personalized Accessible Routing for People with Mobility Impairments,"COMPUTERS HELPING PEOPLE WITH SPECIAL NEEDS, ICCHP-AAATE 2022",2022,0,"This paper presents a vision for personalized accessible routing for people with mobility impairments and discusses which accessibility information is needed to realize this vision, such as curb cuts, inclination, path width, and additional information about various barriers. In a case study for the city of zurich, the paper first analyses how much of this accessibility information is available and in what quality in OpenStreetMap (OSM), and then investigates different approaches for collecting the missing accessibility data. This accessibility data can be used to implement novel routing apps for pedestrians with mobility impairments and can support city planners in considering future measures to improve urban accessibility. The main questions of this research are: What accessibility information is needed to allow for a personalized accessible routing? How can the missing accessibility data be collected efficiently? We suggest a methodology consisting of a combination of automated, semi-automated, crowd-based, and onsite data collection.",Accessibility data,Accessible walking routes,People with mobility impairment,OpenStreetMap,,,,,,,,,,,,,,,,,,,,,,
Row_414,"Léa, F (Lea, Fabre) [1] , [2] , [3] ; Caroline, B (Caroline, Bayart) [2] ; Bonnel, P (Bonnel, Patrick) [1] ; Mony, N (Mony, Nicolas) [3]",The potential of Wi-Fi data to estimate bus passenger mobility,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,JUL 2023,1,"Last decades have been marked by deep socio-economic transformations, an uneven evolution of transport demand in main urban areas and the emergence of new and more sustainable modes of transportation (carpooling, self-services bicycles). These changes have strongly impacted the interaction between service supply and demand in the transport industry. In this context, passive data as Wi-Fi and Bluetooth become a key source of information to understand individual mobility behaviors and ensure the sustainable development of transport infrastructures. In this paper, we present a framework that uses disruptive technology to collect passive data in buses, continuously and at a lower cost than traditional mobility surveys. Previous research, conducted over a more limited spatial and temporal framework, uses filtering methods, which do not allow the results to be replicated. This study uses artificial intelligence to sort transmitted signals, get transit ridership and build Origin-Destination matrices. Its originality consists in providing a concrete, automatic and replicable method to transport operators. The comparison of the results with other data sources confirms the relevance of the presented algorithms in demand forecasting. Therefore, our findings provide interesting insights for data-driven decision making and service quality management in urban public transport.",Passive data analytics,Wi-Fi sensors,Clustering algorithm,Origin-Destination matrices,Travel behavior,Public transport demand,TRANSIT,BEHAVIOR,,,,,,,,,,,,,,,,,,
Row_415,"Prins, A (Prins, Annemiek) [1]",Reconfiguring rickshaw mobilities: formalization and exception in Dhaka's diplomatic zone,MOBILITIES,OCT 2024,0,"This paper examines the relationship between formalization and (im)mobilities by focusing on the reconfiguration of cycle-rickshaw journeys in the 'diplomatic zone' of Dhaka, Bangladesh. Following two terrorist attacks in 2015 and 2016, this high-income neighborhood witnessed a strong trend toward the securitization, regularization, and sanitization of urban space. Consequently, the local transport system underwent significant changes, including a number of interventions aimed explicitly at regularizing cycle-rickshaw mobilities. These changes involved the introduction of a formal license system, a fixed fare chart, and the designation of a limited number of registered rickshaws to clearly demarcated areas. This paper critiques the insular and exclusionary logic that underpins this area-based rickshaw system and argues that formalization - in this particular instance - has led to the deepening of existing inequalities. In analyzing these inequalities, I present formalization as an inherently unfinished process that gains shape through simultaneous and often contradictory processes of fixing, enclosure, and exception. I offer that this conceptual triad provides a useful starting point for making sense of the relationship between formalization and (im)mobilities in a way that does not reify or assume intuitive and simplistic conflations between the formal/static and informal/mobile.",Cycle-rickshaws,mobilities,formalization,informality,urban governance,Bangladesh,EVERYDAY,POLITICS,INFORMALITY,TRANSPORT,LIFE,,,,,,,,,,,,,,,
Row_416,"Li, S (Li, Shan) [1] ; Zhang, HH (Zhang, Honghai) [1] ; Li, ZL (Li, Zhuolun) [2] ; Liu, H (Liu, Hao) [3]",Air Route Design of Multi-Rotor UAVs for Urban Air Mobility,DRONES,OCT 2024,0,"UAVs will present significant air traffic in the urban airspace in the future, which brings new challenges to urban air traffic management and control. This paper presents an air route design scheme for multi-rotor UAVs in urban airspace to enable UAV operations at orderly levels. The air routes include legs and intersections, which are the three-dimensional channels of UAV flight. Based on the concept of structured and layered urban airspace, the cylindrical pipeline flight leg is designed, and the operation concept, characteristic parameters and flight procedures of along-road and roundabout intersections are proposed. By defining UAV conflict risk and intersection service level metrics, the operation situation of UAVs is quantitatively evaluated. Taking an urban transportation scenario as a case, the proposed route design scheme is simulated in different scale UAV operating scenarios. The results show that the number of UAVs at the intersection is positively correlated with the conflict probability, the number of crossing routes is negatively correlated with the intersection passing rate, and the UAV arrival rate is positively correlated with the intersection average passing time. The along-road type intersection is suitable for the area with fewer crossing routes and sparse UAVs, while the roundabout type intersection is adapted for the area with more crossing routes and dense UAVs. This research provides a new idea for urban UAV air route design, which is helpful in promoting the standardized management of UAVs and accelerating the integration of UAVs into urban airspace.",urban air mobility system,UAV management,air route intersection design,three-dimensional simulation,SYSTEMS,,,,,,,,,,,,,,,,,,,,,
Row_417,"Conterio, J (Conterio, Johanna) [1] , [2]","Controlling Land, Controlling People: Urban Greening and the Territorial Turn in Theories of Urban Planning in the Soviet Union, 1931-1932",JOURNAL OF URBAN HISTORY,MAY 2022,1,"This article explores the relationship between urban planning and social order in the Soviet Union in the 1930s. From the mid-1930s, urban planners sought to shape the social order by reducing urban population density, limiting urban growth, and controlling mobility. The article explores how urban planners translated the ideal of less densely populated cities into designed built environments, through a study of how they theorized urban green space. This study ties the history of urban planning to the history of urban policing, mass operations, and the social repressions of the Stalinist 1930s through the lens of territoriality. It treats the rise of urban planning and urban policing as part of a single, state project to establish social order in cities, through establishing control over territory, implicating Soviet urban planners in the violent processes of social engineering of Stalinism.",Stalinism,green space,urban planning,territoriality,governance,STATE,,,,,,,,,,,,,,,,,,,,
Row_418,"Shen, JF (Shen, Jianfa) [1] ; Gu, HY (Gu, Hengyu) [1] ; Chu, J (Chu, Jun) [2]",Unravelling intercity mobility patterns in China using multi-year big data: A city classification based on monthly fluctuations and year-round trends,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,JUN 2023,5,"Although China's daily intercity mobility patterns have received growing academic attention with the availability and popularity of data with location information from the lens of time and behavioural geographies, little interpretative evidence has been reached on monthly and annual mobility patterns and dynamics considering the influence of the floating population. Using 3-year big data, this paper provides a comprehensive framework to decode China's intercity mobility using machine learning-based city classification techniques and econometric analysis. Cities are classified into four types according to monthly fluctuations and year-round mobility trends: central cities, tourist and hub cities, labour export cities, and less-mobility cities. Central cities are located in major urban agglomerations, while tourist and hub cities are sparsely distributed nationwide. There is also a north-south divide pattern where labour export cities cover areas of central and southern regions, and lessmobility cities are mainly located in northern and northeastern regions. The econometric analysis results reveal the predominant role of the long-term floating population in all mobility indexes and the different impacts of short-term leisure and business trips and transportation facilities. Furthermore, moderating effects of city types and city change paths are detected. The findings provide significant implications for rethinking and decoding intercity mobility from a typological and deconstructive perspective.",Intercity mobility,City classification,Multi -year LBS data,Monthly fluctuations,Year-round trends,China,URBAN MOBILITY,MIGRATION,PERSPECTIVE,POPULATION,COVID-19,CITIES,HUKOU,,,,,,,,,,,,,
Row_419,"Lee, CJ (Lee, Changju) [1] ; Bae, B (Bae, Bumjoon) [2] ; Lee, YL (Lee, Yu Lim) [3] ; Pak, TY (Pak, Tae -Young) [4] , [5]",Societal acceptance of urban air mobility based on the technology adoption framework,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,NOV 2023,7,"Urban air mobility (UAM) is regarded as a sustainable alternative for intercity and intracity passenger transportation. The objective of this study is to identify the psychological and attitudinal factors that predict behavioral intentions to adopt UAM. This study integrates the unified theory of acceptance and use of technology with the initial trust model to explain the adoption intention among potential users of UAM. Results show that social influence and initial trust are the most significant predictor of the usage intention, which, together with performance expectancy, facilitating conditions, and structural assurance, lead to positive attitudes toward UAM. Initial trust was dependent on all six antecedents considered, but most largely on structural assurance. These findings emphasize the role of institutional safety nets, including regulations and legal resources, in increasing initial trust and promoting initial diffusion of UAM. They also offer guidance for designing interventions to improve the societal acceptance of UAM.",Urban air mobility,User acceptance,Mode choice,Technology adoption framework,Initial trust,USER ACCEPTANCE,INFORMATION-TECHNOLOGY,PUBLIC ACCEPTANCE,PERCEIVED RISK,INITIAL TRUST,FIT INDEXES,E-COMMERCE,VEHICLES,SERVICES,MODEL,,,,,,,,,,,
