,author1,author2,author3,title,journal/conference/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14
Row_138,"Kelly, David","Maller, Cecily","Mahmoudi Farahani, Leila",Wastelands to Wetlands: questioning wellbeing futures in urban greening,SOCIAL & CULTURAL GEOGRAPHY,OCT 21 2023,6,"With a myriad of associated health, ecological and social benefits, urban greening has become a prominent policy strategy to renew historically neglected sites in cities, so popular that its implementation often eludes scrutiny. Utilising resident interviews, this paper investigates the distribution of 'wellbeing' narratives and objectives in such transformations. We demonstrate how affinities with nature are utilised to hasten green happy-futures, whilst neglecting to address ongoing questions of social and environmental justice. This paper foregrounds these injustices by attending to the affective dimensions of past and present experiences of environmental damage, advocating for the prioritisation of caring-futures over happy-futures in urban greening imaginaries.",Wellbeing,futurity,urban greening,urban renewal,contamination,asbestos,ENVIRONMENTAL GENTRIFICATION,SPACE,BENEFITS,HEALTHY,CITIES,,,,,,,,,,,,,,,,,,
Row_139,"Gao, Yuan","Tian, Li","Ling, Yingkai","From welfarism to entrepreneurialism: Impacts of the ""shanty-area renovation"" scheme on housing prices in China",HABITAT INTERNATIONAL,AUG 2023,2,"Urban renewal is emerging around the world as a tool for spurring economic growth and social regeneration. Over the past decade, the Chinese government has rolled out a nationwide ""Shanty-area Renovation"" (SAR) scheme which has been characterized as strong central state intervention and local state entrepreneurism. In order to facilitate the process of SAR, the central state has adopted financial and political tools to encourage local governments to be committed to the SAR scheme. With a change in state strategy, the goal of SAR transferred from a welfare-oriented redevelopment program in the beginning to a property-led oriented redevelopment program for the purpose of de-inventorizing the real estate market, resulting in rocketing housing prices. This study adopts a fixed-effect panel regression model to explain the influencing mechanism of SAR on housing price fluctuations across the country. This research concludes that the policy design of SAR could be directed towards urban regeneration beyond property-led development, and the social, economic and environmental objectives should be integrated into the SAR process.",Urban renewal,Shanty-area renovation (SAR),Housing price,De-inventorizing the real estate market,Property-led redevelopment,LED URBAN REGENERATION,HERITAGE CONSERVATION,REDEVELOPMENT,PROJECT,MARKET,TRANSFORMATION,DETERMINANTS,DISPLACEMENT,COMMUNITIES,POLICY,,,,"Li, Zhibin","Yan, Yaqi",,,,,,,,,
Row_140,"Ke, Entong","Zhao, Juchao","Zhao, Yaolong",Coupled and collaborative optimization model of impervious surfaces and drainage systems from the flooding mitigation perspective for urban renewal,SCIENCE OF THE TOTAL ENVIRONMENT,MAR 20 2024,4,"Urban pluvial flooding mitigation is a significant challenge in city development. Many mature methods have been used to reduce the risk of flood. The optimal design of impervious surfaces (ODIS) is an adaptive solution to urban flooding from the perspective of urban renewal planning. However, existing ODIS models are limited because they do not consider the drainage systems. To address this issue, this study proposes an elastic and controllable optimization model based on assumptions about rainstorm and drainage capacity, nondominated sorting genetic algorithm-II (NSGA-II), multivariate linear programming (MLP) and soil conservation service curve number model (SCS-CN) in a case study of the old town of Guangzhou city, China. The model not only coupled the drainage systems, but also collaboratively optimized the impervious surfaces and the drainage systems. The results show that the proposed model achieved an optimized efficiency of 5.70 %, which is more than a tenfold improvement compared to existing ODIS models. The study emphasizes that the optimization of the drainage system should be the focus and the optimization of impervious surfaces should be supplementary, and different flood risk areas require different optimization strategies. Furthermore, transforming impervious surfaces into a ""high-low-high"" spatial distribution of impervious surface densities is the optimal design solution for impervious surfaces. In general, this study offers a novel perspective and approach to urban flooding mitigation, enabling comprehensive control of flooding from a global perspective. systems. The results show that the proposed model achieved an optimized efficiency of 5.70 %, which is than a tenfold improvement compared to existing ODIS models. The study emphasizes that the optimization the drainage system should be the focus and the optimization of impervious surfaces should be supplementary, and different flood risk areas require different optimization strategies. Furthermore, transforming impervious surfaces into a ""high-low-high"" spatial distribution of impervious surface densities is the optimal design solution for impervious surfaces. In general, this study offers a novel perspective and approach to urban flooding gation, enabling comprehensive control of flooding from a global perspective.",Urban renewal,Urban pluvial flooding,Impervious surfaces,Drainage systems,NSGA-II,SCS-CN,SCS-CN METHOD,,,,,,,,,,,,"Wu, Jiazhe","Xu, Tao",,,,,,,,,
Row_141,"Zhou, Youmei","Chen, Jingjing","Zhang, Xiyu",How to Support the Decision-Making Process of Community Regeneration proposed by Evolutionary Game and Reinforcement Learning ? A case study in Shanghai,"2022 IEEE INTL CONF ON DEPENDABLE, AUTONOMIC AND SECURE COMPUTING, INTL CONF ON PERVASIVE INTELLIGENCE AND COMPUTING, INTL CONF ON CLOUD AND BIG DATA COMPUTING, INTL CONF ON CYBER SCIENCE AND TECHNOLOGY CONGRESS (DASC/PICOM/CBDCOM/CYBERSCITECH)",2022,0,"Cyberspace offers more possibilities for public participation equality and public empowerment, with the possibility of projection and computation of integrated social, cultural and physical spaces, which is a new way of life and governance renewal. This project focuses on the research gap where the role of the updated iterations of physical space and social interaction on social attributes is unclear. This project proposes systematic decision support on community renewal, using deep reinforcement learning and evolutionary game modelling to build a conceptual framework for simulation, providing optimal solutions for different optimization goals to achieve artificial intelligence decision support. The paper provides inspiration for the application of computational decision-making support in urban governance such as community renewal.",Community Regeneration,Decision-Making,Evolutionary Game,Reinforcement Learning,Conceptual framework,USER CORRELATIONS,DISCOVERY,,,,,,,,,,,,"Liu, Xiao","Lei, Hao",,,,,,,,,
Row_142,"Zhang, D.","Gao, T.","Tian, J.",Interactive Design of Children's Creative Furniture in Urban Community Space,"HCI International 2023 Posters: 25th International Conference on Human-Computer Interaction, HCII 2023, Proceedings. Communications in Computer and Information Science (1835)",2023,0,"Children's creative furniture intervention in urban space, the development of society and the active exploration and research on the functionality of urban space presenting a diversified urban development model and actively creating a child-friendly city is a typical urban development sample. It can solve the counting problems of functional failure and demand misalignment of child-friendly urban public space, re-examine the inclusiveness and diversity of urban neighbourhood space, create a child-friendly city, drive social power, realize children's design dreams in a new mode, and construct a child-friendly future community. The design team conducted joint workshops and children's furniture creative curriculum design for social experiments in conjunction with Fengjiao Yuan Primary School. Using the streets of Fengpu District in Shanghai as the research site, the team conducted a creative activity of localization and creative storm translation, exploring the localization and inclusiveness of urban space and residents through children's creativity and activating the vitality of urban community space. The four-dimensional social innovation model of participation in learning - participation in design - participation in construction - participation in maintenance is constructed to explore the role of children's creative furniture in the process of urban renewal and the research path. A series of children's creative furniture design activities realize children's participation in urban construction in the form of urban masters, and creativity and imagination add vitality and temperature to the city. Creative design from children's perspective is an effective methodological strategy for empowering and reshaping community space. Children's innovative furniture design provides a rich spatial experience design, allowing residents to feel the effect of spatial expansion and improve the inclusiveness, interactivity and entertainment experience of urban community space. The in-depth exploration of spatial resources of urban neighbourhoods and urban furniture design needs, adhering to the innovative development model of adapting to local conditions and designing for needs, provides design ideas and empirical references for the development of the functional expansion of urban community space.",,,,,,,,,,,,,,,,,,,"Zhou, H.",,,,,,,,,,
Row_143,"Wang, Y.","Fang, X.","Jadoon, A.",Research on Segmentation and Extraction of Mountain City Trail Landscape Elements Based on Improved PSPnet,2022 8th International Conference on Hydraulic and Civil Engineering: Deep Space Intelligent Development and Utilization Forum (ICHCE),2022,0,"As an important part of livable life, the efficiency and accuracy of landscape data management and scene design of urban footpath have become the new requirements of urban renewal. In this paper, a landscape element segmentation method which can be used in street view images is proposed. This method is based on the PSPnet semantic segmentation model. Firstly, through the cascades of different dimension features, it preserves more details of Street view image on the basis of enhanced scene parsing. And then, a lightweight semantic segmentation model is constructed using the depth separable convolution module to make it more efficient. Finally, through experimental comparison, the average pixel accuracy and average intersection ratio of the proposed method for the sample segmentation of mountain city walk street scene are 82.49% and 77.87%, respectively, which are 10.14% and 13.42% higher than before the improvement. Furthermore, the segmentation results are better than other models commonly used. This method can effectively divide the landscape elements of urban footpaths, which is of great significance for the improvement of urban streetscape data and the promotion of municipal management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_144,"Dong, Wenli","Chen, Xiaowei",,Evaluation of Community Regeneration Planning and Resilience Based on Fuzzy Group Decision-Making Method,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,SEP 1 2024,0,"In today's increasingly complex stock era, resilient community planning for uncertainty risks is important for building resilient cities and communities and for realizing the refinement, process, and systematization of planning. Therefore, this paper proposes the concept of community planning resilience based on resilience theory and explores a framework system for evaluating the planning resilience of renewal and transformation community by taking renewal and transformation future community planning of Zhejiang as the research object. At the same time, the technical path of realizing public participation in community planning is explored through the method, mechanism, and technical platform of fuzzy group decision-making. Finally, the feasibility of the aforementioned framework and approach is experimentally explored and verified based on a typical case of renewal and renovation of future community planning. In order to make community regeneration planning more planning resilient, this paper develops a community planning group decision-making study from the perspective of community planning resilience, which provides a new research perspective for the field of community resilience and provides a reference for community planning evaluation and the construction of resilient communities.In China's advancing urbanization, major cities are grappling with diverse risks, necessitating urban planning and governance with heightened resilience to face unforeseen black swan events and foreseeable gray rhinoceros challenges. This urgency is particularly pronounced in community renewal, prompting a vital shift from rigid to resilient planning methodologies. To address this shift, this paper advocates for resilient community construction to be a focal point in both policy and practical implementation of community regeneration. A novel approach utilizing the fuzzy decision-making method is proposed to establish a comprehensive resilient community renewal decision-making technology support system. This system employs a fuzzy comprehensive evaluation method, integrating an empowerment approach to simplify the complexities of a multicriteria index system. By mitigating the risks inherent in resilience planning, our approach enhances the scientific foundation and feasibility of decision-making in community renewal. A case study on the Future Community in Zhejiang Province validates the effectiveness of our approach, providing practical insights for constructing resilient community renewal models and system technology platforms. This research contributes to the ongoing exploration of strategies and technologies capable of addressing diverse challenges in urban development, providing references in enhancing urban resilience.",Community planning resilience,Resilience planning,Community renewal,Fuzzy comprehensive evaluation method,Group decision-making,,,,,,,,,,,,,,,,,,,,,,,,
Row_145,"Li, Yuxi","Zhang, Shuai","Zhu, Dajian","Co-creation of community micro-renewals: Model analysis and case studies in Shanghai, China",HABITAT INTERNATIONAL,DEC 2023,9,"Community micro-renewal is an important aspect of urban regeneration. Residents, as the primary users of the community, have become a vital component of community micro-renewals. With the advent of participatory design, designers are no longer the dominant constructors of communities. Residents' participation is essential to current community micro-renewals, but the existing resident involvement still reflects a lack of initiative and an underutilization of potential. Instead, co-creation, in which residents can be deeply involved in the community micro-renewals, is becoming the mainstream. This paper categorizes co-creation models in community microrenewals into three types according to the degree of residents' participation: the co-creation model based on common ideation, the co-creation model for resident participation in the design process, and the co-creation model of resident-led community regeneration. Three corresponding cases in Shanghai, China are analyzed in relation to specific scenarios and typologies. Each case study provides a contextualized interpretation of the characteristics associated with different types of co-creation. Increased residents' participation in the process of co-creation has been found to positively impact residents' identification with community micro-renewals and their intrinsic commitment to sustain them. Furthermore, highly participatory co-creation empowers residents to assume a higher level of responsibility for the project and mitigates the risk of uniformity. The contribution of this paper is to provide a theoretical basis for subsequent practices. Specifically, this research aims to facilitate a comprehensive integration of participatory design methodologies with community micro-renewal initiatives.",Community micro -renewal,Residents' participation,Co -creation,Case study,Empowerment of residents,NEIGHBORHOOD REGENERATION,SELF-GOVERNANCE,DESIGN,IDENTITY,,,,,,,,,,,,,,,,,,,,
Row_146,"Liu, J.","Lei, Y.","Yao, M.",The Tacotron2-based IPA-to-Speech speech synthesis system,SPML '23: Proceedings of the 2023 6th International Conference on Signal Processing and Machine Learning (SPML),2023,0,"To help language learners better understanding the pronunciation of one language, in this paper, we proposed an IPA-to-Speech speech synthesis system which aims to generate high quality human speech from written language in IPA format. There are mainly two parts in our system: a Transformer-based G2P converter and a Tacotron2-based speech synthesis system. The purpose of the G2P converter is to build the training data, all the English sentences in LJSpeech can be converted into their IPA formats by this converter, and the speech synthesis module intend to generate the speech from IPA sentences. The word error rate and phoneme error rate were utilized to evaluate the G2P converter and the mean opinion score was used to evaluate the performance of the speech synthesis. Also, this work inspired us to use the IPA format represent the dialects, in the future work, we will continue this research on the dialect recognition and generation.",,,,,,,,,,,,,,,,,,,"Liu, Z.","Lin, G.","Wang, Z.","Liu, Y.","Chen, W.",,,,,,
Row_147,"Farrer, James",,,Sustainable neighbourhood gastronomy: Tokyo independent restaurants facing crises,ASIA PACIFIC VIEWPOINT,DEC 2022,5,"Neighbourhood gastronomy, the agglomeration of restaurants and smaller eateries in residential urban areas, contributes to the lives of residents and visitors economically, culturally, and socially. Since winter 2020, neighbourhood gastronomy in Asian cities has been severely disrupted by COVID, compounded by many other long-term stressors. In urban Japan these stresses include gentrification, the aging of proprietors, urban renewal, and corporatization of gastronomy. Empirically, this paper discusses how independent restaurants in Tokyo contribute to community life by supporting grassroots creative industries, small business opportunities, meaningful artisanal work, convivial social spaces, local cultural heritage, and a human-scale built environment. The study uses intensive single-site urban ethnography to discuss how restaurateurs face immediate and long-term crises at the community level. By using the ""neighborhood as method,"" a concept of sustainable neighbourhood gastronomy is developed that should be applicable in other urban contexts.",creative industry,restaurants,social sustainability,urban foodways,GENTRIFICATION,,,,,,,,,,,,,,,,,,,,,,,,
Row_148,"Chen, Jingfu","Chen, Ningning","Cai, Fangyi","Sanya, China: Tropical climate and the rise of a small city",CITIES,APR 2022,13,"This paper examines the urban development and entrepreneurialism of Sanya, a small tropical Chinese city. Over the past decades, it has transformed from a marginal place to an emerging city with increasing regional and national influence. The representation and exploitation of the tropics are integral to Sanya's entrepreneurial practices and make huge impacts on its urban trajectories. The tropical city serves as naval and agricultural bases and destinations for tourism and health-related mobilities. Prompted by booming tourism and real estate industries, its urban space undergoes profound transformation, which is manifest in three aspects - urban sprawl from the riverside to the seafront, urban renewal, and the construction of new towns. The urbanization of Sanya is also shaped by dynamic central-local interactions, with intensified state interventions in recent years. The profile provides pertinent experiences of urban development for other small cities in China and beyond and enriches our understanding of the relationships between climate and urban development.",Tropical climate,Small city,Urban entrepreneurialism,Urban development,Urban aspiration,URBAN ENTREPRENEURIALISM,URBANIZATION,CITIES,LAND,,,,,,,,,,,,,,,,,,,,
Row_149,"Teng, Yue","Li, Zhongfu","Li, Tianxin",Regeneration diagnosis for the service lifespans of residential buildings on a circular economy perspective,ENERGY AND BUILDINGS,SEP 15 2024,1,"As urbanized areas progress into the era of stock, an immense number of existing residential buildings (RBs) are destined to undergo replacement and renovation. The irrational decision of urban renewal led to serious economic waste and environmental unsustainability. In this regard, this study proposes and validates a method for regeneration diagnosis and optimal regeneration of RBs based on circular economy (CE) theory. A hybrid diagnostic tool of life cycle cost (LCC)-life cycle assessment (LCA) model to systematically evaluate the economic and environmental impact of RBs throughout the circular lifecycle was proposed. On this basis, with the minimum average annual economic and environmental impact as the objective function, the optimal dynamic regeneration cycle of RBs is obtained using a multi-objective optimization method. The results of the case study show that: (1) The discount rate and deterioration rate changes the development tendency of economic and environmental data, which brings a new regenerating time point, (2) the economic impact of RBs' regeneration tends to be more pronounced during the intermediate stages, while the environmental impact becomes more significant in the later stages, (3) the environmental benefits of regeneration outweigh the economic benefits, (4) the regeneration of all building elements at the local optimal level leads to enhanced comprehensive benefits compared to multiple regenerations of a single building element. The feasibility of the method employed in this study has been corroborated by practical case studies. This approach transcends the limitations of quantitative analysis in assessing the regeneration of RBs in a circular lifecycle and offers profound implications for the development of urban renewal and sustainable strategies.",Regeneration diagnosis,Circular economy theory,LCC-LCA model,Circular lifecycle,Multi-objective optimization,Urban renewal,CYCLE ASSESSMENT,RENOVATION,SUPPORT,DESIGN,,,,,,,,,"Li, Yiran","Gong, Enqin","Tiong, Robert L. K.","Liu, Sha",,,,,,,
Row_150,"Cho, Hyung Rae","Kim, Saehoon",,Attributes of the Positive Side of Urban Shrinkage: Evidence from Seoul,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,JUN 1 2023,4,"While most studies on shrinking urban areas have focused on the negative consequences of urban change, scholarly interest in reinventing urban shrinkage continues to grow. Nevertheless, research on the possible benefits of urban shrinkage remains insufficient. Thus, this study used a cross-case analysis to investigate the positive attributes of shrinkage as well as their utilization processes and associated benefits in three shrinking districts in Seoul. The results indicate that the following opportune circumstances could arise: collective actions prompted by people feeling despair after shrinkage; the initiation and spread of small-scale projects that replace a grand plan; the availability of less competitive land and built property for transformative uses; and the rediscovery of local industrial values and know-how. These attributes influence the growth of social capital and civic engagement in local planning and the revitalization of stagnant local economies. The findings suggest that even if an urban district declines, opportunities for reinvention may occur if stakeholders effectively capitalize on the favorable features of urban shrinkage.",Urban shrinkage,Urban decline,Shrinking cities,Urban regeneration,Sustainable development,CITIZEN PARTICIPATION,CITIES,LANDSCAPE,PATTERNS,RENEWAL,DESIGN,POLICY,CITY,,,,,,,,,,,,,,,,
Row_151,"Hui, H.","Liu, B.","Sun, Y.",Influential Factors and Mechanism of Sense of Place in Historic Districts,Proceedings of 5th International Conference on Civil Engineering and Architecture: Proceedings of ICCEA 2022. Lecture Notes in Civil Engineering (369),2024,0,"As urban renewal becomes an integral part of urban development, the focus of urban planning has risen from environmental qualities to spiritual needs. Improving sense of place helps to activate lost spaces. Therefore, the study of sense of place in historic districts is critical. Taking the Nancang historical and cultural area in Dunhuang as an example, a structural equation model is constructed based on social attributes, built environments, crowd activities, emotional intentions, residence time and sense of place. Collecting subjective evaluation data through questionnaires for model fitting, data analysis and hypothesis testing, and then the mechanism is explored. The results show that there is a hierarchical relationship. Based on social attributes, built environments and crowd activities, emotional intentions are generated through interaction between people and places over time to form sense of place further. Meanwhile, the study confirms that sense of identity and direction are the two most direct and relevant factors. In addition, social attributes have a positive influence on residence time and residence time has no significant influence on sense of place. The study offers a useful guidance for protecting and promoting sense of place in historic and cultural area.",,,,,,,,,,,,,,,,,,,"Zhang, S.",,,,,,,,,,
Row_152,"Yao, Q.","Wang, L.","Wang, J.","Analysis of parking behavior in the context of urban renewal based on multi-day RP and SP data: a case study in Xi'an, China",Proceedings of SPIE,2024,0,"The relationship between intelligent parking management and regional traffic congestion in the context of urban parcel renewal has attracted academic attention. Reasonable parking behavior analysis can effectively contribute to traffic demand management and alleviate the contradiction between parking supply and demand. To this end, this paper constructs a multinomial logit model based on Python that considers multiple factors affecting parking. First, to accommodate the multi-day behavioral variability and unobserved heterogeneity in individual characteristics ignored by traditional parking surveys, multi-day stated-preference(SP) and revealed-preference(RP) data collected in Xi'an were used to analyze people's parking choice behavioral characteristics. The questionnaires were designed by SPSS software with orthogonal design principles. Secondly, based on multi-day survey data, parameter estimation and significant factor evaluation of Multinomial logit(MNL) model are completed by using Python. Finally, the effects of parking rates, invehicle time and out-vehicle time on parking choice behavior are explored, and the parking behavior of passengers in different scenarios is also simulated. This paper conducted an empirical experiment in Xi'an. The research results show that in-car time and parking rate are significant factors affecting passengers' parking behavior, indicating that it is feasible to guide travelers' parking behavior and alleviate regional traffic congestion by changing the above factors. This study can provide reference for the implementation of smart parking demand management in domestic cities.",,,,,,,,,,,,,,,,,,,"Wang, K.","Yao, Z.",,,,,,,,,
Row_153,"Lin, Zhongli","Xu, Hanqiu","Han, Luyao",Day and night: Impact of 2D/3D urban features on land surface temperature and their spatiotemporal non-stationary relationships in urban building spaces,SUSTAINABLE CITIES AND SOCIETY,AUG 1 2024,6,"The spatiotemporal non-stationary relationships between 2D/3D urban features and land surface temperature (LST) introduce uncertainty to the quantitative exploration between them. This study focused on the urban building spaces of ""furnace city "" Fuzhou and explored the quantitative relationships between urban features and ECOSTRESS diurnal LSTs from a block perspective. Our results revealed that: (1) Compared to the ordinary least squares regression model, the multi-scale geographically weighted regression model can better capture the spatiotemporal non-stationary relationships. (2) Largest patch index of building patches (LPI_B) and building height (BH) have the greatest impact on the variations in daytime and nighttime LSTs, respectively. The interaction between largest patch index of vegetation patches (LPI_V) and LPI_B has the largest enhancing effect on daytime LST, while that between BH and LPI_B enhances nighttime LST the most. (3) The diversification of architectural morphology highlights the equal importance of both 2D and 3D building features in influencing LST variations. Meanwhile, the standardization of urban greening emphasizes the greater significance of 2D vegetation features compared to 3D. (4) Based on varying spatial characteristics, differentiated urban renewal schemes should be adopted. These findings can deepen our understanding of spatiotemporal non-stationarity, which cannot be ignored in urban thermal environment research.",Urban heat island,Spatiotemporal non-stationarity,ECOSTRESS,Local climate zones,Urban building spaces,2D/3D urban features,GEOGRAPHICALLY WEIGHTED REGRESSION,LOCAL CLIMATE ZONES,REMOTE-SENSING DATA,HEAT-ISLAND,CITIES,ENERGY,CHINA,CONTRAST,REGION,COVER,,,"Zhang, Huanmin","Peng, Junrui","Yao, Xiong",,,,,,,,
Row_154,"Corzo, Santiago F.","Ramajo, Damian E.","Idelsohn, Sergio R.",Study of ventilation and virus propagation in an urban bus induced by the HVAC and by opening of windows,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,NOV 1 2022,8,"The external and internal airflow and air renewal inside urban buses have taken especial relevance since the COVID-2 pandemic. Computational fluid dynamics (CFD) simulations, which focus on the estimation of indoor airflow are not conclusive about the impact of using Heat, Ventilation and Air Conditioning (HVAC) systems on diseases' transmission risk while travelling with open windows has shown to be a good strategy to renew the indoor air. In order to estimate the COVID-2 airborne transmission by aerosols, a real urban bus was simulated by CFD. Twenty passengers (containing the driver) were included in the model with a typical inhalation-exhalation breathing cycle. The concentrations of air exhaled by ten of them were tracked during 30 min using Eulerian scalar tracer, and the concentrations inhaled by the twenty passengers were monitored. Then, the well-known Wells & Riley risk model was applied in order to estimate the cumulative inhaled viruses and the subsequent transmission risk.Four scenarios were considered: HVAC off with closed windows (Case 1), HVAC on with closed windows and 100% of air recirculation (Case 2), HVAC on with closed windows and 75% of air recirculation (Case 3), and HVAC off and the bus moving at 20 km/h with some windows opened (Case 4). Results clearly showed that the motionless condition (Case 1) caused the highest transmission risk around the emitters with negligible risk far from them. On the contrary, the HVAC on reduced the maximum risk to only 6% (Case 2) and 3% (Case 3) of the risk estimated for Case 1. Finally, travelling with some open windows promotes a large air renewal, reducing almost completely the transmission risk.(c) 2022 Elsevier B.V. All rights reserved.",Urban bus,CFD,Air renewal,Airborne disease transmission,FLOW,,,,,,,,,,,,,,,,,,,,,,,,
Row_155,"Xu, Yanyan","Olmos, Luis E","Mateo, David",Urban dynamics through the lens of human mobility.,Nature computational science,2023-Jul,10,"The urban spatial structure represents the distribution of public and private spaces in cities and how people move within them. Although it usually evolves slowly, it can change quickly during large-scale emergency events, as well as due to urban renewal in rapidly developing countries. Here we present an approach to delineate such urban dynamics in quasi-real time through a human mobility metric, the mobility centrality index DeltaKS. As a case study, we tracked the urban dynamics of eleven Spanish cities during the COVID-19 pandemic. The results revealed that their structures became more monocentric during the lockdown in the first wave, but kept their regular spatial structures during the second wave. To provide a more comprehensive understanding of mobility from home, we also introduce a dimensionless metric, KSHBT, which measures the extent of home-based travel and provides statistical insights into the transmission of COVID-19. By utilizing individual mobility data, our metrics enable the detection of changes in the urban spatial structure.",,,,,,,,,,,,,,,,,,,"Hernando, Alberto","Yang, Xiaokang","Gonzalez, Marta C",,,,,,,,
Row_156,"Huang, Ruopeng","Qian, Queena K.","Liu, Guiwen",Multi-level social capital effects on residents: Residents' cooperative behavior in neighborhood renewal in China,LAND USE POLICY,JAN 2025,0,"China has recently shown great enthusiasm for developing neighborhood renewal, and good cooperation within resident groups is the key to successful implementation. Residents' cooperative behavior is easily influenced by social relationships among residents, which are referred to as resident-level social capital. Further, resident-level social capital is influenced by the neighborhood effects, known as neighborhood-level social capital. However, few studies examined the impact of social capital on residents' behavior from the perspective of both residentlevel and neighborhood-level. This paper aims to examine the multilevel social capital that influence residents' cooperative behavior in China. Using social capital theory and the theory of planned behavior, this study collects questionnaire survey data from 1039 residents in 98 neighborhood renewal projects in China. The results from multilevel structural equation modeling suggest that residents' social capital can directly influence residents' cooperative behavioral intention. The variability of neighborhood-level social capital and the impact of multidimensional social capital were examined. The findings of this study have strengthened the explanatory power of the theory of planned behavior and expanded the application scope of social capital theory. The results provide a more cultural and historical perspective, that is, resident relationships, for promoting cooperation among residents in neighborhood renewal.",Neighborhood renewal,Social capital,The theory of planned behavior,Cooperative behavior,STRUCTURAL EQUATION MODELS,MANAGEMENT CONTROL-SYSTEM,PLANNED BEHAVIOR,URBAN REGENERATION,DECISION-MAKING,MODERATING ROLE,COMMUNITY,TRUST,PARTICIPATION,IDENTITY,,,,,"Li, Kaijian","Visscher, Henk J.","Fu, Xinyue","Wang, Wenshun",,,,,,,
Row_157,"Fan, Ying","Fu, Yuqi","Qian, Zonghe",Time-varying and land use-induced spillover effects of urban redevelopment: Evidence from Hong Kong*,CITIES,MAR 2024,2,"This paper investigates the time-varying and land use-induced spillover effects of urban redevelopment, providing a lens through which to understand the welfare implications of both the temporal dynamics and the land use changes that occur through urban transformation. By analysing redevelopment project and housing transaction data from Hong Kong between 2005 and 2020, we find significant, positive spillover effects of urban redevelopment on local housing prices following the redevelopment announcement, with diminishing magnitudes as the redevelopment project proceeds. We also find heterogeneous spillover effects associated with different functional land use changes in redevelopment projects. The direction and extent of these externalities depend on the trade-off between the changes in local amenities and the changes in the level of competitiveness in the local housing market.",Urban,Time-varying spillover effect,-varying Land use-induced spillover effect,Land use changes,HOUSING VALUES,RENEWAL,GENTRIFICATION,EXTERNALITIES,PROPERTY,CITY,,,,,,,,,,,,,,,,,,,
Row_158,"Wang, Yanyu","Wang, Jun","Zhang, Huanxin",Impact of land use change on the urban-rural temperature disparity in Eastern China,ATMOSPHERIC ENVIRONMENT,SEP 1 2023,7,"Unprecedented land use and land cover change (LULCC) has occurred across China over the past two decades. While urban heat island effects have been well documented, few studies identified the LULCC-induced tem-perature disparity within cities and nearby rurual areas. Through an integrated analysis of satellite observations and regional model simulations, this study quantifies LULCC effect on summer temperature in old urban areas (existed in 2003), new urban areas (developed after 2003) and rural areas (non-urban areas) over Eastern China in 2003-2019. The results show that LULCC causes urban areas to become warmer, with the effect being more pronounced in new urban areas than in old urban areas. Air temperature (2 m, T2) and surface temperature (TSK) in new urban areas increase respectively by 1.69 degrees C and 3.40 degrees C, while in old urban areas, T2 (TSK) increases by 0.10 degrees C (0.13 degrees C). Significant vegetation degradation is observed in new urban areas, whereas vegetation restoration occurs in old urban areas in recent years as a result of urban renewal. In contrast, LULCC cools and greens rural areas, with a 0.02 degrees C (0.03 degrees C) decrease in T2 (TSK). Urbanization warming can spread to the suburbs, along with vegetation degradation. The analysis of surface energy budget reveals that the reduction in latent heat plays a dominant role in urban warming. Our study underscores that a much larger greenspace fraction and albedo management in urban areas are suggested as an inherent part of future LULCC policy to alleviate urban-rural temperature disparity.",Urban warming,Vegetation degradation,Land use and land cover change,Atmospheric modeling,VEGETATION COVER,MODELING SYSTEM,LOWER REACHES,HEAT-ISLAND,URBANIZATION,MODIS,CLIMATE,VALIDATION,REGION,,,,,,"Janechek, Nathan","Wang, Yi","Zhou, Meng","Shen, Pengke","Tan, Jianguo","He, Qianshan","Cheng, Tiantao","Huang, Cheng",,,
Row_159,"Lambert, Deborah",,,'Let's brew a new Brussels': imaginaries of the circular economy,CAMBRIDGE JOURNAL OF REGIONS ECONOMY AND SOCIETY,AUG 8 2024,1,"In this paper, I mobilise the notion of imaginaries to analyse a case of the circular economy (CE) in the region of Brussels, Belgium, where bread surplus from mass retail is upcycled to produce a local and more sustainable beer. I examine circular imaginaries and how they are translated into urban practices and materialised in the city. My analysis shows that the craft and post-industrial narratives of new circular products may find a positive echo at the urban level when re-development strategies to attract new productive activities mobilise similar narratives of creativity, innovation and craft skills. It concludes that CE risks becoming a rallying signifier helping to support a discourse coalition on the productive and circular city.",circular economy,urban renewal,green gentrification,urban food system,social imaginaries,urban imaginaries,CULTURAL-POLITICAL ECONOMY,SUSTAINABILITY FIX,CITY,FOOD,ENVIRONMENT,FUTURE,CITIES,,,,,,,,,,,,,,,,
