,author1,author2,author3,author4,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,conference,keyword5,keyword6,author5,keyword7,author6,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,author7,author8,author9,author10
Row_126,"Kerzhner, Tamara",,,,Creating an Informal Transport Route,JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,OCT 1 2024,0,"Problem, research strategy, and findingsThis study shares the results of a test I established of a new minibus route in Kampala with the Uganda Transport Operators Federation (UTOF). Informal transport provides the bulk of urban mobility in the Global South but may be limited in the connectivity and spatial coverage it is able to provide. I tested the effectiveness of market response by temporarily subsidizing operations in an unserved location and found that even a limited expansion of routing found passenger demand, showing a countercurrent of travel against the existing pattern of radial, central business district-to-suburb travel. Female street vendors were a particularly important previously unserved group of passengers. For operators, the study revealed that establishing new services can be difficult, requiring organizational capacity and substantial investment and risk in terms of time and money. In parallel, when such investments are made, other formal and informal actors, such as police, government bureaucracy, and competing operators, can act to extract the benefits, further slowing the change and growth of the transport network.Takeaway for practiceI describe the implementation steps and lessons learned from a small-scale pilot project that could be scaled for use as a planning intervention as well as to assess the equity of market-driven public transport and identify mobility gaps. This study expands the body of evidence on the effectiveness of informal transport systems for diverse mobility needs and spatial coverage, providing unique data and a methodological approach to address latent and hidden mobility needs for urban residents. It develops a potential avenue of intervention for regulators and planning practitioners for a cheap, light-touch intervention that collaborates with informal transport workers to expand accessibility and equity for passengers.",accessibility,field experiment,gender,informal transportation,,mobility of care,,,,,,,,,,,,,,,,,,
Row_127,"Tarkkala, Konsta","Vosough, Shaghayegh","West, Jens","Roncoli, Claudio",Evaluating the influence of cyclists' route choices incorporation into travel demand modelling: A case study in greater Helsinki,TRANSPORTATION RESEARCH INTERDISCIPLINARY PERSPECTIVES,SEP 2024,1,"Cycling is a sustainable transport mode that endorses an active lifestyle. While cycling shows great potential, it is essential for urban planning to consider attributes influencing the choices that cyclists act upon. Cyclists' route choices have been studied since the Eighties with knowledge being applied in cycling network planning. Yet, the role of cycling as a sustainable transportation mode has been largely absent from travel demand modelling. This paper researches cyclists' route choice preferences and evaluates the opportunity of incorporating route choice modelling into travel demand modelling to improve the accuracy of cycling route choice. To this end, a route choice framework is developed in which a stated preference survey for data collection is conducted, a multinomial Logit model is applied to the data to identify the factors that significantly influence cyclists' route choice behaviour. The generated route choice utility models are further integrated into an existing regional travel demand model to evaluate the performance of cyclists' route choice modelling in the presence of additional factors. Then, the route choice model outputs are validated against two sets of external data. The results show that bike facilities, traffic volume, and trip length are the key factors influencing cyclists' route choice preferences, and the generated route choice models can be an applicable improvement in incorporating the influences of cyclists' preferences into travel demand modelling.",Cycling route choice behaviour,Utility maximization theory,Stated preference,Travel demand modelling,,,,,,,,,,,,,,,,,,,,
Row_128,"Mcguirk, Pauline","Baker, Tom","Dowling, Robyn","Maalsen, Sophia","Enacting urban governance innovation: beyond strategic pathways to incremental ""muddling through""",URBAN GEOGRAPHY,DEC 2024,0,"In recent years, cities and city governance have been comprehensively urged to innovate to address complex societal challenges. An epistemic community - including the UN, OECD, global philanthropies, consultancies and think-tanks - has provided influential support by globally circulating examples of pathways to urban governance innovation (UGI) and codified best-practice innovation techniques. In this paper, we address how these pathways and codifications of UGI gel with actual practices of institutional change. We present a grounded theorization of UGI to enhance empirical understandings of its practice, framed through a novel combination of conceptual resources drawn from recent relational theorizations of governance innovation from scholarship on urban sustainability transitions and new municipalism. Drawing on analysis of a suite of urban-based innovation units internationally, we propose three key dimensions to a more nuanced understanding of UGI; namely that UGI is a process enacted relationally, and through navigations that are inevitably situated. We conclude by stressing the importance of understanding how UGI proceeds through more uncertain, piecemeal and incremental routes than globally-circulating pathways infer. Second, we argue that understanding the relational, navigational and situated dynamics of UGI is critical to evaluating its agendas, ambitions and (ambiguous) political possibilities.",Urban governance innovation,relational,navigation,situated,,urban politics,,"Sisson, Alistair",,,,,,,,,,,,,,,,
Row_129,"Alavi, Seyed Ali","Esfandi, Saeed","Khavarian-Garmsir, Amir Reza","Tayebi, Safiyeh",Assessing the Connectivity of Urban Green Spaces for Enhanced Environmental Justice and Ecosystem Service Flow: A Study of Tehran Using Graph Theory and Least-Cost Analysis,URBAN SCIENCE,MAR 2024,4,"This research aims to analyze the relationship between environmental justice and urban green space connectivity in Tehran, Iran. The evaluation of green space connectivity in this study is conducted through two distinct cost layers: one aimed at enhancing existing connections and another focused on establishing new green spaces. Key factors influencing connectivity, extracted from the relevant literature, were identified to facilitate this analysis. Employing graph theory and least-cost analysis, the results determined critical resistance factors, current connectivity and cost status, the varying degrees to which different districts benefit from green space ecosystem services, and the most effective routes for establishing green corridors. Research findings highlight significant disparities in access to these services, particularly in the underserved central districts of Tehran. Moreover, spatial analysis reveals a higher potential for enhancing east-west ecosystem service corridors due to the higher density of green hubs and lower costs in this orientation, while north-south connectivity faces more challenges. By exploring land use/land cover, and physical and socio-economic factors affecting urban green space connectivity, this study provides urban and environmental planners with a novel methodology and comprehensive insights for effective decision making, resource allocation, and land use planning.",urban ecosystem services,urban green spaces,connectivity,spatial inequality,,environmental justice,Tehran,"Shamsipour, Aliakbar",,"Sharifi, Ayyoob",,,,,,,,,,,,,,
Row_130,"Feliciani, Claudio","Tanida, Sakurako","Jia, Xiaolu","Nishinari, Katsuhiro",Influencing Pedestrian Route Choice Through Environmental Stimuli: A Long-Term Ecological Experiment,JOURNAL OF DISASTER RESEARCH,APR 2024,1,"Urban centers are getting crowded, public transportation is becoming congested, and mass events are attracting an increasing number of people. Crowd disasters are not rare, and to prevent them the careful planning of pedestrian facilities and collaboration among stakeholders in the organization of events are crucial. When communication and coordination among stakeholders are sufficient, safety can usually be achieved; however, even in such cases, unexpected situations may occur. Automated crowd-control methods are required to address such situations. However, little is known about how crowd behavior can be influenced without direct human intervention. In this study, we investigated the use of environmental stimuli to modify pedestrian behavior (more specifically, route choice) in an educational facility. Colors, lights, signs, and sounds were used to influence route selection. The results show that light and, in part, LED information displays are somehow effective and could be valid candidates to pave the way for automated crowd control systems (especially for night events). The experiment presented establish good practices. In turn, this can delay the creation of high densities, which are often the cause of fatalities in crowd disasters, and provide staff with time for intervention.",crowd,environmental stimuli,route choice,pedestrian,,crowd control,,,,,,,,,,,,,,,,,,
Row_131,"Gnanaselvam, Nancy A.","Goud, B. Ramakrishna",,,"Application of sanitation safety planning in the usage of wastewater for agriculture in Bangalore Urban District, India",INDIAN JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,JAN-MAR 2024,0,"Context: Due to water scarcity, wastewater is used in agriculture in peri-urban areas. Aims and Settings: We aimed to assess the hazards associated with wastewater farming and develop an incremental improvement plan for the sanitation system of wastewater use for agriculture using Sanitation Safety Planning (SSP) in Bangalore urban district, India. Methods: Interviews and observations were conducted among 100 farmers in the Mugalur Gram Panchayat area. Results: Direct ingestion and ingestion after contact with wastewater due to inadequate hand hygiene are the routes of contact with wastewater. The control measures followed in the community are the cultivation of crops, which do not have direct contact with wastewater, furrow and drip irrigation, and restricted irrigation. Methods to mitigate the hazards are the provision of interval between final irrigation and consumption,washing of produce with freshwater before transportation to market, and hygienic cooking. Conclusion: Occupational hazards and risks associated with wastewater farming can be mitigated through the adoption of locally acceptable preventive measures.",Agriculture,farmers,occupational hazards,risk mitigation,,sanitation,wastewater,,,,,,,,,,,,,,,,,
Row_132,"Gogousou, Ioanna","Canestrini, Manuela","Alinaghi, Negar","Michail, Dimitrios",The Impact of Traffic Lights on Modal Split and Route Choice: A use-case in V ienna,,2024,0,"The transportation dynamics within a European city, V ienna, are examined using a multi-graph representation of the city's network. The focus is on time-optimized routing algorithms and the effects of altering the average waiting penalty at traffic lights. The impact of these modifications, whether an increase to 60, 90, or even 150 seconds or a decrease to 10 seconds, is observed in the selection of transportation modes and routes for identical origin and destination pairs. The investigation also extends to whether routes shift towards secondary street networks to avoid traffic lights as the waiting penalty increases. Experimental variations in average waiting time for cars aim to uncover detailed effects on transportation mode choices, route length and time changes, and variations in human energy expenditure. These findings could provide valuable insights into the transportation network and its possibilities and help in urban planning and policy development. The results indicate a shift in transportation mode as the waiting penalty for cars at traffic lights increases, and in some instances, routes are redirected to roads of lower importance such as residential or service roads.",Traffic Lights,Urban Mobility,Transportation Networks,Public Transport,27TH AGILE CONFERENCE ON GEOGRAPHIC INFORMATION SCIENCE GEOGRAPHIC INFORMATION SCIENCE FOR A SUSTAINABLE FUTURE,OpenStreetMap,,"Giannopoulos, Ioannis",,,,,,,,,,,,,,,,
Row_133,"Huang, Hai-chao","He, Hong -di","Zhang, Zhe","Ma, Qing-hai",Variable-length traffic state prediction and applications for urban network with adaptive signal timing plan,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,MAR 1 2024,0,"In urban road networks, traffic states are characterized with complicated signal intervention and results in variable -length traffic states, especially under the adaptive signal timing condition. Due to the limitations in available real -world data and technological limitations, there have been limited investigations regarding the prediction of traffic states in road networks under adaptive signal timing. The purpose of this study is to provide a prediction method for variable -length traffic states and discuss the practical application of predictions within intelligent transportation systems. This study proposes an indicator called Phase flow Rate (PR) that integrates traffic states with signal timing information. We further introduce warping algorithm align the variable -length PR into shapes that can be accepted by the model. Finally, we propose an embedded attention spatio-temporal graph convolutional neural network (EASTGCN) for predicting PR in urban traffic systems. Base on two months of data from an urban network with an adaptive signal timing plan, experimental results demonstrate that our approach effectively addresses the challenge of variable -length data due to irregular sampling. Moreover, EASTGCN outperforms state-of-the-art models, showing an improvement in prediction performance ranging from 10.6% to 21.2%. Predicting PR rather than conventional traffic states offers distinct advantages in three application scenarios, including a 6.6% improvement in energy efficiency through speed inducement of electric vehicles, 16% travel time savings for route planning of connected vehicles, and real-time optimization for traffic congestion management.",Traffic states prediction,Variable-length,Deep learning,Adaptive signal timing,,Application scenarios,,"Xue, Xing-kuo",,"Zhang, Wen-xiu",,,,,,,,,,,,,,
Row_134,"Ke, Xiong","He, Bao-Jie",,,"Planning for heat-resilient educational precincts: Framework formulation, cooling infrastructure selection and walkable routes determination",SUSTAINABLE CITIES AND SOCIETY,FEB 2024,21,"To create a heat -resilient education precinct, this study developed a framework for campus heat solutions to enhance the heat mitigation and adaptation capacity of campus stakeholders. The campus heat solution framework consists of preparation, mitigation and adaptation, thermal environment and comfort assessment, information -sharing platform, heat action plan, and post -assessment. An empirical study in Chongqing University, China based on field experiments, numerical simulations, and post -processing of outdoor thermal environments and comfort was conducted, to demonstrate the applicability of the framework in actual educational precincts. The results indicated the spatiotemporal variability of surface temperature and outdoor thermal comfort, exhibited the right time and proper cooling infrastructure selection, and identified the adaptive walkable paths. For instance, the universal thermal climate index (UTCI) with sun exposure had a mean value of 46.8 C and a maximum value of 51.4 C at 14:00, while the mean UTCI of the tree, sunshade and pavilion were 8.1 C, 9.3 C and 10.6 C lower than that of the full exposure means, respectively. Therefore, before 10:00 or after 18:00, choosing locations under trees, sunshades, or pavilions can ensure better thermal comfort at high temperatures. In comparison, from 10:00 to 13:00, it is essential to choose sunshades or pavilions, and from 13:00 to 18:00, it is preferable to choose only pavilions. Moreover, a suitable walkable path was determined based on cumulative heat stress. Overall, this study is expected to provide a reference for building healthy and comfortable educational precincts and enhance the understanding of heat resilience planning.",Urban heat challenges,Mitigation and adaptation,Walkable path,Sustainable campus,,Shading structures,Cumulative heat stress,,,,,,,,,,,,,,,,,
Row_135,"Agapov, Mikhail",,,,Three Berths at the Village of Novy Port Local History of the Northern Sea Route,SIBIRICA-INTERDISCIPLINARY JOURNAL OF SIBERIAN STUDIES,MAR 2024,0,"This article examines the local history of the Northern Sea Route using the Yamal settlement of Novy Port as a case study. Shifting the focus of research from the capital -based decision -making centers to the anchor points of the Transpolar Route makes it possible to see complex collisions, alternative options, deviations from plans, and other failures, without which it is impossible to implement such large-scale projects as the Northern Sea Route. Novy Port was assigned the role of one of the outposts of the Soviet colonization of the Arctic. At each of the identified stages of the history of Novy Port, its modus vivendi was formulated anew, which reflected a change in paradigms in the development of the Northern Sea Route.",Chief Directorate of the Northern Sea Route,Indigenous Peoples of the North,Northern Sea Route,Novy Port,,porto franco,"""special settlers",,""" Yamal",,,,,,,,,,,,,,,
Row_136,"Yu, Jingcai","Lin, Qinghai","Ding, Hongliang","Li, Wenquan",Examining individuals' adoption of flex route transit,TRANSPORTATION PLANNING AND TECHNOLOGY,OCT 2 2024,1,"This study aims to comprehensively identify the contributing factors affecting the adoption of flex route transit. A survey was conducted in 2019, and a multiple indicators multiple causes (MIMIC) model was utilized to capture individuals' preferences toward car, fixed route, and flex route transit. Subsequently, the multinomial logit model with attitudinal features is employed to identify the key factors influencing the shift from car or fixed route to flex route transit. Results indicate that several factors contribute to flex route transit adoption, with the top three being car restriction, travel cost, and age groups. Car restriction is positively associated with flex route transit adoption (marginal effects 11.67%). Travel costs (>= 1.49 US$) and elderly groups also contribute to an increase in flex route transit adoption, with marginal effects of 9.18% and 8.01%, respectively. These findings provide insightful implications for decision-makers in identifying potential adopters and improving flex route transit adoption.",Flex route transit,Adoption,Contributing factors,Attitudinal features,,Mode choice,,"Feng, Tao",,"Ke, Wei",,,,,,,,,,,,,,
Row_137,"Kale, Irem","Altun, Tutku Didem",,,"The use of slime molds as a design guide in urban design, A case of Turkey/İzmir/Karabağlar",ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,JUN 2024,0,"Urban design is a complex and challenging process that encompasses many disciplines, such as urban planning, architecture, and landscape. On the urban design scale, it's important to consider short paths compatible with pedestrian behaviors, especially in public spaces, in terms of designing healthier and more accessible urban areas. But conventional design processes, which are mostly based on the designer's observations or intuitions, fail to satisfy user behaviors in usage. Studies reveal that P. polycephalum slime molds have the potential to guide good urban planning. However, it is noteworthy that there are not enough studies yet in the disciplines of architecture and urban design on the design of pedestrian ways in small-scale areas, and there is a need for research. In this direction, this study is the first step of a method that is aimed at being developed for the disciplines of architecture and urban design in the long process. The main hypothesis is that a design template can be created as a result of graphical analysis of living slime mold experiments on the map, especially in undesigned empty urban areas, for architects and planners, and it can provide creative suggestions to the designer. In this direction, in this study, a graphic design template proposal was created based on live cell experiments at a site in Izmir, Turkey, which the local government aims to design as a pedestrianized zone and open for competition. Slime molds are used directly as a computer rather than as inspiration for a computer, and a pedestrian-oriented design template proposal develops with the behavioral models of slime molds. Compared to the award-winning designs developed for the same area, it has been shown that even within the framework of simple graphical measurements, it gives better results and creates more optimal routes on main and side roads. It is envisaged that this study can play a pioneering role for studies involving more detailed mathematical models that can begin in the field of architecture and urban design.",Physarum polycephalum,slime molds,urban design,architecture,,biodesign,,,,,,,,,,,,,,,,,,
Row_138,"Podawca, Konrad","Pawlat-Zawrzykraj, Agata","Karsznia, Krzysztof",,"Study on transformations in land use in the functional context of extensive city ventilation routes using the example of Bródnowski Ventilation Corridor in Warsaw, Poland",MISCELLANEA GEOGRAPHICA,JAN 1 2024,0,"Ventilation corridors are critical for regulating the appropriate flow of urban air streams. Details on how they function, especially in a specific location, can be found in local eco-physiographic studies. Such analyses are designed during conceptual work on the conditions and directions of the development of a studied area. Such documentation includes advanced research on the impact of natural conditions on the area's growth and evolution. In Warsaw, Poland, such a study makes it possible to define various natural areas that are essential for the appropriate functioning of the city and increase its inhabitants' well-being. This provides an initial basis for further analysis and motivates researchers to investigate the distribution of natural sites. It inspired the authors to assess the land-use structure in the context of the location of ventilation corridors. Thus, land use and land cover (LULC) modifications were examined in the context of their tendency to aid in the ventilation of the city. The object of the study is the Brodnowski Ventilation Corridor (BVC) - one of several designated for Warsaw in the spatial planning concepts of the 1980s and 1990s. In the research encompassing the years 1982-2020, the authors analysed the land use and roughness determined by the development characteristics and vegetation cover. References were made to current and archival planning documents, aerial photographs, satellite images, and the Topographic Objects Database BDOT10k. The research was prompted by the municipality's intention to urbanize the study area, which will undoubtedly eliminate the ventilation function of the southern part of the corridor and significantly reduce its remaining territory. Analysis of changes in the land cover of the south part of the corridor confirms its marginal importance for the city's ventilation. In this area, ongoing modifications proceed slowly, and urbanization - mainly low-rise and less intensive buildings - is limited. This zone has largely retained and is likely to maintain its favourable features from the point of view of ventilation and air regeneration.",Ventilation corridors,urban planning,urban climate,roughness parameters,,,,,,,,,,,,,,,,,,,,
Row_139,"Lee, In Je","Sagar, Shraddha","Agarwal, Nithin","Srinivasan, Siva",Data-Driven Approach to Develop a Master Plan to Prioritize Schools for the Safe Routes to School Program,TRANSPORTATION RESEARCH RECORD,MAY 2024,0,"Safe Routes to School (SRTS) programs, initiated by the U.S. Department of Transportation, aim to promote active modes of transportation (walking and cycling) among students commuting to school through several means, including infrastructure improvements and educational programs. A review of SRTS programs at the state level reveals that there is no standard framework to quantify and prioritize the needs of school districts or communities. The primary objective of the study is to develop a systematic and data-driven framework to identify site-specific infrastructure improvements that have the potential to positively affect student safety and mobility. There is limited literature on risk factors associated with bike and pedestrian crashes around schools. This study investigates roadway infrastructure and socioeconomic, demographic, and land use characteristics to identify risk factors affecting the safety of bicyclists and pedestrians around schools. The study encompasses an analysis of around 3,000 schools in the State of Florida and tests over 20 potential independent variables to develop safety performance functions assessing the safety of bicyclists and pedestrians near schools. The research reveals significant factors influencing the risk of school-related bike and pedestrian crashes, including school location, the number of schools in the service area, intersections with stop signs, retail land uses, the median age of the population in the service area, median household income, and the proportion of the white population. Practitioners can adopt the models to prioritize schools for SRTS infrastructure investments.",pedestrian and bicycle safety,human factors,walkability,planning and analysis,,transportation safety management systems,school safety,"Steiner, Ruth",,,,,,,,,,,,,,,,
Row_140,"Norena-Zapata, Daniel","Restrepo-Vallejo, Julian Camilo","Morillo-Torres, Daniel","Gatica, Gustavo",A Novel Exact and Heuristic Solution for the Periodic Location-Routing Problem Applied to Waste Collection,PROCESSES,AUG 2024,1,"In the development of Smart Cities, efficient waste collection networks are crucial, especially those that consider recycling. To plan for the future, routing and depot location techniques must handle heterogeneous cargo for proper waste separation. This paper introduces a Mixed-Integer Linear Programming (MILP) model and a three-level metaheuristic to address the Periodic Location Routing Problem (PLRP) for urban waste collection. The PLRP involves creating routes that ensure each customer is visited according to their waste demand frequency, aiming to minimize logistical costs such as transportation and depot opening. Unlike previous approaches, this approach characterizes each type of customer considering different needs for waste collection. A total of 25 customer types were created based on mixed waste demands and visit frequencies. The proposed algorithm uses Variable Neighborhood Search (VNS) and Local Search heuristics, comprising three neighborhood generation structures. Computational experiments demonstrate that the VNS algorithm delivers solutions seven times better than exact methods in a fraction of the time. For larger instances, VNS achieves feasible solutions where the MILP model fails within the same time frame.",location and routing,VNS,sustainable development,PLRP,,selective waste collection,,,,,,,,,,,,,,,,,,
Row_141,"Favretto, Ana Paula Oliveira","de Souza, Lea Cristina Lucas","Rodrigues, Daniel Souto",,Automated mapping process of frontal area and thermal potential indexes: GIS algorithm development and implementation,URBAN CLIMATE,JAN 2024,0,"The impacts of urban areas on microclimate conditions are well-known and highlight the importance of climatological guided urban planning. The growth and evolution of Geographic Information Systems (GIS) have set a backdrop for implementing strategies to apply urban climatological knowledge in planning daily practice. This research brings algorithms to automate the Frontal Area Index (FAI) and Thermal Potential Index (TPI) mapping process. This type of algorithms type facilitates the extraction of detailed spatial information for the decision -making process, making it highly relevant for urban planning and management. Their calculation method is implemented as ESRI (c) ArcGIS Pro embedded Python Stand Alone Script Tools, using the Python ArcPy library to access the ArcGIS geoprocessing functions. The algorithms are described in detail, allowing their implementation in other GIS platforms. The output maps allow the urban thermal conditions and morphology assessment. The findings from this research may substantially contribute both to the advance in the urban climatology scientific field and to guide urban planners' and managers' practical decision making.",Urban thermal comfort,Urban Heat Island,Frontal Area Index,GIS,,Wind route,,,,,,,,,,,,,,,,,,
Row_142,"Ramirez, Andres F.","Proussaloglou, Emmanuel","Loukaitou-Sideris, Anastasia","Wasserman, Jacob L.",Exposing Freeway Inequalities in the Suburbs: The Cases of Pasadena and Pacoima,JOURNAL OF PLANNING HISTORY,AUG 2024,0,"U.S. freeways have come under scrutiny for their adverse impacts on low-income neighborhoods of color, primarily in urban centers. This article offers a comparative historical analysis of the impact of freeways on two communities in Southern California, which were ethnically diverse suburbs. Planning authorities in Pasadena and Pacoima chose freeway routes that displaced a greater share of households of color than the proposed alternatives. Meanwhile, neighboring white, wealthier communities successfully influenced routing decisions in consequential ways. Beyond the visible and immediate effects of the freeways, social inequity and environmental degradation persist in both neighborhoods today.",highways,infrastructure,transportation planning,suburbs,,places,race relations,,social issues,,postwar planning,planning eras/approaches,,,,,,,,,,,,
Row_143,"Zhang, Jiahao","Wang, Xuqian","Jiang, Lan","Chen, Zhihong","Analysis of the Evolution Pattern and Regional Conservation of Cultural Heritage from the Perspective of Urban Sustainable Transformation: The Case of Xiamen, China",BUILDINGS,MAR 2024,5,"This study focuses on the cultural heritage of Xiamen and uses the spatial analysis method of ArcGIS to analyze the spatiotemporal evolution and distribution characteristics of cultural heritage. Through analysis, we aim to optimize the structure of cultural heritage protection areas and tourism routes in urban planning by analyzing the spatial structure characteristics of Xiamen's cultural heritage types in various historical periods. The results show that in terms of the time dimension, the existing cultural heritage in Xiamen was mainly built between 1840 and 1949, and the center of cultural heritage shows an overall trend of a ""north-south direction"". In terms of spatial dimension, the existing cultural height in Xiamen shows a clustering distribution pattern, with clusters located in the Gulangyu and Xiagang areas of Siming District. According to the period, there is a clear spatial correlation pattern, showing a spatial clustering trend of ""strong first and then weak"".",cultural heritage,urban,sustainable transformation,regional conservation,,GIS,,"Xu, Subin",,"Aoki, Nobuo",,,,,,,,,,,,,,
Row_144,"Siyavus, Ahmet Emrah","Belge, Rauf",,,Urban Sprawl in Thrace: Case of Corlu,PLANLAMA-PLANNING,2024,0,"Urban sprawl is usually expressed as a process of suburbanization with insufficient and low density on the city's fringes. This process takes different forms and characters. It is characterized by low-density, linear, dispersed, and leapfrogging spatial development on the city's outskirts. Urban sprawl develops in the city as the population grows, income increases and commuting costs decrease. Especially after the widespread use of motorized vehicles, the sprawl process accelerated as city dwellers settled outside the settlement. As a result, land and forests previously used for agricultural activities have been transformed into urban areas. This study focuses on the causes and spatial consequences of sprawl in & Ccedil;orlu, which experienced such a transformation. The historical development and current status of sprawl in the city are presented, and for this purpose, a literature review, aerial photographs, orthophotos, satellite images, topography maps, land use capability, and the CORINE database are used. These data were analyzed with ArcGIS and TerrSet programs to identify areas of urban sprawl. As a result of the investigations, it was understood that urban sprawl in & Ccedil;orlu has developed due to industrialization and low-density settlements shaped by transportation routes, and fertile agricultural lands are gradually turning into urban areas.",Corlu,CORINE,urbanization,urban spraw,,Thrace,,,,,,,,,,,,,,,,,,
Row_145,"Colin, Lashermes","Cedric, Baudrit","Corinne, Curt","Christophe, Fernandez",From narratives to indicator-based future scenarios of urban mobility,FUTURES,SEP 2024,0,"Scenario planning can be a useful tool for solving urban mobility challenges in cities while achieving sustainability goals. Scenario planning is particularly pertinent for policymakers as it can stimulate debates on different possible futures. The concept of sustainable urban mobility planning, promoted by the European Commission, is based on the principle of involving the public in the transport planning process. Including various stakeholders, all individuals, groups or organisations affected by a plan or project in the urban mobility system, such as the citizen, in the planning process can improve results and contribute to an overall understanding of the system and the views of other stakeholders. It is essential for stakeholders to interact with and participate in the creation of these scenarios. This article presents a method for formalising and evaluating prospective urban mobility scenarios. Our approach combines the strengths of both qualitative (narrative) and quantitative (indicators-based) methods. The result is a method that translates textual narratives created by stakeholders into indicators that can be easily understood. The method was applied to scenarios that were created through interviews and participatory workshops in the cities of Strasbourg and Aix-Marseille.",Urban mobility,Qualitative scenario,Stakeholder inclusion,Scenario building,,Quantitative scenario,,"Franck, Taillandier",,,,,,,,,,,,,,,,
Row_146,"Febrita, Yuswinda","Ekasiwi, Sri Nastiti Nugrahani","Antaryama, I. Gusti Ngurah",,IMPACT OF URBAN RIVER DYNAMICS ON MICROCLIMATE: CLIMATIC FACTORS ALONG THE MARTAPURA RIVER,INTERNATIONAL JOURNAL OF GEOMATE,SEP 2024,0,"This study investigates the impact of the Martapura River on the microclimate of Banjarmasin City, Indonesia. Data were collected using twenty strategically placed sampling points along two routes adjacent to the river, with air temperature and relative humidity readings recorded at 10-minute intervals. Additionally, a portable weather station monitored these parameters over the river from 6:00 to 18:00. Using ENVI-met software, the study analyzed the effects on air temperature, relative humidity, and Predicted Mean Vote (PMV). The results indicated that the Martapura River significantly influences the local microclimate by reducing air temperatures by up to 1.5 degrees C and increasing humidity levels by up to 5% near its banks. The cooling effect was more pronounced downwind of the river compared to upwind areas, and roads contributed to air temperatures that were up to 0.5 degrees C higher. The study highlights the river's role in enhancing thermal comfort and mitigating urban heat islands, emphasizing the importance of integrating natural water bodies into urban planning for sustainable development and climate resilience.",Solar Radiation,Urban River,Microclimate Dynamics,Climate Resilience,,,,,,,,,,,,,,,,,,,,
Row_147,"Abdelmejeed, Ahmed Yasser","Gruehn, Dietwald",,,Pedestrian Dynamic Thermal Comfort Analysis to Optimize Using Trees in Various Urban Morphologies: A Case Study of Cairo City,LAND,SEP 2024,0,"Considering the impacts of climate change on the goal of obtaining sustainable and healthier cities, this research aimed to analyze and assess the impact of different urban forms with different trees densities on the dynamic physiological equivalent temperature (DPET) for pedestrians while walking further than the average walking distance (750 m) using ENVI-met. This study included five different areas within Greater Cairo, which is suffering from extreme heat stress. The selected study areas had lots of urban variety in terms of the canyons' aspect ratios, orientations, urban form, green areas, mixed uses, and tree densities. Two tree scenarios were analyzed: the current tree density situation and a scenario where the tree density of each study area was increased to its capacity. The results proved that the DPET had different values than the steady physiological equivalent temperature (SPET) at each point within the walking routes. However, the DPET was closely related to changes in the SPET. Keeping the SPET lower or higher for a long time reduced or increased the DPET, and frequent changes (up and down) in the SPET kept the DPET stable. Changes between DPET values were driven more by the microclimate conditions of a space or canyon than the conditions of the overall area, and controlling the microclimate conditions of a whole urban canyon controlled the DPET. Changes in the DPET could reach as high as 10 degrees C between different walking routes, and increasing the tree density could help lower the DPET by as much as 6 degrees C in some cases.",urban heat island (UHI),outdoor thermal comfort,urban trees,urban shading,,dynamic thermal comfort,static/steady thermal comfort,,ENVI-met greenery simulation,,urban cooling strategies,,,,,,,,,,,,,
Row_148,"Bomgni, Alain Bertrand","Mdemaya, Garrik Brel Jagho","Sindjoung, Miguel Landry Foko","Velempini, Mthulisi",CIBORG: CIrcuit-Based and ORiented Graph theory permutation routing protocol for single-hop IoT networks,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,NOV 2024,1,"The Internet of Things (IoT) has emerged as a promising paradigm which facilitates the seamless integration of physical devices and digital systems, thereby transforming multiple sectors such as healthcare, transportation, and urban planning. This paradigm is also known as ad-hoc networks. IoT is characterized by several pieces of equipment called objects. These objects have different and limited capacities such as battery, memory, and computing power. These limited capabilities make it difficult to design routing protocols for IoT networks because of the high number of objects in a network. In IoT, objects often have data which does not belong to them and which should be sent to other objects, then leading to a problem known as permutation routing problems. The solution to that problem is found when each object receives its items. In this paper, we propose a new approach to addressing the permutation routing problem in single-hop IoT networks. To this end, we start by representing an IoT network as an oriented graph, and then, based on a reservation channel protocol, we first define a permutation routing protocol for an IoT in a single channel. Secondly, we generalize the previous protocol to make it work in multiple channels. Routing is done using graph theory approaches. The obtained results show that the wake-up times and activities of IoT objects are greatly reduced, thus optimizing network lifetime. This is an effective solution for the permutation routing problem in IoT networks. The proposed approach considerably reduces energy consumption and computation time. It saves 5.2 to 32.04% residual energy depending on the number of items and channels used. Low energy and low computational cost demonstrate that the performance of circuit-based and oriented graph theory is better than the state-of-the-art protocol and therefore is a better candidate for the resolution of the permutation routing problem in single-hop environment.",Circuit,IoT network,Oriented graph,Permutation routing protocol,,,,"Djoko, Celine Cabrelle Tchuenko",,"Myoupo, Jean Frederic",,,,,,,,,,,,,,
