,author1,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author2,author3,author4,author5,author6,keyword6,keyword7,keyword8,keyword9,keyword10,author7,conference,author8,author9,author10,author11,author12,author13,keyword11,keyword12,keyword13,keyword14,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37
Row_202,"He, Haixu",Time-series land cover change detection using deep learning-based temporal semantic segmentation,REMOTE SENSING OF ENVIRONMENT,MAY 1 2024,11,"The process of sustainable urban development is accompanied by frequent and complex land cover changes, and thus, clarify accurate information on land cover changes can provide scientific data for urban management. To characterize urban development at an accurate spatiotemporal scale, a change detection model is not only required to provide accurate location (Where) and time (When) of the changes, but also semantic information on the change types (What). Accordingly, this study proposed a deep learning method for temporal semantic segmentation change detection (TSSCD) that obtains information on the where, when, and what of changes simultaneously. TSSCD model bridges the semantic gap between remote sensing time series abrupt changes and land cover changes by learning the month-to-month mapping from spectral information to land cover types. We implemented a temporal semantic segmentation model based on the most classic fully convolutional network, where all two-dimensional convolutions and pooling operations were replaced with one-dimensional. We conducted tests on the TSSCD in several urban study areas, and it consistently exhibited good accuracy. In most cases, it outperformed the BFAST and CCDC algorithms, except when only a single spectral band was used. Simultaneously, we analyzed the minimum data requirements for training a TSSCD. The TSSCD currently faces challenges in achieving strong generalization beyond the training data distribution. Additionally, we observed that change detection for specific land cover types can be achieved through the flexible configuration of TSSCD. Finally, we explored a method for constructing datasets using existing products to minimize data annotation efforts, yielding promising results. However, there is still some gap compared to complete manual annotation. Overall, the TSSCD model provided a novel solution to accurately characterize sustainable urban development at the spatiotemporal scale.",TSSCD,Change detection,Remote sensing,Urban expansion and renewal,Sentinel-2 time series,"Yan, Jining","Liang, Dong","Sun, Zhongchang","Li, Jun","Wang, Lizhe",Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_203,"Ni, Lili","Classification and Planning Strategies of Multidimensional Resilience Units for Urban Waterlogging: A Case Study of the Old City District in Shijiazhuang, China",SUSTAINABILITY,APR 2024,2,"The frequency of urban disasters such as waterlogging has markedly increased, highlighting the urgent need to strengthen urban disaster prevention capabilities and resilience. This research, anchored in the resilience characteristics of robustness, redundancy, resource deploy ability, and rapid response, devised a resilience clustering factor system specifically designed for older urban districts. The old city district of Shijiazhuang, China, was selected as the empirical case study area. This research employs the K-Means++ clustering method to analyze the region's resilience units against waterlogging. Furthermore, it utilizes the method of pedigree classification to categorize the identified ten types of resilience. Secondly, these were subsequently divided into three primary categories based on a spectrum of strengths and weaknesses within each unit: dominant, mixed, and disadvantaged clustering. This categorization unveiled the unique resilience distribution patterns within the area. The findings of this study reveal a pronounced differentiation in resilience types among the units in Shijiazhuang's old city district. This spatial analysis highlighted a significant heterogeneity, with a tendency towards cluster formation. The spatial distribution of different resilience unit types was found to be uneven, leading to the emergence of clustered, patch-like, and zonal agglomerations. Combined with the unit clustering classification and the mean clustering performance of each factor, the response unit of waterlogging control resilience planning is determined for the study area, and the strategy of resilience waterlogging control and linkage is proposed. By mapping the spectrum of rainwater resilience types across the studied area, this research broadens the scope of resilience evaluation from a traditional vertical-level assessment to a more comprehensive horizontal typological analysis, offering empirical, theoretical insights for future resilience-building endeavors in older urban districts.",rainstorm waterlogging,the old city,waterlogging resilience,cluster analysis,K-Means plus plus,"Li, Jinglun","Namaiti, Aihemaiti",,,,planning strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_204,"Lin, Hanzheng",Historical sensing: the spatial pattern of soundscape occurrences recorded in poems between the Tang and the Qing Dynasties amid urbanization,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,JUN 6 2024,7,"Tapping urban and soundscape heritage in urban forests contributes to the conservation and utility of cultural heritage. However, urban heritage and soundscapes might be damaged by urban renewal and geological changes. Poems describing urban and soundscape heritage have been poorly researched due to the obscurity, fragmentation, and inaccessibility of historical materials. This study explores the tendencies of ancient poets toward poetized locales and soundscapes and investigates the present conservation of cultural heritage. This study uses historical sensing to assess the spatial information and auditory sensations about cultural heritage in poems through manual collation. Most of the sites in the poems are currently distributed in urban green spaces with good greenery conditions. These sites are mostly located in the downtown area (38.1%) and outskirts (38.1%) of Fuzhou and are well-preserved urban heritage sites. Generally, the poets preferred to describe birds chirping and visited sites with high forest coverage, such as mountains. The methodology of this study can provide a reference for other research on urban and soundscape heritage, helping with the excavation of natural culture and historical resource conservation in cities.",,,,,,"Wang, Jia-Bing","Zhang, Xuewei","Hu, Fangbing","Liu, Jiang","Hong, Xin-Chen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_205,"Stukalyuk, Stanislav",Effect of habitat type on the structure of ant forage areas (Hymenoptera: Formicidae),FRAGMENTA ENTOMOLOGICA,2024,0,"The purpose of this paper is to study the structure of ant forage areas in urban habitats, semi-urban habitats and natural habitats. The study was conducted in the Ukrainian regions of Crimea (2012 to 2013) and Kyiv and its suburbs (2015 to 2018, 2021 to 2023). We examined 1321 forage trees and 849 colonies of 9 ant species in Kyiv and suburbs; and 413 trees and 141 colonies of 2 ant species in Crimea. The methods we used included transect examination of the trees with ants along a 10 m wide strip, measuring tree sizes (trunk girth) and recording ant species and numbers. Most ant species show a negative relationship between distance from the tree and the number of workers, indicating that the farther from the tree, the less is the number of ants. In natural habitats, higher numbers of ants and greater distances to forage trees are observed compared with urban or semi-urban habitats. Quercus robur, Pinus sylvestris and Acer platanoides were the most visited trees with a total visit frequency of 0.86 of the total number of records. In urban habitats, Lasius niger and Lasius emarginatus controlled an average of one tree each, and Crematogaster subdentata controlled an average of 5.8 trees. In urban habitats (Kyiv and suburbs), more common were colonies of two ant species (L. niger, Formica cinerea). There was no significant correlation between the distance from the nest to the forage tree and the tree size. Ants show different dispersal strategies in different habitat types. In urban habitats, ants settle closer to forage trees and control fewer trees due to limited food resources.",ants,dispersal,urban habitats,tree size,strategies,"Goncharenko, Igor","Kozyr, Mykola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_206,"Lucci, Cosimo","Retrofitting pedestrian and cyclist collision warning for improved safety of heavy trucks employed in urban areas: a case study in Florence and Pistoia, Italy",,2024,0,"The increasing use of heavy vehicles for services such as public transport, waste collection and logistics in densely populated urban areas causes numerous collisions with serious consequences every year, particularly for pedestrians, cyclists and motorcyclists. Advanced Driver Assistance Systems (ADAS) have proven to be a solution because they can significantly reduce the occurrence and consequences of road crashes. Although many ADAS technologies will be mandatory on new trucks in 2024, it will take more than a decade before the benefits are realised due to the average fleet renewal time. To accelerate this process, the most promising solution is therefore the introduction of aftermarket ADAS (also referred to as 'retrofit' ADAS) on the circulating fleet. This study aims to identify a tailored solution for retrofitting ADAS capable of providing pedestrian collision warnings on heavy vehicle fleets currently circulating in urban areas. The study involves a sample of vehicles and drivers operating in the metropolitan areas of Florence and Pistoia for waste collection services. The company owner of the vehicles integrated a commercial camera-based ADAS system with three additional cameras installed on the frontal bumper and edges of the vehicle, linked with three screens positioned in the vehicle cabin. In this study, a field test campaign was performed integrating trials in a proving ground closed to traffic with testing and monitoring in urban areas. This allowed to define a set of recommended parameters depending on vehicle speed that represent a good balance between alert frequency, minimizing false positives and ensuring that the alerts indicate real potential hazards to the driver. The recommendations provided in this study can also be extended to other vehicle fleets so that rapid and substantial improvements in the safety of heavy vehicles operating in cities can be achieved.",,,,,,"Pierini, Marco","Savino, Giovanni",,,,,,,,,,"52ND CONFERENCE ON ENGINEERING MECHANICAL DESIGN AND STRESS ANALYSIS, AIAS 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_207,"Xu, Rongzheng","Constructing underground pedestrian networks: A model based on the source-sink theory and a case study of Xinjiekou in Nanjing City, China",TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,DEC 2024,0,"Underground pedestrian networks (UPNs), serving as a comprehensive approach for utilising urban underground spaces to address connectivity and spatial challenges, have undergone significant development in numerous major city centres. Well-designed UPNs are pivotal in developing compact cities, bolstering urban resilience, enhancing urban transportation systems, fostering urban renewal, and facilitating sustainable urban development. This study explores the construction methodology of UPNs by utilising the source-sink theory and relevant models. Using Xinjiekou District in Nanjing City as a case study, this study employs the minimum cumulative resistance model to simulate a UPN and conduct analysis of pedestrian flow clustering on the simulation results. The findings demonstrate that our proposed method effectively elucidates and predicts the connectivity of UPNs, enabling us to construct an optimal network with minimal cost. Moreover, the simulation network significantly enhances the optimisation of pedestrian flow distribution. Building upon these simulation results, the UPN in the study area is optimised by integrating real-world conditions and conducting degree centrality analysis. The findings are then utilised to propose policy recommendations for UPN layout planning in urban centres. This study serves as a valuable reference for underground space planning in the study area and provides insights for UPN construction in other urban centres.",Underground pedestrian networks,Construction,Source-sink theory,Simulation,,"Chen, Yulu","Chen, Zhilong","Guo, Dongjun","Zhao, Ziwei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_208,"Wang, Zheng",Exploration of Influencing Factors of Land Surface Temperature in Cities Within the Beijing-Tianjin-Hebei Region Based on Local Climate Zone Scheme,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2024,4,"Clarifying the factors that influence land surface temperature (LST) is crucial for proposing specific LST mitigation strategies. This article focuses on the Beijing-Tianjin-Hebei (BTH) region and investigates the LST influencing factors of various local climate zone (LCZ) built types from perspectives of urban morphology, land cover, and human activity. The results suggest that the areas of urban LCZ built types vary across cities within the BTH region, attributed to differences in city size and gross domestic product (GDP). The area of urban LCZ built types in Beijing and Tianjin, cities with significantly high city sizes and GDP, exceeds 2000 km(2). In contrast, in Qinhuangdao, Zhangjiakou, and Chengde, which have relatively low GDP, this area is less than 500 km(2). However, the main LST influencing factors for the same LCZ built type across cities are highly consistent. Building coverage ratio (BCR), average building height (ABH), and pervious surface fraction (PSF) are the three most important factors. The correlation between BCR and LST is mainly concentrated on compact high-rise and open high-rise types, with Pearson correlation coefficient (r) ranging from 0.2 to 0.44; the correlation between ABH and LST is mainly concentrated on compact high-rise, compact mid-rise, open high-rise, and open mid-rise types, with r ranging from -0.2 to -0.52; the correlation between PSF and LST is concentrated on almost all LCZ built types in cities within the BTH region, with r ranging from -0.2 to -0.56. By integrating these findings with the features of each LCZ built type within the BTH region, the specific LST mitigation strategies were further proposed. This article can help to develop specific LST mitigation strategies within the context of coordinated development of the BTH region, thereby promoting healthy and sustainable development in the region.",Urban areas,Land surface temperature,Land surface,Temperature,Morphology,"Peng, Yifei","Li, Youfang","Zhou, Xilin","Xie, Yuquan",,Meteorology,Surface morphology,Human activity,land cover,land surface temperature (LST),,,,,,,,,local climate zone (LCZ),remote sensing,the Beijing-Tianjin-Hebei (BTH) region,urban morphology,,,,,,,,,,,,,,,,,,,,,,,,
Row_209,"Luan, Bo","Exploring Nature-based Solutions on Refined Waterbird Habitats Restoration in High-density Urban Area: A Case Study of the Futian Mangrove National Important Wetland in Shenzhen, China",LANDSCAPE ARCHITECTURE FRONTIERS,JUN 2024,0,"As a highly urbanized bay area bustling with socio-economic activities, Shenzhen Bay is a pivotal stopover and wintering habitat for migratory birds along the East Asian-Australasian Flyway. The Futian Mangrove National Important Wetland, located in the northeast of Shenzhen bay, is a part of the Guangdong Neilingding-Futian National Nature Reserve. As the smallest national nature reserve in China, the wintering habitat of migratory birds has been significantly impacted by the compacted surrounding built-up environment. It has become an urgent need for refined high-quality ecological restoration for the habitats. This project leveraged Nature-based Solutions to develop a refined model for the ecological restoration of coastal wetland waterbird habitats in compact urban areas. By analyzing waterbird behaviors and habitat requirements, this model outlined six strategies: water surface expansion, water level control, hydrodynamic conditions improvement, shoal transformation, adaptive vegetation management, and disturbance control. To effectively guide the restoration implementation, high-, medium-, and low-adaptive approaches were proposed accordingly. After restoration in 2022, notable increases in target species, such as Platalea minor, were observed. The variety of waterbirds of the reserve in 2022 increased by 33% compared with 2021, while increased by 50.9% compared with 2016, significantly enhancing ecosystem services of the coastal area. As urban renewal in China is shifting towards spatial redevelopment, this model offers valuable insights for ecological restoration aiming at coastal wetland waterbird conservation across the country, and substantially supports establishing the ""International Mangrove Center"" in Shenzhen.",Nature-based Solutions,Coastal Wetland,Ecological Restoration,Waterbird Habitat,Biodiversity,"Liu, Yue","Che, Di","Zhou, Wenjun","Hu, Liuliu","Lin, Yuan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_210,"Rearick, Charles",Light and Shadow in Modernizing Paris,JOURNAL OF URBAN HISTORY,DEC 2024,0,,urban renewal,modernization,capital/capitals,immigration,popular classes,,,,,,the imaginary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_211,"Liu, Yi",Comprehensive street built environmental recognizabililty evaluation by integrating visual and spatial structural data,JOURNAL OF URBAN MANAGEMENT,DEC 2024,0,"Evaluating the recognizability of street built environments provides crucial support for urban planning, security monitoring and navigation. Although street view images (SVIs) are widely used in urban studies, it overlooks the interconnection among different locations, which can also affect perceptions about environmental recognizability. To address this issue, this study proposes a deep learning-based model called RB-Node, which comprehensively integrates spatial structural features in a road network view and visual features from SVIs, achieving 82.56% accuracy. It appears that image information from visual features dominates environmental recognizability. Additionally, structural information contributes significantly to the accurate classification of nodes and waterfront promenade areas. Moreover, scene-text information, a subset of visual features, helps classify commercial and historical areas. Furthermore, 1056 samples were collected through an eye-tracking experiment to validate the recognizability evaluation results, as well as compare the decision-making process between humans and RB-Node. According to the results, RB-Node behaviour and human observed behavior follow similar patterns, although human perceptions tend to be more holistic than RB-Node's. This study contributes to a better understanding of environmental recognizability and provides targeted recommendations for urban renewal.",Environmental recognizability evaluation,Multi-source data,Street view image,Road network,Deep learning,"Yang, Yang","Dong, Qi",,,,Street built environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_212,"Ghaziani, Amin",Renewal without replication: Expanding Durkheim's theory of disruptions via queer nightlife,BRITISH JOURNAL OF SOCIOLOGY,DEC 2024,0,"Gay bars are closing in large numbers around the world, but institutional loss provides only a partial narrative for evaluating the larger field of nightlife. Drawing on 112 interviews, we argue that bar closures disrupted the field and consequently encouraged the visibility of alternate nightlife forms, called club nights. Unlike the fixed and emplaced model of bars, club nights are episodic and event-based occasions that are renewing nightlife without replicating the format of the gay bar. By detailing the phenomenology of club nights, we develop a new Durkheimian theory of disruptions that explains how and why some members of a community are motivated to renew rather than replicate existing institutional structures. We bring our framework to organization, sexuality, and nightlife studies-subfields that seldom engage with Durkheim-while subjecting a foundational social theory to an empirical case that can push it forward in important ways.",disruptive events,Durkheim,gay bars,idiopolitics,nightlife,"Abrutyn, Seth",,,,,organizational change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_213,"Gu, Tiantian",Classifying and Quantifying Resident Engagement in the Sponge-Style Old Community Renewal of China: An Analysis Using the Analytic Network Process-Preference Ranking Organization Method for Enrichment Evaluations II Method,BUILDINGS,DEC 2024,0,"Resident engagement is highlighted as a crucial aspect that directly impacts the residents' well-being of life in the process of sponge-style old community renewal (SOCR). However, there is a lack of in-depth study on exploring the classification of resident engagement clusters in the SOCR and developing a comprehensive evaluation system to measure this engagement. Therefore, this paper categorizes resident engagement into distinct clusters and develops an evaluation method for quantifying resident engagement in the SOCR. First, this study identified seven types of engagement clusters in the SOCR drawing from educational psychology and Arnstein's citizen engagement ladder theory. Second, an evaluation indicator system with 5 primary indicators and 21 secondary indicators was developed through a literature review and expert interviews. Third, a hybrid evaluation method combining the Analytic Network Process (ANP) and Preference Ranking Organization Method for Enrichment Evaluations II (PROMETHEE II) was established to effectively quantify resident engagement in the SOCR. Finally, 16 typical communities from five Chinese cities were selected as study areas to examine resident engagement in the SOCR. The results demonstrated that the full engagement cluster achieved the highest scores at the individual level, while the non-engagement cluster recorded the lowest scores. At the city level, Shanghai attained the highest overall engagement score, whereas Chizhou recorded the lowest. Several strategies were proposed to improve resident engagement in the SOCR. This study not only contributes to the body of knowledge on resident engagement in the SOCR but also provides guidance for fostering resident engagement in sponge city construction.",resident engagement,sponge city,old community,evaluation,,"Xie, Muhan","Hao, Enyang","Wang, Yongchao","Zhou, Shenghua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_214,"Fox, Jesse","Knowledge popularization in a technocratic-populist context, or how the Israeli state shaped media coverage of large-scale urban plans☆",POLITICAL GEOGRAPHY,NOV 2024,0,"In this study, we examine recent actions taken by the Israeli state to naturalize technocratic understandings of land-use plans through the mass media, and assess the implications of this for power-knowledge relations between the state, planners and citizens. Our research focuses on the years 2013-2018, when state planners and officials began working with PR agents to promulgate state-generated, pro-growth representations of plans through mainstream media outlets. We focus on coverage of three types of large-scale plans, all of which involve complex and varied knowledge contents: city master plans, new neighborhood plans, and urban renewal plans. Using critical discourse analysis and semi-structured interviews with key planners and journalists, we examined what kinds of knowledge and information about these plans were conveyed, and how. We found that a significant percentage (some 40%) of the articles published during this period were based directly on state- issued press releases, and exclusively conveyed state-sanctioned perspectives. We interpret this as an attempt by the state to highlight its own role in planning and housing, while taking advantage of journalists' lack of planning knowledge and pressure to publish in order to construct 'citizen-technocrats' whose knowledge mirrors that of state-affiliated actors. We situate these findings within the emerging academic discourse on ""technocratic populism,"" a form of governance in which populist regimes communicate technocratic knowledge directly to citizens, and show how mis/disinformation tactics usually associated with populist discourse now appear in planning communications in Israel. This practice, we argue, has served to entrench a shift toward a centralized form of neoliberalism, while promoting illiberal conceptions of state-citizen relations in the planning context.",,,,,,"Margalit, Talia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_215,"Huang, Yongbin",The premium of the old neighborhood upgrading projects in China: evidence from Hefei,JOURNAL OF HOUSING AND THE BUILT ENVIRONMENT,OCT 2024,0,"Numerous studies have investigated the impact of larger-scale urban demolitions or reconstructions on housing markets, yet few researches on the housing premium of small scale state-led urban renovation. One such policy is the old neighborhood upgrading projects, which aim to enhance neighborhood services without involving house ownership change, building demolition, or resident resettlement. Taking these projects as quasi-natural experiments, we employ a staggered Difference-in-Differences (DID) method to examine its' premium effects in Hefei, China. Our findings reveal that surrounding neighborhoods within a 500-meter radius of the upgrading areas experienced a significant increase in prices by 6.01% compared to neighborhoods located beyond this range. Moreover, the premium effect demonstrates temporal-spatial dynamics, showing that the premium effect diminishes as time passes or distance increases. The mechanism analysis shows the old neighborhood upgrading projects revitalize community vitality, thereby increasing housing prices of surrounding neighborhoods.",Old neighborhood upgrading projects,Urban renovation,Housing premium,China,,"Hong, Hai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_216,"Albalate, Daniel",Have low emission zones slowed urban traffic recovery after Covid-19?,INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION,JUL 15 2024,0,"This paper bridges the gap between the literature on the pandemic's effects on mobility and the literature on the impact of low emission zones (LEZ). Using data for large European cities in the period 2018-2021, we examine whether LEZs may explain differences in the recovery patterns of traffic in European cities after the shock of Covid. Controlling for several city attributes, we examine whether LEZ cities are less congested before and after the pandemic in comparison to non-LEZ cities. LEZs may have been more effective in reducing congestion after the pandemic because the fleet renewal process has slowed down or, alternatively, LEZs may be a proxy of unobservable factors related with attitudes of governments and citizens toward a sustainable mobility. Our results validate the traffic-mitigating role of the LEZ after the Covid-19 pandemic, although such result only holds for the pioneering LEZ cities. Hence, the traffic-mitigating role of the LEZ after the Covid-19 pandemic seems to be related to unobservable attributes that influenced the early decision to implement a LEZ. In this regard, we also find that LEZs may have induced a change in local attributes related to sustainable mobility given that we do not find differences between LEZs decided at the local or regional level.",cities,congestion,low emission zones,sustainability,traffic,"Fageda, Xavier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_217,"Liu, Lingyu",Evaluation framework for multi-scale ecological infrastructure construction benefits based on nature-based solutions: A case study of Guangdong-Hong Kong-Macao Greater Bay Area,ECOLOGICAL INDICATORS,JAN 2024,2,"Spatially, ecological infrastructure (EI) is a multi -scale and cross -level ecological network promoting sustainable urban development. Due to the distinct features of different scales, researchers have emphasized the importance of the multi -scale EI construction, which calls for support from a framework for scientific evaluation. Thus, based on the nature -based solutions (NbS) criteria, this study proposes a multi -scale EI construction benefits (MECBsNbS) evaluation framework with scale differences and chooses the Guangdong -Hong Kong -Macao Greater Bay Area (GBA) as a case study. The results show that: (1) the MECBs-NbS evaluation framework is fairly applicable; (2) in 2020, the ecological benefits of EI construction for building ecological security patterns at the macro -scale (GBA urban agglomeration) by around 203.63 billion RMB; for improving human -nature harmony, the ecological, physical, and social benefits of EI construction at the meso-scale (Huizhou city) were about 358.50 billion RMB; while the EI construction benefit of completing engineering tasks at micro -scale (site) was about 34.85 million RMB; (3) overall, with the built-up area as the center, as scale decreased, the EI construction benefits gradually changed from being dominated by ecological benefits to being dominated by social benefits; (4) by supporting the status quo analysis before construction and the benefit assessment following construction, this evaluation framework may not only support the planning, design and management of EI, but also serve as a crucial tool to encourage public participation and evaluate the performance of government work. This study aims to provide a new perspective on the multi -scale evaluation of EI construction that will support and improve urban resilience.",Ecological infrastructure,Multi-scale benefits evaluation,Guangdong-Hong Kong-Macao Greater Bay,Area,Ecosystem services,"Shi, Longyu","Yang, Meng","Yang, Fengmei","Lan, Ting",,Nature-based solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_218,"Shi, Xiaojun",Decomposition of social networks and household purchase of insurance as knowledge products,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,APR 2024,2,"This paper proposes a nested model of household social networks and re-examines how social networks affect household insurance consumption by decomposing inner and outer networks in tandem. Using the 2013 and 2015 waves of China Household Finance Survey (CHFS), we find that the inner networks substitute and the outer networks supplement insurance consumption. Our results help reconcile the inconsistency of the evidence on how social networks affect household insurance demand in the literature. Both the inner and outer networks contribute to the urban-rural gap of household insurance ownership. Mechanism analysis indicates that the inner networks affect household insurance purchase through risk -sharing and the outer networks through information dissemination and learning. Outer networks are of value to screen insurance companies by word-of-mouth. Surprisingly, insurance renewal analysis suggests that inner kinship networks have no persistent impeding effects, while the mutable outer networks persistently complement household insurance consumption. Households with male heads acquire stronger risk -sharing of inner networks than female heads.",Social networks,Insurance demand,Risk-sharing,Knowledge spillover,Urban-rural divide,"Du, Baorui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_219,"Lu, Yang",Kengo Kuma's renovation of Gaudí's Casa Batlló: A non-western designerly approach to addressing built heritage,DESIGN JOURNAL,NOV 1 2024,0,"This paper emerges from a wider doctoral thesis on the influence and relationships between Antoni Gaud & iacute;'s buildings and current Chinese architecture. In light of understanding the connections between Eastern and Western designerly approaches to built heritage, we studied the specific case of the renovation of Casa Batll & oacute; in Barcelona by the Japanese architect Kengo Kuma. Starting from the general framework of built heritage renovation and transformation techniques and styles, we analysed the approach of this case as a replicable mindset and toolkit for addressing urban and architectural renewal. Kengo Kuma's dissolution of materiality is key to his design approach This methodological case study delves into the potential of a complementary vision of the world where Eastern and Western design approaches retrofit each other. The research results are related to current global urban renewal, historic building protection, and renewal needs from a global design perspective.",Designerly approach,Japanese architecture,built heritage,non-western approach,heritage renovation,"Sadaba, Juan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_220,"Bertoncello, Brigitte","Smartseille, a pioneering operation in the extension of Euromediterranee, Marseille: behind innovation, experimentation to change ways of making the city",TERRITOIRE EN MOUVEMENT,2024,0,"This article analyzes how to create a city based on Smartseille, a real estate operation that is not attached to existing buildings and the first stone in the extension of Euromediterranee in Marseille, in a context of large wastelands, in an impoverished neighborhood that is under-equipped. Labelled as an industrial demonstrator for the sustainable city, it is based on a requirement for innovation which the actors have seized as an opportunity for experimentation and the right to make mistakes. This project has become an ""already there"" in terms of new construction, and has notably contributed to the reference framework currently being developed by Euromediterranee. Far from the initial idea of a model, its reproducibility moves away from copying and pasting and is built as much on the success of certain innovations as on what did not work. Smartseille is the result of an opportunity urbanism that combines the intentions of a promoter and a developer with the availability of land, and is slow to become part of the city. Behind the concepts, tools and constraints with which the actors deal, the analysis of this operation on which the rest of the project will be based questions the limits of the modes of production and what makes it possible to make a city.",Smartseille,urban factory,urban renewal,demonstrator,innovation,"Hagel, Zoe",,,,,reference framework,Euromediterranee,Marseilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_221,"Zheng, XR",Exploring stakeholder engagement in urban village renovation projects through a mixed-method approach to social network analysis: a case study of Tianjin,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,JAN 2 2024,3,"The stakeholder relationship network in urban village renovation projects is highly complex, exhibiting dynamic changes at different stages. Therefore, exploring the characteristics of the interaction networks among stakeholders at each stage and the changes in their role positioning is crucial for achieving collaborative governance involving multiple stakeholders. By employing a mixed research methodology comprising single-case analysis and social network analysis, this study aimed to explore stakeholder networks' characteristics and evolution patterns at each stage of the renovation project. Moreover, it seeks to identify breakthroughs for collaborative governance. The research revealed that the main constraints to stakeholder collaboration in urban village renovation projects are low public participation in the early preparation stage, weak network situation of stakeholders during the demolition and resettlement compensation stage, and significant clique fragmentation during the development and construction implementation stages. This study recommended approaches such as transforming the development model, establishing public status, leveraging the resource-driving advantages of core stakeholders, and establishing a network-sharing platform. Through these means, various stakeholders could be guided to be effectively involved in the entire project construction process, leading to deep cooperation among multiple stakeholders.",,,,,,"Sun, CL","Liu, JJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_222,"Ramel-Delobel, Marie",Exposure to airborne particulate matter during commuting using portable sensors: Effects of transport modes in a French metropolis study case,JOURNAL OF ENVIRONMENTAL MANAGEMENT,AUG 2024,3,"Outdoor exposure to particulate matter (PM2.5 and PM10) in urban areas can vary considerably depending on the mode of transport. This study aims to quantify this difference in exposure during daily travel, by carrying out a micro-sensor measurement campaign. The pollutant exposure was assessed simultaneously over predefined routes in order to allow comparison between different transport modes having the same starting and ending points. During the six-week measurement campaign, the average reference values for PM background concentrations were 13.72 and 17 . 92 mu g/m(3) for the PM2.5 and PM10 , respectively. The results revealed that the mode with the highest exposure to PM2.5 adjusted to background concentration (PM2.5 Norm) was the bus (1.65) followed by metro (1.51), walking (1.33), tramway (1.31), car (1.09) and finally the bike (1.06). For PM10 Norm, the tramway had the highest exposure (1.86), followed by walking (1.68), metro (1.65), bus (1.61), bike (1.43) and finally the car (1.39). The level of urbanization around the route and the presence of preferential lanes for public transportation influenced the concentration to which commuters were exposed. For the active modes (bike and walking), we observed frequent variations in concentrations during the trip, characterized by punctual peaks in concentration, depending on the local characteristics of road traffic and urban morphology. Fluctuations in particulate matter inside public transport vehicles were partly explained by the opening and closing of doors during stops, as well as the passenger flows, influencing the re-suspension of particles. The car was one of the least exposed modes overall, with the lowest concentration variability, although these concentrations can vary greatly depending on the ventilation parameters used. These results encourage measures to move the most exposed users away from road traffic, by developing a network of lanes entirely dedicated to cycling and walking, particularly in densely populated areas, as well as encouraging the renewal of motorized vehicles to use less polluting fuels with efficient ventilation systems.",Air pollution,Low-cost sensor,Particulate matter,Commuter exposure,Transport mode,"Peruzzi, Cosimo","Coudon, Thomas","De Vito, Saverio","Fattoruso, Grazia","Praud, Delphine",Urban air quality,,,,,"Fervers, Beatrice",,"Salizzoni, Pietro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
