,author1,author2,author3,author4,author5,author6,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,conference,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,author7,author8,keyword12,keyword13,keyword14,author9,author10,author11,author12
Row_1593,"Saputra, Muhamad Risqi U.","Bhaswara, Irfan Dwiki","Nasution, Bahrul Ilmi","Ern, Michelle Ang Li","Husna, Nur Laily Romadhotul","Witra, Tahjudil",Multi-modal deep learning approaches to semantic segmentation of mining footprints with multispectral satellite imagery,REMOTE SENSING OF ENVIRONMENT,MAR 1 2025,0,"Existing remote sensing applications in mining are often of limited scope, typically mapping multiple mining land covers for a single mine or only mapping mining extents or a single feature (e.g., tailings dam) for multiple mines across a region. Many of these works have a narrow focus on specific mine land covers rather than encompassing the variety of mining and non-mining land use in a mine site. This study presents a pioneering effort in performing deep learning-based semantic segmentation of 37 mining locations worldwide, representing a range of commodities from gold to coal, using multispectral satellite imagery, to automate mapping of mining and non-mining land covers. Due to the absence of a dedicated training dataset, we crafted a customized multispectral dataset for training and testing deep learning models, leveraging and refining existing datasets in terms of boundaries, shapes, and class labels. We trained and tested multimodal semantic segmentation models, particularly based on U-Net, DeepLabV3+, Feature Pyramid Network (FPN), SegFormer, and IBM-NASA foundational geospatial model (Prithvi) architecture, with a focus on evaluating different model configurations, input band combinations, and the effectiveness of transfer learning. In terms of multimodality, we utilized various image bands, including Red, Green, Blue, and Near Infra-Red (NIR) and Normalized Difference Vegetation Index (NDVI), to determine which combination of inputs yields the most accurate segmentation. Results indicated that among different configurations, FPN with DenseNet-121 backbone, pre-trained on ImageNet, and trained using both RGB and NIR bands, performs the best. We concluded the study with a comprehensive assessment of the model's performance based on climate classification categories and diverse mining commodities. We believe that this work lays a robust foundation for further analysis of the complex relationship between mining projects, communities, and the environment.",Semantic segmentation,Global mining footprints,Multispectral,Deep learning,,,,,,,,,"Feliren, Vicky","Owen, John R.",,,,"Kemp, Deanna","Lechner, Alex M.",,
Row_1594,"Chong, Yanwen","Nie, Congchong","Tao, Yulong","Chen, Xiaoshu","Pan, Shaoming",,HCNet: Hierarchical Context Network for Semantic Segmentation,IEEE ACCESS,2020,1,"Global context information is vital in visual understanding problems, especially in pixel-level semantic segmentation. The mainstream methods adopt the self-attention mechanism to model global context information. However, pixels belonging to different classes usually have weak feature correlation. Modeling the global pixel-level correlation matrix indiscriminately is extremely redundant in the self-attention mechanism. In order to solve the above problem, we propose a hierarchical context network to differentially model homogeneous pixels with strong correlations and heterogeneous pixels with weak correlations. Specifically, we first propose a multi-scale guided pre-segmentation module to divide the entire feature map into different classed-based homogeneous regions. Within each homogeneous region, we design the pixel context module to capture pixel-level correlations. Subsequently, different from the self-attention mechanism that still models weak heterogeneous correlations in a dense pixel-level manner, the region context module is proposed to model sparse region-level dependencies using a unified representation of each region. Through aggregating fine-grained pixel context features and coarse-grained region context features, our proposed network can not only hierarchically model global context information but also harvest multi-granularity representations to more robustly identify multi-scale objects. We evaluate our approach on Cityscapes and the ISPRS Vaihingen dataset. Without Bells or Whistles, our approach realizes a mean IoU of 82.8% and overall accuracy of 91.4% on Cityscapes and ISPRS Vaihingen test set, achieving state-of-the-art results.",Correlation,Semantics,Feature extraction,Context modeling,,Convolution,Image segmentation,Computational modeling,Semantic segmentation,self-attention,global context,pixel context,,,region context,,,,,,
Row_1595,"Liu, Lili","Gao, Zhan","Luo, Pingping","Duan, Weili","Hu, Maochuan","Zainol, Mohd Remy Rozainy Mohd Arif",The Influence of Visual Landscapes on Road Traffic Safety: An Assessment Using Remote Sensing and Deep Learning,REMOTE SENSING,SEP 2023,10,"Rapid global economic development, population growth, and increased motorization have resulted in significant issues in urban traffic safety. This study explores the intrinsic connections between road environments and driving safety by integrating multiple visual landscape elements. High-resolution remote sensing and street-view images were used as primary data sources to obtain the visual landscape features of an urban expressway. Deep learning semantic segmentation was employed to calculate visual landscape features, and a trend surface fitting model of road landscape features and driver fatigue was established based on experimental data from 30 drivers who completed driving tasks in random order. There were significant spatial variations in the visual landscape of the expressway from the city center to the urban periphery. Heart rate values fluctuated within a range of 0.2% with every 10% change in driving speed and landscape complexity. Specifically, as landscape complexity changed between 5.28 and 8.30, the heart rate fluctuated between 91 and 96. This suggests that a higher degree of landscape richness effectively mitigates increases in driver fatigue and exerts a positive impact on traffic safety. This study provides a reference for quantitative assessment research that combines urban road landscape features and traffic safety using multiple data sources. It may guide the implementation of traffic safety measures during road planning and construction.",deep learning,semantic segmentation,traffic safety,driving performance,,remote sensing,street view image,visual landscape elements,,,,,"Zawawi, Mohd Hafiz",,,,,,,,
Row_1596,"Lv, Suna","Meng, Lingsheng","Edwing, Deanna","Xue, Sihan","Geng, Xupu","Yan, Xiao-Hai",High-Performance Segmentation for Flood Mapping of HISEA-1 SAR Remote Sensing Images,REMOTE SENSING,NOV 2022,19,"Floods are the among the most frequent and common natural disasters, causing numerous casualties and extensive property losses worldwide every year. Since flooding areas are often accompanied by cloudy and rainy weather, synthetic aperture radar (SAR) is one of the most powerful sensors for flood monitoring with capabilities of day-and-night and all-weather imaging. However, SAR images are prone to high speckle noise, shadows, and distortions, which affect the accuracy of water body segmentation. To address this issue, we propose a novel Modified DeepLabv3+ model based on the powerful extraction ability of convolutional neural networks for flood mapping from HISEA-1 SAR remote sensing images. Specifically, a lightweight encoder MobileNetv2 is used to improve floodwater detection efficiency, small jagged arrangement atrous convolutions are employed to capture features at small scales and improve pixel utilization, and more upsampling layers are utilized to refine the segmented boundaries of water bodies. The Modified DeepLabv3+ model is then used to analyze two severe flooding events in China and the United States. Results show that Modified DeepLabv3+ outperforms competing semantic segmentation models (SegNet, U-Net, and DeepLabv3+) with respect to the accuracy and efficiency of floodwater extraction. The modified model training resulted in average accuracy, F1, and mIoU scores of 95.74%, 89.31%, and 87.79%, respectively. Further analysis also revealed that Modified DeepLabv3+ is able to accurately distinguish water feature shape and boundary, despite complicated background conditions, while also retaining the highest efficiency by covering 1140 km(2) in 5 min. These results demonstrate that this model is a valuable tool for flood monitoring and emergency management.",flood mapping,water extraction,HISEA-1,synthetic aperture radar (SAR),,convolution neural network (CNN),,,,,,,,,,,,,,,
Row_1597,"Wang, Sheng","Huang, Xiaohui","Han, Wei","Zhang, Xiaohan","Li, Jun",,Geological remote sensing interpretation via a local-to-global sensitive feature fusion network,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,DEC 2024,0,"Interpreting surface geological elements (such as rocks, minerals, soils, and water bodies) is the main task of geological survey, which plays a crucial role in geological environment remote sensing (GERS). However, the characteristics of geological elements, including high variabilities, various morphology, complicated boundaries and imbalanced class distribution, make it still a challenge for deep learning methods to interpret GERS images. Considering the correlations of geological elements as the regionalized variables in geostatistics, the sensitive features of GERS interpretation mainly include three aspects: tonal, textural and structural characteristics within a singular-class elements, spatial and spectral correlations of adjacent elements, and their global tectonic or spatial distribution. Thus, to simulate the manual interpretation process of geologists from local to global and promote GERS interpretation performance, we propose a local-to-global multi-scale feature fusion network (LGMSFNet). A geological object context represents the intra-class semantic dependencies of pixel sets with the same class. And a local feature aggregation module models the channel and spatial association. Then discriminative features are integrated by a global feature fusion module. For the model optimization, we focus on hard examples during the training process to achieve the balanced optimization of various categories. Two research areas that include large-scale rocks, soils and water exposed on the surface are selected. Massive experiments demonstrate the superiority of the LGMSFNet in GERS interpretation.",Geological environment remote sensing,Deep learning,Semantic segmentation,,,,,,,,,,,,,,,,,,
Row_1598,"Liu, Xinni","Han, Fengrong","Ghazali, Kamarul Hawari","Mohamed, Izzeldin Ibrahim","Zhao, Yue",,A review of Convolutional Neural Networks in Remote Sensing Image,,2019,15,"Effectively analysis of remote-sensing images is very important in many practical applications, such as urban planning, geospatial object detection, military monitoring, vegetation mapping and precision agriculture. Recently, convolutional neural network based deep learning algorithm has achieved a series of breakthrough research results in the fields of objective detection, image semantic segmentation and image classification, etc. Their powerful feature learning capabilities have attracted more attention and have important research value. In this article, firstly we have summarized the basic structure and several classical convolutional neural network architectures. Secondly, the recent research problems on convolutional neural network are discussed. Later, we summarized the latest research results in convolutional neural network based remote sensing fields. Finally, the conclusion has made on the basis of current issue on convolutional neural networks and the future development direction.",Convolutional neural network,deep learning,remote-sensing images,,2019 8TH INTERNATIONAL CONFERENCE ON SOFTWARE AND COMPUTER APPLICATIONS (ICSCA 2019),,,,,,,,,,,,,,,,
Row_1599,"Rashidan, Hanis","Musliman, Ivin Amri","Rahman, Alias Abdul","Coors, Volker","Buyuksalih, Gurcan",,Semantic Segmentation of Building Models with Deep Learning in CityGML,,2024,0,"Semantic segmentation of 3D urban environments plays an important role in urban planning, management, and analysis. This paper presents an exploration of leveraging BuildingGNN, a deep learning framework for semantic segmentation of 3D building models, and the subsequent conversion of semantic labels into CityGML, the standardized format for 3D city models. The study begins with a methodology outlining the acquisition of a labelled dataset from BuildingNet and the necessary preprocessing steps for compatibility with BuildingGNN's architecture. The training process involves deep learning techniques tailored for 3D building structures, yielding insights into model performance metrics such as Intersection over Union (IoU) for several architectural components. Evaluation of the trained model highlights its accuracy and reliability, albeit with challenges observed, particularly in segmenting certain classes like doors. Moreover, the conversion of semantic labels into CityGML format is discussed, emphasizing the importance of data quality and meticulous annotation practices. The experiment as described in the methodology shows that outputs from the BuildingGNN for semantic segmentation can be utilized for the generation of CityGML building elements with some percentage of success. This particular work reveals several challenges such as the identification of individual architectural elements based on geometry groups. We believe that the improvement of the segmentation process could be further investigated in our near future work.",3D Buildings Models,Semantic Segmentation,CityGML,,"19TH 3D GEOINFO CONFERENCE 2024, VOL. 48-4",,,,,,,,,,,,,,,,
Row_1600,"He, Kang","Zhang, Zhijun","Dong, Yusen","Cai, Depan","Lu, Yue","Han, Wei",Improving Geological Remote Sensing Interpretation Via a Contextually Enhanced Multiscale Feature Fusion Network,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2024,0,"Geological remote sensing interpretation plays a pivotal role in the field of regional geological mapping, encompassing the analysis of rock, soil, and water features. However, these geological elements can be obscured by the surrounding geographical environment and can undergo modifications caused by geological activities. The former hinders the effectiveness of satellite remote sensing data, resulting in the invisibility of element features, while the latter leads to the complex distribution of element features and significant spatial variations of geological elements. Consequently, existing deep learning-based models for interpreting geological elements often exhibit limited accuracy. To address these issues, this study proposes the contextually enhanced multiscale feature fusion network for the efficient interpretation of geological elements. First, the context enhancement module is employed to extract abundant feature information and reinforce contextual features, aiming to capture essential features and strengthen their interconnections. Second, the multiscale feature fusion module incorporates the SimAM attention mechanism to adaptively learn features from different channels, emphasizing the feature information that contributes to interpretation results and maximizing the comprehensive and crucial feature information for each element. Extensive experiments demonstrate the superior performance of both the context enhancement module and the multiscale feature fusion module compared to several representative deep learning networks in terms of overall interpretation accuracy on two datasets. The model demonstrated improvements in oPA and mIoU of 2.4% and 2.8%, respectively, on the Landsat 8 dataset, and 3.5% and 3.2%, respectively, on the Sentinel-2 dataset.",Deep learning,feature fusion,geological remote sensing,semantic segmentation,,,,,,,,,,,,,,,,,
Row_1601,"Zhang, XM","Yokoya, N","Bruzzone, L",,,,Local-to-Global Cross-Modal Attention-Aware Fusion for HSI-X Semantic Segmentation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,0,"Hyperspectral image (HSI) classification has recently reached its performance bottleneck. Multimodal data fusion is emerging as a promising approach to overcome this bottleneck by providing rich complementary information from the supplementary modality (X-modality). However, achieving comprehensive cross-modal interaction and fusion that can be generalized across different sensing modalities is challenging due to the disparity in imaging sensors, resolution, and content of different modalities. In this study, we propose a local-to-global cross-modal attention-aware fusion (LoGoCAF) framework for HSI-X segmentation. LoGoCAF adopts a two-branch semantic segmentation architecture to learn information from HSI and X modalities. The pipeline of LoGoCAF consists of a local-to-global encoder and a lightweight all multilayer perceptron (ALL-MLP) decoder. In the encoder, convolutions are used to encode local and high-resolution fine details in shallow layers, while transformers are used to integrate global and low-resolution coarse features in deeper layers. The ALL-MLP decoder aggregates information from the encoder for feature fusion and prediction. In particular, two cross-modality modules, the feature enhancement module (FEM) and the feature interaction and fusion module (FIFM), are introduced in each encoder stage. The FEM is used to enhance complementary information by combining information from the other modality across direction-aware, position-sensitive, and channel-wise dimensions. With the enhanced features, the FIFM is designed to promote cross-modality information interaction and fusion for the final semantic prediction. Extensive experiments demonstrate that our LoGoCAF achieves superior performance and generalizes well on various multimodal datasets. Code is available at https://github.com/xumzhang.",,,,,,,,,,,,,,,,,,,,,
Row_1602,"Chen, Kaiqiang","Weinmann, Michael","Sun, Xian","Yan, Menglong","Hinz, Stefan","Jutzi, Boris",SEMANTIC SEGMENTATION OF AERIAL IMAGERY VIA MULTI-SCALE SHUFFLING CONVOLUTIONAL NEURAL NETWORKS WITH DEEP SUPERVISION,,2018,10,"In this paper, we address the semantic segmentation of aerial imagery based on the use of multi-modal data given in the form of true orthophotos and the corresponding Digital Surface Models (DSMs). We present the Deeply-supervised Shuffling Convolutional Neural Network (DSCNN) representing a multi-scale extension of the Shuffling Convolutional Neural Network (SCNN) with deep supervision. Thereby, we take the advantage of the SCNN involving the shuffling operator to effectively upsample feature maps and then fuse multiscale features derived from the intermediate layers of the SCNN, which results in the Multi-scale Shuffling Convolutional Neural Network (MSCNN). Based on the MSCNN, we derive the DSCNN by introducing additional losses into the intermediate layers of the MSCNN. In addition, we investigate the impact of using different sets of hand-crafted radiometric and geometric features derived from the true orthophotos and the DSMs on the semantic segmentation task. For performance evaluation, we use a commonly used benchmark dataset. The achieved results reveal that both multi-scale fusion and deep supervision contribute to an improvement in performance. Furthermore, the use of a diversity of hand-crafted radiometric and geometric features as input for the DSCNN does not provide the best numerical results, but smoother and improved detections for several objects.",Semantic Segmentation,Aerial Imagery,Multi-Modal Data,Multi-Scale,ISPRS TC I MID-TERM SYMPOSIUM INNOVATIVE SENSING - FROM SENSORS TO METHODS AND APPLICATIONS,CNN,Deep Supervision,,,,,,"Weinmann, Martin",,,,,,,,
Row_1603,"Yi, Zhiyu","Wang, Yuebin","Zhang, Liqiang",,,,Revolutionizing Remote Sensing Image Analysis With BESSL-Net: A Boundary-Enhanced Semi-Supervised Learning Network,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2023,1,"Deep learning (DL) has become increasingly popular in remote sensing (RS) change detection (CD), leading to the development of massive networks that surpass traditional methods in accuracy and automation. However, the need for enormous amounts of annotated data remains a major concern, and accurate boundary segmentation in RS images is challenging due to their complexity and heterogeneity. Moreover, properly aggregating the bitemporal feature pairs and creating highly discriminative change features are crucial for detection performance. This article proposes a boundary-enhanced semi-supervised network (BESSL-Net) to tackle these issues for CD tasks. The network adopts dual encoders and one decoder architecture for segmentation and incorporates pseudolabeling, contrastive learning (CL), along with a teacher-student scheme to leverage unlabeled data. A boundary extraction module (BEM) is used to conduct boundary segmentation, while a change segmentation feature learning module (SFLM) is used to create discriminative change features in both channel and spatial domains by integrating multilevel features. Three publicly available CD datasets are used to validate the proposed BESSL-Net. Compared with the current state-of-the-art networks, the semi-supervised network demonstrates advanced performance metrics, especially regarding IoU metric of change-class (IoUc), showing improvements ranging from 1% to 9%.",Feature extraction,Task analysis,Semantic segmentation,Semantics,,Data mining,Reliability,Decoding,Boundary information,change detection (CD),change features' generation,remote sensing (RS),,,semi-supervised deep learning (DL),,,,,,
Row_1604,"Lyu, Xin","Jiang, Wenxuan","Li, Xin","Fang, Yiwei","Xu, Zhennan","Wang, Xinyuan",MSAFNet: Multiscale Successive Attention Fusion Network for Water Body Extraction of Remote Sensing Images,REMOTE SENSING,JUN 2023,8,"Water body extraction is a typical task in the semantic segmentation of remote sensing images (RSIs). Deep convolutional neural networks (DCNNs) outperform traditional methods in mining visual features; however, due to the inherent convolutional mechanism of the network, spatial details and abstract semantic representations at different levels are difficult to capture accurately at the same time, and then the extraction results decline to become suboptimal, especially on narrow areas and boundaries. To address the above-mentioned problem, a multiscale successive attention fusion network, named MSAFNet, is proposed to efficiently aggregate the multiscale features from two aspects. A successive attention fusion module (SAFM) is first devised to extract multiscale and fine-grained features of water bodies, while a joint attention module (JAM) is proposed to further mine salient semantic information by jointly modeling contextual dependencies. Furthermore, the multi-level features extracted by the above-mentioned modules are aggregated by a feature fusion module (FFM) so that the edges of water bodies are well mapped, directly improving the segmentation of various water bodies. Extensive experiments were conducted on the Qinghai-Tibet Plateau Lake (QTPL) and the Land-cOVEr Domain Adaptive semantic segmentation (LoveDA) datasets. Numerically, MSAFNet reached the highest accuracy on both QTPL and LoveDA datasets, including Kappa, MIoU, FWIoU, F1, and OA, outperforming several mainstream methods. Regarding the QTPL dataset, MSAFNet peaked at 99.14% and 98.97% in terms of F1 and OA. Although the LoveDA dataset is more challenging, MSAFNet retained the best performance, with F1 and OA being 97.69% and 95.87%. Additionally, visual inspections exhibited consistency with numerical evaluations.",water body extraction,remote sensing images,convolutional neural network,attention mechanism,,successive attention fusion module,,,,,,,,,,,,,,,
Row_1605,"Fan, Xiangsuo","Yan, Chuan","Fan, Jinlong","Wang, Nayi",,,Improved U-Net Remote Sensing Classification Algorithm Fusing Attention and Multiscale Features,REMOTE SENSING,AUG 2022,21,"The selection and representation of classification features in remote sensing image play crucial roles in image classification accuracy. To effectively improve the features classification accuracy, an improved U-Net remote sensing classification algorithm fusing attention and multiscale features is proposed in this paper, called spatial attention-atrous spatial pyramid pooling U-Net (SA-UNet). This framework connects atrous spatial pyramid pooling (ASPP) with the convolutional units of the encoder of the original U-Net in the form of residuals. The ASPP module expands the receptive field, integrates multiscale features in the network, and enhances the ability to express shallow features. Through the fusion residual module, shallow and deep features are deeply fused, and the characteristics of shallow and deep features are further used. The spatial attention mechanism is used to combine spatial with semantic information so that the decoder can recover more spatial information. In this study, the crop distribution in central Guangxi province was analyzed, and experiments were conducted based on Landsat 8 multispectral remote sensing images. The experimental results showed that the improved algorithm increases the classification accuracy, with the accuracy increasing from 93.33% to 96.25%, The segmentation accuracy of sugarcane, rice, and other land increased from 96.42%, 63.37%, and 88.43% to 98.01%, 83.21%, and 95.71%, respectively. The agricultural planting area results obtained by the proposed algorithm can be used as input data for regional ecological models, which is conducive to the development of accurate and real-time crop growth change models.",multiscale features,U-Net,attention,remote sensing image classification,,,,,,,,,,,,,,,,,
Row_1606,"Hu, Leiyi","Lu, Wanxuan","Yu, Hongfeng","Yin, Dongshuo","Sun, Xian","Fu, Kun",TEA: A Training-Efficient Adapting Framework for Tuning Foundation Models in Remote Sensing,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,0,"With well-pretrained foundation models (FMs), the performance of almost every remote sensing interpretation task has been boosted. The parameter volume of FMs increases with their continuously enhanced capabilities, leading to increased costs of fine-tuning. To apply FMs more effectively and efficiently, there are already some arts that introduce the parameter-efficient fine-tuning (PEFT) concept into remote sensing and achieve competitive performance with much lower parameter cost. However, the training efficiency of most PEFT frameworks may be not satisfactory. To make tuning FMs for remote sensing applications more efficient, we propose a training-efficient adapting (TEA) framework. Specifically, we attach a SIDE adapter network (SIDEAN) to the frozen powerful FMs and only update the SIDEAN to perform the downstream tasks. Moreover, to make TEA perceive remote sensing scenes from a macroscopic perspective and boost the performance, we propose a top-down guidance mechanism to inject macro scene information into the SIDEAN during adapting. TEA is also parameter-efficient, as SIDEAN is designed to be lightweight. We conduct extensive experiments to demonstrate the effectiveness and efficiency of TEA on ten widely adopted datasets covering four primary remote sensing tasks, e.g., object detection, orientated object detection, semantic segmentation, and scene classification. By training only 5.43% of the frozen FM parameters, TEA can save more than 57% of training memory footprint and up to 15% of time cost on average while achieving competitive performance on all datasets. Furthermore, TEA can surpass full fine-tuning on several datasets.",Foundation model (FM),parameter-efficient fine-tuning (PEFT),remote sensing,remote sensing,,remote sensing,,,,,,,,,,,,,,,
Row_1607,"Li, Yansheng","Li, Xinwei","Chen, Wei","Zhang, Yongjun",,,A disparity-aware Siamese network for building change detection in bi-temporal remote sensing images,PHOTOGRAMMETRIC RECORD,SEP 2024,1,"Building change detection has various applications, such as urban management and disaster assessment. Along with the exponential growth of remote sensing data and computing power, an increasing number of deep-learning-based remote sensing building change detection methods have been proposed in recent years. Objectively, the overwhelming majority of existing methods can perfectly deal with the change detection of low-rise buildings. By contrast, high-rise buildings often present a large disparity in multitemporal high-resolution remote sensing images, which degrades the performance of existing methods dramatically. To alleviate this problem, we propose a disparity-aware Siamese network for detecting building changes in bi-temporal high-resolution remote sensing images. The proposed network utilises a cycle-alignment module to address the disparity problem at both the image and feature levels. A multi-task learning framework with joint semantic segmentation and change detection loss is used to train the entire deep network, including the cycle-alignment module in an end-to-end manner. Extensive experiments on three publicly open building change detection datasets demonstrate that our method achieves significant improvements on datasets with severe building disparity and state-of-the-art performance on datasets with minimal building disparity simultaneously.",bi-temporal high-resolution remote sensing images,building change detection,disparity-aware Siamese network,,,,,,,,,,,,,,,,,,
