,author1,author2,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,author3,author4,author5,author6,author7,author8,keyword5,keyword6,conference,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,author9,author10,author11,author12,author13,author14
Row_130,"Gao, Shangde","Wang, Yan",Aging in climate change: Unpacking residential mobility and changes of social determinants of health in southern United States,HEALTH & PLACE,JUL 2024,2,"The southern coastal states of the United States are susceptible to extreme weather and climate events. With growing move-in and -out older populations in the region, health implications of their residential mobility lack sufficient knowledge. Using 126,352 person-level records from 2012 to 2021, we examined geospatial and temporal patterns of older populations ' residential mobility, considering the changing social determinants of health and disparities. We found the moves of older populations with socioeconomic or health disadvantages were related to increased exposure to environmental hazards and reduced access to health resources. The findings inform targeted strategies for climate adaptation that address the needs of vulnerable aging populations.",Climate change,Older populations,Residential mobility,Social determinants of health,,,,,,,Spatiotemporal analysis,,,,,,,,,,,,,,,,,
Row_131,"Yazdanpanahi, Melisa","Pantelaki, Evangelia",Understanding older adults' travel behaviour and mobility needs during the COVID-19 pandemic through the lens of the hierarchy of travel needs: a systematic review,AGEING & SOCIETY,MAY 2024,1,"The aim of this article is to critically review the scientific literature about the changes in travel behaviour and mobility amongst older adults caused by the COVID-19 pandemic across various countries, identify unmet travel needs and highlight patterns of inequalities in older adults' mobility. We have collected articles from four academic databases: PubMed, Scopus, Transportation Research International Documentation (TRID) and Web of Science. Papers were considered for inclusion if they were published online in 2020 or later, written in English, and referred to urban or rural changes in travel behaviour and mobility of older adults over 50 years old. We examined the pre-existing models developed before the outbreak and classified the articles based on Musselwhite and Haddad's hierarchy of older adults' travel needs. The synthesis of the selected 25 articles shows a general decline in literal mobility amongst older adults, an increased share of virtual travel and their decreased capacity to fulfil different levels of travel needs. Findings also indicate an increased gap in older adults' mobility across geographical regions with various levels of transport infrastructure and digital capital. We conclude the paper with the lessons learned, the opportunities ahead, and the challenges that must be overcome to achieve sustainable development and the United Nations Decades of Healthy Ageing goals in the post-pandemic world.",mobility,travel behaviour,older people,COVID-19,"Holland, Carol","Gilroy, Rose","Spencer, Ben","Weston, Richard","Rogers, Allyson",,hierarchy of needs,systematic review,,,,,,,,,,,,,,,,
Row_132,"Boz, Hasan Alp","Bahrami, Mohsen",Investigating neighborhood adaptability using mobility networks: a case study of the COVID-19 pandemic,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,MAR 12 2024,0,"What predicts a neighborhood's adaptability to essential public health policies and shelter-in-place regulations that prevent the harmful spread of COVID-19? To answer this question, we present a novel application of human mobility patterns and human behavior in a network setting. We analyze 2 years of mobility data (January 2019 to December 2020) from New York City and construct weekly mobility networks between census block groups based on aggregated point-of-interest visit patterns. Our results indicate that neighborhoods' socioeconomic and geographic characteristics play a significant role in predicting their adaptability to active shelter-in-place policies. Our simulation outcomes reveal that, alongside factors such as race, education, and income, the geographical attributes of neighborhoods, such as access to amenities that satisfy community needs are equally important factors in predicting neighborhood adaptability to public health policies. These findings offer valuable insights that can enhance urban planning strategies, thereby aiding pandemic mitigation efforts and fostering increased adaptability of urban areas in the face of exogenous shocks like the COVID-19 pandemic.",,,,,"Balcisoy, Selim","Bozkaya, Burcin","Mazar, Nina","Nichols, Aaron","Pentland, Alex",,,,,,,,,,,,,,,,,,,
Row_133,"Zhang, Zihe","Liu, Jun",Charging infrastructure assessment for shared autonomous electric vehicles in 374 small and medium-sized urban areas: An agent-based simulation approach,TRANSPORT POLICY,SEP 2024,2,"This research examines the use of Shared Autonomous Electric Vehicles (SAEVs) in 374 U.S. small and mediumsized urban areas, focusing on fleet and infrastructure needs through agent-based simulations. It assesses metrics such as fleet size, trips per vehicle, and charging station requirements, considering two charger types: Level 2 and Level 3. The findings show significant spatial differences in SAEV operations and infrastructure across these cities. Statistical analysis links these variations to regional road networks and travel patterns. The study finds Level 3 chargers more efficient, requiring fewer stations and enabling more trips per vehicle compared to Level 2 chargers. Furthermore, Level 3 chargers exhibit a greater number of trips per SAEV and a higher ratio of vehicles to charging stations. These findings highlight the significance of considering charging infrastructure characteristics to optimize SAEV fleet performance and promote sustainable transportation systems in urban areas. This study significantly contributes by identifying the spatial variation and correlates of the SAEVs' operational and charging infrastructural performance. Policymakers, urban planners, and transportation service providers can leverage these insights to design and implement effective charging infrastructure for SAEV fleets, thereby advancing the transition to cleaner and more efficient mobility solutions.",Shared autonomous electric vehicles,Charging stations,Small and medium-sized urban areas,Road networks,"Bastidas, Javier Pena","Jones, Steven",,,,,Agent-based modeling,,,,,,,,,,,,,,,,,
Row_134,"Wang, Kehua","Yan, Xiaoyu",Understanding bike-sharing usage patterns of members and casual users: A case study in New York City,TRAVEL BEHAVIOUR AND SOCIETY,JUL 2024,2,"Shared bicycle travel has become an important travel mode for urban residents, and bike-sharing platforms are also booming in major cities worldwide. The bike-sharing platform provides users with systematic services: members refer to annual bike-sharing service subscribers and casual users refer to holders of a day pass or single ride ticket. Even though casual users account for a large share of ridership and revenue at bike-share systems in New York City (NYC), very little is known about the characteristics and preferences of casual users and how they compare to members. Based on the open-docked bike-sharing dataset from Citi Bike, we analyze the bike usage patterns of members and casual users in NYC, and how these patterns change in the face of the COVID-19 pandemic on a typical day level. We find that the COVID-19 pandemic has negatively influenced members' bike trip counts on weekdays; bike travel time increases for members during the pandemic and decreases for casual users after the pandemic. To make a profound study concerning spatial heterogeneities, we employ Gaussian Mixture Model (GMM) to cluster the spatiotemporal changes of the station-level bike usage and obtain four clusters for each user type. Combined with the Points of Interest (POI) information, we find that memberrelated cluster with commuting POIs is significantly affected by the pandemic, while leisure trips are the most severely affected for casual users. Compared with the central area, peripheral clusters with residential and religious POIs are less affected by the pandemic. According to our findings, new operational strategies such as flexible subscriptions can be developed to attract more users, maintain their stickiness, and improve the bikesharing level of services.",Bike -sharing,Demand pattern analysis,Subscription,,"Zhu, Zheng","Chen, Xiqun Michael",,,,,,,,,,,,,,,,,,,,,,
Row_135,"Guan, Xiaodong","Israel, Fabian",Satisfaction-induced travel: Do satisfying trips trigger more shared micro-mobility use?,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,MAY 2024,2,"Most studies on travel satisfaction assumed it as an outcome of travel choices. However, travel choices may also be affected by people's satisfaction with travel. Ignoring this potential reverse effect will lead to an biased understanding on the link between travel behavior and subjective wellbeing. This research examined the influence of travel satisfaction on travel behavior, using questionnaire survey data on shared micro-mobility services in three European cities in 2022. The research findings suggest that travel satisfaction can serve as both pull factors and push factors of travel mode choice. A high satisfaction with shared micro-mobility trips encourages people's future use of these services. A relatively low satisfaction with daily travel also prompts the nonusers to try shared bikes/e-bikes as alternative transport modes. Our research provides direct evidence on the feedback effect of travel satisfaction on travel behavior.",Travel satisfaction,Travel behavior,Shared micro-mobility,Sustainability,"Heinen, Eva","Ettema, Dick",,,,,Europe,,,,,,,,,,,,,,,,,
Row_136,"Liu, Baoju","Tang, Zhongan",Estimation of travel flux between urban blocks by combining spatio-temporal and purpose correlation,JOURNAL OF TRANSPORT GEOGRAPHY,APR 2024,1,"Understanding the travel flux between urban blocks is fundamental for traffic demand prediction, urban area planning and urban traffic management. However, the uncertainty of human mobility patterns and the complexity of urban transportation systems usually yield challenges in accurately estimating the travel flux within a city. Thus, we propose a novel travel flux estimation method that integrates traffic flow characteristics (traffic volume and travel time), spatio-temporal autocorrelation, and travel purpose correlation. First, the geographically weighted method was used to model and verify the spatio-temporal autocorrelation of origin-destination flows, whereas the purpose correlation of origin-destination flows was expressed through the function feature vectors of urban blocks. Then, a multi-objective bi-level programming model, according to the generalized least squares method, was constructed to estimate the travel flux between blocks. This was used to solve the problem of accurate estimation of travel flux by combining microscopic traffic flow characteristics with macroscopic spatio-temporal and purpose characteristics. Finally, an empirical analysis of the Hankou district, Wuhan City, demonstrated that in contrast to the existing method, the accuracy of the proposed method for predicting the human travel flux improved by approximately 20%. The estimated results were consistent with the spatial distribution pattern of human travel. Moreover, these results can provide targeted decision support for planning urban spaces, allocating urban resources, and guiding vehicular traffic.",Travel flux estimation,Spatio-temporal autocorrelation,Purpose correlation,Integer programming,"Deng, Min","Shi, Yan","He, Xiao","Huang, Bo",,,,,,,,,,,,,,,,,,,,
Row_137,"Zu, Jinyan","Kong, Hui",Carsharing in China: Impact of system and urban factors on usage and efficiency,JOURNAL OF TRANSPORT GEOGRAPHY,MAY 2024,0,"The carsharing service has experienced significant growth over the past few years in China, yet few studies have scrutinized the multi-city variations of this service. Using carsharing data from 61 cities in China, we analyzed the usage and efficiency of each city and investigated the impact of system and urban factors on the service performance. The study reveals vast differences in carsharing supply and demand across Chinese cities. Our results show the parking station density and the parking lot to vehicle ratio of the carsharing system are positively related to the usage. Urban factors such as public transportation availability, educational attainment levels, and vehicle restriction policies, are found to have significantly positive associations with the carsharing usage. However, no urban factors demonstrate significant associations with the efficiency measured by vehicle utilization rate. Moreover, the presence of other competing carsharing services within a city exhibits a positive impact on the performance of carsharing systems. This study also examined nonlinear effects of the factors. It provides valuable insights into the management of carsharing services in China, which can inform policy-making and operational strategies for sustainable development of carsharing.",Carsharing,Vehicle utilization rate,System characteristics,Urban factors,"Xu, Yang","Zhang, Xiaohu",,,,,,,,,,,,,,,,,,,,,,
Row_138,"Kim, Junghwan","Park, Jinhyung",Examining the socio-spatial patterns of bus shelters with deep learning analysis of street-view images: A case study of 20 cities in the US,CITIES,MAY 2024,2,"Previous studies on public transit in cities found the positive role of bus shelters in promoting bus ridership. However, a large-scale and comparative investigation of bus shelter status has yet to be conducted, leaving a significant knowledge gap. To fill this gap, this research examined the socio-spatial patterns of bus shelters in 20 small- and medium-sized cities in the United States by employing a deep learning-based computer vision analysis with large-scale street-view images. The results revealed a regional difference in the bus shelter scores (range: 30.2-52.1 %). Overall, there are more bus shelters in neighborhoods with higher population densities or higher proportions of minority populations. However, there are nine cities where neighborhoods with higher proportions of minority populations are not significantly correlated with more bus shelters, suggesting issues of mobility injustice. This study is one of the first to combine an AI method with emerging urban data to examine the socio-spatial patterns of bus shelters in cities.",Artificial intelligence,Bus ridership,Deep learning,Street -view images,"Lee, Jinhyung","Jang, Kee Moon",,,,,Shelter,Transit,,Mobility justice,,,,,,,,,,,,,,
Row_139,"Wang, Peixiao","Zhang, Hengcai",Understanding human mobility and trip demand through sparse trajectories of private e-bikes,JOURNAL OF CLEANER PRODUCTION,SEP 15 2024,0,"Understanding human mobility and trip demand through e-bike trajectories is crucial for urban planning, environmental enhancement, and sustainable development. However, existing studies predominantly focus on shared (e-)bike trips, neglecting private e-bike trips. With the recent availability of sparse trajectory for private e-bikes, we established a novel analysis framework to reveal human mobility and trip demand in Wuhan, China. First, we propose a two-step method for extracting trip behavior from sparse trajectories of private e-bikes, involving the identification of staying areas and the generation of e-bike trips. Second, we establish a spatial random forest method to capture the nonlinear relationship between private e-bike trips and driving factors. Finally, we use the interpretable SHAP method to reveal the driving mechanisms of e-bike trips and explore the impact of various factors on these trips. The results indicate that (1) trip distances of private e-bikes follow a lognormal distribution, with an Adj. R-Square of 0.99, while trip times exhibit a Hill distribution, with an Adj. RSquare of 0.95; (2) Private e-bike trips are not commonly employed to address the first/last mile problem in public transportation and are more frequently used for daily commuting needs, with over 65% of these trips covering distances greater than 1 km or lasting longer than 5 min; (3) private e-bike trips positively correlate with the density of POIs like Hospital, School, and Transportation Station. However, compared to shared (e-)bike trips, Transportation Station Density, especially Metro Station Density, is less important for private e-bike trips; and (4) private e-bike trips are also positively correlated with Congestion Level and House Price, meaning that areas with severe traffic congestion or high housing prices tend to have more private e-bike trips. This study provides a new framework for understanding private e-bike trip patterns, also helping authorities better grasp the factors influencing e-bike trip demand.",Human mobility,Private e-bike trajectories,e-bike trip,Model interpretability,"Cheng, Shifen","Lu, Feng","Zhang, Tong","Chen, Zeqiang",,,Driving mechanisms,,,,,,,,,,,,,,,,,
Row_140,"Chan, Ho-Yin","Ma, Hanxi",Resilience of socio-technical transportation systems: A demand-driven community detection in human mobility structures,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,DEC 2024,0,"Existing scholarship on transportation resilience analysis has primarily focused on engineering resilience, often overlooking the intricate socio-technical dimensions. This oversight underscores the necessity for a more comprehensive understanding of the dynamic interplay between social, including travel behaviors, and technical infrastructure components within transportation systems. This article delves into the impact of ""social shocks"" on transportation systems, which are defined as disturbances affecting the social subsystem without yet affecting the technical subsystem. Drawing inspiration from C.S. Holling's ecological resilience, which signifies a system's ability to cope with change by adapting its structure and functionality, we propose a multi-level resilience assessment framework. It encompasses four mobility-related indicators: entropy (measuring network-level complexity), stationarity (assessing community compositional changes at the cluster level), and two node-level metrics within-module degree and weighted participation coefficient capturing location connectivity. These indicators proxy for evaluating the mobility structure and node functionality within the social subsystem. In a case study, we analyze historical smart card data to examine the mobility pattern's structural changes within Hong Kong, a rail-oriented metropolis, during a prolonged and city-wide protest. The framework and associated indicators provide an alternative perspective for transit planners and operators, allowing them to assess both the overall system and individual stations, moving beyond traditional assessments of service supply and patronage changes.",Transportation resilience,Socio-technical,Urban structure,Community detection,"Zhou, Jiangping",,,,,,Random walk,Infomap,,Hong Kong,,,,,,,,,,,,,,
Row_141,"Zhou, Lei","Wang, Chen",Exploring spatial association between residential and commercial urban spaces: A machine learning approach using taxi trajectory data,JOURNAL OF TRANSPORT AND LAND USE,2024,0,"Human mobility datasets, such as traffic flow data, reveal the connections between urban spaces. A novel framework is proposed to explore the spatial association between urban commercial and residential spaces via consumption travel flows in Shanghai. A social network analysis and a community detection method are employed using taxi trajectory data during the daytime to validate the framework. The machine learning -based approach, such as the community detection method, can overcome the limitation regarding spatial uncertainty and spatial effects. The empirical findings suggest that people's commercial activities are sensitive to the power of accessible commercial centers and travel distances. The high-level commercial centers would contribute to the monocentric structure in the outer urban region based on consumption flows. In the central urban region, increasing the number of high-level commercial centers and making the powers of commercial centers hierarchical can contribute to a polycentric mobility pattern of people's consumption. This research contributes to the literature by providing a novel framework to model, analyze and visualize people's mobility based on the trajectory big data, which is promising in future urban research.",,,,,"Xiao, Weiye","Wang, Haoran",,,,,,,,,,,,,,,,,,,,,,
Row_142,"Berrill, Peter","Nachtigall, Florian","Comparing urban form influences on travel distance, car ownership, and mode choice",TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,MAR 2024,14,"Steady growth in global greenhouse gas emissions from transport is driven by growing demand for car travel. A sizable body of research investigates influences of urban form on travel behavior, but few European studies illustrate variation of these influences across multiple cities and countries using disaggregated data. Here, we compare car ownership and mobility patterns, and we use gradient boosting decision tree and regression models to investigate urban form influences on travel distances, vehicle ownership, and mode choice across nineteen diverse European cities. Residential proximity to the city center is the urban form feature with greatest predictive importance for trip distances, car ownership and car mode choice. The exponential reduction of car use with higher population density is clearly demonstrated with aggregate city data. We detect nonlinear relationships between urban form and modelled outcomes, identify urban form thresholds for sustainable mobility, and suggest targeted policy interventions.",,,,,"Javaid, Aneeque","Milojevic-Dupont, Nikola","Wagner, Felix","Creutzig, Felix",,,,,,,,,,,,,,,,,,,,
Row_143,"Fortes, Laura M.","Giannotti, Mariana","Gender, class and race uneven access to bike systems across five Brazilian cities",CITIES,MAY 2024,0,"Multidimensional inequalities have been increasingly discussed in the transportation field, particularly in the case of bike riding. Although several studies focused on the gender differences in bike-share systems, only a few include socioeconomic inequalities and the dimension of race. This study considers a multidimensional perspective, relating the urban space characteristics, cycling infrastructure and bike-sharing mobility distribution patterns. We analyzed the data collected from bike-share systems of five major Brazilian cities to investigate the aspects of cycling behavior in terms of gender. Additionally, we examined the uneven access to cycling infrastructure, considering its socio-spatial inequalities. The obtained results confirm the lack of female bike-sharing cyclists at different levels. The gender difference decreased for bike-share trips with longer durations and recreational purposes. In seaside towns, women represented a higher participation percentage in bike-share cycling, particularly in recreational areas such as parks, seafronts, and lakesides. Although cycle lanes reduced the disparity, they did not ensure the gender balance as observed in recreational areas. The proportion of female bike-share cyclists reduced in areas lacking cycle lanes and near metro-rail stations. Furthermore, the peripheries with more Black and lower-class inhabitants lack bike-friendly spaces, which are vital for promoting more sustainable and equitable cities.",Gender mobility,Uneven access,Cycling infrastructure,Bike-share system,"de Freitas, Flavio Soares",,,,,,Mobility pattern,,,,,,,,,,,,,,,,,
Row_144,"Qiu, Anjie","Sathish, Prapul Alemada",Advanced Traffic Demand Generation in SUMO: ML-based Prediction of Flow Rate based on Real-world Measured Datasets,,2024,0,"Realistic vehicle traffic simulations have been a subject of great interest in many fields, particularly in the Intelligent Transport Systems (ITS), as they can help improve transportation efficiency, safety, and sustainability. Simulation of Urban MObility (SUMO) is a powerful tool for vehicular traffic simulations; however, traditional methods of generating traffic demand are usually based on random trips or the use of real-world datasets, which can be difficult to obtain. More advanced approaches create algorithms to generate trips based on multimodal activities. However, these approaches require either a large amount of computational resources or a great deal of effort in deploying measurement hardware. Therefore, we proposed a new scheme to generate large-scale traffic demands, where a real-world dataset is fed into an ML model to predict traffic flows. We then calibrate the traffic flows to match the predicted ones, resulting in realistic traffic flows for urban scenarios. The approach is highly computationally efficient and can be applied to any city scenario. Furthermore, the training data set and the ML model can be updated for more precise predictions. In the end, we create the whole map of Berlin and generate around 1.2 million vehicles as a 24-hour trial, and compared the predicted model with the real-world measured dataset. As a result, more than 85 percent of the monitored lanes show a mismatch of less than 5 vehicles in 24 hours, and a general traffic pattern of Berlin is revealed and matched.",Vehicular-to-Everything,Machine Learning,Urban Mobility,Vehicle Traffic Generation,"Wang, Donglin","Schotten, Hans D.",,,,,,,"2024 IEEE 99TH VEHICULAR TECHNOLOGY CONFERENCE, VTC2024-SPRING",,,,,,,,,,,,,,,
Row_145,"Lin, Haowen","Chiang, Yao-Yi",Unified Modeling and Clustering of Mobility Trajectories with Spatiotemporal Point Processes,,2024,0,"In various application domains like transportation, urban planning, and public health, analyzing human mobility, represented as a sequence of consecutive visits (aka trajectories), is crucial for uncovering essential mobility patterns. Current practices often discretize space and time to model trajectory data with sequence-analysis techniques like Transformers and LSTM, but this discretization tends to obscure the intrinsic spatial and temporal characteristics inherent in trajectories. Recent work shows the effectiveness of modeling trajectories directly in continuous space and time using the spatiotemporal point process (STPP). However, these approaches often assume that all observed trajectories originate from a single underlying dynamic. In reality, real-world trajectories ex-hibit varying dynamics or moving patterns. We hypothesize that grouping trajectories governed by similar dynamics into clusters before trajectory modeling could enhance modeling effectiveness. Thus, we present a novel approach that simultaneously models trajectories in continuous space and time using STPP while clustering them. Our method leverages a variational Expectation-Maximization (EM) framework to iteratively improve the learning of trajectory dynamics and refine cluster assignments within a single training phase. Extensive tests on synthetic and real-world data demonstrate its effectiveness in clustering and modeling trajectories.",,,,,"Xiong, Li","Shahabi, Cyrus",,,,,,,"PROCEEDINGS OF THE 2024 SIAM INTERNATIONAL CONFERENCE ON DATA MINING, SDM",,,,,,,,,,,,,,,
Row_146,"Chen, Xiao-Jian","Zhao, Yuhui",Characterizing the temporally stable structure of community evolution in intra-urban origin-destination networks,CITIES,JUL 2024,1,"Intra-urban origin-destination (OD) network communities evolve throughout the day, indicating changing groups of closely connected regions. Under such variation, groups of regions with high consistency of community affiliation characterize the temporally stable structure of the evolution process, supporting comprehending urban dynamics. However, how to quantify this consistency and identify the associated region groups are open questions. In this study, we introduce the consensus OD network to quantify the consistency of community affiliation among regions. Furthermore, the temporally stable community decomposition method is proposed to identify groups of regions with high internal and low external consistency (named ""stable groups""), where each group consists of temporally stable cores and attaching peripheries. Wuhan taxi data is used to verify our methods. On the hourly time scale, eleven stable groups containing 82.9 % of regions are identified. This high percentage suggests that dynamic communities can be well organized via cores. Moreover, stable groups are spatially closed and more likely to distribute within a single district and separated by water bodies. Cores exhibit higher point of interest (POI) entropy and more healthcare and shopping services than peripheries. Our methods and empirical findings contribute to some practical issues, such as urban area division, polycentric evaluation and construction, and infectious disease control.",Origin-destination network,Community evolution,Stable structure,Urban environment,"Kang, Chaogui","Xing, Xiaoyue","Dong, Quanhua","Liu, Yu",,,,,,,,,,,,,,,,,,,,
Row_147,"Huang, Fei","Lv, Jianrong",Jointly spatial-temporal representation learning for individual trajectories,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,SEP 2024,0,"Individual trajectories, capturing significant human-environment interactions across space and time, serve as vital inputs for geospatial foundation models (GeoFMs). However, existing attempts at learning trajectory representations often encoded trajectory spatial-temporal relationships implicitly, which poses challenges in learning and representing spatiotemporal patterns accurately. Therefore, this paper proposes a joint spatialtemporal graph representation learning method (ST-GraphRL) to formalize structurally-explicit while learnable spatial-temporal dependencies into trajectory representations. The proposed ST-GraphRL consists of three compositions: (i) a weighted directed spatial-temporal graph to explicitly construct mobility interactions over space and time dimensions; (ii) a two-stage joint encoder (i.e., decoupling and fusion), to learn entangled spatialtemporal dependencies by independently decomposing and jointly aggregating features in space and time; (iii) a decoder guides ST-GraphRL to learn mobility regularities and randomness by simulating the spatial-temporal joint distributions of trajectories. Tested on three real-world human mobility datasets, the proposed STGraphRL outperformed all the baseline models in predicting movements' spatial-temporal distributions and preserving trajectory similarity with high spatial-temporal correlations. Furthermore, analyzing spatial-temporal features in latent space, it affirms that the ST-GraphRL can effectively capture underlying mobility patterns. The results may also provide insights into representation learnings of other geospatial data to achieve generalpurpose data representations, promoting the progress of GeoFMs.",Trajectory representation learning,Spatial-temporal joint distribution,Graph deep learning,Spatial-temporal mobility patterns,"Yue, Yang",,,,,,Foundation model for geospatial intelligence,,,,,,,,,,,,,,,,,
Row_148,"Tamakloe, Reuben","Zhang, Kaihan",Critical risk factors associated with fatal/severe crash outcomes in personal mobility device rider at-fault crashes: A two-step inter-cluster rule mining technique,ACCIDENT ANALYSIS AND PREVENTION,MAY 2024,1,"Personal Mobility Devices (PMDs) have witnessed an extraordinary surge in popularity, emerging as a favored mode of urban transportation. This has sparked significant safety concerns, paralleled by a stark increase in PMDinvolved crashes. Research indicates that PMD user behavior, especially in urban areas, is crucial in these crashes, underscoring the need for an extensive investigation into key factors, particularly those causing fatal/ severe outcomes. Remarkably, there exists a noticeable gap in the research concerning the analysis of determinants behind fatal/severe PMD crashes, specifically in PMD rider-at-fault collisions. This study addresses this gap by identifying uniform groups of PMD rider-at-fault crashes and investigating cluster-specific key factor associations and determinants of fatal/severe crash outcomes using Seoul's PMD rider-at-fault crash data from 2017 to 2021. A comprehensive two-step framework, integrating Cluster Correspondence Analysis (CCA) and Association Rules Mining (ARM) techniques is employed to segment PMD rider-at-fault crash data into homogeneous groups, revealing unique risk factor patterns within each cluster and further exploring the combination of factors associated with fatal/severe PMD rider-at-fault crash outcomes. CCA revealed three distinct groups: PMD-vehicle, PMD-pedestrian, and single-PMD crashes. From the ARM, it was found that fatal/severe crashes were linked to dry road conditions, male PMD users, and weekdays, irrespective of the cluster. Whereas speeding violations and side collisions were associated with fatal/severe PMD-vehicle rider-at-fault crashes, traffic control violations were related to fatal/severe PMD-pedestrian rider-at-fault crashes at pedestrian crossings. Unsafe riding practices predominantly caused single-PMD crashes during daytime hours. From the findings, engineering improvements, awareness campaigns, education, and law enforcement actions are recommended. The new insights gleaned from this research provide a foundation for informed decision-making and the implementation of policies designed to enhance PMD safety.",Personal Mobility Device,Crash Severity,Cluster Correspondence Analysis,ARM,"Hossain, Ahmed","Kim, Inhi","Park, Shin Hyoung",,,,South Korea,,,,,,,,,,,,,,,,,
Row_149,"Ferreira, Leonardo","Moreira, Gustavo","Assessing the landscape of toolkits, frameworks, and authoring tools for urban visual analytics systems",COMPUTERS & GRAPHICS-UK,OCT 2024,3,"Over the past decade, there has been a significant increase in the development of visual analytics systems dedicated to addressing urban issues. These systems distill intricate urban analysis workflows into intuitive, interactive visual representations and interfaces, enabling users to explore, understand, and derive insights from large and complex data, including street-level imagery, street networks, and building geometries. Developing urban visual analytics systems, however, is a challenging endeavor that requires considerable programming expertise and interaction between various multidisciplinary stakeholders. This situation often leads to monolithic and isolated prototypes that are hard to reproduce, combine, or extend. Concurrently, there has been an increase in the availability of general and urban-specific toolkits, frameworks, and authoring tools that are open source and abstract away the need to implement low-level visual analytics functionalities. This paper provides a hierarchical taxonomy of urban visual analytics systems to contextualize how they are usually designed, implemented, and evaluated. We develop this taxonomy across three distinct levels (i.e., dimensions, categories, and tags), juxtaposing visualization with analytics, data, and system dimensions. We then assess the extent to which current open-source toolkits, frameworks, and authoring tools can effectively support the development of components tailored to urban visual analytics, identifying their strengths and limitations in addressing the unique challenges posed by urban data. In doing so, we offer a roadmap that can guide the effective employment of existing resources and chart a pathway for developing and refining future systems.",Visual analytics,Visualization toolkits,Visualization grammars,Visualization authoring,"Hosseini, Maryam","Lage, Marcos","Ferreira, Nivan","Miranda, Fabio",,,Urban visual analytics,,,,,,,,,,,,,,,,,
Row_150,"Bhowmick, Debjit","Dai, Danyang",Collecting population-representative bike-riding GPS data to understand bike-riding activity and patterns using smartphones and Bluetooth beacons,TRAVEL BEHAVIOUR AND SOCIETY,JAN 2025,1,"Bike-riding GPS data offers detailed insights and individual-level mobility information which are critical for understanding bike-riding travel behaviour, enhancing transportation safety and equity, and developing models to estimate bike route choice and volumes at high spatio-temporal resolution. Yet, large-scale bicycling-specific GPS data collection studies are infrequent, with many existing studies lacking robust spatial and/or temporal coverage, or have been influenced by sampling biases leading to these data lacking representativeness. Additionally, accurately detecting bike-riding trips from continuously collected raw GPS data without human intervention remains a challenge. This study presents a novel GPS data collection approach by leveraging the combination of a smartphone application with a Bluetooth beacon attached to a participant's bike. Aided by minimal heuristic post-processing, our method limits data collection to trips taken by bike without the need for participant intervention, carefully optimising between survey participation, privacy challenges, participant workload, and robust bike-riding trip detection. Our method is applied to collect 19,782 bike trips from 673 adults spanning eight months and three seasons in Greater Melbourne, Australia. The collected dataset is shown to represent the underlying adult bike-riding population in terms of demographics (sex, occupation and employment type), temporal and spatial patterns. The average trip length (median = 4.8 km), duration (median = 20.9 min), and frequency of bicycling trips (median = 2.7 trips/week) were greater among men, middle-aged and older adults. The 'Interested but Concerned' riders (classified using Geller typology) rode more frequently, while the 'Strong and Fearless' and 'Enthused and Confident' groups rode greater distances and for longer. Participants rode on roads/streets without bike infrastructure for more than half of their trips by distance, while spending 24% and 17% on off-road paths and bike lanes respectively. This populationrepresentative dataset will be key in the context of urban planning and policymaking.",Cycling,GPS data collection,Active transport,Mobility data analysis,"Saberi, Meead","Nelson, Trisalyn","Stevenson, Mark","Seneviratne, Sachith","Nice, Kerry","Pettit, Christopher",,,,,,,,,,,,,"Vu, Hai L.","Beck, Ben",,,,
Row_151,"Rong, Helena H.","Freeman, Lance",The impact of the built environment on human mobility patterns during Covid-19: A study of New York City's Open Streets Program,APPLIED GEOGRAPHY,NOV 2024,0,"This study uses the Open Streets Program in New York City as a natural experiment to test the effects of change in street use on foot traffic changes during COVID-19. In a two-stage-least-squares (2SLS) design, the Open Streets Program is used as an instrumental variable to isolate the exogenous effect of expanded streets for pedestrians on foot traffic patterns. We then estimate a difference-in-differences model that compares the change in foot traffic to public points-of-interests (POI) in neighborhoods that are part of the Open Streets Program with those that are not ""before and after"" the start of the city-wide program, in addition to other controls such as street types and weather characteristics to help reduce the error variance of the regression. We find that the Open Streets Program helped increase pedestrian activity at a neighborhood level, even when controlling for street types and other confounding temporal factors such as precipitation and temperature.",Street design,Urban design,Pedestrian use,Open street,,,,,,,COVID-19,,,,,,,,,,,,,,,,,
