,author1,author2,author3,author4,author5,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,author6,author7,author8,author9,author10,keyword12,keyword13,keyword14,conference,keyword15
Row_903,"Han, Jing","Wang, Weiyu","Lin, Yuqi","Lyu, Xueqiang",,MRU-Net: A remote sensing image segmentation network for enhanced edge contour Detection,KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS,DEC 31 2023,0,"Remote sensing image segmentation plays an important role in realizing intelligent city construction. The current mainstream segmentation networks effectively improve the segmentation effect of remote sensing images by deeply mining the rich texture and semantic features of images. But there are still some problems such as rough results of small target region segmentation and poor edge contour segmentation. To overcome these three challenges, we propose an improved semantic segmentation model, referred to as MRU-Net, which adopts the U-Net architecture as its backbone. Firstly, the convolutional layer is replaced by BasicBlock structure in U-Net network to extract features, then the activation function is replaced to reduce the computational load of model in the network. Secondly, a hybrid multi scale recognition module is added in the encoder to improve the accuracy of image segmentation of small targets and edge parts. Finally, test on Massachusetts Buildings Dataset and WHU Dataset the experimental results show that compared with the original network the ACC,mIoU and F1 value are improved, and the imposed network shows good robustness and portability in different datasets.",Convolutional neural network,Image processing,Hybrid multiscale identification module,Micro residual structure,Remote sensing image segmentation,,,,,,,,,,,,,,,,
Row_904,"Zhu, Yuqian","Chen, Weitao","He, Wenxi","Wang, Ruizhen","Li, Xianju",CUG_MISDataset: A Remote Sensing Instance Segmentation Dataset for Improved Wide-Area High-Precision Mining Land Occupation Recognition,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2024,0,"The effective and rapid acquisition of wide-area mine occupation information is crucial for ecological geo-environmental protection and sustainable development. Remote sensing instance segmentation technology based on deep learning is a promising solution. However, there are two significant challenges including insufficient training datasets and unsuitable segmentation models. To overcome these issues, this study provides a large-scale remote sensing instance segmentation dataset for mining land occupation (CUG_MISDataset). The CUG_MISDataset comprises 1426 image blocks and more than 3000 instances, covering all 150 types of mines found in China's Hubei province. It features multiple mine types, various land occupations, and complex instance scales. First, this study compares the performance of seven mainstream remote sensing instance segmentation models using the proposed CUG_MISDataset. The results show that all seven models achieve high segmentation accuracy. It indicates that the constructed CUG_MISDataset is robust and can serve as a valuable benchmark for remote sensing instance segmentation of mining areas. Second, aiming at the difficulty of large scale variation in this dataset, we propose a multiscale dilation feature pyramid network (MSD-FPN), which introduces a dynamic weight allocation mechanism to give more weight to important semantic information, while convolution with different dilation rates is used in the module to enhance the expression of mines' multiscale features. The proposed MSD-FPN can achieve a 2.0% average precision improvement on the CUG_MISDataset.",Deep learning,instance segmentation,mining area,mining land occupation,remote sensing,,,,,,,"Wang, Lizhe",,,,,,,,,
Row_905,"Lan, Lingxiang","Wu, Dong","Chi, Mingmin",,,Multi-temporal Change Detection based on Deep Semantic Segmentation Networks,,2019,3,"The task of change detection (CD) can be considered as a pixel-level classification problem and can be fulfilled by a semantic segmentation task. In this paper, we propose an end-to-end change detection framework based on a deep semantic segmentation network, in particular, fully convolutional networks in terms of the difference image or the concatenated one of multi-temporal images. Experimental results illustrate that our framework can obtain a state-of-the-art result on the real-world high resolution CD dataset.",Remote sensing,change detection,deep learning,semantic segmentation,,,,,,,,,,,,,,,,2019 10TH INTERNATIONAL WORKSHOP ON THE ANALYSIS OF MULTITEMPORAL REMOTE SENSING IMAGES (MULTITEMP),
Row_906,"Shamsolmoali, Pourya","Zareapoor, Masoumeh","Wang, Ruili","Zhou, Huiyu","Yang, Jie",A Novel Deep Structure U-Net for Sea-Land Segmentation in Remote Sensing Images,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,SEP 2019,91,"Sea-land segmentation is an important process for many key applications in remote sensing. Proper operative sea-land segmentation for remote sensing images remains a challenging issue due to complex and diverse transition between sea and land. Although several convolutional neural networks (CNNs) have been developed for sea-land segmentation, the performance of these CNNs is far from the expected target. This paper presents a novel deep neural network structure for pixel-wise sea-land segmentation, a residual Dense U-Net (RDU-Net), in complex and high-density remote sensing images. RDU-Net is a combination of both downsampling and upsampling paths to achieve satisfactory results. In each downsampling and upsampling path, in addition to the convolution layers, several densely connected residual network blocks are proposed to systematically aggregate multiscale contextual information. Each dense network block contains multilevel convolution layers, short-range connections, and an identity mapping connection, which facilitates features reuse in the network and makes full use of the hierarchical features from the original images. These proposed blocks have a certain number of connections that are designed with shorter distance backpropagation between the layers and can significantly improve segmentation results while minimizing computational costs. We have performed extensive experiments on two real datasets, Google-Earth and ISPRS, and compared the proposed RDU-Net against several variations of dense networks. The experimental results show that RDU-Net outperforms the other state-of-the-art approaches on the sea-land segmentation tasks.",Deep neural network (DNN),dense network (DenseNet),remote sensing images,sea-land segmentation,U-Net,,,,,,,,,,,,,,,,
Row_907,"Wang, Pan","Zhao, Hengqian","Yang, Zihan","Jin, Qian","Wu, Yanhua",Fast Tailings Pond Mapping Exploiting Large Scene Remote Sensing Images by Coupling Scene Classification and Sematic Segmentation Models,REMOTE SENSING,JAN 2023,6,"In the process of extracting tailings ponds from large scene remote sensing images, semantic segmentation models usually perform calculations on all small-size remote sensing images segmented by the sliding window method. However, some of these small-size remote sensing images do not have tailings ponds, and their calculations not only affect the model accuracy, but also affect the model speed. For this problem, we proposed a fast tailings pond extraction method (Scene-Classification-Sematic-Segmentation, SC-SS) that couples scene classification and semantic segmentation models. The method can map tailings ponds rapidly and accurately in large scene remote sensing images. There were two parts in the method: a scene classification model, and a semantic segmentation model. Among them, the scene classification model adopted the lightweight network MobileNetv2. With the help of this network, the scenes containing tailings ponds can be quickly screened out from the large scene remote sensing images, and the interference of scenes without tailings ponds can be reduced. The semantic segmentation model used the U-Net model to finely segment objects from the tailings pond scenes. In addition, the encoder of the U-Net model was replaced by the VGG16 network with stronger feature extraction ability, which improves the model's accuracy. In this paper, the Google Earth images of Luanping County were used to create the tailings pond scene classification dataset and tailings pond semantic segmentation dataset, and based on these datasets, the training and testing of models were completed. According to the experimental results, the extraction accuracy (Intersection Over Union, IOU) of the SC-SS model was 93.48%. The extraction accuracy of IOU was 15.12% higher than the U-Net model, while the extraction time was shortened by 35.72%. This research is of great importance to the remote sensing dynamic observation of tailings ponds on a large scale.",tailings ponds,large scene remote sensing images,deep learning,fast mapping,,,,,,,,"Xia, Pengjiu","Meng, Lingxuan",,,,,,,,
Row_908,"Long, Jiang","Li, Mengmeng","Wang, Xiaoqin",,,Integrating Spatial Details With Long-Range Contexts for Semantic Segmentation of Very High-Resolution Remote-Sensing Images,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,2023,13,"This letter presents a cross-learning network (i.e., CLCFormer) integrating fine-grained spatial details within long-range global contexts based upon convolutional neural networks (CNNs) and transformer, for semantic segmentation of very high-resolution (VHR) remote-sensing images. More specifically, CLCFormer comprises two parallel encoders, derived from the CNN and transformer, and a CNN decoder. The encoders are backboned on SwinV2 and EfficientNet-B3, from which the extracted semantic features are aggregated at multiple levels using a bilateral feature fusion module (BiFFM). First, we used attention gate (ATG) modules to enhance feature representation, improving segmentation results for objects with various shapes and sizes. Second, we used an attention residual (ATR) module to refine spatial features's learning, alleviating boundary blurring of occluded objects. Finally, we developed a new strategy, called auxiliary supervise strategy (ASS), for model optimization to further improve segmentation performance. Our method was tested on the WHU, Inria, and Potsdam datasets, and compared with CNN-based and transformer-based methods. Results showed that our method achieved state-of-the-art performance on the WHU building dataset (92.31% IoU), Inria building dataset (83.71% IoU), and Potsdam dataset (80.27% MIoU). We concluded that CLCFormer is a flexible, robust, and effective method for the semantic segmentation of VHR images. The codes of the proposed model are available at https://github.com/long123524/CLCFormer.",Feature extraction,Transformers,Semantics,Convolutional neural networks,Convolution,Buildings,Tiles,Auxiliary supervise,CLCFormer,convolutional neural networks (CNNs),semantic segmentation,,,,,,transformer,very high-resolution (VHR) images,,,
Row_909,"Wang, Yiwen","Lyn, Ye","Cao, Yanpeng","Yang, Michael Ying",,DEEP LEARNING FOR SEMANTIC SEGMENTATION OF UAV VIDEOS,,2019,4,"As one of the key problems in both remote sensing and computer vision, video semantic segmentation has been attracting increasing amounts of attention. Using video segmentation technique for Unmanned Aerial Vehicle (UAV) data processing is also a popular application. Previous methods extended single image segmentation approaches to multiple frames. The temporal dependencies are ignored in these methods. This paper proposes a novel segmentation method to solve this problem. Combining the fully convolutional networks (FCN) and the Convolution Long Short Term Memory (Conv-LSTM) together, we segment the sequence of the video frames instead of segmenting each individual frame separately. FCN serves as the frame-based segmentation method. Conv-LSTM makes use of the temporal information between consecutive frames. Experimental results show the superiority of this method especially in some classes compared to the single image segmentation model using video dataset from UAV.",FCN,Conv-LSTM,video semantic segmentation,UAV,,,,,,,,,,,,,,,,2019 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2019),
Row_910,"Tang, Kai","Xu, Fei","Chen, Xuehong","Dong, Qi","Yuan, Yuheng",The ClearSCD model: Comprehensively leveraging semantics and change relationships for semantic change detection in high spatial resolution remote sensing imagery,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,MAY 2024,7,"The Earth has been undergoing continuous anthropogenic and natural change. High spatial resolution (HSR) remote sensing imagery provides a unique opportunity to accurately reveal these changes on a planetary scale. Semantic change detection (SCD) with HSR imagery has become a common technique for tracking the evolution of land surface types at a semantic level. However, existing SCD methods rarely model the dependency between semantics and changes, resulting in suboptimal accuracy in detecting complicated surface changes. To address this limitation, we propose ClearSCD, a multi-task learning model that leverages the mutual gain relationship between semantics and change through three innovative modules. The first module interprets semantic features at different times into posterior probabilities for surface types to detect binary change information; the second module learns the correlation between surface types over time and the binary change information; a semantic augmented contrastive learning module is used as the third module to improve the performance of the other two modules. We tested ClearSCD's performance against state-of-the-art methods on benchmark datasets and a real- world scenario (named LsSCD dataset), showing that ClearSCD outperformed the alternatives on mIoUscmetrics sc metrics by 1.23% to 19.34%. Furthermore, ablation experiments demonstrated the unique contribution of the three innovative modules to performance improvement. The high computational efficiency and robust performance over diverse landscapes demonstrate that ClearSCD is an operational tool for detecting detailed land surface changes from HSR imagery. Code and LsSCD dataset available at https://github.com/tangkai-RS/ClearSCD.",Remote sensing,Change detection,Semantic change detection,Semantic segmentation,Deep learning,Multi-task learning,,,,,,"Chen, Jin",,,,,,,,,
Row_911,"Zhang, Di","Zhao, Jiaqi","Chen, Jingyang","Zhou, Yong","Shi, Boyu",Edge-aware and spectral-spatial information aggregation network for multispectral image semantic segmentation,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,SEP 2022,13,"Semantic segmentation is a fundamental task in the field of remote sensing image intelligent interpretation and computer vision. Multispectral remote sensing images have attracted more and more researchers' attention because they can accurately describe different types of reflection spectra. However, inaccurate multispectral feature description leads to edge semantic ambiguity and misclassification of small objects. In this article, we propose a novel network named edge-aware and spectral-spatial information aggregation net (ESSANet) to capture both high-level semantic features and low-level edge details for semantic segmentation of remote sensing images. Specifically, on the one hand, in order to improve the representation ability of discriminant features, we design a two-stream spectral-spatial feature extraction network via 3D hybrid convolution and multi-level aggregation network. On the other hand, in order to eliminate the effect of edge semantic ambiguity, we develop a siamese edge-aware structure and multi-stage edge loss function. Experimental results show that our method achieved 3.5% and 4.09% mean intersection over union (mIoU) score improvements and 2.59% and 3.32% Kappa score improvements compared with the competitive baseline algorithm on the SEN12MS and US3D datasets, respectively. In addition, the method proposed in this paper also achieves a better trade-off between speed and accuracy.",Spectral&ndash,spatial information,Edge-aware,Remote sensing,Multispectral semantic segmentation,,,,,,,"Yao, Rui",,,,,,,,,
Row_912,"Wang, Guoying","Chen, Jiahao","Mo, Lufeng","Wu, Peng","Yi, Xiaomei",Border-Enhanced Triple Attention Mechanism for High-Resolution Remote Sensing Images and Application to Land Cover Classification,REMOTE SENSING,AUG 2024,2,"With the continuous development and popularization of remote sensing technology, remote sensing images have been widely used in the field of land cover classification. Since remote sensing images have complex spatial structure and texture features, it is becoming a challenging problem to accurately categorize them. Land cover classification has practical application value in various fields, such as environmental monitoring and protection, urban and rural planning and management, and climate change research. In recent years, remote sensing image classification methods based on deep learning have been rapidly developed, in which semantic segmentation technology has become one of the mainstream methods for land cover classification using remote sensing image. Traditional semantic segmentation algorithms tend to ignore the edge information, resulting in poor classification of the edge part in land cover classification, and there are numerous attention mechanisms to make improvements for these problems. In this paper, a triple attention mechanism, BETAM (Border-Enhanced Triple Attention Mechanism), for edge feature enhancement of high-resolution remote sensing images is proposed. Furthermore, a new model on the basis of the semantic segmentation network model DeeplabV3+ is also introduced, which is called DeepBETAM. The triple attention mechanism BETAM is able to capture feature dependencies in three dimensions: position, space, and channel, respectively. Through feature importance weighting, modeling of spatial relationships, and adaptive learning capabilities, the model BETAM pays more attention to edge features, thus improving the accuracy of edge detection. A remote sensing image dataset SMCD (Subject Meticulous Categorization Dataset) is constructed to verify the robustness of the attention mechanism BETAM and the model DeepBETAM. Extensive experiments were conducted on the two self-built datasets FRSID and SMCD. Experimental results showed that the mean Intersection over Union (mIoU), mean Pixel Accuracy (mPA), and mean Recall (mRecall) of DeepBETAM are 63.64%, 71.27%, and 71.31%, respectively. These metrics are superior to DeeplabV3+, DeeplabV3+(SENet), DeeplabV3+(CBAM), DeeplabV3+(SAM), DeeplabV3+(ECANet), and DeeplabV3+(CAM), which are network models that incorporate different attention mechanisms. The reason is that BETAM has better edge segmentation results and segmentation accuracy. Meanwhile, on the basis of the self-built dataset, the four main classifications of buildings, cultivated land, water bodies and vegetation were subdivided and detected, and good experimental results were obtained, which verified the robustness of the attention mechanism BETAM and the model DeepBETAM. The method has broad application prospects and can provide favorable support for research and application in the field of surface classification.",semantic segmentation,remote sensing image,BETAM,triple attention mechanism,edge detection,,,,,,,,,,,,,,,,
Row_913,"Nunes de Castro, Heitor da Rocha","de Carvalho Junior, Osmar Abilio","Ferreira de Carvalho, Osmar Luiz","Trancoso Gomes, Roberto Arnaldo","Fontes Guimaraes, Renato",DETECTION OF KARST DEPRESSIONS IN BRAZIL USING DEEP SEMANTIC SEGMENTATION,,2023,0,"This research aims to investigate the use of semantic segmentation and Shuttle Radar Topography Mission (SRTM) data in detecting natural karst depressions developed on the carbonate rocks of the Neoproterozoic Bambui Group in Western Bahia, Brazil. The study area is a karst landscape containing depressions enclosed in limestone, many forming lakes. The methodology had the following steps: (a) visual interpretation of karst depressions from Sentinel-2 and OLI-Landsat 8 images; (b) generation of DEM-based sink depth plus nine morphometric attributes; (c) selection of 128x128-pixel samples for training (1600), validation (400), and testing (400) considering two channels (DEM and sink depth based on DEM) and eleven channels (the two previous ones and the morphometric attributes); and (d) semantic segmentation using U-Net architecture with EfficientNet-B7 backbone. The accuracy metrics were 98.26, 72.82, 79.50, 79.16, and 65.51 for OA, precision, recall, F-score, and IoU when considering SRTM plus morphometric attributes (11 channels).",Semantic segmentation,sparse annotation,iterative learning,remote sensing,,,,,,,,,,,,,,,,IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,
Row_914,"Ye, Wenhui","Lei, Weimin","Zhang, Wei","Yu, Tingting","Feng, Xiang",GFSCompNet: remote sensing image compression network based on global feature-assisted segmentation,MULTIMEDIA TOOLS AND APPLICATIONS,JAN 2024,1,"The proliferation of remote sensing image data in recent years has posed a pressing need for efficient compression techniques due to constrained transmission bandwidth. While lossless compression preserves image fidelity, it falls short of meeting real-time demands. Conversely, conventional lossy compression methods can attain high compression ratios for real-time applications, but often introduce issues like block artifacts, blurring, and distortions in the decompressed images. Hence, we propose the Global Feature-Assisted Segmentation Compression Network (GFSCompNet) as a solution for high compression ratio lossy compression. Initially, we design a segmentation network utilizing a dual-branch global feature-assisted segmentation approach to precisely detect small targets in remote sensing images. On the compression side of the network, we leverage an attention mechanism and code rate allocation technique to seamlessly merge the segmented small target information with the original image, thereby allocating a higher compression code rate to the small target region. Furthermore, a joint hyper-priority decoding and entropy coding estimation network is proposed to further remove the redundancy in the potential representation and improve the compression ratio. Experimental results conducted under conditions of high compression ratios and comparable bit rates demonstrate that our approach yields higher-quality reconstructed images compared to the JPEG algorithm and outperforms other deep learning-based image compression methods. Additionally, it effectively preserves small target information, thereby enhancing the interpretability of machine learning models.",Remote sensing image,Image compression,Semantic segmentation,Feature fusion,Separate hyperprior decoders,,,,,,,,,,,,,,,,
Row_915,"Shen, Zhengwei","Shang, Yongheng","Zhang, Xiaoyu","Yin, Jianwei","Han, Jun",CMMSNet:A Multi-modal Semantic Segmentation Network for Rooftop Extraction based on SAR and Optical Images,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,2024,0,"Distributed rooftop photovoltaic systems hold immense potential for renewable energy generation, and accurate extraction of building roofs from high-resolution remote sensing imagery is crucial for their development. While current semantic segmentation methods primarily rely on single-modality optical images, Synthetic Aperture Radar (SAR) offers complementary ground information that can significantly enhance segmentation accuracy. However, the modality disparities arising from different imaging mechanisms pose challenges in feature fusion between SAR and optical images, existing approaches rely on simplistic fusion methods to exploit the complementary information of each modality, ignoring the correlative information between the different modalities during feature extraction, this results in an insufficient integration of complementary information.To address these challenges, we introduce CMMSNet, a novel multi-modal fusion semantic segmentation network specifically designed for building roof extraction. The main architecture of CMMSNet is constituted by three three core modules: the feature extraction encoder module, the heterogeneous modality alignment module, and the modality fusion decoder module. Initially, dual independent pyramid-structured encoders are employed by CMMSNet to separately extract feature pyramids from SAR and optical images at various scales, this strategy is intended to capture multi-scale semantic contexts and address the issue of large spatial scale variations among different objects in remote sensing images. Furthermore, an Adaptive Feature Alignment Module (AFAM) is introduced, tasked with identifying correlative information between the two modalities from a spatial dimension and aligning the modal features accordingly, this process is crucial for facilitating cross-modal learning and in enhancing the feature representation of each modality. In addition, a Cross-Modal Multi-Scale Feature Fusion (CMMSFF) module is designed to effectively integrates multi-scale and multi-modal heterogeneous features from both modalities, this module employs a channel self-attention mechanism, which adaptively fuses discriminative features by applying weights to each modality and selectively discarding irrelevant components, thus enhancing the selection and fusion of key channels within the multimodal features set. This innovative approach allows us to harness the complementary information provided by SAR and optical images, enhancing the overall segmentation performance. A series of comprehensive experiments conducted on the DFC23 dataset demonstrate that our proposed CMMSNet outperforms other existing mainstream semantic segmentation methods in both stability and effectiveness, including both single-modal and multi-modal approaches. This achievement sets a new benchmark for the extraction of building rooftop through the use of multi-modal remote sensing images. Our findings highlight the importance of leveraging multi-modal data fusion in addressing real-world challenges in remote sensing image analysis and offer valuable insights for future research in this domain.",Building extraction,Multi-modal fusion,Remote sensing,semantic segmentation,,,,,,,,"Cai, Chao",,,,,,,,,
Row_916,"Lekavicius, Justinas","Gruzauskas, Valentas",,,,Data Augmentation with Generative Adversarial Network for Solar Panel Segmentation from Remote Sensing Images,ENERGIES,JUL 2024,2,"With the popularity of solar energy in the electricity market, demand rises for data such as precise locations of solar panels for efficient energy planning and management. However, these data are not easily accessible; information such as precise locations sometimes does not exist. Furthermore, existing datasets for training semantic segmentation models of photovoltaic (PV) installations are limited, and their annotation is time-consuming and labor-intensive. Therefore, for additional remote sensing (RS) data creation, the pix2pix generative adversarial network (GAN) is used, enriching the original resampled training data of varying ground sampling distances (GSDs) without compromising their integrity. Experiments with the DeepLabV3 model, ResNet-50 backbone, and pix2pix GAN architecture were conducted to discover the advantage of using GAN-based data augmentations for a more accurate RS imagery segmentation model. The result is a fine-tuned solar panel semantic segmentation model, trained using transfer learning and an optimal amount-60% of GAN-generated RS imagery for additional training data. The findings demonstrate the benefits of using GAN-generated images as additional training data, addressing the issue of limited datasets, and increasing IoU and F1 metrics by 2% and 1.46%, respectively, compared with classic augmentations.",deep learning,solar panels,semantic segmentation,data augmentation,generative adversarial network,remote sensing,transfer learning,,,,,,,,,,,,,,
Row_917,"Xiao, Tao","Liu, Yikun","Huang, Yuwen","Yang, Gongping",,MFRNet: A Multipath Feature Refinement Network for Semantic Segmentation in High-Resolution Remote Sensing Images,REMOTE SENSING LETTERS,DEC 2 2022,3,"Deep convolutional neural networks have made significant progress in the field of intelligent analysis of remote-sensing images. However, the semantic segmentation task in high-resolution remote-sensing (HRRS) images always faces the problem of large-scale variation and complex background samples, which causes difficulties in distinguishing confusable ground objects. In this letter, we propose a novel multipath feature refinement network (MFRNet) to alleviate the above problems. We design the feature refinement module (FRM) to fuse features at various scales, which helps to capture different levels of spatial information. It also alleviates the boundary ambiguity problem by enhancing the learning of features with boundary information. The multiscale feature attention module (MFAM) combines atrous convolution and non-local block to obtain larger receptive fields and long-range contextual information, while the feature fusion module (FFM) balances semantic and spatial information, further improving the embedding of locally discriminative features. Experimental results on ISPRS Potsdam and LoveDA datasets indicate that the proposed MFRNet outperforms other semantic segmentation methods and excels in the accuracy and consistency of object boundary segmentation.",,,,,,,,,,,,,,,,,,,,,
Row_918,"Guan, Renchu","Wang, Mingming","Bruzzone, Lorenzo","Zhao, Haishi","Yang, Chen",Lightweight Attention Network for Very High-Resolution Image Semantic Segmentation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2023,14,"Semantic segmentation is one of the most challenging tasks for very high-resolution (VHR) remote sensing applications. Deep convolutional neural networks (DCNNs) based on the attention mechanism have shown outstanding performance in VHR remote sensing images semantic segmentation. However, the existing attention-guided methods require the estimation of a large number of parameters that are affected by the limited number of available labeled samples that results in underperforming segmentation results. In this article, we propose a multistage feature fusion lightweight (MSFFL) model to greatly reduce the number of parameters and improve the accuracy of semantic segmentation. In this model, two parallel enhanced attention modules, i.e., the spatial attention module (SAM) and the channel attention module (CAM), are designed by introducing encoding position information. Then, a covariance calculation strategy is adopted to recalibrate the generated attention maps. The integration of enhanced attention modules into the proposed lightweight module results in an efficient lightweight attention network (LiANet). The performance of the proposed LiANet is assessed on two benchmark datasets. Experimental results demonstrate that LiANet can achieve promising performance with a small number of parameters.",Semantic segmentation,Remote sensing,Semantics,Feature extraction,Task analysis,Computational modeling,Covariance matrices,Covariance,lightweight,position information,remote sensing,,,,,,semantic segmentation,very high-resolution (VHR) images,,,
Row_919,"Huang, Xin","Wang, Wenrui","Li, Jiayi","Wang, Leiguang","Xie, Xing",A Stepwise Refining Image-Level Weakly Supervised Semantic Segmentation Method for Detecting Exposed Surface for Buildings (ESB) From Very High-Resolution Remote Sensing Images,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,6,"Exposed surface for buildings (ESB), which refers to exposed surfaces with traces of building construction, often leads to urban dust. Accurate ESB detection is important for planning urban development and improving urban environment. Fine-grained monitoring of ESB typically needs massive high-quality pixel-level labels, which are demanding and expensive. In contrast, obtaining cost-efficient image-level labels is more promising. Most image-level weakly supervised methods can extract pixel-level pseudo labels using the class activation map (CAM) generated by the classification network. Subsequently, these labels are applied to train the semantic segmentation network. However, the CAM is easy to miss fine-grained information, which leads to label noise. Moreover, the downsampling in the segmentation networks will further loss the spatial information. Furthermore, the sparse distribution and irregular shape of ESB pose additional challenges. Given these problems, we propose a stepwise refining image-level weakly supervised semantic segmentation method (SRIWS): 1) we introduce a new data augmentation method called SRMix to oversample the classification dataset; 2) we propose a two-branch network with a superpixel pooling layer (SPNet) as the semantic segmentation network to capture both global semantic information and spatial details; and 3) to alleviate the impact of potential noise in the initial labels, we design the high-confidence sample filtering operation (HSF) during the SPNet training. The evaluation experiments for the SRIWS were performed on three datasets. The results confirm that our proposed SRIWS presents a superior performance in recognizing ESB compared with existing state-of-the-art methods. In addition, numerous ablation experimental results indicate the effectiveness and robustness of our SRIWS.",Exposed surface for buildings (ESB),image-level samples,very high-resolution remote sensing (VHR) images,weakly supervised semantic segmentation,,,,,,,,,,,,,,,,,
Row_920,"Lumban-Gaol, Y. A.","Rizaldy, A.","Murtiyoso, A.",,,COMPARISON OF DEEP LEARNING ARCHITECTURES FOR THE SEMANTIC SEGMENTATION OF SLUM AREAS FROM SATELLITE IMAGES,,2023,1,"The mapping of slum areas is an important task when considering the necessity for an inclusive, safe and resilient cities. While many methods exist in this regard, the use of machine learning and more specifically deep learning has gained traction in recent years. In this paper, we present a systematic comparison of existing deep learning architectures and backbones. The experiments in the paper investigate the question of which architecture and backbone combination and which configuration of dataset preparation is best for use in slum mapping. In another experiment we implemented the trained model to predict slums in existing open data. The experiments in the paper used public open data provided by Helber et al. (2018). Results show that FPN with vgg16 backbone showed the most potential in this particular application. The results of the semantic segmentation also shows promise, although the discrepancy in slum characteristic still hinders a proper generalization of its use.",deep learning,semantic segmentation,slums,remote sensing,,,,,,,,,,,,,,,,"GEOSPATIAL WEEK 2023, VOL. 48-1",
Row_921,"Song, A.",,,,,Semantic Segmentation of UAV image using Combined U-net and heterogeneous UAV imagery datasets,,2022,0,"Semantic segmentation of urban areas can provide useful information for analyzing and detecting changes in urban development. Recently, numerous remote sensing image datasets from various platforms have been acquired, and various semantic segmentation studies using them have been conducted. However, they do not contain many images because of their large data capacity and difficulty in constructing label data. Furthermore, it is difficult to use them simultaneously because each dataset has a different spatial resolution, shooting angle, and meaningful objects. In this study, two different UAV image datasets, such as UAVid semantic segmentation and semantic drone datasets, were used to train a combined U-net model to use heterogeneous remote sensing datasets for semantic segmentation tasks simultaneously. The UAVid dataset has a flight height of 50 m and 300 images with eight classes. However, the semantic drone dataset was acquired at an altitude of 5-30 m above the ground and contains 598 images with 20 classes. The combined U-net model is based on the U-net architecture, but it receives input from two different data sources. The experimental results showed that learning two datasets with a combined U-net improved semantic segmentation accuracy more than learning each data with a U-net. This study confirms the ability to train two different datasets acquired from different places and platforms simultaneously; thus, evaluating the applicability of semantic segmentation studies using heterogeneous remote sensing datasets.",Semantic segmentation,UAV,combined U-net,heterogeneous dataset,,,,,,,,,,,,,,,,REMOTE SENSING TECHNOLOGIES AND APPLICATIONS IN URBAN ENVIRONMENTS VII,
Row_922,"Zhang, Junping","Li, Tong","Lu, Xiaochen","Cheng, Zhen",,Semantic Classification of High-Resolution Remote-Sensing Images Based on Mid-level Features,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,JUN 2016,37,"With the resolution improvement of the remote-sensing images, more details are shown clearly. The challenge that comes along is how to boost the relatively low classification accuracy caused by using pixel-based image classification approaches and low-level visual structure. The low-level features (LLF) may not well describe the image due to the semantic gap between low-level visual features and high-level semantics of images. The bag-of-visual-words (BOV) model which generates mid-level features was proposed to bridge the two levels. However, it generally neglects the context information between local patches. In this paper, an object-oriented semantic classification algorithm that combines BOV with the optimal segmentation scale is presented. In this algorithm, BOV addresses the problem of the representation of mid-level for scenes, while the optimal segmentation scale intends to overcome the defect of conventional BOV in lacking of relationship between image patches and to give more thorough description. The object-based BOV is presented to construct mid-level representations for object description instead of LLF, and histogram intersection kernel (HIK) is introduced in support vector machine (SVM) for classification. The experiments conducted on three datasets testify the superiority of the proposed algorithm.",Bag-of-visual-words (BOV),mid-level representations,multiscale segmentation,object-oriented,semantic classification,,,,,,,,,,,,,,,,
