,author1,author2,author3,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author4,conference,author5,keyword6,author6,author7,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,author8,author9,author10,author11,keyword13,keyword14,keyword15,keyword16,author12
Row_1118,"Florea, Corneliu","Burghiu, Alexandru","Ivanovici, Mihai",LOGIT-BASED SUPERPIXEL SEMANTIC SEGMENTATION OF IMAGES FOR PRECISION AGRICULTURE,UNIVERSITY POLITEHNICA OF BUCHAREST SCIENTIFIC BULLETIN SERIES C-ELECTRICAL ENGINEERING AND COMPUTER SCIENCE,2024,0,"In this work we approach the problem of remote sensing image segmentation using a classical approach: the image is first segmented and, subsequently, each segment is labeled using a classifier. For segmentation, we rely on a superpixel framework and several methods are evaluated. For the classifier, again, several stateof-the-art algorithms are tested and performances are compared. The best performing method is obtained by a modified SEED superpixel algorithm with boosted trees for classification. The evaluation is carried out on the Agriculture -Vision database and the results are encouraging.",Superpixel,Logit,Boosted trees,Remote Sensing,Semantic segmentation,,,,Precision Agriculture,,,,,,,,,,,,,,,,,
Row_1119,"Hu, Yaosi","Chen, Zhenzhong","Lin, Weiyao",RGB-D SEMANTIC SEGMENTATION: A REVIEW,,2018,2,"Semantic segmentation aims at giving a class label for each pixel on the image according to its semantic meaning. This problem is one of the most challenging tasks in computer vision, and has received a lot of attention from the computer vision community. In particular, with the popularity of depth cameras, many researchers have used rich structural information of depth data to assist semantic segmentation. In this paper, we have conducted a concise review of RGB-D semantic segmentation methods, including traditional method and deep learning method. In addition, discussions on RGB-D semantic segmentation are also provided.",Semantic segmentation,RGB-D datasets,deep learning,,,,2018 IEEE INTERNATIONAL CONFERENCE ON MULTIMEDIA & EXPO WORKSHOPS (ICMEW 2018),,,,,,,,,,,,,,,,,,,
Row_1120,"Sener, Abdullah","Ergen, Burhan",,LandslideSegNet: an effective deep learning network for landslide segmentation using remote sensing imagery,EARTH SCIENCE INFORMATICS,OCT 2024,2,"In recent years, remote sensing technologies have played a crucial role in the detection and management of natural disasters. In this context, deep learning models are of great importance for the early detection of natural disasters such as landslides. Landslide segmentation is a fundamental tool for the development of geographic information systems, natural disaster management and risk mitigation strategies. In this study, we propose a new semantic segmentation model called LandslideSegNet to improve early intervention capabilities for potential landslide scenarios. LandslideSegNet incorporates an encoder-decoder architecture that integrates local and contextual information, advanced encoder-decoder residual blocks and Efficient Hybrid Attentional Atrous Convolution. Thanks to this structure, the model is able to extract high-resolution feature maps from remote sensing imagery, accurately delineate the landslide areas and minimize the loss of contextual information. The developed LandslideSegNet model has shown significantly higher accuracy rates with fewer parameters compared to existing image segmentation models. The model was trained and tested using the Landslide4Sense dataset specially prepared for landslide detection. LandslideSegNet achieved an accuracy of 97.60% and 73.65% mean Intersection over Union of 73.65 on this dataset, demonstrating its efficiency. These results indicate the potential usability of the model in landslide detection and related disaster management applications.",Natural disasters,Landslide detection,Semantic segmentation,Lightweight convolutional neural networks,LandslideSegNet,,,,,,,,,,,,,,,,,,,,,
Row_1121,"Hao, Xuejie","Yin, Lizeyan","Li, Xiuhong",A Multi-Objective Semantic Segmentation Algorithm Based on Improved U-Net Networks,REMOTE SENSING,APR 2023,11,"The construction of transport facilities plays a pivotal role in enhancing people's living standards, stimulating economic growth, maintaining social stability and bolstering national security. During the construction of transport facilities, it is essential to identify the distinctive features of a construction area to anticipate the construction process and evaluate the potential risks associated with the project. This paper presents a multi-objective semantic segmentation algorithm based on an improved U-Net network, which can improve the recognition efficiency of various types of features in the construction zone of transportation facilities. The main contributions of this paper are as follows: A multi-class target sample dataset based on UAV remote sensing and construction areas is established. A new virtual data augmentation method based on semantic segmentation of transport facility construction areas is proposed. A semantic segmentation model for the construction regions based on data augmentation and transfer learning is developed and future research directions are given. The results of the study show that the validity of the virtual data augmentation approach has been verified; the semantic segmentation of the transport facility model can semantically segment a wide range of target features. The highest semantic segmentation accuracy of the feature type was 97.56%.",semantic segmentation,U-Net,data augmentation,virtual sample,construction of transport facilities,"Zhang, Le",,"Yang, Rongjin",,,,,,,,,,,,,,,,,,
Row_1122,"Wang, Yuanzhi","Zhao, Qingzhan","Wu, Yuzhen",SCA-Net: Multiscale Contextual Information Network for Building Extraction Based on High-Resolution Remote Sensing Images,REMOTE SENSING,SEP 2023,10,"Accurately extracting buildings is essential for urbanization rate statistics, urban planning, resource allocation, etc. The high-resolution remote sensing images contain rich building information, which provides an important data source for building extraction. However, the extreme abundance of building types with large differences in size, as well as the extreme complexity of the background environment, result in the accurate extraction of spatial details of multi-scale buildings, which remains a difficult problem worth studying. To this end, this study selects the representative Xinjiang Tumxuk urban area as the study area. A building extraction network (SCA-Net) with feature highlighting, multi-scale sensing, and multi-level feature fusion is proposed, which includes Selective kernel spatial Feature Extraction (SFE), Contextual Information Aggregation (CIA), and Attentional Feature Fusion (AFF) modules. First, Selective kernel spatial Feature Extraction modules are used for cascading composition, highlighting information representation of features, and improving the feature extraction capability. Adding a Contextual Information Aggregation module enables the acquisition of multi-scale contextual information. The Attentional Feature Fusion module bridges the semantic gap between high-level and low-level features to achieve effective fusion between cross-level features. The classical U-Net, Segnet, Deeplab v3+, and HRNet v2 semantic segmentation models are compared on the self-built Tmsk and WHU building datasets. The experimental results show that the algorithm proposed in this paper can effectively extract multi-scale buildings in complex backgrounds with IoUs of 85.98% and 89.90% on the two datasets, respectively. SCA-Net is a suitable method for building extraction from high-resolution remote sensing images with good usability and generalization.",high-resolution remote sensing imagery,building extraction,deep learning,semantic segmentation,,"Tian, Wenzhong",,"Zhang, Guoshun",,,,,,,,,,,,,,,,,,
Row_1123,"Majidizadeh, A.","Hasani, H.","Jafari, M.",SEMANTIC SEGMENTATION OF UAV IMAGES BASED ON U-NET IN URBAN AREA,,2023,1,"Semantic segmentation of aerial data has been one of the leading researches in the field of photogrammetry, remote sensing, and computer vision in recent years. Many applications, including airborne mapping of urban scenes, object positioning in aerial images, automatic extraction of buildings from remote sensing or high-resolution aerial images, etc., require accurate and efficient segmentation algorithms. According to the high potential of deep learning algorithms in the classification of complex scenes, this paper aims to train a deep learning model to evaluate the semantic segmentation accuracy of UAV-based images in urban areas. The proposed method implements a deep learning framework based on the U-Net encoder-decoder architecture, which extracts and classifies features through layers of convolution, max pooling, activation, and concatenation in an end-to-end process. The obtained results compare with two traditional machine learning models, Random Forest (RF) and Multi-Layer Perceptron (MLP). They rely on two steps that involve extracting features and classifying images. In this study, the experiments are performed on the UAVid2020 semantic segmentation dataset from the ISPRS database. Results show the effectiveness of the proposed deep learning framework, so that the U-Net architecture achieved the best results with 75.15% overall accuracy, compared to RF and MLP algorithms with 52.51% and 54.65% overall accuracy, respectively.",Semantic Segmentation,UAV,Deep Learning,Convolutional Neural Network,Encoder-Decoder Architecture,,"ISPRS GEOSPATIAL CONFERENCE 2022, JOINT 6TH SENSORS AND MODELS IN PHOTOGRAMMETRY AND REMOTE SENSING, SMPR/4TH GEOSPATIAL INFORMATION RESEARCH, GIRESEARCH CONFERENCES, VOL. 10-4",,UNet,,,,,,,,,,,,,,,,,
Row_1124,"Bassier, M.",,,ON THE SEMANTIC SEGMENTATION AND VALIDATION OF ELECTRICAL SUBSTATIONS,,2023,0,"Converting deep learning methods from benchmark testing to real applications is highly sought after both in academia and the industry. Key challenges that remain are the performance of the methods on new datasets, the preprocessing of the data and the integration of the results into application pipelines. Specifically for the implementation of semantic segmentation procedures, each of these challenges are still very much the subject of research. In this paper, we present a testcase to digitally twin and validate an electrical substation. Concretely, we discuss the data processing, training and the follow up integration of the results in the validation pipeline. In the experiments, we show that 86% initial F1-score can be achieved using the proper transfer learning on 14 classes and that this results in a 97% recall on the validation and 80% recall on the digitization of the substation. Overall, we show that the segmentation significantly contributes to these processes and that they are absolutely necessary for the automation of the digital twinning.",Semantic segmentation,Scan-vs-CAD,Modeling,Deep learning,point clouds,,"GEOSPATIAL WEEK 2023, VOL. 48-1",,Remote sensing,,,,,,,,,,,,,,,,,
Row_1125,"Zhou, Xixuan","Wang, Jinyu","Zheng, Fengjie",An Overview of Coastline Extraction from Remote Sensing Data,REMOTE SENSING,OCT 2023,9,"The coastal zone represents a unique interface between land and sea, and addressing the ecological crisis it faces is of global significance. One of the most fundamental and effective measures is to extract the coastline's location on a large scale, dynamically, and accurately. Remote sensing technology has been widely employed in coastline extraction due to its temporal, spatial, and sensor diversity advantages. Substantial progress has been made in coastline extraction with diversifying data types and information extraction methods. This paper focuses on discussing the research progress related to data sources and extraction methods for remote sensing-based coastline extraction. We summarize the suitability of data and some extraction algorithms for several specific coastline types, including rocky coastlines, sandy coastlines, muddy coastlines, biological coastlines, and artificial coastlines. We also discuss the significant challenges and prospects of coastline dataset construction, remotely sensed data selection, and the applicability of the extraction method. In particular, we propose the idea of extracting coastlines based on the coastline scene knowledge map (CSKG) semantic segmentation method. This review serves as a comprehensive reference for future development and research pertaining to coastal exploitation and management.",coastline extraction,remote sensing,deep learning,remote sensing knowledge map,,"Wang, Haoyu",,"Yang, Haitao",,,,,,,,,,,,,,,,,,
Row_1126,"Hong, T.","Ma, X.","Wang, X.",MAPMaN: Multi-Stage U-Shaped Adaptive Pattern Matching Network for Semantic Segmentation of Remote Sensing Images,COMPUTER GRAPHICS FORUM,OCT 2023,0,"Remote sensing images (RSIs) often possess obvious background noises, exhibit a multi-scale phenomenon, and are characterized by complex scenes with ground objects in diversely spatial distribution pattern, bringing challenges to the corresponding semantic segmentation. CNN-based methods can hardly address the diverse spatial distributions of ground objects, especially their compositional relationships, while Vision Transformers (ViTs) introduce background noises and have a quadratic time complexity due to dense global matrix multiplications. In this paper, we introduce Adaptive Pattern Matching (APM), a lightweight method for long-range adaptive weight aggregation. Our APM obtains a set of pixels belonging to the same spatial distribution pattern of each pixel, and calculates the adaptive weights according to their compositional relationships. In addition, we design a tiny U-shaped network using the APM as a module to address the large variance of scales of ground objects in RSIs. This network is embedded after each stage in a backbone network to establish a Multi-stage U-shaped Adaptive Pattern Matching Network (MAPMaN), for nested multi-scale modeling of ground objects towards semantic segmentation of RSIs. Experiments on three datasets demonstrate that our MAPMaN can outperform the state-of-the-art methods in common metrics. The code can be available at .",CCS Concepts,center dot Computing methodologies -> Neural networks,Image segmentation,,,"Che, R.",,"Hu, C.",,"Feng, T.","Zhang, W.",,,,,,,,,,,,,,,
Row_1127,"Lin, Xufeng","Cheng, Youwei","Chen, Gong",Semantic Segmentation of China's Coastal Wetlands Based on Sentinel-2 and Segformer,REMOTE SENSING,AUG 2023,9,"Concerning the ever-changing wetland environment, the efficient extraction of wetland information holds great significance for the research and management of wetland ecosystems. China's vast coastal wetlands possess rich and diverse geographical features. This study employs the SegFormer model and Sentinel-2 data to conduct a wetland classification study for coastal wetlands in Yancheng, Jiangsu, China. After preprocessing the Sentinel data, nine classification objects (construction land, Spartina alterniflora (S. alterniflora), Suaeda salsa (S. salsa), Phragmites australis (P. australis), farmland, river system, aquaculture and tidal falt) were identified based on the previous literature and remote sensing images. Moreover, mAcc, mIoU, aAcc, Precision, Recall and F-1 score were chosen as evaluation indicators. This study explores the potential and effectiveness of multiple methods, including data image processing, machine learning and deep learning. The results indicate that SegFormer is the best model for wetland classification, efficiently and accurately extracting small-scale features. With mIoU (0.81), mAcc (0.87), aAcc (0.94), mPrecision (0.901), mRecall (0.876) and mFscore (0.887) higher than other models. In the face of unbalanced wetland categories, combining CrossEntropyLoss and FocalLoss in the loss function can improve several indicators of difficult cases to be segmented, enhancing the classification accuracy and generalization ability of the model. Finally, the category scale pie chart of Yancheng Binhai wetlands was plotted. In conclusion, this study achieves an effective segmentation of Yancheng coastal wetlands based on the semantic segmentation method of deep learning, providing technical support and reference value for subsequent research on wetland values.",deep learning,semantic segmentation,SegFormer,coastal wetland,remote sensing images,"Chen, Wenjing",,"Chen, Rong",machine learning,"Gao, Demin","Zhang, Yinlong",,,,,,,"Wu, Yongbo",,,,,,,,
Row_1128,"Liu, Tao","Ye, Yun","Lei, Zhengling",A New Efficient Ship Detection Method Based on Remote Sensing Images by Device-Cloud Collaboration,JOURNAL OF MARINE SCIENCE AND ENGINEERING,AUG 2024,0,"Fast and accurate detection of ship objects in remote sensing images must overcome two critical problems: the complex content of remote sensing images and the large number of small objects reduce ship detection efficiency. In addition, most existing deep learning-based object detection models require vast amounts of computation for training and prediction, making them difficult to deploy on mobile devices. This paper focuses on an efficient and lightweight ship detection model. A new efficient ship detection model based on device-cloud collaboration is proposed, which achieves joint optimization by fusing the semantic segmentation module and the object detection module. We migrate model training, image storage, and semantic segmentation, which require a lot of computational power, to the cloud. For the front end, we design a mask-based detection module that ignores the computation of nonwater regions and reduces the generation and postprocessing time of candidate bounding boxes. In addition, the coordinate attention module and confluence algorithm are introduced to better adapt to the environment with dense small objects and substantial occlusion. Experimental results show that our device-cloud collaborative approach reduces the computational effort while improving the detection speed by 42.6% and also outperforms other methods in terms of detection accuracy and number of parameters.",ship detection,remote sensing image,device-cloud collaboration,semantic segmentation,,"Huo, Yuchi",,"Zhang, Xiaocai",,"Wang, Fang","Sha, Mei",,,,,,,"Wu, Huafeng",,,,,,,,
Row_1129,"Zheng, Daoyuan","Wang, Shaohua","Feng, Haixia",Weakly Supervised Building Extraction From High-Resolution Remote Sensing Images Based on Building-Aware Clustering and Activation Refinement Network,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,1,"Weakly supervised building extraction methods, utilizing image-level labels, offer a cost-effective solution by significantly reducing the need for pixel-level annotation in high-resolution (HR) remote sensing (RS) images. These methods often focus on class activation map (CAM) optimization based on features extracted from individual images, missing out on the benefits of associating building features from multiple RS images (i.e., n images) to improve CAMs. This limitation leaves room for improvement in both CAM optimization and pseudo-mask generation. To address this, we propose the building-aware clustering and activation refinement network (BAC-AR-Net), a novel weakly supervised network to enhance weakly supervised building extraction performance. The building-aware clustering (BAC) module aggregates and clusters feature maps from multiple building samples to obtain common features of buildings. The common features are subsequently used to extract regions with similar building semantics, thereby enhancing the accuracy and completeness of building coverage in CAMs. Additionally, the activation refinement module is designed to generate pseudo-masks with clear boundaries and an effective separation of buildings and background. Experiments were conducted on the ISPRS Potsdam and Vaihingen datasets as well as a self-built building dataset to verify the effectiveness of our proposed method. The results show the proposed method outperforms both the weakly supervised semantic segmentation and weakly supervised building extraction methods that use image-level labels, achieving IoU accuracies of 0.8556, 0.8163, and 0.7797 on the respective datasets. This study introduces a novel weakly supervised learning framework to the RS application, with a particular focus on building extraction and semantic segmentation tasks.",Building extraction,high-resolution (HR) remote sensing (RS) images,image-level labels,weakly supervised semantic segmentation,Building extraction,"Wang, Shunli",,"Ai, Mingyao",high-resolution (HR) remote sensing (RS) images,"Zhao, Pengcheng","Li, Jiayuan",image-level labels,weakly supervised semantic segmentation,,,,,"Hu, Qingwu",,,,,,,,
Row_1130,"Wang, Jue","Zhong, Yanfei","Zhang, Liangpei",Semantic Change Detection Based on Supervised Contrastive Learning for High-Resolution Remote Sensing Imagery,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,0,"Semantic change detection (SCD) for high-resolution remote sensing imagery involves simultaneously locating the changed regions and identifying the semantic change categories. Recently, a series of multitask Siamese networks have been proposed to model the SCD task by merging the binary change detection (BCD) results and the bitemporal land-cover classification (LCC) results. However, due to the large reflectance variability of the land cover in bitemporal high-resolution images, the land-cover feature clusters extracted by these methods are still considerably mixed, leading to the misidentification of change and their semantic changes types. In this article, to handle this problem, the SiamContrast method is proposed to learn temporally invariant discriminative land-cover features for SCD. As part of SiamContrast, a novel SCD contrastive loss (SCD-CL) is proposed to enhance the temporally invariant feature discrimination across bitemporal images. SCD-CL utilizes supervised contrastive learning and consists of two complementary components: mono-temporal contrastive loss (MCL) and cross-temporal contrastive loss (CCL). In particular, MCL contrasts the land-cover features within each temporal image, to enhance the mono-temporal feature discrimination. Meanwhile, CCL with a change-aware hard anchor sampling (CHAS) strategy contrasts the land-cover features across bitemporal images, to align the land cover features of the same category. To validate the effectiveness of SCD-CL, the SiamContrast method incorporates a difference feature pyramid (DFP) decoder, which leverages feature distance to model changes, allowing it to directly benefit from the discriminative features learned by SCD-CL. The comprehensive experimental results consistently confirm the effectiveness of the proposed SiamContrast in improving SCD performance, compared with the existing SCD methods. The code is available at https://github.com/wdczs/SiamContrast.",Change detection,fully convolutional network (FCN),multitask learning,multitask learning,semantic change detection (SCD),,,,semantic change detection (SCD),,,semantic segmentation,semantic segmentation,Siamese network,Siamese network,Siamese network,,,,,,,,,,
Row_1131,"Su, Yu-Chen","Liu, Tsung-Jung","Liu, Kuan-Hsien",Wavelet Frequency Channel Attention on Remote Sensing Image Segmentation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,0,"In recent development of semantic segmentation, the deep convolutional encoder-decoder has become mainstream schemes for remote sensing images. In this paper, we proposed a U-Net like architecture for segmentation of remote sensing images using wavelet frequency channel attention (WFCA) blocks.",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_1132,"Tao, Wancheng","Xie, Zixuan","Zhang, Ying",Corn Residue Covered Area Mapping with a Deep Learning Method Using Chinese GF-1 B/D High Resolution Remote Sensing Images,REMOTE SENSING,AUG 2021,9,"Black soil is one of the most productive soils with high organic matter content. Crop residue covering is important for protecting black soil from alleviating soil erosion and increasing soil organic carbon. Mapping crop residue covered areas accurately using remote sensing images can monitor the protection of black soil in regional areas. Considering the inhomogeneity and randomness, resulting from human management difference, the high spatial resolution Chinese GF-1 B/D image and developed MSCU-net+C deep learning method are used to mapping corn residue covered area (CRCA) in this study. The developed MSCU-net+C is joined by a multiscale convolution group (MSCG), the global loss function, and Convolutional Block Attention Module (CBAM) based on U-net and the full connected conditional random field (FCCRF). The effectiveness of the proposed MSCU-net+C is validated by the ablation experiment and comparison experiment for mapping CRCA in Lishu County, Jilin Province, China. The accuracy assessment results show that the developed MSCU-net+C improve the CRCA classification accuracy from IOUAVG = 0.8604 and Kappa(AVG) = 0.8864 to IOUAVG = 0.9081 and Kappa(AVG) = 0.9258 compared with U-net. Our developed and other deep semantic segmentation networks (MU-net, GU-net, MSCU-net, SegNet, and Dlv3+) improve the classification accuracy of IOUAVG/Kappa(AVG) with 0.0091/0.0058, 0.0133/0.0091, 0.044/0.0345, 0.0104/0.0069, and 0.0107/0.0072 compared with U-net, respectively. The classification accuracies of IOUAVG/Kappa(AVG) of traditional machine learning methods, including support vector machine (SVM) and neural network (NN), are 0.576/0.5526 and 0.6417/0.6482, respectively. These results reveal that the developed MSCU-net+C can be used to map CRCA for monitoring black soil protection.",corn residue covered area,GF-1 B,D high resolution remote sensing images,deep semantic segmentation network,,"Li, Jiayu",,"Xuan, Fu",,"Huang, Jianxi","Li, Xuecao",,,,,,,"Su, Wei","Yin, Dongqin",,,,,,,
Row_1133,"Li, Lianfa",,,Deep Residual Autoencoder with Multiscaling for Semantic Segmentation of Land-Use Images,REMOTE SENSING,SEP 2019,27,"Semantic segmentation is a fundamental means of extracting information from remotely sensed images at the pixel level. Deep learning has enabled considerable improvements in efficiency and accuracy of semantic segmentation of general images. Typical models range from benchmarks such as fully convolutional networks, U-Net, Micro-Net, and dilated residual networks to the more recently developed DeepLab 3+. However, many of these models were originally developed for segmentation of general or medical images and videos, and are not directly relevant to remotely sensed images. The studies of deep learning for semantic segmentation of remotely sensed images are limited. This paper presents a novel flexible autoencoder-based architecture of deep learning that makes extensive use of residual learning and multiscaling for robust semantic segmentation of remotely sensed land-use images. In this architecture, a deep residual autoencoder is generalized to a fully convolutional network in which residual connections are implemented within and between all encoding and decoding layers. Compared with the concatenated shortcuts in U-Net, these residual connections reduce the number of trainable parameters and improve the learning efficiency by enabling extensive backpropagation of errors. In addition, resizing or atrous spatial pyramid pooling (ASPP) can be leveraged to capture multiscale information from the input images to enhance the robustness to scale variations. The residual learning and multiscaling strategies improve the trained model's generalizability, as demonstrated in the semantic segmentation of land-use types in two real-world datasets of remotely sensed images. Compared with U-Net, the proposed method improves the Jaccard index (JI) or the mean intersection over union (MIoU) by 4-11% in the training phase and by 3-9% in the validation and testing phases. With its flexible deep learning architecture, the proposed approach can be easily applied for and transferred to semantic segmentation of land-use variables and other surface variables of remotely sensed images.",residual learning,autoencoder,multiscale,atrous spatial pyramid pooling,semantic segmentation,,,,remotely sensed land-use images,,,,,,,,,,,,,,,,,
Row_1134,"Chen, Shiqi","Zhan, Ronghui","Zhang, Jun",Geospatial Object Detection in Remote Sensing Imagery Based on Multiscale Single-Shot Detector with Activated Semantics,REMOTE SENSING,JUN 2018,51,"Geospatial object detection from high spatial resolution (HSR) remote sensing imagery is a heated and challenging problem in the field of automatic image interpretation. Despite convolutional neural networks (CNNs) having facilitated the development in this domain, the computation efficiency under real-time application and the accurate positioning on relatively small objects in HSR images are two noticeable obstacles which have largely restricted the performance of detection methods. To tackle the above issues, we first introduce semantic segmentation-aware CNN features to activate the detection feature maps from the lowest level layer. In conjunction with this segmentation branch, another module which consists of several global activation blocks is proposed to enrich the semantic information of feature maps from higher level layers. Then, these two parts are integrated and deployed into the original single shot detection framework. Finally, we use the modified multi-scale feature maps with enriched semantics and multi-task training strategy to achieve end-to-end detection with high efficiency. Extensive experiments and comprehensive evaluations on a publicly available 10-class object detection dataset have demonstrated the superiority of the presented method.",high spatial resolution (HSR) remote sensing images,geospatial object detection,segmentation,semantic information,,,,,,,,,,,,,,,,,,,,,,
Row_1135,"Wang, Yongji","Tian, Zhihui","Qi, Qingwen",Double-Variance Measures: A Potential Approach to Parameter Optimization of Remote Sensing Image Segmentation,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2021,5,"The unsupervised segmentation evaluation (USE) method has been commonly used for remote sensing segmentation parameter (SP) determinations to produce good segmentation results, due to its objectiveness and high efficiency. Existing studies have used different criteria to measure homogeneity and heterogeneity and have used certain combination strategies to form overall evaluations. However, different criteria have unique statistical characteristics. The differentiated statistical characteristics maintained in homogeneity and heterogeneity calculations may result in inherent instability in the USE results, leading to unsuitable SP selections. Moreover, few studies have focused on the simultaneous determination of a single optimal SP and multiple optimal SPs. In this article, double-variance (DV) measures were proposed for recognizing more suitable SPs. Then, two combination strategies, F-measure and local peak (LP), were applied to test the potential of using DV measures to determine a single SP and multiple SPs, respectively. The multiresolution segmentation algorithm and Gaofen-1 data were used to test the proposed method. The comparative results indicated that the DV is a more promising internal homogeneity and external heterogeneity metric for segmentation evaluation and optimal SP determination compared to conventional methods. The F-measure-based DV method could produce better overall goodness of segmentation for differently sized natural geo-objects, compared with the competing methods. The LP-based DV method could obtain multiple optimal scales that produced better segments for the identification of small, natural geo-objects to large, semantic geo-objects, compared to the competitive methods.",Image segmentation,Image analysis,Remote sensing,Satellites,Licenses,"Wang, Jun",,,Image resolution,,,Optimization,Double-variance (DV),geographic-object-based image analysis (GEOBIA),image segmentation,parameter optimization,unsupervised evaluation,,,,,,,,,
Row_1136,"Luo, Yiyun","Wang, Jinnian","Yang, Xiankun",Pixel Representation Augmented through Cross-Attention for High-Resolution Remote Sensing Imagery Segmentation,REMOTE SENSING,NOV 2022,3,"Natural imagery segmentation has been transferred to land cover classification in remote sensing imagery with excellent performance. However, two key issues have been overlooked in the transfer process: (1) some objects were easily overwhelmed by the complex backgrounds; (2) interclass information for indistinguishable classes was not fully utilized. The attention mechanism in the transformer is capable of modeling long-range dependencies on each sample for per-pixel context extraction. Notably, per-pixel context from the attention mechanism can aggregate category information. Therefore, we proposed a semantic segmentation method based on pixel representation augmentation. In our method, a simplified feature pyramid was designed to decode the hierarchical pixel features from the backbone, and then decode the category representations into learnable category object embedding queries by cross-attention in the transformer decoder. Finally, pixel representation is augmented by an additional cross-attention in the transformer encoder under the supervision of auxiliary segmentation heads. The results of extensive experiments on the aerial image dataset Potsdam and satellite image dataset Gaofen Image Dataset with 15 categories (GID-15) demonstrate that the cross-attention is effective, and our method achieved the mean intersection over union (mIoU) of 86.2% and 62.5% on the Potsdam test set and GID-15 validation set, respectively. Additionally, we achieved an inference speed of 76 frames per second (FPS) on the Potsdam test dataset, higher than all the state-of-the-art models we tested on the same device.",land cover classification,transformer,cross-attention,object embedding queries,,"Yu, Zhenyu",,"Tan, Zixuan",,,,,,,,,,,,,,,,,,
Row_1137,"Liu, Chenying","Albrecht, Conrad M.","Wang, Yi",AIO2: Online Correction of Object Labels for Deep Learning With Incomplete Annotation in Remote Sensing Image Segmentation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,0,"While the volume of remote sensing (RS) data is increasing daily, deep learning in Earth observation (EO) faces lack of accurate annotations for supervised optimization. Crowdsourcing projects such as openstreetmap (OSM) distribute the annotation load to their community. However, such annotation inevitably generates noise due to insufficient control of the label quality, lack of annotators, frequent changes of the Earth's surface as a result of natural disasters, and urban development, among many other factors. We present adaptively triggered online object-wise label correction (AIO2) to address annotation noise induced by incomplete label sets. AIO2 features an adaptive correction trigger (ACT) module that avoids label correction when the model training under- or overfits, and an online object-wise label correction (O2C) methodology that employs spatial information for automated label modification. AIO2 utilizes a mean teacher model to enhance training robustness with noisy labels to both stabilize the training accuracy curve for fitting in ACT and provide pseudo labels for correction in O2C. Moreover, O2C is implemented online without the need to store updated labels every training epoch. We validate our approach on two building footprint segmentation datasets with different spatial resolutions. Experimental results with varying degrees of building label noise demonstrate the robustness of AIO2. Source code will be available at https://github.com/zhu-xlab/AIO2.git.",Building detection,curriculum learning,deep learning,early learning,label correction,"Li, Qingyu",,"Zhu, Xiao Xiang",memorization effects,,,noisy labels,remote sensing (RS),semantic segmentation,,,,,,,,,,,,
Row_1138,"Lian, Yanchao","Feng, Tuo","Zhou, Jinliu",A DENSE POINTNET plus plus ARCHITECTURE FOR 3D POINT CLOUD SEMANTIC SEGMENTATION,,2019,11,"3D point cloud data has been widely used in remote sensing mapping because it is not affected by lighting, shadows and other factors. How to improve the performance of semantic segmentation of 3D point cloud data has attracted more and more attention. Previous works connected shallow features in encoders directly with deep features in decoders, which will lead to semantic gap. In this paper, we propose a Dense PointNet++ architecture, called DPNet, for semantic segmentation of 3D point cloud data. In order to weaken the semantic gap, multiple nested up-sampling layers and a series of cumulative, short and long skip link concatenation are introduced in the network to obtain more abundant point cloud features. Grid map and model fusion are used to further correct the results of network segmentation. The experimental results on US3D data set show that DPNet is superior to existing advanced architectures, especially for the categories with small samples. Moreover, DPNet with grid map and model fusion ranks the first place in 2019 IEEE GRSS Data fusion contest 3D point cloud classification challenge.",3D point cloud semantic segmentation,DPNet,short and long skip link concatenation,grid map,,,2019 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2019),,,,,,,,,,,,,,,,,,,
