,author1,author2,author3,author4,author5,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,journal/book,author6,keyword8,keyword9,keyword10,keyword11,author7,author8,keyword12,keyword13,keyword14,keyword15,author9
Row_1402,"Li, Z.","Wu, B.","Chen, Z.","Ma, Y.",,TRANSFORMER-BASED METHOD FOR SEMANTIC SEGMENTATION AND RECONSTRUCTION OF THE MARTIAN SURFACE,"GEOSPATIAL WEEK 2023, VOL. 48-1",2023,0,"The last decade has witnessed a great advance in deep space exploration, such as the rover missions to Mars. Semantic information on the Martian surface is garnering more attention, for its ability to distinguish the surface landforms for rover traverse planning and facilitating 3D reconstruction. The state-of-the-art studies on semantic segmentation exclusively leveraged transformer-based methods, and the results have been verified to outperform the traditional convolutional neural networks. However, few datasets concerning the Martian surface have been generated, and the publicly available network models were all trained on the common Earth dataset. Constructing a pixel-wise semantic segmentation dataset requires lots of human labor, especially for training a large transformer network. Furthermore, the results of semantic segmentation were typically used for intuitive visualization but seldom exploited in the 3D reconstruction pipeline. To address these problems, this paper presents the following three contributions: (1) introducing an approach to generate a large dataset for Mars in a semi-automatic way; (2) development of a novel variant of transformer designed for multi-view semantic segmentation to improve the accuracy; (3) development of a semantic-aware dense image matching method for improved matching performances assisted with the semantic information. Experimental results using the dataset collected at the Zhurong landing site on Mars have shown superior performances of the proposed methods as compared with traditional methods.",Semantic segmentation,reconstruction,deep learning,transformer,,,,,,,,,,,,,,,,
Row_1403,"Sun, Dechao","Gao, Guang","Huang, Lijun","Liu, Yunpeng","Liu, Dongquan",Extraction of water bodies from high-resolution remote sensing imagery based on a deep semantic segmentation network,,JUN 25 2024,3,"The precise delineation of urban aquatic features is of paramount importance in scrutinizing water resources, monitoring floods, and devising water management strategies. Addressing the challenge of indistinct boundaries and the erroneous classification of shadowed regions as water in high-resolution remote sensing imagery, we introduce WaterDeep, which is a novel deep learning framework inspired by the DeepLabV3 + architecture and an innovative fusion mechanism for high- and low-level features. This methodology first creates a comprehensive dataset of high-resolution remote sensing images, then progresses through the Xception baseline network for low-level feature extraction, and harnesses densely connected Atrous Spatial Pyramid Pooling (ASPP) modules to assimilate multi-scale data into sophisticated high-level features. Subsequently, the network decoder amalgamates the elemental and intricate features and applies dual-line interpolation to the amalgamated dataset to extract aqueous formations from the remote images. Experimental evidence substantiates that WaterDeep outperforms its existing deep learning counterparts, achieving a stellar overall accuracy of 99.284%, FWIoU of 95.58%, precision of 97.562%, recall of 95.486%, and F1 score of 96.513%. It also excels in the precise demarcation of edges and the discernment of shadows cast by urban infrastructure. The superior efficacy of the proposed method in differentiating water bodies in complex urban environments has significant practical applications in real-world contexts.",Water bodies,Deep learning,Remote sensing imagery,Atrous spatial pyramid pooling,,,,SCIENTIFIC REPORTS,,,,,,,,,,,,
Row_1404,"Saha, Sudipan","Shahzad, Muhammad","Mou, Lichao","Song, Qian","Zhu, Xiao Xiang",Unsupervised Single-Scene Semantic Segmentation for Earth Observation,,2022,20,"Earth observation data have huge potential to enrich our knowledge about our planet. An important step in many Earth observation tasks is semantic segmentation. Generally, a large number of pixelwise labeled images are required to train deep models for supervised semantic segmentation. On the contrary, strong intersensor and geographic variations impede the availability of annotated training data in Earth observation. In practice, most Earth observation tasks use only the target scene without assuming availability of any additional scene, labeled or unlabeled. Keeping in mind such constraints, we propose a semantic segmentation method that learns to segment from a single scene, without using any annotation. Earth observation scenes are generally larger than those encountered in typical computer vision datasets. Exploiting this, the proposed method samples smaller unlabeled patches from the scene. For each patch, an alternate view is generated by simple transformations, e.g., addition of noise. Both views are then processed through a two-stream network and weights are iteratively refined using deep clustering, spatial consistency, and contrastive learning in the pixel space. The proposed model automatically segregates the major classes present in the scene and produces the segmentation map. Extensive experiments on four Earth observation datasets collected by different sensors show the effectiveness of the proposed method. Implementation is available at https://gitlab.lrz.de/ai4eo/cd/-/tree/main/unsupContrastiveSemanticSeg.",Earth,Image segmentation,Semantics,Training,Deep learning,Task analysis,Supervised learning,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,Deep learning,self-supervised learning,semantic segmentation,single-scene training,,,,,,,
Row_1405,"Zhang, Tingting","Hu, Danni","Wu, Chunxiao","Liu, Yundan","Yang, Jianyu",Large-scale apple orchard mapping from multi-source data using the semantic segmentation model with image- to- image translation and transfer learning,,OCT 2023,6,"Large-scale mapping of apple orchards through remote sensing is of great significance for apple production management and the sustainable development of the apple industry. The flexible unmanned aerial vehicle (UAV) data and a wide swath of Sentinel-2 (S2) data provided the opportunity to map apple orchards accurately and in a timely manner over a large area. In order to fully combine the advantages of these data and realize the accurate monitoring of apple orchards, this study proposed a semantic segmentation method based on Cycle-Consistent Generative Adversarial Networks (CycleGAN) and transfer learning model (Trans_GAN). First, semantic segmentation models (Fully Convolutional Networks, U-Net, SegNet, DeepLabv3+) were compared. The model with the best performance on both S2 and UAV was selected as the optimal apple orchard recognition model. Second, to solve the problem of domain differences between S2 and UAV, CycleGAN was introduced to convert UAV images into the style of S2 images (Fake S2, F_S2). Finally, this study introduced the transfer learning method and used the F_S2 to assist S2 images to complete the task of extracting large-scale apple planting. Trans_GAN was tested in Zibo and Yantai. The results showed the ability of SegNet to refine the segmentation results and, as a result, achieve the highest extraction accuracy on both UAV and S2 images. The proposed method produced results as high as 20.93% in recall and 15.93% in F1 when compared to the SegNet method based on S2 without image-to-image translation and transfer learning. Therefore, the Trans_GAN method opens a new window for large-scale remote sensing apple orchard mapping.",Apple orchard mapping,Remote sensing,Semantic segmentation,Transfer learning,Image-to-image translation,,,COMPUTERS AND ELECTRONICS IN AGRICULTURE,"Tang, Kaixuan",,,,,,,,,,,
Row_1406,"Yu, Mengqi","Huang, Hongzhi","Liu, Hong","He, Shuyi","Qiao, Fei",Optimizing FPGA-based Convolutional Encoder-Decoder Architecture for Semantic Segmentation,"2019 9TH IEEE ANNUAL INTERNATIONAL CONFERENCE ON CYBER TECHNOLOGY IN AUTOMATION, CONTROL, AND INTELLIGENT SYSTEMS (IEEE-CYBER 2019)",2019,3,"Convolutional neural networks (CNNs) for visual semantic segmentation have been attracting considerable attention recently because of their superior support for many significant tasks, such as autonomous driving, semantic SLAM (simultaneous localization and mapping) and remote sensing surveying and mapping. These kinds of applications generally need to he implemented on the smart terminals, which means that a kind of hardware platform with high energy efficiency and real-time performance is required. However, CNNs for semantic segmentation usually contain sonic, symmetrical encoders and decoders, corresponding to the down-sampling process (e.g., pooling, convolution) and the up-sampling process (e.g., unpooling, deconvolution). All of these processes are computing and storage intensive, which limits their applicability in the resource constrained embedded systems. In this paper, an FPGA-based accelerator programed by OpenCL is proposed. We evaluate its performance on the CamVid dataset. The global accuracy only drops by 2.04% with 8-bit quantization. Additionally, the system shows 48.89 GOPS and 2.4x real-time performance against CPU when running on an Arria-10 GX1150 device.",FPGA,Convolutional Neural Networks,Encoder-Decoder,Semantic Segmentation,Accelerator,,,,"Luo, Li",,,,,"Xie, Fugui","Liu, Xin-Jun",,,,,"Yang, Huazhong"
Row_1407,"Fan, Zhiyong","Hou, Jianmin","Zang, Qiang","Chen, Yunjie","Yan, Fei",River Segmentation of Remote Sensing Images Based on Composite Attention Network,,JAN 5 2022,8,"River segmentation of remote sensing images is of important research significance and application value for environmental monitoring, disaster warning, and agricultural planning in an area. In this study, we propose a river segmentation model in remote sensing images based on composite attention network to solve the problems of abundant river details in images and the interference of non-river information including bridges, shadows, and roads. To improve the segmentation efficiency, a composite attention mechanism is firstly introduced in the central region of the network to obtain the global feature dependence of river information. Next, in this study, we dynamically combine binary cross-entropy loss that is designed for pixel-wise segmentation and the Dice coefficient loss that measures the similarity of two segmentation objects into a weighted one to optimize the training process of the proposed segmentation network. The experimental results show that compared with other semantic segmentation networks, the evaluation indexes of the proposed method are higher than those of others, and the river segmentation effect of CoANet model is significantly improved. This method can segment rivers in remote sensing images more accurately and coherently, which can meet the needs of subsequent research.",,,,,,,,COMPLEXITY,,,,,,,,,,,,
Row_1408,"Saralioglu, Ekrem","Gungor, Oguz",,,,Semantic segmentation of land cover from high resolution multispectral satellite images by spectral-spatial convolutional neural network,,JAN 7 2022,41,"Research to improve the accuracy of very high-resolution satellite image classification algorithms is still one of the hot topics in the field of remote sensing. Successful results of deep learning methods in areas such as image classification and object detection have led to the application of these methods to remote sensing problems. Recently, Convolutional Neural Networks (CNNs) are among the most common deep learning methods used in image classification, however, the use of CNN's in satellite image classification is relatively new. Due to the high computational complexity of 3D CNNs, which aim to extract both spatial and spectral information, 2D CNNs focussing on the extraction of spatial information are often preferred. High-resolution satellite images, however, contain crucial spectral information as well as spatial information. In this study, a 3D-2D CNN model using both spectral and spatial information was applied to extract more accurate land cover information from very high-resolution satellite images. The model was applied on a Worldview-2 satellite image including agricultural product areas such as tea, hazelnut groves and land use classes such as buildings and roads. The results of the CNN based model were also compared against those of the Support Vector Machine (SVM) and Random Forest (RF) algorithms. The post-classification accuracies were obtained using 800 control points generated by a web interface created for crowdsourcing purposes. The classification accuracy was 95.6% for the 3D-2D CNN model, 89.2% for the RF and 86.4% for the SVM.",Remote sensing,classification,deep learning,semantic segmentation,,,,GEOCARTO INTERNATIONAL,,,,,,,,,,,,
Row_1409,"Liu, Wei","Kang, Ziwen","Liu, Jiawei","Lin, Yiyuan","Yu, Yongtao",A Multitask CNN-Transformer Network for Semantic Change Detection From Bitemporal Remote Sensing Images,,2024,0,"Bitemporal remote sensing (RS) semantic change detection (SCD) involves discerning and categorizing changes in the same geographical area across two RS images taken at different times. High-performance SCD approaches typically address this task using multitask networks that simultaneously handle binary change detection (BCD) and semantic segmentation (SS). Despite significant advancements in SCD research, constructing a multitask network that fully explores the correlation between BCD and SS remains challenging. To address this, we propose a novel approach called the multitask CNN-transformer network (MCTNet), tailored for SCD using bitemporal RS images. Our Siamese network simultaneously tackles SS and BCD via three subnetworks: two for SS and one for BCD. The methodology begins with a multiscale convolutional neural network (CNN) extracting local features from input images, and converting them into tokens. A Transformer module with an encoder-decoder architecture then captures long-range dependencies among these visual tokens. The extracted features are subsequently passed to multitask heads, generating predicted outputs. To ensure that the BCD results remain consistent regardless of the order of images in the input pair, we introduce spatiotemporal feature learning (SFL), enabling the acquisition of temporal-symmetric representations for BCD. Extensive experimental validation on the WHU-CD, SECOND, and HRSCD datasets demonstrates the effectiveness and efficiency of MCTNet for both SS and BCD tasks. The source code for this article will be published on GitHub in the future https://github.com/kangziwen1/MCTNet.",Feature extraction,Semantics,Convolutional neural networks,Head,Context modeling,Computer architecture,Land surface,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"Li, Jonathan",Deep learning,Accuracy,Change detection (CD),multitask learning (MTL),,,semantic segmentation (SS),transformer,transformer,,
Row_1410,"Feng, Shuangda","Gao, Mingxing","Jin, Xiaowei","Zhao, Ting","Ang, Feng Y.",Fine-grained damage detection of cement concrete pavement based on UAV remote sensing image segmentation and stitching,,FEB 28 2024,3,"A hybrid model for pavement damage segmentation, stitching, and detection based on unmanned aerial vehicle (UAV) remote-sensing pavement images was proposed as high-resolution panoramic images are required to analyze pavement damage feature parameters during the inspection process. Based on target recognition, active stereo vision was used to determine the autonomy awareness of the UAV system in the 3D structure. Then, incremental search strategy was employed to triangulate scale-invariant feature transform (SIFT) point features based on geometric constraints. Perspective-n-point and random sample consensus (PNP-RANSAC) algorithm were combined to find the best matching surface for mis-matching rejection, and the trigonometric function theory was used to fuse images. Subsequently, the semantic segmentation framework based on deep learning context encoder network (CE-Net) was employed to train suitable models to simultaneously detect and segment pavement damages. Finally, the stitching technique and hue, saturation, value (HSV) segmentation technique were combined to obtain the feature parameters to be detected. This method achieved fast and accurate stitching, feature parameter segmentation, and pavement health condition assessment of long-threaded pavement disease image datasets. The splicing accuracy rate and the global feature segmentation overlap rate were greater than 84% and 80%, respectively. The experimental data show that the method is able to detect full-width pavement breakage parameters better than existing optical sensor-based automotive or drone inspection methods.",Geometric constraints,Panorama stitching,Pavement breakage detection,Scale invariant feature transformation,Semantic segmentation,,,MEASUREMENT,,,,,,,,,,,,
Row_1411,Zhang Kun,Zhu Yawei,Wang Xiaohong,Zhang Liting,Zhong Ruofei,Three-Dimensional Point Cloud Semantic Segmentation Network Based on Spatial Graph Convolution Network,,JAN 2023,6,"With the increasing demand for intelligent construction in science and technology, semantic segmentation technology has attracted extensive attention from scholars in the field of graphics and images. This technology provides effective decision support for target tracking, visual control, and other technologies. However, the operation efficiency and segmentation accuracy of the three-dimensional (3D) point cloud semantic segmentation model are bottlenecks to its development. A semantic segmentation network model of the 3D point cloud, called point cloud+ graph convolution network (PCGCN) is proposed. PCGCN uses the EdgeConv network to extract local features and ResNet to enhance the transmission of features, fuse the local features of different scales, and participate in semantic segmentation of the 3D point cloud. In the process of deep learning, PCGCN solves the problem of the lack of local features and improves the segmentation effect. Furthermore, in the point cloud deep learning network, the introduction of ResNet improves the accuracy of semantic segmentation. Experiments are carried out using ShapeNet and S3DIS datasets. The experimental results show that the PCGCN accuracies are 85. 1% on the ShapeNet dataset and 81. 3% on the S3DIS dataset.",remote sensing,three-dimensional image processing,point cloud,semantic segmentation,graph convolution network,,,LASER & OPTOELECTRONICS PROGRESS,,,,,,,,,,,,
Row_1412,"Benjdira, Bilel","Bazi, Yakoub","Koubaa, Anis","Ouni, Kais",,Unsupervised Domain Adaptation Using Generative Adversarial Networks for Semantic Segmentation of Aerial Images,,JUN 1 2019,162,"Segmenting aerial images is of great potential in surveillance and scene understanding of urban areas. It provides a mean for automatic reporting of the different events that happen in inhabited areas. This remarkably promotes public safety and traffic management applications. After the wide adoption of convolutional neural networks methods, the accuracy of semantic segmentation algorithms could easily surpass 80% if a robust dataset is provided. Despite this success, the deployment of a pretrained segmentation model to survey a new city that is not included in the training set significantly decreases accuracy. This is due to the domain shift between the source dataset on which the model is trained and the new target domain of the new city images. In this paper, we address this issue and consider the challenge of domain adaptation in semantic segmentation of aerial images. We designed an algorithm that reduces the domain shift impact using generative adversarial networks (GANs). In the experiments, we tested the proposed methodology on the International Society for Photogrammetry and Remote Sensing (ISPRS) semantic segmentation dataset and found that our method improves overall accuracy from 35% to 52% when passing from the Potsdam domain (considered as source domain) to the Vaihingen domain (considered as target domain). In addition, the method allows efficiently recovering the inverted classes due to sensor variation. In particular, it improves the average segmentation accuracy of the inverted classes due to sensor variation from 14% to 61%.",convolutional neural networks,semantic segmentation,aerial imagery,domain adaptation,gener ative adversarial networks,,,REMOTE SENSING,,,,,,,,,,,,
Row_1413,"Gao, Weixiao","Nan, Liangliang","Boom, Bas","Ledoux, Hugo",,PSSNet: Planarity-sensible Semantic Segmentation of large-scale urban meshes,,FEB 2023,17,"We introduce a novel deep learning-based framework to interpret 3D urban scenes represented as textured meshes. Based on the observation that object boundaries typically align with the boundaries of planar regions, our framework achieves semantic segmentation in two steps: planarity-sensible over-segmentation followed by semantic classification. The over-segmentation step generates an initial set of mesh segments that capture the planar and non-planar regions of urban scenes. In the subsequent classification step, we construct a graph that encodes the geometric and photometric features of the segments in its nodes and the multi-scale contextual features in its edges. The final semantic segmentation is obtained by classifying the segments using a graph convolutional network. Experiments and comparisons on two semantic urban mesh benchmarks demonstrate that our approach outperforms the state-of-the-art methods in terms of boundary quality, mean IoU (intersection over union), and generalization ability. We also introduce several new metrics for evaluating mesh over-segmentation methods dedicated to semantic segmentation, and our proposed over segmentation approach outperforms state-of-the-art methods on all metrics. Our source code is available at https://github.com/WeixiaoGao/PSSNet.",Texture meshes,Semantic segmentation,Over-segmentation,Urban scene understanding,,,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,,,,,,,,,,,
Row_1414,"Weng, Qian","Chen, Hao","Chen, Hongli","Guo, Wenzhong","Mao, Zhengyuan",A Multisensor Data Fusion Model for Semantic Segmentation in Aerial Images,,2022,5,"Semantic segmentation in high-resolution aerial images is a fundamental and challenging task with a wide range of applications. Although many segmentation methods with convolutional neural networks have achieved inspiring results, it is still difficult to distinguish regions with similar spectral features only using high-resolution data. Besides, the traditional data-independent upsampling methods may lead to suboptimal results. This letter proposes a multisensor data fusion model (MSDFM). Following the classical encoder-decoder structure, MSDFM regards colored digital surface models (colored-DSMs) data as a complementary input for further detailed feature extraction. A data-dependent upsampling (DUpsampling) method is adopted in the decoder stage instead of the common upsampling approaches to improve the classification accuracy of pixels of the small objects. Extensive experiments on Vaihingen and Potsdam datasets demonstrate that our proposed MSDFM outperforms most related models. Significantly, segmentation performance for the car category surpasses state-of-the-art methods over the International Society of Photogrammetry and Remote Sensing (ISPRS) Vaihingen dataset.",Semantics,Automobiles,Image segmentation,Feature extraction,Vegetation,Decoding,Deconvolution,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,Digital surface model (DSM),high-resolution aerial images,semantic segmentation,,,,,,,,
Row_1415,"Xu, Leilei","Liu, Yujun","Shi, Shanqiu","Zhang, Hao","Wang, Dan",Land-Cover Classification With High-Resolution Remote Sensing Images Using Interactive Segmentation,,2023,1,"Deep convolutional neural network (CNN) has been increasingly applied in interpretation of remote sensing image such as automatically mapping land cover. Although the automatic CNN method achieves relatively high accuracy, there are still many misclassified areas. Considering that it is still far from practical application, this paper proposes a semi-automatic auxiliary scheme for land cover classification whose core idea is to use an interactive segmentation network. To infer the rough positions and categories of objects, a CNN is relied on to classify images in a patch-wise manner. Then an interactive segmentation method is proposed by accepting user-clicks on the inside and outside of object to guide the model for the segmentation task in the patches. This model also introduces different interactive modules to better integrate features of different scales. In addition, we create a large-scale sample library containing five common land cover categories which covers Jiangsu Province, China, and includes both aerial and satellite imagery. On our sample, we gave a thorough evaluation of most recent deep learning-based methods. The experimental results shown by our interactive segmentation also far outperform the recent semantic segmentation method, which provides a reference for semi-automatic land cover mapping.",Deep learning,CNN,sample,interactive segmentation,,,,IEEE ACCESS,,,,,,,,,,,,
Row_1416,"Wei, Debin","Xie, Hongji","Li, Pinru","Xu, Yongqiang",,A Learning Framework With Multispectral Band-Differentiated Encoding for Remote Sensing Water Body Detection,,2024,1,"Classic deep convolutional neural network (DCNN) models have demonstrated notable efficacy in segmenting remote sensing images. However, their ability to enhance the precision of water body detection, particularly for smaller ones amid intricate backgrounds, remains challenging. This article proposes the negative Laplacian filter (NLF) method as a solution, enhancing regional color contrast during preprocessing to capture more intricate details effectively. Furthermore, a novel approach employs a differential dual-encoding structure that encodes diverse spectra based on their spectral attributes. Lastly, leveraging prior insights from remote sensing, we introduce the weak label weight adjustment operation for refining predicted images in postprocessing stages. The proposed model significantly outperforms the comparison models on our remote sensing water body dataset.",Multispectral remote sensing,negative Laplacian filtering (NLF),semantic segmentation,,,,,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,,,,,,,,,,,,
Row_1417,"Chai, Dengfeng","Newsam, Shawn","Huang, Jingfeng",,,Aerial image semantic segmentation using DCNN predicted distance maps,,MAR 2020,44,"This paper addresses the challenge of learning spatial context for the semantic segmentation of high-resolution aerial images using Deep Convolutional Neural Networks (DCNNs). The proposed solution involves deriving a signed distance map for each semantic class from a ground truth label map and training a DCNN to predict this distance map instead of a score map for each class. Since the distance between a target pixel and its nearest object boundary measures how far the pixel penetrates an object, the distance maps encode spatial context, particularly spatial smoothness. Positive pixel values in the distance maps correspond to the correct class and negative values correspond to the incorrect class. A final label map is derived from the predicted distance maps by selecting the class with the maximum distance. Since neighboring pixels in the distance maps have similar values, the segmentation results are smoother than current approaches. The results are shown to be even better than performing post-processing using fully connected Conditional Random Fields (CRFs), a common approach to smoothing the segmentations produced DCNNs. Experimental results on the semantic labeling challenge dataset show the proposed approach outperforms most state-of-the-art methods. Our main contribution, though, is the novel idea of replacing the pixel-wise class score maps of DCNNs with distance maps. This is therefore orthogonal and complementary to other techniques employed by the state-of-the-art methods and could therefore be used to improve upon them.",Deep learning,Semantic segmentation,DCNNs,Distance maps,Distance transform,,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,,,,,,,,,,,
Row_1418,"Li, Qiupeng","Kong, Yingying",,,,An Improved SAR Image Semantic Segmentation Deeplabv3+Network Based on the Feature Post-Processing Module,,APR 2023,8,"Synthetic Aperture Radar (SAR) can provide rich feature information under all-weather and day-night conditions because it is not affected by climatic conditions. However, multiplicative speckle noise exists in SAR images, which makes it difficult to accurately identify some fuzzy targets in SAR images, such as roads and rivers, during semantic segmentation. This paper proposes an improved Deeplabv3+ network that can be effectively applied to the semantic segmentation task of SAR images. Firstly, this paper added the attention mechanism and, combined with the idea of an image pyramid, proposed the Feature Post-Processing Module (FPPM) to post-process the network output feature map, obtain better fine image features, and solve the problem of fuzzy texture and spectral features of SAR images. Compared to the original Deeplabv3+ network, the segmentation accuracy has been improved by 3.64% and mIoU improved by 1.09%. Secondly, to solve the problems of limited SAR image data and an unbalanced sample, this paper used the focal loss function to improve the backbone function of the network, which increased the mIoU by 1.01%. Finally, the Atrous Spatial Pyramid Pooling (ASPP) module was improved and the 3 x 3 void convolution in ASPP was decomposed into 2D, which can maintain the void ratio and effectively reduce the calculation amount of the module, shorten the training time by 19 ms and improve the semantic segmentation effect.",SAR image semantic segmentation,Deeplabv3+,attention mechanism,focal loss function,,,,REMOTE SENSING,,,,,,,,,,,,
Row_1419,"Diakogiannis, Foivos, I","Waldner, Francois","Caccetta, Peter","Wu, Chen",,ResUNet-a: A deep learning framework for semantic segmentation of remotely sensed data,,APR 2020,897,"Scene understanding of high resolution aerial images is of great importance for the task of automated monitoring in various remote sensing applications. Due to the large within-class and small between-class variance in pixel values of objects of interest, this remains a challenging task. In recent years, deep convolutional neural networks have started being used in remote sensing applications and demonstrate state of the art performance for pixel level classification of objects. Here we propose a reliable framework for performant results for the task of semantic segmentation of monotemporal very high resolution aerial images. Our framework consists of a novel deep learning architecture, ResUNet-a, and a novel loss function based on the Dice loss. ResUNet-a uses a UNet encoder/decoder backbone, in combination with residual connections, atrous convolutions, pyramid scene parsing pooling and multi-tasking inference. ResUNet-a infers sequentially the boundary of the objects, the distance transform of the segmentation mask, the segmentation mask and a colored reconstruction of the input. Each of the tasks is conditioned on the inference of the previous ones, thus establishing a conditioned relationship between the various tasks, as this is described through the architecture's computation graph. We analyse the performance of several flavours of the Generalized Dice loss for semantic segmentation, and we introduce a novel variant loss function for semantic segmentation of objects that has excellent convergence properties and behaves well even under the presence of highly imbalanced classes. The performance of our modeling framework is evaluated on the ISPRS 2D Potsdam dataset. Results show state-of-the-art performance with an average F1 score of 92.9% over all classes for our best model.",Convolutional neural network,Loss function,Architecture,Data augmentation,Very high spatial resolution,,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,,,,,,,,,,,
Row_1420,"Qi, Xiyu","Zhang, Yidan","Wang, Lei","Wu, Yifan","Xin, Yi",DSMF-Net: Dual Semantic Metric Learning Fusion Network for Few-Shot Aerial Image Semantic Segmentation,,2025,0,"-Semantic segmentation of aerial images is crucial yet resource-intensive. Inspired by human ability to learn rapidly, few- shot semantic segmentation offers a promising solution by utilizing limited labeled data for efficient model training and generalization. However, the intrinsic complexities of aerial images, compounded by scarce samples, often result in inadequate feature representation and semantic ambiguity, detracting from the model's performance. In this article, we propose to tackle these challenging problems via dual semantic metric learning and multisemantic features fusion and introduce a novel few-shot segmentation Network (DSMFNet). On the one hand, we consider the inherent semantic gap between the feature of graph and grid structures and metric learning of few-shot segmentation. To exploit multiscale global semantic context, we construct scale-aware graph prototypes from different stages of the feature layers based on graph convolutional networks (GCNs), while also incorporating prior-guided metric learning to further enhance context at the high-level convolution features. On the other hand, we design a pyramid-based fusion and condensation mechanism to adaptively merge and couple the multisemantic information from support and query images. The indication and fusion of different semantic features can effectively emphasize the representation and coupling abilities of the network. We have conducted extensive experiments over the challenging iSAID-5i and DLRSD benchmarks. The experiments have demonstrated our network's effectiveness and efficiency, yielding on-par performance with the state-of-the-art methods.",Aerial image,dual metric learning,few- shot learning,few- shot learning,graph convolutional network (GCN),semantic segmentation,semantic segmentation,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,"Chen, Zhan",semantic segmentation,,,,"Ge, Yunping",,,,,,
Row_1421,"Yan, Chuan","Fan, Xiangsuo","Fan, Jinlong","Wang, Nayi",,Improved U-Net Remote Sensing Classification Algorithm Based on Multi-Feature Fusion Perception,,MAR 2022,31,"The selection and representation of remote sensing image classification features play crucial roles in image classification accuracy. To effectively improve the classification accuracy of features, an improved U-Net network framework based on multi-feature fusion perception is proposed in this paper. This framework adds the channel attention module (CAM-UNet) to the original U-Net framework and cascades the shallow features with the deep semantic features, replaces the classification layer in the original U-Net network with a support vector machine, and finally uses the majority voting game theory algorithm to fuse the multifeature classification results and obtain the final classification results. This study used the forest distribution in Xingbin District, Laibin City, Guangxi Zhuang Autonomous Region as the research object, which is based on Landsat 8 multispectral remote sensing images, and, by combining spectral features, spatial features, and advanced semantic features, overcame the influence of the reduction in spatial resolution that occurs with the deepening of the network on the classification results. The experimental results showed that the improved algorithm can improve classification accuracy. Before the improvement, the overall segmentation accuracy and segmentation accuracy of the forestland increased from 90.50% to 92.82% and from 95.66% to 97.16%, respectively. The forest cover results obtained by the algorithm proposed in this paper can be used as input data for regional ecological models, which is conducive to the development of accurate and real-time vegetation growth change models.",multifeature fusion,U-Net,channel attention,remote sensing image classification,majority voting game,,,REMOTE SENSING,,,,,,,,,,,,
Row_1422,"Chan-Hon-Tong, Adrien","Audebert, Nicolas",,,,OBJECT DETECTION IN REMOTE SENSING IMAGES WITH CENTER ONLY,IGARSS 2018 - 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,2018,5,"There are a lot of works aiming to reduce the need of human annotations for object detection: self supervised training, interactive verification instead of annotation or weakly supervised training.For example, only pointing object centres is a faster to annotate but weaker ground truth than providing bounding boxes or detailed segmentation mask. Although not usable for large areas such as roads, vegetation and buildings, centers can be used to learn adequate detectors and segmentors. We perform a comparative analysis on four public remote sensing datasets on the task of vehicle detection and show that centre annotations is a competitive baseline compared to other more sophisticated annotations.",deep learning,semantic segmentation,weak labeling,object centres,,,,,,,,,,,,,,,,
