,author1,author2,author3,author4,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author5,author6,author7,author8,journal/book,author9,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23
Row_355,"Guo, Shichen","Jin, Qizhao","Wang, Hongzhen","Wang, Xuezhi",Learnable Gated Convolutional Neural Network for Semantic Segmentation in Remote-Sensing Images,,AUG 2019,29,"Semantic segmentation in high-resolution remote-sensing (RS) images is a fundamental task for RS-based urban understanding and planning. However, various types of artificial objects in urban areas make this task quite challenging. Recently, the use of Deep Convolutional Neural Networks (DCNNs) with multiscale information fusion has demonstrated great potential in enhancing performance. Technically, however, existing fusions are usually implemented by summing or concatenating feature maps in a straightforward way. Seldom do works consider the spatial importance for global-to-local context-information aggregation. This paper proposes a Learnable-Gated CNN (L-GCNN) to address this issue. Methodologically, the Taylor expression of the information-entropy function is first parameterized to design the gate function, which is employed to generate pixelwise weights for coarse-to-fine refinement in the L-GCNN. Accordingly, a Parameterized Gate Module (PGM) was designed to achieve this goal. Then, the single PGM and its densely connected extension were embedded into different levels of the encoder in the L-GCNN to help identify the discriminative feature maps at different scales. With the above designs, the L-GCNN is finally organized as a self-cascaded end-to-end architecture that is able to sequentially aggregate context information for fine segmentation. The proposed model was evaluated on two public challenging benchmarks, the ISPRS 2Dsemantic segmentation challenge Potsdam dataset and the Massachusetts building dataset. The experiment results demonstrate that the proposed method exhibited significant improvement compared with several related segmentation networks, including the FCN, SegNet, RefineNet, PSPNet, DeepLab and GSN.For example, on the Potsdam dataset, our method achieved a 93.65% F1 score and 88.06% IoU score for the segmentation of tiny cars in high-resolution RS images. As a conclusion, the proposed model showed potential for object segmentation from the RS images of buildings, impervious surfaces, low vegetation, trees and cars in urban settings, which largely varies in size and have confusing appearances.",semantic segmentation,CNN,deep learning,remote sensing,gate function,"Wang, Yangang","Xiang, Shiming",,,REMOTE SENSING,,multiscale feature fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_356,"Li, Zhenshi","Zhang, Xueliang","Xiao, Pengfeng",,One Model Is Enough: Toward Multiclass Weakly Supervised Remote Sensing Image Semantic Segmentation,,2023,25,"Semantic segmentation of remote sensing images (RSIs) is effective for large-scale land cover mapping, which heavily relies on a large amount of training data with laborious pixel-level labeling. Due to the easy availability of image-level labels, weakly supervised semantic segmentation (WSSS) based on them has attracted intensive attention. However, existing image-level WSSS methods for RSIs mainly focus on binary segmentation, which are difficult to apply to multiclass scenarios. This study proposes a comprehensive framework for image-level multiclass WSSS of RSIs, consisting of appropriate image-level label generation, high-quality pixel-level pseudo mask generation, and segmentation network iterative training. Specifically, a training sample filtering method, as well as a dataset co-occurrence evaluation metric, is proposed to demonstrate proper image-level training samples. Leveraging multiclass class activation maps (CAMs), an uncertainty-driven pixel-level weighted mask is proposed to relieve the overfitting of labeling noise in pseudo masks when training the segmentation network. Extensive experiments demonstrate that the proposed framework can achieve high-quality multiclass WSSS performance with image-level labels, which can attain 94.23% and 90.77% of the mean intersection over union (mIoU) from pixel-level labels for the ISPRS Potsdam and Vaihingen datasets, respectively. Beyond that, for the DeepGlobe dataset with more complex landscapes, the WSSS framework can achieve an accuracy close to 99% of the fully supervised case. In addition, we further demonstrate that compared to adopting multiple binary WSSS models, directly training a multiclass WSSS model can achieve better results, which can provide new thoughts to achieve WSSS of RSIs for multiclass application scenarios. Our code is publically available at https://github.com/NJU-LHRS/OME.",Class activation map (CAM),image-level label,multiclass,pixel-level uncertainty,remote sensing image (RSI),,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,weakly supervised semantic segmentation (WSSS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_357,"Zheng, Chen","Zhang, Yun","Wang, Leiguang",,Semantic Segmentation of Remote Sensing Imagery Using an Object-Based Markov Random Field Model With Auxiliary Label Fields,,MAY 2017,37,"The Markov random field (MRF) model has attracted great attention in the field of image segmentation. However, most MRF-based methods fail to resolve segmentation misclassification problems for high spatial resolution remote sensing images due to insufficiently using the hierarchical semantic information. In order to solve such a problem, this paper proposes an object-based MRF model with auxiliary label fields that can capture more macro and detailed information and apply it to the semantic segmentation of high spatial resolution remote sensing images. Specifically, apart from the label field, two auxiliary label fields are first introduced into the proposed model for interpreting remote sensing images from different perspectives, which are implemented by setting a different number of auxiliary classes. Then, the multilevel logistic model is used to describe the interactions within each label field, and a conditional probability distribution is developed to model the interactions between label fields. A net context structure is established among them to model the interactions of classes within and between label fields. A principled probabilistic inference is suggested to solve the proposed model by iteratively renewing the label field and auxiliary label fields, in which different information of auxiliary label fields can be integrated into the label field during iterations. Experiments on different remote sensing images demonstrate that our model produces more accurate segmentation than the state-of-the-art MRF-based methods. If some prior information is added, the proposed model can produce accurate results even in complex areas.",Auxiliary label field,object-based Markov random field,remote sensing image,semantic segmentation,,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_358,"Zhang, Zhen","Huang, Jue","Jiang, Tao","Sui, Baikai",Semantic segmentation of very high-resolution remote sensing image based on multiple band combinations and patchwise scene analysis,,JAN 6 2020,19,"Large intraclass variance and low interclass variance are among the most challenging problems in very high-resolution (VHR) image classification. Semantic segmentation constructed in a deep convolution neural network is used as a classification algorithm conducted via end-to-end training, which combines spectral-spatial features and context information. However, large-scale remote sensing images cannot be directly processed because they are limited by GPU memory and segmentation algorithm. At the same time, classification using single band combinations is also unsatisfactory due to the extraordinary complex features of VHR images. Therefore, a method is proposed based on multiple band combinations and patchwise scene analysis. A complex remote sensing image can be considered as into a combination of simple scenes from multiple patchwise images. And optimal band combinations of each patchwise image are selected according to their scene. The segmentation results of each patchwise image are merged to get the desired results according to geographical coordinates. Our method is validated on the ISPRS 2-D Semantic Labeling dataset of Potsdam, on which results competitive with the state-of-the-art are obtained. The proposed scheme has strong universality and can be used for large-scale high-resolution remote sensing image classification. (C) 2020 Society of Photo-Optical Instrumentation Engineers (SPIE)",very high-resolution remote sensing,semantic segmentation,multiple band combination,scene analysis,,"Pan, Xinliang",,,,JOURNAL OF APPLIED REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_359,"Peng, Cheng","Li, Yangyang","Jiao, Licheng","Chen, Yanqiao",Densely Based Multi-Scale and Multi-Modal Fully Convolutional Networks for High-Resolution Remote-Sensing Image Semantic Segmentation,,AUG 2019,96,"Automatic and accurate semantic segmentation from high-resolution remote-sensing images plays an important role in the field of aerial images analysis. The task of dense semantic segmentation requires that semantic labels be assigned to each pixel in the image. Recently, convolutional neural networks (CNNs) have proven to be powerful tools for image classification, and they have been adopted in the remote-sensing community. But many limitations still exist when modern CNN architectures are directly applied to remote-sensing images, such as gradient explosion when the depth of the network increases, over-fitting with limited labeled remote-sensing data, and special differences between remote-sensing images and natural images. In this paper, we present a novel architecture that combines the thought of dense connection and fully convolutional networks, referred as DFCN, to automatically provide fine-grained semantic segmentation maps. In addition, we improve DFCN with multi-scale filters to widen the network and to increase the richness and diversity of extracted information, making the network more powerful and expressive than the naive convolution layer. Furthermore, we investigate a multi-modal network that incorporates digital surface models (DSMs) into a DFCN structure, and then we propose dual-path densely convolutional networks where the encoder consists of two paths that, respectively, extract features from spectral data and DSMs data and then fuse them. Finally, through conducting comprehensive experimental evaluations on two remote sensing benchmark datasets, we test our proposed models and compare them with other deep networks. The results demonstrate the effectiveness of proposed approaches; they can achieve competitive performance compared with the current state-of-the-art methods.",Dense connection,fully convolutional networks (FCN),high-resolution remote-sensing image,semantic segmentation,,"Shang, Ronghua",,,,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_360,"Wang, Jiaxin","Ding, Chris H. Q.","Chen, Sibao","He, Chenggang",Semi-Supervised Remote Sensing Image Semantic Segmentation via Consistency Regularization and Average Update of Pseudo-Label,,NOV 2020,57,"Image segmentation has made great progress in recent years, but the annotation required for image segmentation is usually expensive, especially for remote sensing images. To solve this problem, we explore semi-supervised learning methods and appropriately utilize a large amount of unlabeled data to improve the performance of remote sensing image segmentation. This paper proposes a method for remote sensing image segmentation based on semi-supervised learning. We first design a Consistency Regularization (CR) training method for semi-supervised training, then employ the new learned model for Average Update of Pseudo-label (AUP), and finally combine pseudo labels and strong labels to train semantic segmentation network. We demonstrate the effectiveness of the proposed method on three remote sensing datasets, achieving better performance without more labeled data. Extensive experiments show that our semi-supervised method can learn the latent information from the unlabeled data to improve the segmentation performance.",semi-supervised learning,remote sensing image segmentation,consistency training,pseudo label,,"Luo, Bin",,,,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_361,"Li, Yunbo","Yi, Zhiyu","Wang, Yuebin","Zhang, Liqiang",Adaptive Context Transformer for Semisupervised Remote Sensing Image Segmentation,,2023,2,"Current deep learning methods for semantic seg-mentation in remote sensing heavily depend on a substantial amount of labeled data. However, obtaining pixel-level labeled data in this field is both time-consuming and laborious. To address this challenge, semi supervised learning (SSL) method shave been introduced. Pseudo supervision is one of the most effective methods, which can be adopted to enhance the performance of semsupervised semantic segmentation of remotesensing images. But incorrect pseudolabels can cause substantialdistortions to the segmentation model in SSL. Moreover, it isdifficult for conventional semantic segmentation methods to dealwith global-local features of the remote sensing image withoutadaptive context feature. In this article, we propose a novel learn-ing approach based on an adaptive context transformer (ACT)and pseudolabeling, called ACT for semisupervised (ACTSS)remote sensing image segmentation. We propose an adaptivecontext attention model with adjustable sliding windows. A smallwindow is used to capture Query (Q) for local feature, andbigger windows are used to capture Key (K) and Value(V)forglobal feature. Then, we combine them and get the global-local features. And we propose a point-line-plane (PLP) pseudolabelfilter mechanism based on clustering and boundary extraction, which can filter unreliable pseudolabels from three angles: point,line, and plane. To validate the effectiveness of the model, we carried out extensive experiments on the LOVEDA, Potsdam, and Vaihingen datasets and compared ACTSS with other methods. These experiments demonstrate that ACTSS achieves state-of-the-art performance for semisupervised semantic segmentation on all tested datasets.",Adaptive context transformer (ACT),pseudolabel filter,semantic segmentation,semisupervised learning (SSL),,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_362,"Su, Hao","Wei, Shunjun","Liu, Shan","Liang, Jiadian",HQ-ISNet: High-Quality Instance Segmentation for Remote Sensing Imagery,,MAR 2020,76,"Instance segmentation in high-resolution (HR) remote sensing imagery is one of the most challenging tasks and is more difficult than object detection and semantic segmentation tasks. It aims to predict class labels and pixel-wise instance masks to locate instances in an image. However, there are rare methods currently suitable for instance segmentation in the HR remote sensing images. Meanwhile, it is more difficult to implement instance segmentation due to the complex background of remote sensing images. In this article, a novel instance segmentation approach of HR remote sensing imagery based on Cascade Mask R-CNN is proposed, which is called a high-quality instance segmentation network (HQ-ISNet). In this scheme, the HQ-ISNet exploits a HR feature pyramid network (HRFPN) to fully utilize multi-level feature maps and maintain HR feature maps for remote sensing images' instance segmentation. Next, to refine mask information flow between mask branches, the instance segmentation network version 2 (ISNetV2) is proposed to promote further improvements in mask prediction accuracy. Then, we construct a new, more challenging dataset based on the synthetic aperture radar (SAR) ship detection dataset (SSDD) and the Northwestern Polytechnical University very-high-resolution 10-class geospatial object detection dataset (NWPU VHR-10) for remote sensing images instance segmentation which can be used as a benchmark for evaluating instance segmentation algorithms in the high-resolution remote sensing images. Finally, extensive experimental analyses and comparisons on the SSDD and the NWPU VHR-10 dataset show that (1) the HRFPN makes the predicted instance masks more accurate, which can effectively enhance the instance segmentation performance of the high-resolution remote sensing imagery; (2) the ISNetV2 is effective and promotes further improvements in mask prediction accuracy; (3) our proposed framework HQ-ISNet is effective and more accurate for instance segmentation in the remote sensing imagery than the existing algorithms.",instance segmentation,HRFPN,ISNetV2,SSDD,NWPU VHR-10,"Wang, Chen","Shi, Jun","Zhang, Xiaoling",,REMOTE SENSING,,remote sensing images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_363,"Zheng, Zhiyu","Lv, Liang","Zhang, Lefei",,Enhancing the Semi-Supervised Semantic Segmentation With Prototype-Based Supervision for Remote Sensing Images,,2024,0,"While image semantic segmentation is a fundamental and well-studied task in remote sensing (RS) society, it usually depends on large amounts of pixel-level annotations. RS image semi-supervised semantic segmentation (RSIS4) tries to improve performance by exploring the unlabeled data, thus significantly reducing the label costs. The core idea of RSIS4 is to transfer the prior information from the labeled to unlabeled pixels, which is commonly achieved by considering the confident part of the softmax prediction as pseudolabels for further supervised learning. However, such pixel-level instruction could inevitably involve uncertainty (e.g., noise and error) due to the extremely limited annotated data at the initialization. To address this issue, in this letter, we employ the prototypes, which contain inbuilt resistance to potentially inaccurate pixels, to bring substantial supervision directly from the embedded feature space. Specifically, we project deep features into the embedding space to generate prototypes, each of which can be regarded as the category-level feature representation of a certain semantic category. These prototypes are then used to perform the pixelwise classification, with the advantage of capturing the global similarity throughout the whole pixels within the category. Moreover, to ensure accurate prototypes, we further introduce pixel-prototype contrast to better explore the discriminative category-level feature embedding. By integrating the guidance from the above pixel-level and category-level feature representations, the proposed algorithm obtains high-quality pseudolabels and extracts effective features. Extensive experiments on four RS image segmentation datasets have demonstrated the effectiveness of the proposed method. The code is available at https://github.com/Duckyee728/PCSSS.git.",Prototype learning,remote sensing (RS) images,semi-supervised semantic segmentation (S4),Prototype learning,remote sensing (RS) images,,,,,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,semi-supervised semantic segmentation (S4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_364,"Wu, Linshan","Fang, Leyuan","Yue, Jun","Zhang, Bob",Deep Bilateral Filtering Network for Point-Supervised Semantic Segmentation in Remote Sensing Images,,2022,43,"Semantic segmentation methods based on deep neural networks have achieved great success in recent years. However, training such deep neural networks relies heavily on a large number of images with accurate pixel-level labels, which requires a huge amount of human effort, especially for large-scale remote sensing images. In this paper, we propose a point-based weakly supervised learning framework called the deep bilateral filtering network (DBFNet) for the semantic segmentation of remote sensing images. Compared with pixel-level labels, point annotations are usually sparse and cannot reveal the complete structure of the objects; they also lack boundary information, thus resulting in incomplete prediction within the object and the loss of object boundaries. To address these problems, we incorporate the bilateral filtering technique into deeply learned representations in two respects. First, since a target object contains smooth regions that always belong to the same category, we perform deep bilateral filtering (DBF) to filter the deep features by a nonlinear combination of nearby feature values, which encourages the nearby and similar features to become closer, thus achieving a consistent prediction in the smooth region. In addition, the DBF can distinguish the boundary by enlarging the distance between the features on different sides of the edge, thus preserving the boundary information well. Experimental results on two widely used datasets, the ISPRS 2-D semantic labeling Potsdam and Vaihingen datasets, demonstrate that our proposed DBFNet can achieve a highly competitive performance compared with state-of-the-art fully-supervised methods. Code is available at https://github.com/Luffy03/DBFNet.",Bilateral filtering,point annotations,remote sensing,semantic segmentation,weakly-supervised learning,"Ghamisi, Pedram","He, Min",,,IEEE TRANSACTIONS ON IMAGE PROCESSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_365,"Sun, Le","Cheng, Shiwei","Zheng, Yuhui","Wu, Zebin",SPANet: Successive Pooling Attention Network for Semantic Segmentation of Remote Sensing Images,,2022,54,"In the convolutional neural network, the precise segmentation of small-scale objects and object boundaries in remote sensing images is a great challenge. As the model gets deeper, low-level features with geometric information and high-level features with semantic information cannot be obtained simultaneously. To alleviate this problem, a successive pooling attention network (SPANet) was proposed. The SPANet mainly consists of ResNet50 as the backbone, successive pooling attention module (SPAM), and feature fusion module (FFM). Specifically, the SPANet uses two parallel branches to extract high-level features by ResNet50 and low-level features by the first 11 layers of ResNet50. Then, both the high- and low-level features are fed to the SPAM, which is mainly composed of a successive pooling operator and a self-attention submodule, for further extracting deeper multiscale and salient features. In addition, the low- and high-level features after the SPAM are fused by the FFM to achieve the complementarity of spatial and geometric information. This fusion module alleviates the problem of the accurate segmentation of object edges. Finally, the high-level features and enhanced low-level features of the two branches are fused to obtain the final prediction results. Experiments show that the proposed SPANet achieves a good segmentation effect compared with other models on two remotely sensed datasets.",Feature extraction,Semantics,Image segmentation,Remote sensing,Data mining,"Zhang, Jianwei",,,,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,,Context modeling,Decoding,Attention mechanism,convolutional neural network,remote sensing images,semantic segmentation,successive pooling,,,,,,,,,,,,,,,,,,,,,,,
Row_366,"Zhang, Jinglin","Li, Yuxia","Zhang, Bowei","He, Lei",CD-MQANet: Enhancing Multi-Objective Semantic Segmentation of Remote Sensing Images through Channel Creation and Dual-Path Encoding,,SEP 2023,0,"As a crucial computer vision task, multi-objective semantic segmentation has attracted widespread attention and research in the field of remote sensing image analysis. This technology has important application value in fields such as land resource surveys, global change monitoring, urban planning, and environmental monitoring. However, multi-target semantic segmentation of remote sensing images faces challenges such as complex surface features, complex spectral features, and a wide spatial range, resulting in differences in spatial and spectral dimensions among target features. To fully exploit and utilize spectral feature information, focusing on the information contained in spatial and spectral dimensions of multi-spectral images, and integrating external information, this paper constructs the CD-MQANet network structure, where C represents the Channel Creator module and D represents the Dual-Path Encoder. The Channel Creator module (CCM) mainly includes two parts: a generator block and a spectral attention module. The generator block aims to generate spectral channels that can expand different ground target types, while the spectral attention module can enhance useful spectral information. Dual-Path Encoders include channel encoders and spatial encoders, intended to fully utilize spectrally enhanced images while maintaining the spatial information of the original feature map. The decoder of CD-MQANet is a multitasking decoder composed of four types of attention, enhancing decoding capabilities. The loss function used in the CD-MQANet consists of three parts, which are generated by the intermediate results of the CCM, the intermediate results of the decoder, and the final segmentation results and label calculation. We performed experiments on the Potsdam dataset and the Vaihingen dataset. Compared to the baseline MQANet model, the CD-MQANet network improved mean F1 and OA by 2.03% and 2.49%, respectively, on the Potsdam dataset, and improved mean F1 and OA by 1.42% and 1.25%, respectively, on the Vaihingen dataset. The effectiveness of CD-MQANet was also proven by comparative experiments with other studies. We also conducted a thermographic analysis of the attention mechanism used in CD-MQANet and analyzed the intermediate results generated by CCM and LAM. Both modules generated intermediate results that had a significant positive impact on segmentation.",deep learning,remote sensing,semantic segmentation,attention mechanism,multispectral remote sensing data,"He, Yuan","Deng, Wantao","Si, Yu","Tong, Zhonggui",REMOTE SENSING,"Gong, Yushu",,,,,,,,,,"Liao, Kunwei",,,,,,,,,,,,,,,,,,,,
Row_367,"Yang, Liangzhe","Chen, Hao","Yang, Anran","Li, Jun",EasySeg: An Error-Aware Domain Adaptation Framework for Remote Sensing Imagery Semantic Segmentation via Interactive Learning and Active Learning,,2024,2,"Semantic segmentation of remote sensing images has attracted much attention for its wide applications. While deep learning models have shown impressive performance in this task, challenges arise when applying them to data from other domains without fine-tuning, due to domain gaps. Domain adaptation (DA) has emerged as a solution to bridge this gap. Existing works mainly focus on unsupervised DA (UDA), which lags far behind fully supervised models. However, active DA (ADA) methods focused on natural images face challenges when applied to remote sensing images due to pronounced domain gaps and error unawareness problems. In this work, we propose a novel error-aware DA framework for remote sensing imagery semantic segmentation, called EasySeg, via interactive learning and active learning. First, we introduce a point-level labeling strategy, named ""See-First-Ask-Later"" (SFAL), combining both interactive and active learning manners, allowing obvious errors and information-rich pixels to be annotated easily and efficiently. Then, we introduce an interactive semantic segmentation network (ISS-Net), which can perform automatic semantic segmentation and interactive refinement. Based on the acquired target point-level labels, ISS-Net generates dense and accurate pseudo-labels to enhance DA performance through retraining with consistency regularization. Comprehensive experiments on two tasks demonstrate that our method outperforms the state-of-the-art ADA methods in terms of overall accuracy (OA), mean accuracy (MA), $F1$ score, and mean intersection of union (mIoU) with lower labeling costs, even surpassing some fully supervised models. The source code of EasySeg is freely available at https://github.com/Yangliangzhe/EasySeg.",Active learning,domain adaptation (DA),interactive learning,remote sensing images,semantic segmentation,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_368,"Li, Yuxia","Si, Yu","Tong, Zhonggui","He, Lei",MQANet: Multi-Task Quadruple Attention Network of Multi-Object Semantic Segmentation from Remote Sensing Images,,DEC 2022,9,"Multi-object semantic segmentation from remote sensing images has gained significant attention in land resource surveying, global change monitoring, and disaster detection. Compared to other application scenarios, the objects in the remote sensing field are larger and have a wider range of distribution. In addition, some similar targets, such as roads and concrete-roofed buildings, are easily misjudged. However, existing convolutional neural networks operate only in the local receptive field, and this limits their capacity to represent the potential association between different objects and surrounding features. This paper develops a Multi-task Quadruple Attention Network (MQANet) to address the above-mentioned issues and increase segmentation accuracy. The MQANet contains four attention modules: position attention module (PAM), channel attention module (CAM), label attention module (LAM), and edge attention module (EAM). The quadruple attention modules obtain global features by expanding the receptive fields of the network and introducing spatial context information in the label. Then, a multi-tasking mechanism which splits a multi-category segmentation task into several binary-classification segmentation tasks is introduced to improve the ability to identify similar objects. The proposed MQANet network was applied to the Potsdam dataset, the Vaihingen dataset and self-annotated images from Chongzhou and Wuzhen (CZ-WZ), representative cities in China. Our MQANet performs better over the baseline net by a large margin of +6.33 OA and +7.05 Mean F1-score on the Vaihingen dataset, +3.57 OA and +2.83 Mean F1-score on the Potsdam dataset, and +3.88 OA and +8.65 Mean F1-score on the self-annotated dataset (CZ-WZ dataset). In addition, each image execution time of the MQANet model is reduced 66.6 ms compared to UNet. Moreover, the effectiveness of MQANet was also proven by comparative experiments with other studies.",deep learning,remote sensing,semantic segmentation,multi-task learning,attention mechanism,"Zhang, Jinglin","Luo, Shiyu","Gong, Yushu",,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_369,"Li, Xin","Xu, Feng","Yong, Xi","Chen, Deqing",SSCNet: A Spectrum-Space Collaborative Network for Semantic Segmentation of Remote Sensing Images,,DEC 2023,21,"Semantic segmentation plays a pivotal role in the intelligent interpretation of remote sensing images (RSIs). However, conventional methods predominantly focus on learning representations within the spatial domain, often resulting in suboptimal discriminative capabilities. Given the intrinsic spectral characteristics of RSIs, it becomes imperative to enhance the discriminative potential of these representations by integrating spectral context alongside spatial information. In this paper, we introduce the spectrum-space collaborative network (SSCNet), which is designed to capture both spectral and spatial dependencies, thereby elevating the quality of semantic segmentation in RSIs. Our innovative approach features a joint spectral-spatial attention module (JSSA) that concurrently employs spectral attention (SpeA) and spatial attention (SpaA). Instead of feature-level aggregation, we propose the fusion of attention maps to gather spectral and spatial contexts from their respective branches. Within SpeA, we calculate the position-wise spectral similarity using the complex spectral Euclidean distance (CSED) of the real and imaginary components of projected feature maps in the frequency domain. To comprehensively calculate both spectral and spatial losses, we introduce edge loss, Dice loss, and cross-entropy loss, subsequently merging them with appropriate weighting. Extensive experiments on the ISPRS Potsdam and LoveDA datasets underscore SSCNet's superior performance compared with several state-of-the-art methods. Furthermore, an ablation study confirms the efficacy of SpeA.",semantic segmentation,remote sensing images,spectral attention,spectral and spatial contexts,loss function,"Xia, Runliang","Ye, Baoliu","Gao, Hongmin","Chen, Ziqi",REMOTE SENSING,"Lyu, Xin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_370,"He, Yongjun","Wang, Jinfei","Liao, Chunhua","Shan, Bo",ClassHyPer: ClassMix-Based Hybrid Perturbations for Deep Semi-Supervised Semantic Segmentation of Remote Sensing Imagery,,FEB 2022,28,"Inspired by the tremendous success of deep learning (DL) and the increased availability of remote sensing data, DL-based image semantic segmentation has attracted growing interest in the remote sensing community. The ideal scenario of DL application requires a vast number of annotation data with the same feature distribution as the area of interest. However, obtaining such enormous training sets that suit the data distribution of the target area is highly time-consuming and costly. Consistency-regularization-based semi-supervised learning (SSL) methods have gained growing popularity thanks to their ease of implementation and remarkable performance. However, there have been limited applications of SSL in remote sensing. This study comprehensively analyzed several advanced SSL methods based on consistency regularization from the perspective of data- and model-level perturbation. Then, an end-to-end SSL approach based on a hybrid perturbation paradigm was introduced to improve the DL model's performance with a limited number of labels. The proposed method integrates the semantic boundary information to generate more meaningful mixing images when performing data-level perturbation. Additionally, by using implicit pseudo-supervision based on model-level perturbation, it eliminates the need to set extra threshold parameters in training. Furthermore, it can be flexibly paired with the DL model in an end-to-end manner, as opposed to the separated training stages used in the traditional pseudo-labeling. Experimental results for five remote sensing benchmark datasets in the application of segmentation of roads, buildings, and land cover demonstrated the effectiveness and robustness of the proposed approach. It is particularly encouraging that the ratio of accuracy obtained using the proposed method with 5% labels to that using the purely supervised method with 100% labels was more than 89% on all benchmark datasets.",deep learning,remote sensing semantic segmentation,transfer learning,semi-supervised learning,consistency regularization,"Zhou, Xin",,,,REMOTE SENSING,,hybrid perturbation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_371,"Amine, Hadir","Olga, Assainova","Mohamed, Adjou","Gaetan, Palka",Bridging the gap: deep learning in the semantic segmentation of remote sensing data,PATTERN RECOGNITION AND PREDICTION XXXV,2024,0,"Semantic segmentation has crucial importance in various domains due to its ability to recognize and categorize objects within an image at a pixel level. This task enables a wide range of applications, such as autonomous vehicles, environmental monitoring, and remote sensing (RS). In RS, semantic segmentation plays a crucial role, acting as the basis for applications including land cover classification. Following the success of deep learning (DL) methods in computer vision, our paper addresses the intersection between DL and RS imagery. We focus on improving the efficiency of some baseline and backbone models to ensure their adaptability to the challenges posed by RS imagery. Therefore, we evaluate state-of-the-art models on two datasets and investigate their ability to accurately segment objects in RS imagery. Our research aims to open the way for more accurate and reliable semantic segmentation methods in geospatial analysis.",Remote sensing images,deep learning,semantic segmentation,land cover or crop type classification,,"Marwa, Elbouz","Ayman, Al Falou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_372,"Cai, Jian","Ma, Lei","Li, Feimo","Yang, Yiping",JOINT FEATURE NETWORK FOR BRIDGE SEGMENTATION IN REMOTE SENSING IMAGES,IGARSS 2018 - 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,2018,1,"This paper proposes a novel convolutional neural network architecture for semantic segmentation of bridges with various scales in optical remote sensing images. In the context of RSI analysis on objects with irregular shapes, it is necessary to get dense, pixelwise classification maps. To address the issue, a new network architecture for producing refined shapes is required instead of image categorization labels. In our end-to-end framework, a ResNet is used as a backbone model to extract semantic features, then a cascaded top-down path is added to fuse these features as different scales. Joint features are obtained by stacking different layers of feature maps. Experiments show our proposed architecture has the ability to combine rich multi-scale contextual information to produce semantic segmentation maps with high accuracy.",convolutional neural networks (CNNs),semantic segmentation,pixelwise classification,remote sensing images (RSIs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
