,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,title,journal/conference/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16
Row_199,"Xu, Jinyu","Qi, Youcun","Li, Donghuan","Zhao, Zhanfeng",,,,,,,Can IMERG QPE product capture the heavy rain on urban flood scale?,SCIENCE OF THE TOTAL ENVIRONMENT,JUL 10 2024,0,"Urban areas are increasingly vulnerable to sudden flooding disasters caused by intense rainfall and high imperviousness degree, resulting in great economic losses and human casualties. Interactions between rainfall data and urban catchment characteristics highlight the urgent need of accurate and effective precipitation data to apply in reliable hydrological simulations. However, it remains a challenge to obtain accurate rainfall datasets on such small scales in urban areas. As satellite remote sensing is the only method that can achieve global observation, it is important to evaluate satellite precipitation products in their ability to accurately capture intense precipitation on urban flood scales. This study evaluates the performance of the latest version 06B (V06B) Integrated Multi-satellitE Retrievals for Global Precipitation Measurement (IMERG) in North China Plain, with using the Radar-Gauge merged precipitation estimates as reference data. First, it could be concluded that IMERG fails to accurately estimate precipitation in the whole study area, having the problem of overestimating light precipitation and underestimating heavy precipitation. Second, results show that IMERG has poor ability to capture heavy precipitation on small scales, with the percentage of Hit nearly 0 and the percentage of Miss higher than 40 % for all the precipitation cases. Third, with the expansion of heavy precipitation centers' coverage, the problem of IMERG not to detect heavy precipitation gets mitigated, with the percentage of Miss decreasing by 14 % (19 %). However, the ability to capture both spatial location and precipitation intensity is still not good, the percentage of Hit ranging from 0.05 % to 7 %, without obvious improvement. When IMERG is able to capture the center of strong precipitation, it also tends to overestimate the weak precipitation around the center of strong precipitation. Results of this study provide an improved understanding of how well the V06B IMERG products capture the heavy precipitation center at small scales in urban areas, which will be useful for both developers and users of IMERG.",Urban areas,Small spatial scales,Hourly precipitation,Heavy precipitation centers,Heavy precipitation centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_200,"Bar-Massada, Avi","Alcasena, Fermin","Schug, Franz","Radeloff, Volker C.",,,,,,,The wildland - urban interface in Europe: Spatial patterns and associations with socioeconomic and demographic variables,LANDSCAPE AND URBAN PLANNING,JUL 2023,14,"The wildland - urban interface (WUI) is the zone where human settlements are in or near areas of fire-prone wildland vegetation. The WUI is widespread and expanding, with detrimental consequences to human lives, property, and neighboring ecosystems. While the WUI has been mapped in many regions, Europe does not have a high resolution WUI map to date. Moreover, while most WUI research has been focused on quantifying spatial and temporal patterns, little is known about the relationship between the WUI and the socioeconomic conditions that drive its formation. Here, we present the first high-resolution map of the European WUI and provide the first macro-scale analysis of the relationship between the WUI and some of its potential drivers. We found that the WUI covers about 7.4 % of Europe, but its extent varies considerably both across and within countries, with sub-national WUI cover varying from nearly zero to almost 90 %. WUI cover is significantly related to socioeconomic variables such as GDP per capita, the proportion of the population above 65 years old, population density, road density, and the proportion of protected areas, but these effects are complex and interactive. This suggests that WUI drivers are likely to differ across and within countries, and hints about the importance of both top-down and local socioeconomic processes in driving the WUI. Our new WUI map can facilitate local as well as regional-scale wildfire risk and ecological assessments that inform policy and management decisions aimed at reducing the detrimental outcomes of the WUI in Europe.",Exurban development,Wildfire risk,Human-nature interactions,Coupled human and natural systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_201,"Li, Xiangyu","Dang, Anrong",,,,,,,,,Spatial Patterns of Drone Adoption: Insights from Communities in Southern California,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,JUN 2024,0,"Most US cities have seen a rapid proliferation of Civilian drones in the past decade. This study applies spatial regression models to identify the potential spatial clustering of drone adoption and the effects of socioeconomic, Information and communication technology (ICT) infrastructure, and land use characteristics, with a focus on the association between drone adoption and high-speed broadband coverage (which provides access to information and infrastructure for drone technology). Drone adoption exhibited a significant spatial clustering pattern, indicating spatial interaction in innovation adoption. The age, income, occupation, and land use characteristics significantly explained the drone adoption rate, while populations of color and communities with lower broadband coverage had lower drone adoption rates, indicating racial and ethnic disparities in innovation technology adoption. The underlying digital divide amplifies such disparities and requires the development of policy interventions to reduce inequality.",Drone,Innovation adoption,Spatial regression,Digital divide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_202,"Sveda, Martin","Madajova, Michala Sladekova",,,,,,,,,"Estimating distance decay of intra-urban trips using mobile phone data: The case of Bratislava, Slovakia",JOURNAL OF TRANSPORT GEOGRAPHY,FEB 2023,13,"The distance decay function has been attracting attention in diverse disciplines including transportation studies, spatial planning and urban geography. In particular, much discussion has concentrated on the measurement of distance decay on the regional scale, since the emphasis of the model utilisation has been on explaining inter-regional mobility (mainly commuting). The intra-urban context makes the estimation more complicated and the fundamental questions, such as how far people travel within the city to reach a variety of urban destinations, and whether there are potentially significant differences between these types of destinations, are still not answered in a satisfactory way. In response to this challenge, the paper attempts to reveal the spatial variations of the distance decay effect on movements in urban space through the utilisation of mobile phone data. The signalling data from all major mobile network operators in Slovakia represent new opportunities with high accuracy of measurement and complexity of representation. The methodological procedure for deriving data about human daily move-ments from the mobile network at the level of 1 x 1 km statistical grid cells is presented. The objective is to estimate the appropriate distance decay functions for urban grids and demonstrate the variation of decay curves within the Bratislava city. The findings relativise the decay law of human mobility. For the approximation of daily mobility within the urban area, the polynomial-exponential function - the decreasing function with a small increase of interaction intensity at a greater distance - describes the impedance of travel distance more pref-erably. However, a significant proportion of urban grids have recorded weak or even no decay. A question worth investigating is whether the resulting friction of distance is a result of a specific functional structure of the study area, or it could reflect an advanced stage of urban evolution.",Distance decay variation,Mobile phone data,Daily mobility,Urban grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_203,"Morris, Richard","Davis, Shannon","Grelet, Gwen-Aelle","Gregorini, Pablo",,,,,,,Agroecology for the City-Spatialising ES-Based Design in Peri-Urban Contexts,LAND,OCT 2024,1,"The design of urban systems that allow growth while also maximising ecosystem services is identified as an important priority for creating a Good Anthropocene. An ecosystem service (ES)-based approach to landscape interventions maximises the provision of ESs, and in doing so, repairs and reinforces threatened ecological planetary boundaries. As an urbanising planet, cities are critical frontiers of human interaction with these planetary boundaries, and therefore a critical arena for ES-based intervention. Globally, the predominant pattern of urbanisation is dedensification, an outwardly expanding trend where cities are growing in physical extent at a higher rate than their population growth. We therefore require spatially explicit tools capable of reconciling dedensification and Good Anthropocene visions. We propose a methodology that integrates agroecology and urbanisation and is focussed specifically on the supply of targeted regulating ESs. This 'Agroecology for the City' differs from conventional urban agriculture discourse and its preoccupation with food security. Our research interest is agroecological farm systems' (AFSs) capacity to provide critical life support services in a spatially effective manner to urban systems. Our recent research introduced a new GIS-based model (ESMAX) and a spatial agroecology approach that identified AFS configurations at a 1 ha scale which maximised the supply of three regulating ESs, as well as multifunctional performance across all three ESs combined. In the present research, we apply this process at a larger scale, with 1 ha and 4 ha AFS parcels being integrated with a real-world 200 ha peri-urban residential development. The AFS parcels and built-up areas are configured differently to maximise the supply of ESs identified as critical by the local community. We found that arrangements with AFS parcels interspersed evenly with built-up areas provided the best multifunctionality across the four ESs tested. This supports pathways for a Good Anthropocene that work with the global urbanising reality of dedensification and underpin the need for a hybrid science of rural/urban systems.",dedensification,ecosystem services,GIS,urban agroecology,adaptive management,spatial design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_204,"Zhang, Fan","Salazar-Miranda, Arianna","Duarte, Fabio","Vale, Lawrence","Hack, Gary","Chen, Min","Liu, Yu","Batty, Michael","Ratti, Carlo",,Urban Visual Intelligence: Studying Cities with Artificial Intelligence and Street-Level Imagery,ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS,MAY 27 2024,13,"The visual dimension of cities has been a fundamental subject in urban studies since the pioneering work of late-nineteenth- to mid-twentieth-century scholars such as Camillo Sitte, Kevin Lynch, Rudolf Arnheim, and Jane Jacobs. Several decades later, big data and artificial intelligence (AI) are revolutionizing how people move, sense, and interact with cities. This article reviews the literature on the appearance and function of cities to illustrate how visual information has been used to understand them. A conceptual framework, urban visual intelligence, is introduced to systematically elaborate on how new image data sources and AI techniques are reshaping the way researchers perceive and measure cities, enabling the study of the physical environment and its interactions with the socioeconomic environment at various scales. The article argues that these new approaches would allow researchers to revisit the classic urban theories and themes and potentially help cities create environments that align with human behaviors and aspirations in today's AI-driven and data-centric era.",deep learning,human-environment interactions,place,street-level imagery,urban visual intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_205,"Yin, Chengzhi","Xiao, Jianhua","Qian, Xingyu",,,,,,,,Understanding urban planning failure in China: Identifying practitioners' perspectives using Q methodology,CITIES,MAR 2023,10,"Since 2006, urban planning has been termed as an important element of public policy in China. Urban master planning has theoretically been the fundamental strategy with regard to the distribution of spatial resources in urban areas. However, in reality, the regulation of urban planning has not achieved the legally binding goals pertaining to resource savings, environment friendliness, and preservation of natural and cultural resources. There have been public power interferences in the implementation of urban planning, which has often led to serious environmental pollution, destruction of heritage, and safety issues. This article uses ""Urban planning failure"" to describe this phenomenon. Currently, practitioners disagree on what causes urban planning failure exactly. The Q methodology has been applied to facilitate the analysis of urban planning failure in the Chinese context. The research findings show that the ""top-down"" (senior official's absolute authority) and ""network"" (stakeholder's multiple interaction) interpretation of urban planning failure have been verified, while the ""bottom-up"" interpretation has not been substantiated. In the institutional context of decentralization of decision making power in urban planning from the central to local governments, senior official's absolute authority of local governments is the logical starting point to interpret the urban planning failure. The pressure of political performance and the absolute obedience of subordinates molded the structural conditions of urban planning failure. Meanwhile, stakeholder interactions too have played important roles in the context of information asymmetry, interest entanglement, and lack of supervision.",Urban master planning,Urban planning failure,Policy implementation,Authority,Q methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_206,"Gao, Chengquan","Zhao, Yufeng",,,,,,,,,STUDY ON SPATIAL PLANNING OF STREET OUTLETS IN SMART CITIES BASED ON OPTIMISED NSGA-II,MECHATRONIC SYSTEMS AND CONTROL,2024,0,"With the rapid growth of China's economy and the rapid development of information technology, the concept of using intelligent cities to realise modern urban governance in China has gradually matured. Nowadays, the characteristics of urban spatial structure are diverse, and the internal spatial form of cities is becoming increasingly complex. Currently, world cities are undergoing a profound reshaping of spatial design. In this paper, based on the improved nondominated sorting genetic algorithm (NSGA)-II algorithm, the cumulative ranking adaptation assignment strategy is proposed and introduced along with the arithmetic crossoperator, which significantly improves the convergence speed of the algorithm. Secondly, the theory of complex adaptive systems (CASs) combines computer and urban governance to enhance the selfregulation ability of smart cities to a certain extent and better adapt to external environmental changes. Finally, the kernel density and network analysis of commercial outlets are carried out to determine the distribution pattern and characteristics of each type of business in each region. For the urban construction of Pingdingshan City, regression analysis is used to point out the different situations with other cities from the perspective of quantitative analysis. The results show that the commercial point density is positively correlated with the global integration degree and negatively correlated with the total depth value. In addition, enhancing the accessibility of the main road network and strengthening the construction of rail transportation can effectively strengthen the interaction between urban areas of smart cities as well as improve the layout of urban spatial structure.",Smart city,optimisation NSGA-II,adaptive theory,regression analysis,spatial planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_207,"Fan, Shiyuan","Huang, Jingkai","Gao, Chengfei","Liu, Yuxiang","Zhao, Shuang","Fang, Wenqiang","Ran, Chengyu","Jin, Jiali","Fu, Weicong",,"The Characteristics of Visitor Behavior and Driving Factors in Urban Mountain Parks: A Case Study of Fuzhou, China",FORESTS,SEP 2024,1,"Previous studies have focused on the linear relationship between recreation behavior and environmental variables. However, to inform the planning and design of recreational spaces, it is essential to understand the factors that contribute to differences in the spatial distribution of recreation behavior. This study investigates the characteristics of visitor behavior in urban mountain parks in Fuzhou City, Fujian Province, China. It describes the distribution of tourist numbers and the diversity of behaviors in these parks and explores the landscape driving factors of visitor behavior, as well as the interaction effects between the factors from the perspective of spatial driving forces. The results indicate that (1) The observed behaviors in the three parks are primarily access behaviors. The number of visitors and the diversity of behaviors show a high level in the morning and evening and a low level in the midday. (2) There was minimal variation in behavioral composition and behavioral diversity among the study plots of different elevation gradients in the three parks. However, the contrasts between different landscape types were more pronounced, with impermeable plazas exhibiting the highest behavioral diversity and park roads demonstrating the most homogeneous behavioral diversity. (3) The impact of environmental factors was more pronounced than that of landscape pattern factors. The environmental factors that most strongly influenced passing, dynamic, and static behaviors were spatial connectivity value, hard space proportion, and number of recreational facilities, respectively. In contrast, the hard space proportion was the strongest driver of behavioral diversity. Moreover, the interaction between the hard space proportion and spatial connectivity value was more pronounced in driving behavioral diversity, as well as the three behaviors.",behavior distribution,behavioral diversity,geographical detector,landscape factors,urban green spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_208,"Neier, Thomas",,,,,,,,,,The green divide: A spatial analysis of segregation-based environmental inequality in Vienna,ECOLOGICAL ECONOMICS,NOV 2023,3,"Cities, as the human habitat of the 21st century, will increasingly face climate change-related risks. Extreme weather events, hot spells, and rising air pollution already have widespread impacts on people, affecting their health and well-being. Urban vegetation is a proposed nature-based solution to address these challenges. However, the equitable distribution of urban vegetation is not always ensured. The study applies two innovative segregation-based inequality indices, recently developed by Schaeffer and Tivadar (2019), which reference to the residential segregation literature as a source of insight for the measurement of environmental inequalities within urban areas. Using high-resolution satellite data and demographic data on a 250 m2 grid level, this study is able to deliver robust evidence on the existence of environmental inequalities with respect to ethnic minorities and urban vegetation. It is observed that minorities consistently experience higher levels of segregation from urban vegetation compared to non-minorities, even when accounting for interactions with wider neighbourhoods. Additionally, the application of a Jackknife simulation provides insights for local policy interventions, mapping hotspots of urban inequalities and provides a solid starting point to tackle these issues on the ground.",Environmental justice,Spatial segregation,Urban vegetation,GIS,Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_209,"Hadianti, Atrida","Dewanto, Bondan Galih",,,,,,,,,"The simulation of urban development with the consideration of ground deformation threats in Sidoarjo Regency, East Java Province of Indonesia",REMOTE SENSING APPLICATIONS-SOCIETY AND ENVIRONMENT,NOV 2023,1,"Sidoarjo plays a role as buffer zone for the expanding urban growth of Surabaya City, which results in the rapid development of built areas. After the Lapindo mudflow in 2006, subsidence occurred in the surrounding area of Porong District. Land subsidence is a slow-onset disaster that impact people's lives due to vertical displacement. Urban development in areas that are geologically prone to subsidence may have long-term impacts, both on settlements and infrastructure. Therefore, it is necessary to acknowledge its ground deformation trait and how it interacts with urban spatial development. The characteristics of ground deformation were identified utilizing Interferometric Synthetic Aperture Radar (InSAR) processing with Small Baseline Subset (SBAS) method which resulted in 10 levels of ground deformations. The map of ground deformation level was overlaid with the map of future land use of 2041 which was generated from Cellular Automata (CA) based land use simulation. Areas with alarming ground deformation level, that are ""at-risk"", are found around the Lapindo area, and extends to Sidoarjo's north side. Meanwhile, the built area is estimated to grow around the major roads, in the central side from north to south, and in the middle-south part of Sidoarjo. The interaction between urban development and ground deformation provides an overview of areas that may encounter ground deformation threats, such as land subsidence and uplift movement, in the future. The results of this study can be used for spatial planning decisions with consideration of ground deformation threats by directing urban development to the ""safe"" areas.",Urban development,Land use simulation,Cellular automata,Ground deformation,Spatial planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_210,"Lu, Shiwei","Huang, Yaping","Wu, Xiaoqing","Ding, Yichen",,,,,,,"Evaluation, Recognition and Implications of Urban-Rural Integration Development: A Township-Level Analysis of Hanchuan City in Wuhan Metropolitan Area",LAND,JAN 2023,3,"China has achieved success in implementing the rural revitalization strategy and promoting the development of new urbanization. However, there are still many problems in the research and implementation on urban-rural integration development, such as insufficient research at the township level, unclear recognition of development patterns, and disconnection from land-use planning. Therefore, taking Hanchuan city in the Wuhan metropolitan area as a case study, this research constructs a comprehensive evaluation system of urban-rural integration development based on both on the current and potential level of development, and identifies the spatial characteristics and patterns in the study area. This study found that: (1) The comprehensive evaluation result of urban-rural integration development in Hanchuan City shows that a high level of development units are mainly distributed in the northeast and southwest, and gradually decreases from the northeast and southwest, indicating that towns in the central area are relatively weakly driven by the radiation of the surrounding growth poles. (2) Xiannvshan Street, Makou Town, Chenhu Town, and Xinyan Town with the highest comprehensive evaluation values were selected as the centers of urban-rural integration development in four directions. (3) Four typical patterns of urban-rural integration development, which are town gathering, agro-tourism interaction, industry-trade driven, and agricultural service, are derived by the gravity model and classification assignment method according to their respective centers. (4) According to the urban-rural integration development patterns, land-use strategies such as centralization for promoting linkage level of towns, differentiation for arranging various resources and infrastructures, and demonstration for optimization of experience to the whole area are proposed in a targeted manner. This study has important implications for the preparation and implementation of urban-rural integration development and provides effective planning guidance for promoting social equity and accessibility of facilities in the metropolitan area.",urban-rural integration development,evaluation system,gravity model,spatial pattern,land-use planning implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_211,"Pikner, Tarmo","Pitkanen, Kati","Nugin, Raili",,,,,,,,Emergent rural-urban relations in Covid-19 disturbances: Multi-locality affecting sustainability of rural change,SOCIOLOGIA RURALIS,JUL 2023,5,"The recent Covid-19 pandemic highlighted rural-urban interactions, in particular the fact that cities are dependent on the accessibility of non-metropolitan and rural spaces and vice versa. This article seeks to understand how these interactions contributed to emergent relational spaces of rurality during the Covid-19 crisis. The article analyses politicised mobilities between localities and rural-urban linkages that are tied to the sustainability of rural change. The study focuses on two countries: Estonia and Finland, exploring thematic narratives on second-home practices and related politics during the outbreak of the Covid-19 crisis. The explored regions were the South Savo region in Finland and the island of Saaremaa and northern coastal villages in Estonia. The analysis indicates ways in which the mobility restrictions and disturbances triggered by the Covid-19 pandemic attributed certain demands and hopes to rural areas and led the shift in rural-urban interactions. The article contributes to the understanding of co-existences between im/mobilities and multi-local living and sustainability in rural change.",Covid-19,mobilities,multi-locality,rurality,rural-urban interactions,second homes,sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_212,"Su, Dan","Cao, Yu","Fang, Xiaoqian","Wang, Jiayi","Cao, Yu",,,,,,"Regional integration, agricultural production, and their heterogeneous interaction in the classic urban agglomeration of China",JOURNAL OF CLEANER PRODUCTION,JUL 20 2024,2,"Regional integration, a global trend covering multiple aspects of cities that constitute an urban agglomeration, is poised to reallocate limited resources and reshape regional production pattern. While its effects on urban economic efficiency and environmental emissions have been investigated, the agricultural system, which plays a pivotal role in ensuring food security, remains an underexplored domain. To address this, this study commences by discussing the possible influence of regional integration on agricultural production drawing from literature and practical evidence. Then the regional integration level of the Yangtze River Delta Urban Agglomeration (YRDUA) from 2005 to 2019 was evaluated, which is a facet that has received limited quantitative scrutiny hitherto. Subsequently, the agricultural production efficiency (APE) that integrates the composite inputs and outputs information was analyzed to assess the utility of rural production. The interconnection between these two systems was then explored by panel Tobit Model. The findings reveal that (1) regional integration in the YRDUA has exhibited fluctuation across different developmental stages and is presently converging toward a state of stability. (2) The APE appears better performance characterized by weakened spatial heterogeneity and long-term growth. (3) The APE presents an increase in response to the improved integration levels within the gradients, and the model results suggest a positive relationship between them. The discovery of this study implied the potential of macro-regulation promoted through regional integration to enhance APE, underscoring its dual welfares, impacting not only urban development but also extending its spilled-beneficial effects to rural overall production. It provides insights to help find solutions to food security and regional equilibrium under the worldwide tendency of regional integration.",Agricultural production efficiency,Regional integration,Food security,Regional heterogeneity,Yangtze river delta urban agglomeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_213,"Gao, Tongchaoran","Lim, Samson","Wong, Daniel Kin Heng","Schroepfer, Thomas",,,,,,,From walking to staying: The impact of spatial qualities on socio-spatial segregation in innovation districts,SUSTAINABLE CITIES AND SOCIETY,OCT 15 2024,0,"Innovation districts can spur urban economic growth but present challenges like socio-spatial segregation. To mitigate segregation, we emphasize the importance of ""staying activities"" such as sitting, playing, and relaxing, over transient activities like walking or cycling in the design of public spaces. Focused on One-north, an innovation district in Singapore, we examine how different spatial qualities influence the ""staying activities"" of diverse socioeconomic groups. Using a GeoAI workflow that integrates various data-sources with machine learning and AI, we assess thirteen spatial quality indicators and their impact on staying activities. Our deep neural network (DNN) model, which achieves an 83.74% accuracy rate, confirms the effectiveness of these indicators in capturing the co-location of staying activities between diverse income groups in One-north. Our findings reveal that typical markers of well-designed public spaces, such as visual diversity and greenery, do not consistently enhance staying activities. Their effectiveness varies across One-north and is shaped by the unique functional contexts and land-use types of each sector in the district. Our research thus highlights the necessity for context-specific designs that encourage meaningful social interactions and reduce socioeconomic segregation. Our proposed GeoAI workflow can assist in the proactive evaluation of design strategies, supporting decisionmaking prior to major construction projects.",Innovation districts,Socio-spatial segregation,Staying Activities,Spatial Design,Singapore,GeoAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_214,"Lu, Yutian","Rigolon, Alessandro","Carver, Steve","Wu, Jiayu",,,,,,,Data augmented planning: A data-driven approach to measuring-understanding-optimizing green justice across 263 Chinese cities,SUSTAINABLE CITIES AND SOCIETY,DEC 15 2024,0,"Urban Green Spaces (UGS) are pivotal in fostering sustainable urban environments, with disparities in access to UGS raising concerns about 'green justice'. Existing research often focuses on the socioeconomic influences on green justice, overlooking the role of urban green planning and design. To address this, we evaluated green justice levels across 263 Chinese cities using extensive geospatial data and explainable machine learning techniques. Our findings highlight a significant relationship between the planar configuration of UGS and green justice. Notably, these associations are non-linear, showing threshold effects where certain UGS characteristics beyond specific values can adversely affect green justice. The study also identifies interaction effects among these spatial characteristics. Our results offer practical guidelines for urban planning to enhance green justice, especially in China's large cities. Recommendations include optimizing green space morphology and proximity, and reconfiguring the layout of various green spaces. This research provides valuable insights and strategies for promoting green justice, particularly in densely populated cities in developing nations like China.",Green justice,Urban green space,Spatial characteristic,Nonlinear effects,Interaction effects,Urban planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_215,"Wang, Xi","Pei, Tao","Song, Ci","Chen, Jie","Liu, Yaxi","Guo, Sihui","Chen, Xiao","Shu, Hua",,,X-index: A novel flow-based locational measure for quantifying centrality,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,MAR 2023,9,"The centrality of a place reflects its relative importance in serving other places, and quantifying centrality is a prerequisite for assessing the urban spatial structure and facilitates policy-making of sustainable urban development. Two important aspects in quantifying the centrality of a place are the amount of service it provides to other places and the spatial diversity of the places it serves. For example, a central city attracts not only many people but also people from various cities. However, few existing centrality measures can address the two aspects simultaneously. In this study, following the idea of the scholar's H-index, we propose a novel flow-based locational measure, the X-index, which quantifies the centrality of a place by considering both the volume and directions of flows toward the place in an automated way. We demonstrate the effectiveness and advantages of the X-index over other common centrality measures by quantifying the centrality of Chinese cities and spatial grid cells in Beijing. The results show that: (1) The X-index can successfully detect all the official national central cities and reveal the hierarchy of cities. (2) The X-index is positively correlated with the variety of urban functions in grid cells, which is consistent with central place theory.",Centrality,Spatial interaction,Geographical flows,Urban science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_216,"Xiao, Cuicui","Zhou, Jingbo","Meng, Fanran","Cullen, Jonathan","Wang, Xin","Zhu, Yunying",,,,,Regional characteristics and spatial correlation of haze pollution: Interpretative system analysis in cities of Fenwei Plain in China,SCIENCE OF THE TOTAL ENVIRONMENT,APR 15 2023,9,"Urban agglomeration is an important model for promoting global economic development and has made important contributions to global economic integration. However, as the core area of urbanization and industrialization, urban agglomerations also contribute to air pollutant emissions primarily due to the agglomeration of population and industry. The mutual influence of air pollution between different cities in urban agglomerations has brought significant challenges to global environmental governance. The Fenwei Plain is one of the most severely polluted areas in China. We collected daily average PM2.5 concentration data of 11 cities in the Fenwei Plain, China in 2019. We then developed an interpretive structural model to statistically analyze the spatial correlation and hierarchical transmission of haze pollution between the 11 cities. The results showed that haze pollution has a strong systematic correlation between the 11 cities, and a regional haze pollution community has formed throughout the region. Haze pollution also exhibits evident transmission and spatial correlations between the cities. The transmission starts from Baoji and ends at Sanmenxia, with mutual interactions between the cities of Xi'an, Xianyang, Weinan, Tongchuan, Jinzhong, Lvliang, Linfen, Yuncheng, and Luoyang. Thus, air pollution prevention and control in the Fenwei Plain should consider the spatial correlation of haze pollution between different cities, especially in autumn and winter, and should rationally be implemented in key urban cluster areas. We recommend building a coordinated governance between cities to improve the overall air quality. Our findings shed a light for coordinated pollution management in urban agglomerations worldwide.",Haze pollution,Interpretive structure model (ISM) analysis,Spatial correlation,Urban agglomeration,Collaborative governance,Fenwei Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_217,"Zhang, Jing","Chen, Jian","Zhu, Wenjian","Ren, Yuan","Cui, Jiecan","Jin, Xiaoai",,,,,Impact of urban space on PM2.5 distribution: A multiscale and seasonal study in the Yangtze River Delta urban agglomeration,JOURNAL OF ENVIRONMENTAL MANAGEMENT,JUL 2024,2,"Despite concerted efforts in emission control, air pollution control remains challenging. Urban planning has emerged as a crucial strategy for mitigating PM2.5 pollution. What remains unclear is the impact of urban form and their interactions with seasonal changes. In this study, base on the air quality monitoring stations in the Yangtze River Delta urban agglomeration, the relationship between urban spatial indicators (building morphology and land use) and PM2.5 concentrations was investigated using full subset regression and variance partitioning analysis, and seasonal differences were further analysed. Our findings reveal that PM2.5 pollution exhibits different sensitivities to spatial scales, with higher sensitivity to the local microclimate formed by the three-dimensional structure of buildings at the local scale, while land use exerts greater influence at larger scales. Specifically, land use indicators contributed sustantially more to the PM2.5 prediction model as buffer zone expand (from an average of 2.41% at 100 m range to 47.30% at 5000 m range), whereas building morphology indicators display an inverse trend (from an average of 13.84% at 100 m range to 1.88% at 5000 m range). These results enderscore the importance of considering building morphology in local-scale urban planning, where the increasing building height can significantly enhance the disperion of PM2.5 pollution. Conversely, large-scale urban planning should prioritize the mixed use of green spaces and construction lands to mitigate PM2.5 pollution. Moreover, the significant seasonal differences in the ralationship between urban spatical indicatiors and PM2.5 pollution were observed. Particularly moteworthy is the heightened association between forest, water indicators and PM2.5 concentrations in summer, indicating the urban forests may facilitate the formation of volatile compunds, exacerbating the PM2.5 pollution. Our study provides a theoretical basis for addressing scalerelated challenges in urban spatial planning, thereby forstering the sustainable development of cities.",PM 2.5 concentrations,Building morphology,Land use,Scale,Urban planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
