,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,author42,author43,author44,author45,author46,author47,author48,author49,author50,author51,author52,author53,author54,author55,author56,author57,author58,author59,author60,author61,author62,author63,author64,author65,author66,author67,author68,author69,author70,author71,keyword6,conference,keyword7,keyword8,keyword9,keyword10
Row_202,"Tzeng, I-Shiang",,,,,,,,,,,,,,,,,A Practical Approach in Refining Binary Outcome for Treatment Effect of COVID-19 According to Geographical Diversity,TROPICAL MEDICINE AND INFECTIOUS DISEASE,FEB 2023,4,"The recent COVID-19 pandemic has drawn attention to health and economics worldwide. Initially, diseases only ravage local populations, while a pandemic could aggravate global economic burdens. Lopinavir/Ritonavir is an anti-HIV drug that was used on small scale patients during SARS, but its effectiveness for COVID-19 treatment is still unclear. Previous studies or meta-analysis have retrieved clinical data of subgroup analysis to evaluate the efficacy and safety of Lopinavir/Ritonavir for the treatment of COVID-19 in a few affected regions. However, geographical diversity and small number of studies bias correction were not achieved in such subgroup analysis of published meta-analysis. The present study demonstrates a practical approach in refining the binary outcome for COVID-19 treatment of Lopinavir/Ritonavir according to geographical location diversity and small number of studies (less than or equal to five) for subgroup analysis. After performing practical approach, the risk of adverse event with LPV/RTV for treatment of COVID-19 becomes nonsignificant compared to previous meta-analysis. Furthermore, we also notice heterogeneity of random effect of meta-analysis may be declined after proposed adjustment. In conclusion, proposed practical approach is recommend for performing a subgroup analysis to avoid concentration in a single geographical location and small number of studies bias.",COVID-19,efficacy,safety,Lopinavir,Ritonavir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small number of studies bias,,geographical diversity,meta-analysis,,
Row_203,"Divino, Fabio","Egidi, Viviana","Salvatore, Michele Antonio",,,,,,,,,,,,,,,Geographical mortality patterns in Italy: A Bayesian analysis,DEMOGRAPHIC RESEARCH,APR 24 2009,14,"In this paper, we present a hierarchical spatial model for the analysis of geographical variation in mortality between the Italian provinces in the year 2001, according to gender, age class, and cause of death. When analysing counts data specific to geographical locations, classical empirical rates or standardised mortality ratios may produce estimates that show a very high level of overdispersion due to the effect of spatial autocorrelation among the observations, and due to the presence of heterogeneity among the population sizes. We adopt a Bayesian approach and a Markov chain Monte Carlo computation with the goal of making more consistent inferences about the quantities of interest. While considering information for the year 1991, we also take into account a temporal effect from the previous geographical pattern. Results have demonstrated the flexibility of our proposal in evaluating specific aspects of a counts spatial process, such as the clustering effect and the heterogeneity effect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_204,"Agasisti, Tommaso","Barra, Cristian","Zotti, Roberto",,,,,,,,,,,,,,,Evaluating the efficiency of Italian public universities (2008-2011) in presence of (unobserved) heterogeneity,SOCIO-ECONOMIC PLANNING SCIENCES,SEP 2016,31,"In assessing the performance of universities, the most recent literature underlined that the efficiency scores may suffer from the presence of incidental parameters or time-invariant, often unobservable, effects that lead to biased efficiency estimates. To deal with this problem, we apply a procedure developed by [67]; for estimating the efficiency in Italian higher education through a multi-output parametric distance function. We show that models which do not consider unobservable heterogeneity tend to estimate divergent efficiency scores. We also study the determinants of efficiency; the findings provide a clue towards the expansion of pro-competitive policies in the Italian higher education sector, consistently with the interpretation that when market forces operate, there are benefits for university efficiency. When exploring differences in the performance of universities, by geographical areas, we claim that maintaining State-level policies can be detrimental for overall efficiency, and instead special interventions for universities in the South should be designed. (C) 2016 Elsevier Ltd. All rights reserved.",Efficiency,Unobserved heterogeneity,Higher education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_205,"Wu, Zhenjiang","Yao, Fengmei","Zhang, Jiahua","Liu, Haoyu",,,,,,,,,,,,,,Estimating Forest Aboveground Biomass Using a Combination of Geographical Random Forest and Empirical Bayesian Kriging Models,REMOTE SENSING,JUN 2024,2,"Accurately estimating forest aboveground biomass (AGB) is imperative for comprehending carbon cycling, calculating carbon budgets, and formulating sustainable forest management plans. Currently, random forest (RF) and other machine learning models are widely used to estimate forest AGB, as they can effectively handle nonlinear relationships. However, by constructing a global model using all the samples collected from a study area, these models fail to account for the spatial heterogeneity in the AGB and cannot correct the prediction biases, thereby constraining the estimation accuracy. To overcome these limitations, we proposed a novel approach termed geographical random forest and empirical Bayesian kriging (GRFEBK). This hybrid model combines the localized modeling capability of geographical random forest (GRF) with the bias correction strength of empirical Bayesian kriging (EBK). GRF adapts RF to account for the spatial heterogeneity of the AGB, while EBK utilizes the spatial autocorrelation of residuals to correct the prediction deviations. This study was conducted in Hainan Island, utilizing spectral bands, vegetation indices, tasseled cap components derived from Landsat-8 imagery, backscattering coefficients from ALOS-2 synthetic aperture radar, topographic features, and the forest canopy height as the explanatory variables. A total of 195 forest aboveground biomass (AGB) samples were collected for modeling and assessing the predictive accuracy. The results demonstrate that, among the tested models, including GRFEBK, RF, support vector machine (SVM), k-nearest neighbor (KNN), geographically weighted regression (GWR), GRF, and EBK, GRFEBK attains the highest R2 (0.78) and the lowest RMSE (36.04 Mg/ha) and RRMSE (22.87%), significantly outperforming the conventional models and using GRF or EBK alone. These results demonstrate that by accounting for local non-stationarity in AGB and correcting prediction biases, GRFEBK achieves significantly higher accuracy than conventional RF and other models. While the results are promising, the computational cost of GRFEBK and its performance under varying geographical conditions warrant further investigation at larger scales to assess its broader applicability. Nevertheless, GRFEBK provides an innovative and more reliable approach for accurate forest AGB estimation with great potential to support global forest resource monitoring.",forest aboveground biomass (AGB),machine learning,geographical random forest (GRF),empirical Bayesian kriging (EBK),estimation accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_206,"Wang, Meijuan","Zhang, Mingzhi","Chen, Haiqian","Yu, Donghua",,,,,,,,,,,,,,How Does Digital Economy Promote the Geographical Agglomeration of Manufacturing Industry?,SUSTAINABILITY,JAN 2023,14,"With the acceleration of informatization, the spatial layout of economic activities has gradually shifted from ""transportation cost + labor force"" to ""information + technology"". As a new generation of information, the digital economy has a profound impact on the spatial layout of the manufacturing industry. Based on the data of China's listed manufacturing companies from 2001 to 2020, this paper aims to assess the effect of the digital economy on manufacturing agglomeration and identify the transmission mechanism of this effect. The results show the following: (1) The digital economy significantly promotes the geographical agglomeration of the manufacturing industry, which is still valid on the basis of a series of robustness and endogeneity tests. (2) Mechanism analysis shows that the digital economy promotes manufacturing agglomeration by reducing transaction costs, increasing market potential and enhancing knowledge spillover. (3) Heterogeneity analysis shows that the effect is more significant in the samples of large enterprises, high-tech manufacturing, central and western regions, small and medium-sized cities and the west side of the ""Hu Huanyong Line"", which will greatly help the layout of the manufacturing industry break through the ""Hu Huanyong Line"" to achieve balanced development. (4) Globalization, localization and human capital play a significant positive moderating role in the process. This paper provides microevidence for the integration of digitalization and industrialization. Furthermore, it has important implications for the formulation of digital economy policy, the high-quality development of the manufacturing industry and the continuous promotion of regional coordinated development.",digital economy,high-quality economic development,geographical agglomeration of manufacturing industry,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_207,"Paertel, Meelis","Laanisto, Lauri","Wilson, Scott D.",,,,,,,,,,,,,,,Soil nitrogen and carbon heterogeneity in woodlands and grasslands:: contrasts between temperate and tropical regions,GLOBAL ECOLOGY AND BIOGEOGRAPHY,JAN 2008,18,"Aim Soil resource heterogeneity is linked to several ecological processes including invasion of woody species into grasslands. Studies from the temperate zone have demonstrated greater soil heterogeneity beneath woody vegetation than beneath grasslands. Woody species have a more widespread and coarser root system than herbaceous species, and may have a competitive advantage in relatively heterogeneous soils. We tested the global generality of greater soil heterogeneity beneath woody vegetation.Location Global.Methods We used data from published literature for soil nitrogen and carbon heterogeneity from paired woodland and grassland sites around the world.Results Woodland and grassland soil heterogeneities from paired observations were strongly correlated. There was, however, significant geographical variability in the relationship. Soils were more heterogeneous in woodlands than grasslands in temperate areas, but the opposite was true for tropical habitats. Grassland soils were more heterogeneous at lower than higher latitudes. Woodland soil heterogeneity did not vary with latitude.Main conclusions The previously described high soil heterogeneity in woody vegetation compared to grasslands holds only for temperate regions. Consequently, the relationship between soil resource heterogeneity and vegetation type is dependent on the study region. Macroecological studies should test the generality of relationships between soil and vegetation at the global scale.",ecological rules,fine roots,forest invasion,grassland invasion,latitudinal gradients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,macroecology,,soil resource heterogeneity,,,
Row_208,"Wang, Hui","Chen, Meixu","Wang, Zhe","Huang, Li","Caudill, Christopher C.","Qu, Shijin","Que, Xiang",,,,,,,,,,,How does extreme point sampling affect non-extreme simulation in geographical random forest?,EARTH SCIENCE INFORMATICS,JUN 2024,0,"Spatial heterogeneity brings numerous uncertainties to training datasets in the modeling process. An arbitrary selection of training samples can result in a biased simulation. Although previous research provides a chance of reducing the degree of spatial variance through homogeneous divisions, detailed information regarding the impact of the configuration of divisions for training remains unknown. Moreover, few studies investigate the cross impact of extreme sampling on non-extreme simulation. Therefore, we extend previous research to investigate the cross impact and further examine whether the divisions of extremely high (EXH) and low (EXL) quantiles contribute equally to the simulation bias when employing the spatial stratified sampling. Statistical assessment demonstrates that the selection of extreme training sample does affect the non-extreme simulation. The model has the best performance (RMSE: 2.735, VE: 7.481, Bias: -0.033) when the least proportion (25%) of EXH and EXL was selected for training. Further analysis also indicated that the EXH and EXL divisions contribute unequally to the process. Particularly, the non-extreme simulation is more sensitive to the EXH training data with a steeper change rate of 0.043. This research provides a critical insight into the extreme point sampling for a machine learning process. Different sensitivity of division calls upon that extreme training sample should be adjusted on a basis of percentage rather than their amounts when applying stratified sampling in Geographical Random Forest.",Extreme point sampling,Geographical random forest,LiDAR,Canopy height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_209,Li Tao,Wang Jiaoe,Huang Jie,Gao Xingchuan,,,,,,,,,,,,,,Exploring temporal heterogeneity in an intercity travel network: A comparative study between weekdays and holidays in China,JOURNAL OF GEOGRAPHICAL SCIENCES,DEC 2020,29,"A largely unexplored application of ""Big Data"" in urban contexts is using human mobility data to study temporal heterogeneity in intercity travel networks. Hence, this paper explores China's intercity travel patterns and their dynamics, with a comparison between weekdays and holidays, to contribute to our understanding of these phenomena. Using passenger travel data inferred from Tencent Location Big Data during weekdays (April 11-15, 2016) and National Golden Week (October 1-7, 2016), we compare the spatial patterns of Chinese intercity travel on weekdays and during Golden Week. The results show that the average daily intercity travel during Golden Week is significantly higher than that during weekdays, but the travel distance and degree of network clustering are significantly lower. This indicates temporal heterogeneity in mapping the intercity travel network. On weekdays, the three major cities of Beijing, Shanghai, and Guangzhou take prominent core positions, while cities that are tourism destinations or transportation hubs are more attractive during Golden Week. The reasons behind these findings can be explained by geographical proximity, administrative division (proximity of cultural and policy systems), travel distance, and travel purposes.",big data,weekdays,National Golden Week,human mobility,travel time heterogeneity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,
Row_210,"Mwakaje, Saudin J.",,,,,,,,,,,,,,,,,Protection of geographical indications and cross-border trade: A survey of legal and regulatory frameworks in East Africa,JOURNAL OF WORLD INTELLECTUAL PROPERTY,MAR 2022,4,"Geographical indications (GIs), one of a subset of intellectual property rights (IPR), have recently assumed significant role in regulating variety of sectoral policies and national and regional, and international levels. Its relevance makes it one of the critical agenda in areas such as agriculture and international trade. Internationally, the articulation of GIs under TRIPs Agreement remains unclear and leaves policy and regulatory space for each country to choose their own path. The Continental Strategy for Geographical Indications in Africa-2018-2023 has introduced a new dimension about GIs. Legal instruments governing the East African Community (EAC) proffer a harmonized policy and regulatory framework for IPR as one of the means to attain the regional objectives. However, laws governing GIs in the partner states of EAC vary in terms of the nature and scope of protection and the underlying regulatory structures, resulting into heterogeneity in GIs protection in each country. Amid this regulatory dilemma, this paper examines the GIs laws in EAC by bringing to the fore the obtaining substantive and procedural differences amongst the partner states to EAC. The paper, among others, proposes a centralized regional approach for GIs protection to attain EAC's objective.",cross border trade,Eastern Africa perspectives,geographical indications,intellectual property rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_211,"Diboulo, Eric","Sie, Ali","Diadier, Diallo A.","Voules, Dimitrios A. Karagiannis","Ye, Yazoume","Vounatsou, Penelope",,,,,,,,,,,,"Bayesian variable selection in modelling geographical heterogeneity in malaria transmission from sparse data: an application to Nouna Health and Demographic Surveillance System (HDSS) data, Burkina Faso",PARASITES & VECTORS,FEB 22 2015,16,"Background: Quantification of malaria heterogeneity is very challenging, partly because of the underlying characteristics of mosquitoes and also because malaria is an environmentally driven disease. Furthermore, in order to assess the spatial and seasonal variability in malaria transmission, vector data need to be collected repeatedly over time (at fixed geographical locations). Measurements collected at locations close to each other and over time tend to be correlated because of common exposures such as environmental or climatic conditions. Non-spatial statistical methods, when applied to analyze such data, may lead to biased estimates. We developed rigorous methods for analyzing sparse and spatially correlated data. We applied Bayesian variable selection to identify the most important predictors as well as the elapsing time between climate suitability and changes in entomological indices.Methods: Bayesian geostatistical zero-inflated binomial and negative binomial models including harmonic seasonal terms, temporal trends and climatic remotely sensed proxies were applied to assess spatio-temporal variation of sporozoite rate and mosquito density in the study area. Bayesian variable selection was employed to determine the most important climatic predictors and elapsing (lag) time between climatic suitability and malaria transmission. Bayesian kriging was used to predict mosquito density and sporozoite rate at unsampled locations. These estimates were converted to covariate and season-adjusted maps of entomological inoculation rates. Models were fitted using Markov chain Monte Carlo simulation.Results: The results show that Anophele. gambiae is the most predominant vector (79.29%) and is more rain-dependant than its sibling Anophele. funestus (20.71%). Variable selection suggests that the two species react differently to different climatic conditions. Prediction maps of entomological inoculation rate (EIR) depict a strong spatial and temporal heterogeneity in malaria transmission risk despite the relatively small geographical extend of the study area.Conclusion: Malaria transmission is very heterogeneous over the study area. The EIR maps clearly depict a strong spatial and temporal heterogeneity despite the relatively small geographical extend of the study area. Model based estimates of transmission can be used to identify high transmission areas in order to prioritise interventions and support research in malaria epidemiology.",Bayesian,Zero-inflated,Negative binomial,Stochastic search variable selection,Entomological inoculation rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burkina Faso,,Sub-Saharan Africa,Nouna HDSS,Lag time,
Row_212,"Tetteh, Jacob Doku","Templeton, Michael R.","Cavanaugh, Alicia","Bixby, Honor","Owusu, George","Yidana, Sandow Mark","Moulds, Simon","Robinson, Brian","Baumgartner, Jill","Annim, Samuel Kobina","Quartey, Rosalind","Mintah, Samilia E.","Bawah, Ayaga Agula","Arku, Raphael E.","Ezzati, Majid","Agyei-Mensah, Samuel",,"Spatial heterogeneity in drinking water sources in the Greater Accra Metropolitan Area (GAMA), Ghana",POPULATION AND ENVIRONMENT,SEP 2022,12,"Universal access to safe drinking water is essential to population health and well-being, as recognized in the Sustainable Development Goals (SDG). To develop targeted policies which improve urban access to improved water and ensure equity, there is the need to understand the spatial heterogeneity in drinking water sources and the factors underlying these patterns. Using the Shannon Entropy Index and the Index of Concentration at the Extremes at the enumeration area level, we analyzed census data to examine the spatial heterogeneity in drinking water sources and neighborhood income in the Greater Accra Metropolitan Area (GAMA), the largest urban agglomeration in Ghana. GAMA has been a laboratory for studying urban growth, economic security, and other concomitant socio-environmental and demographic issues in the recent past. The current study adds to this literature by telling a different story about the spatial heterogeneity of GAMA's water landscape at the enumeration area level. The findings of the study reveal considerable geographical heterogeneity and inequality in drinking water sources not evidenced in previous studies. We conclude that heterogeneity is neither good nor bad in GAMA judging by the dominance of both piped water sources and sachet water (machine-sealed 500-ml plastic bag of drinking water). The lessons from this study can be used to inform the planning of appropriate localized solutions targeted at providing piped water sources in neighborhoods lacking these services and to monitor progress in achieving universal access to improved drinking water as recognized in the SDG 6 and improving population health and well-being.",Drinking water sources,Spatial heterogeneity,Inequality,Census data,GAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghana,,,,,
Row_213,"Ventura, Martina","Di Napoli, Anteo","Caranci, Nicola","Adorno, Valentina","Bartolini, Letizia","Corsaro, Alice","Spadea, Teresa","Rusciani, Raffaella","Di Girolamo, Chiara","Cacciani, Laura","Agabiti, Nera","Profili, Francesco","Milli, Caterina","Silvestri, Caterina","Cernigliaro, Achille","Rossi, Paolo Giorgi","D'Amato, Stefania","Impact of COVID-19 on foreign population resident in urban areas of Italy: selection of indicators, data sources, and definition of geographical stratification levels",EPIDEMIOLOGIA & PREVENZIONE,JUL-OCT 2024,2,"Objectives: to describe indicators, data sources, and levels of geographical stratification used within the framework of the CCM project ""Epidemiological Surveillance and Control of COVID-19 in Metropolitan Urban Areas and for the containment of SARS-CoV-2 circulation in the immigrant population in Italy"".Design: population-based observational study based on data from the Integrated Covid-19 Surveillance System and the archive of hospital discharge records.Setting and participants: interregional collaborative project. Resident population in 5 Italian Regions (Piedmont, Emilia-Romagna, Tuscany, Lazio, and Sicily).Main outcomes measures: crude and age-standardized rates of diagnostic test utilization and positivity, hospitalization (in any department and in intensive care unit), and mortality in COVID- 19 cases.Results: starting from the set of 11 indicators from the Italian National Institute for Health, Migration and Poverty (INMP) project "" Epidemiology of SARS-CoV-2 Infection (COVID-19) and Use of Health Services in the Immigrant Population and Vulnerable Population Groups in Italy"", the five most effective indicators for CCM purposes were identified. The INMP project highlighted higher rates of test access and positivity among Italians compared to foreigners, higher standardized hospitalization rates among foreigners, and higher standardized mortality rates among Italians, with geographical and temporal heterogeneity. The intersection between the DEGURBA (degree of urbanisation) classification and altimetric zones defined five levels of territorial stratification characterized by decreasing population density. Approximately 81% of the population involved in the CCM project resided in the first two levels; 43% of Italians lived in areas with intermediate population density in hilly or plain areas, while 48% of foreigners were concentrated in densely populated areas.Conclusions: sharing the collaborative approach and a research methodology already tested, integrated with the analysis of disaggregated indicators by morphological, functional, and administrative characteristics of the residential territory, allowed for assessing differences in the impact of the pandemic between Italians and foreigners residing in more or less densely populated areas.",COVID-19,resident foreigners,indicators,geographical inequalities,geographical stratification,"Petrelli, Alessio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_214,"Merlo, Juan","Oeberg, Johan","Khalaf, Kani","Perez-Vicente, Raquel","Leckie, George",,,,,,,,,,,,,Geographical and sociodemographic differences in statin dispensation after acute myocardial infarction in Sweden: a register-based prospective cohort study applying analysis of individual heterogeneity and discriminatory accuracy (AIHDA) for basic comparisons of healthcare quality,BMJ OPEN,SEP 2023,4,"BackgroundIn Sweden, as in many other countries, official monitoring of healthcare quality is mostly focused on geographical disparities in relation to a desirable benchmark. However, current evaluations could be improved by considering: (1) The intersection of other relevant axes of inequity like age, sex, income and migration status; and (2) The existence of individual heterogeneity around averages. Therefore, using an established quality indicator (ie, dispensation of statins after acute myocardial infarction, AMI), we valuate both geographical and sociodemographic inequalities and illustrate how the analysis of individual heterogeneity and discriminatory accuracy (AIHDA) enhances such evaluations.Population and methodsWe applied AIHDA and calculated the area under the receiver operating characteristics curve (AUC) of regional and sociodemographic differences in the statin dispensations of 35 044 patients from 21 Swedish regions and 24 sociodemographic strata who were discharged from the hospital with an AMI diagnosis between January 2011 and December 2013. Following the Swedish National Board of Health and Welfare, we used a benchmark value of 90%.ResultsDispensation of stains after AMI in Sweden did not reach the desired target of 90%. Regional differences were absent/very small (AUC=0.537) while sociodemographic differences were small (AUC=0.618). Women, especially those with immigrant background and older than 65 years, have the lowest proportions of statin dispensations after AMI.ConclusionsAs the AUC statistics are small, interventions trying to achieve the benchmark value should be universal. However, special emphasis should nevertheless be directed towards women, especially older women with immigrant backgrounds.",epidemiology,myocardial infarction,quality in health care,clinical pharmacology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_215,"Walheer, Barnabe",,,,,,,,,,,,,,,,,Disentangling Heterogeneity Gaps and Pure Performance Differences in Composite Indexes Over Time: The Case of the Europe 2020 Strategy,SOCIAL INDICATORS RESEARCH,MAY 2019,9,"Composite indexes have been widely used in different contexts to evaluate the performances of entities. The popularity of these indexes come mainly from their ease of use, interpretation and computation. In practice, heterogeneity could be present in the performance evaluation exercise due to differences between entities. For example, they could differ with respect to their ownership, geographical localization, economic infrastructure, resource endowments, social environment, and so on. As a result, composite indexes fail to capture the performance differences, as they are biased by the presence of heterogeneity. In this paper, we suggest a simple procedure to disentangle the heterogeneity gaps and pure performance differences in the composite indexes over time. We apply our procedure to the case of the Europe 2020 strategy by distinguishing between old and new European members.",Composite index,Heterogeneity gap,Meta index,Europe 2020 strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_216,Zhang Huihui,Ta Na,Zhang Qingfeng,,,,,,,,,,,,,,,Spatial heterogeneity of loess contour tilled microtopographic slope in rainfall erosion,SOIL SCIENCE AND PLANT NUTRITION,2016,14,"Loess tilled surface is the geographical unit for the quantitative study of the soil erosion process. Contour tillage has been proved to be the most effictive measure for soil and water conservation in the Chinese Loess Plateau. Studies on the spatial heterogeneity of loess tilled surfaces will contribute to the understanding of the mechanism of erosion evolution. For this, a laboratory experiment was performed on contour tilled sloping surfaces where the hydrological-erosive processes were simulated. At different erosion stages, point cloud measurements were made using a terrestrial laser scanning system (TLS); then the heterogeneity depending on detrending and directionality were analysed by both the semivariogram method and the rescaled range analysis method. Results showed that: (1) the fractal dimensions D-S and D-R were equivalent when determined from either the semivariogram method or the rescaled range analysis method, although the semivariogram method appears to be more reliable in identifying the specific stage of the erosion evolution process; (2) the contour tilled microtopographies had an anisotropy behavior depending on direction; (3) the fractal dimension (either D-S or D-R) in different erosion stages was less than 1.5, which indicates that the microtopography of the sloping surface exhibits characteristics of persistent fractional Brownian motion and positive spatial autocorrelation. Irrespective of tillage measure and slope percentage, the sloping surface can be regarded as having random roughness. The results reveals a quantitative relationship between microtopography and sloping erosion. Also, it may provide guidance for further studies regarding the spatial variability and heterogeneity of various tilled slopes on the microtopographic scale.",Fractal dimension,microtopography,rescaled range analysis,semivariogram,spatial heterogeneity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface roughness,,,,,
Row_217,"Klebanovich, N., V","Kindeev, A. L.","Sazonov, A. A.",,,,,,,,,,,,,,,GEOSTATISTICAL ANALYSIS IN MAPPING THE SPATIAL HETEROGENEITY OF SOIL HUMIDITY AND ACIDITY,GEOSFERNYE ISSLEDOVANIYA-GEOSPHERE RESEARCH,SEP 2021,0,"The relevance of the study of geostatistical methods and their application in practice in soil-geographical surveys takes place both from an economic and scientific point of view. Without detailed accounting of soil heterogeneity, which can be provided by geostatistics, farms lose a large amount of material and financial resources. The purpose of the study presented in the article is to study the spatial variability of soil acidity and moisture content in experimental plots using geostatistical research methods, substantiate their use in constructing cartograms of the studied properties, and determine the degree of influence of the anthropogenic factor on the heterogeneity of the studied properties. The object of the study was two experimental sites, laid on the territory of the Volozhin district of the Minsk region, in the area of the educational and geographical station ""Western Berezina"". They are represented by a forest area of 3.8 hectares. On these plots, 30 samples were taken and a plot of arable land adjacent to the forest with an area of 5.9 hectares, on which 37 samples were taken. The importance of primary statistical processing of information is shown, and the main stages of the geostatistical approach as a whole are reflected. When analyzing the anisotropy, it was possible to identify the presence of trends characterized by a second order polynomial, and to determine its direction for the studied soil properties in the studied areas. With the help of variogram analysis, an idea of the degree of variation of the studied properties at different hierarchical levels of the general heterogeneity of the areas was obtained, and a quantitative assessment of the accuracy of cartograms was obtained. In the course of geostatistical analysis, based on the residual variance values, it was determined that the studied indicators on the experimental plots can be successfully mapped using kriging and the resulting cartograms will be as close to reality as possible. A comparative characteristic of the final cartograms constructed by different interpolation methods is given, which substantiated the use of the method of geostatistical analysis in cases of high variability of data and the absence of normal distribution in them. When analyzing the anisotropy, the main trends in the variation of the studied parameters were revealed, in the direction of which the relief of the territory plays a dominant role, especially for humidity. A significant influence of anthropogenic impact on the processes of spatial distribution of acidity was established based on trends and obtained cartograms. This is reflected in the almost complete absence of the influence of the height difference on the pH value in KCl and is determined by the nature of the work on the introduction of toxic substances. It has been confirmed that there is an increase in moisture content in cultivated soils that are not permanently covered with vegetation.",geostatistics,heterogeneity of soil properties,variography,humidity,acidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_218,"Wang, Guangjie","Peng, Wenfu","Zhang, Lindan","Zhang, Ji",,,,,,,,,,,,,,Quantifying the impacts of natural and human factors on changes in NPP using an optimal parameters-based geographical detector,ECOLOGICAL INDICATORS,NOV 2023,16,"Investigating the driving mechanisms behind fluctuations in vegetation net primary productivity (NPP) has the potential to enhance our comprehension of ecosystem dynamics and their response to environmental changes. However, identifying the nonlinear and spatiotemporal heterogeneity of factors contributing to NPP variation remains a challenge. This research employed the Theil-Sen trend, Hurst index, and nonparametric Mann-Kendall test methodologies through the utilization of Google Earth Engine (GEE) to detect monotonic trends in NPP, distinguishing between upward and downward trends. The influence of individual factors and their interactive effects on NPP changes were quantified using the optimized parameter-based geographical detector (OPGD) model. The findings revealed a general upward trend in NPP, exhibiting an average growth rate of around 85.06 gC m(-2).a(-1). Nevertheless, these rates of growth were not uniform, leading to noteworthy fluctuations spanning from 447.44 to 543.69 gC m(-2).a(-1). The eastern and central regions showcased relatively elevated NPP, whereas the western and southern regions demonstrated comparatively reduced levels. Roughly 51.66% of the areas displayed a rising trend in NPP, with 44.81% of the entire area indicating a noteworthy increase (p < 0.01), including both a substantial increase (p < 0.01) and a moderate increase (0.01 <= p < 0.05). The areas witnessing heightened NPP were predominantly situated in the northeastern, southeastern, northwestern sections, and the southwestern portion of Sichuan. The fluctuations in NPP trends displayed mild persistence or slight antipersistence traits, with regions where 0 < H < 0.5 constituting 80.26% of the overall area. Natural factors (such as elevation, mean annual temperature, NDVI, and topographic relief) along with human influences (changes in land use type) were identified as effectively accounting for the fluctuations in NPP. These factors demonstrated interactive effects on NPP, with the synergistic effect resulting in nonlinear enhancement and bilinear enhancement effects. The interaction between these two factors strengthened the influence of each individual factor. Identifying the optimal characteristics or ranges of these factors can facilitate ecological conservation and vegetation restoration. These factors exhibited interactive effects on NPP, with the synergistic effect resulting in nonlinear enhancement and bilinear enhancement effects. The interplay between these two factors heightened the influence of each separate element. Determining the optimal attributes or ranges of these factors can contribute to the facilitation of ecological preservation and the restoration of vegetation.",Spatial analysis,NPP,optimal parameters-based geographical detec-,tor (OPGD),Spatial heterogeneity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spatial factors exploration,,,,,
