,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,conference,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30
Row_81,"Jansen, LJM","Di Gregorio, A",,,,,,,,,,Parametric land cover and land-use classifications as tools for environmental change detection,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,SEP 2002,123,"Systematic description of the environment for detection of environmental changes and the human-related causes and responses is essential in land cover and land-use change studies. The combined use of land cover and land-use data allows detection of where certain changes occur, what type of change, as well as how the land is changing. Existing systems for classification of land cover or land-use are limited in the storage of the number of classes and are often internally inconsistent. Therefore, FAO developed the land cover classification system (LCCS), a comprehensive parametric classification based upon systematic description of classes using a set of independent quantifiable diagnostic criteria. With this approach land cover change detection becomes possible at the level of conversion of a class, whereas modification within a certain class type becomes immediately identifiable by a difference in classifier, or through the use of additional classifiers as is shown in a series of examples illustrating the application of the approach to primarily vegetated areas. The development of a similar classification approach for land-use is in progress. The proposed approach combines function, grouping all land used for a similar economic purpose, with activity, grouping all land undergoing a certain process resulting in a homogeneous type of products. The preliminary concepts have been tested in two applications that have shown that the system can be used as a bridging system that will ensure compatibility with, and bridge, existing systems. Furthermore, by providing (part of) the diagnostic criteria the system contributes to providing a uniform basis for environmental change detection and these criteria contribute, in turn, to standardisation. Land cover boundaries do not necessarily coincide with land-uses and the land cover/land-use relation needs more study to understand its complexity. (C) 2002 Elsevier Science B.V. All rights reserved.",land cover,land-use,classification,,change detection,global change,,,,,,,,,,,,,,,,,,,,,,,,
Row_82,"Fan, Jiaqi","Xu, Yan","Zhang, Yufeng",,,,,,,,,"Evaluating land restoration based on the land cover in the Horqin Sandy Land, China",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,AUG 2023,1,"Land degradation is a severe ecological environmental issue in arid and semiarid areas. Evaluating land degradation exactly is essential for maintaining the security of the ecological environment. This study evaluated land restoration in terms of land cover changes in the Horqin Sandy Land from 2000 to 2018 and analyzed the related influencing factors. The results showed that land restoration and land degradation accounted for 37.55% and 4.47% of the total area, respectively. Land restoration has improved substantially, and desertification control has achieved remarkable effects. NPP trends should be analyzed in combination with land cover types. When the land cover has changed, the type of land cover change and the period need to be clarified before analyzing the corresponding NPP trend to depict the land productivity accurately. The vegetation NPP changes following land cover conversions were more essential than land cover change types. Changes in precipitation and temperature had positive effects on the growth of vegetation and land restoration. In general, human activities promoted land restoration, including grazing policies, cropland utilization activities, and ecological restoration projects. Current land restoration, however, essentially sacrifices the groundwater resources, which challenges the sustainability of land restoration. Appropriate land use strategies were proposed to promote sustainable land use, including preventing vegetation degradation following land cover conversions, improving grassland construction, and coordinating the usage of cropland and water resources. Such results are meaningful for promoting land restoration and realizing sustainable land development.",Land degradation,State evaluation,Driving factors,,Desertification control,Horqin Sandy Land,,,,,,,,,,,,,,,,,,,,,,,,
Row_83,"Jelev, Georgi","Stefanova, Dilyana","Stefanov, Petar",,,,,,,,,LAND COVER AND LAND USE CHANGE IN KARST REGION DEVETASHKO PLATEAU,AEROSPACE RESEARCH IN BULGARIA,2021,2,"The data of Corine, land cover (CLC) are digital data about land cover which is distributed into 44 classes, whereas for the territory off Bulgaria, the classes are 36. The minimal mappable unit is 25 hectares (for 2D objects and 100 m for linear objects). Data sets for the years 1990, 2000, 2006, 2012, and 2018 are available, as well as for the changes which have occurred between each couple of years (1990-2000, 2000-2006, 2006-2012, and 2012-2018).The great data sets provide to track over a nearly 30-year period of land cover changes in model karst regions which are strongly vulnerable to anthropogenic and natural influences.This paper considers the changes in the land cover types on the Devetashko plateau - a typical karst plateau in North Bulgaria. Land cover and land use changes affect directly the processes of modem karst-genesis, the soil-vegetation cover, the quantity and quality of underground karst waters.",Land Cover,Land Use,Karst,,Karst Geosystems,Devetashko Plateau,Corine,Land Cover,,,,,,,,,,,,,,,,,,,,,,
Row_84,"Kariuki, David Mugendi","Caleb, Mireri","Kibwage, Acob","Daniel, Oyoo",,,,,,,,Assessment of land use/land covers changes linked to oil and gas exploration,TEMA-JOURNAL OF LAND USE MOBILITY AND ENVIRONMENT,AUG 2020,2,"Understanding land use/land cover changes (LU/LC) linked to oil and gas exploration under changing climatic conditions in South Lokichar Basin is crucial. This knowledge will inform policy makers on appropriate sustainable vegetation cover management strategies for the sake of pastrolism practiced in the area. The LU/LC changes were assessed using multi-spatial and multi-temporal remotely sensed imageries acquired through Landsat 5TM and Landsat 80LI/TIRS by use of ArcGIS. The study assessed medium resolution spatial imageries acquired for the area in both rainy and dry seasons, before oil and gas exploration developments begun in South Lokichar Basin between 2006-2011 and after commencement between 2012-2017. The study established that the average area in hectares under vegetation cover had declined since oil and gas exploration developments begun. A one sample t-test statistics indicated that the area under forest, shrubland and grassland cover had significantly reduced at 90% confidence interval with a p-value of 0.072, 0.074 and 0.061 respectively. The study established a decline in NDVI from 1 to 0.433 for the rainy season and 0.411 to 0.122 for the dry season between 2006 and 2017 with a p-value of 0.009 <0.05 on paired t-test implying a significant change on vegetation cover. Sustainable management of vegetation cover is important to safeguard livestock forage.",Land cover,Land use change,NDVI,,Oil,Gas,Exploration,,,,,,,,,,,,,,,,,,,,,,,
Row_85,"Herold, Martin","See, Linda","Tsendbazar, Nandin-Erdene","Fritz, Steffen",,,,,,,,Towards an Integrated Global Land Cover Monitoring and Mapping System,REMOTE SENSING,DEC 2016,21,"Global land cover mapping has evolved in a number of ways over the past two decades including increased activity in the areas of map validation and inter-comparison, which is the main focus of this Special Issue in Remote Sensing. Here we describe the major trends in global land cover mapping that have occurred, followed by recent advances as exemplified by the papers in the Special Issue. Finally, we consider what the future holds for global land cover mapping.",validation,land cover,land use,,data fusion,global land cover mapping,map inter-comparison,,,,,,,,,,,,,,,,,,,,,,,
Row_86,"Rai, Raju","Zhang, Yili","Paudel, Basanta","Li, Shicheng","Khanal, Narendra Raj",,,,,,,A Synthesis of Studies on Land Use and Land Cover Dynamics during 1930-2015 in Bangladesh,SUSTAINABILITY,OCT 2017,48,"Land use and land cover (LULC) is dynamic and changes in it have important environmental and socio-economic consequences. The pathways and pace of change vary with space and time and are related to the interaction between human activities and biophysical conditions in an area. This study provides a systematic review of the changing status, patterns, and compositions of LULC in Bangladesh on national, regional, and local scales over the past 85 years. The primary LULC classes in Bangladesh are agricultural land, urban and built-up area, forest and vegetation, water bodies, and wetlands. Most of the country is covered with agricultural land, followed by urban areas; the latter has been expanding rapidly in the area surrounding the capital city, Dhaka, especially the southern capital area. Forest cover is mostly concentrated in southeast Bangladesh, the Chittagong district, and the mangrove forests are predominantly located in the southwest, with the Gangetic delta. High population growth, rapid urbanization, and infrastructure development have been directly associated with changing patterns of land use across the country. In recent decades, urban areas and water bodies have been increasing, to the detriment of both forests and agricultural land. Most of the studies reviewed here describe a general trend involving agricultural and forested land being transformed into urban areas.",land use,land cover,systematic review,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,
Row_87,"Williams, Tim G.","Trush, Sadie A.","Sullivan, Jonathan A.","Liao, Chuan","Chesterman, Nathan","Agrawal, Arun","Guikema, Seth D.","Brown, Daniel G.",,,,Land-use changes associated with large-scale land transactions in Ethiopia,ECOLOGY AND SOCIETY,DEC 2021,3,"Large-scale land transactions (LSLTs) can precipitate dramatic changes in land systems. Ethiopia has experienced one of the largest amounts of LSLTs in Africa, yet their effects on local land systems are poorly understood. In this study, we quantify the direct and indirect land use and land cover (LULC) changes associated with LSLTs at eight socio-environmentally diverse sites in central and western Ethiopia. To estimate these effects, we employ a novel, two-stage counterfactual analysis. We first use a region-growing procedure to identify a ""control"" site with comparable landscape-level characteristics to each LSLT. Then, we sample and reweight points within each control site to further improve covariate balance. This two-stage approach both controls for potential confounding factors at multiple spatial levels and reduces the costs of extensive LULC data classification. Our results show that the majority of the reported transacted area (62%) remained unconverted to large-scale agriculture. Most of the land that was developed into large-scale agriculture displaced smallholder agriculture (53%), followed by conversion of woodland/shrubland (35%) and forest (9%). Beyond their boundaries, LSLTs indirectly influenced rates of smallholder agricultural expansion and abandonment, pointing to site dependence in how LSLTs affect adjacent land systems. In particular, the low prevalence of forest within and around these LSLTs underscores a need to move beyond measures of deforestation as proxies for LSLT effects on land systems. Our two-stage approach shows promise as an efficient method for generating robust counterfactuals and thereby LULC change estimates in systems lacking wall-to-wall LULC data.",Ethiopia,land use,land cover change,,large-scale land transactions,smallholder agriculture,,,,,,,,,,,,,,,,,,,,,,,,
Row_88,"Mahmon, Nur Anis","Ya'acob, Norsuzila","Yusof, Azita Laily",,,,,,,,,Differences of Image Classification Techniques for Land Use and Land Cover Classification,,2015,19,"Land use and land cover classification of remotely sensed data is an important research and commonly used in remote sensing application. In this study, the different types of classification techniques were used by using satellite image of some part of Selangor, Malaysia. For this objective, the land use and land cover was classified with Landsat 8 satellite image and ERDAS Imagine software as the image processing packages. From the classification output, the accuracy assessment and kappa statistic were evaluated to get the most accurate classifier. The optimal performance would be identified by validating the classification results with ground truth data. Of classified image, the Maximum Likelihood technique (overall accuracy 82.5%) is the highest and more applicable for satellite image classification compared with Mahalanobis Distance and Minimum Distance. The accurate classification can produce the correct Land Use and Land Cover map that can be used for many varieties purposes.",Land use and land cover,classification techniques,accuracy assessment,2015 IEEE 11TH INTERNATIONAL COLLOQUIUM ON SIGNAL PROCESSING & ITS APPLICATIONS (CSPA 2015),,,,,,,,,,,,,,,,,,,,,,,,,,
Row_89,"Jha, Ashutosh Kumar","Ghosh, S. K.","Srivastav, S. K.","Saran, Sameer",,,,,,,,OpenLDM: Open-Source Land-Use and Land-Cover Dynamics Modeling Platform,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,JUN 2022,1,"Land-use planners, climate researchers, and policymakers require a transparent land-use and land-cover (LULC) change modeling software, supporting various aspects of iterative modeling life cycle through integrated but loosely coupled modules built using appropriate techniques into a single platform. With this premise, an 'Open-source Land-use and Land-cover Dynamics Modeling platform' (OpenLDM) is developed and presented in this paper. The platform integrates different components of empirical land change modeling cycle such as model selection from the available parametric and nonparametric methods; suitability map generation; demand generation; allocation (in spatial or non-spatial context); simulation of future LULC map based on business-as-usual or demand-and-policy-driven scenarios; accuracy assessment; and visualization. Suitability maps for each LULC class can be generated using techniques like regression (logistic and linear), artificial neural network (ANN), and random forest (RF) and user-controlled spatial context. The statistical aids provided for parametric methods help selecting relevant drivers for each LULC class. The support for policy interventions such as goal-specific LULC class demand distribution, land conversion prioritization, and control over spatial mobility of land classes are possible by providing LULC demand, allocation-priority matrix, and class-inertia parameters. R and Python programming languages are used for development, considering portability to other open-source platforms. A case example presented here demonstrates the capabilities of the OpenLDM and the advantages of loose framework. It also illustrates estimation of optimum modeling parameters with improved quantitative and location agreement, selection of appropriate method(s) for generation of suitability maps for individual LULC classes under demand constraints and class-migration restrictions. The OpenLDM will be useful to researchers engaged in the domain of land system, ecosystem, and climate sciences.",Land-use and land-cover change,Open-source land-use and land-cover dynamics modeling platform,OpenLDM,,Land change models,Environmental model,,,,,,,,,,,,,,,,,,,,,,,,
Row_90,"Biney, Ernest","Forkuo, Eric Kwabena","Poku-Boansi, Michael","Asare, Yaw Mensah","Hackman, Kwame O.","Yankey, Daniel Buston","Agbenorhevi, Albert Elikplim","Annan, Ernestina",,,,"A comprehensive analysis and future projection of land use and land cover dynamics in a fast-growing city: A case study of Sekondi-Takoradi metropolis, Ghana",SCIENTIFIC AFRICAN,JUN 2024,2,"Sekondi-Takoradi is the most urbanized metropolis in the Western region of Ghana. Over the past two decades, it has experienced rapid shifts in both population density and land cover. Unfortunately, these transformations have significantly altered the natural landscape and expanded urban coverage. Previous studies have not established enough evidence on land use and land cover changes in the metropolis. For this reason, this study examined the existence, rate, and spatial distribution of land use and land cover as well as the future changes in land cover in the metropolis. Landsat imagery spanning from 1991, 2009, 2016, to 2023 provided the basis for evaluating the spatiotemporal dynamics of land use and cover within the metropolis. The Random Forest Classification algorithm was employed to categorize the images into three distinct classes: water, vegetation, and built-up areas. Analysis revealed a rapid growth in built-up areas by 63.08 km2 (32.91 %), accompanied by a decrease in vegetation and water coverage by 60.99 km2 (31.82 %) and 2.08 km2 (1.09 %) respectively. This highlights the accelerating urbanization trend, emphasizing the critical need for vigilant monitoring and controlled urban expansion to mitigate potential adverse effects. Projections for 2030 indicate further changes with water areas decreasing to 1.21 km2 (0.63 %), vegetation diminishing to 95.31 km2 (49.73 %), and built-up areas expanding to 95.14 km2 (49.64 %). This signifies a significant shift towards built-up areas, altering the metropolis' land cover composition and potentially impeding the achievement of Sustainable Development Goal 11. Understanding these changes in land use and land cover holds significant value for policymakers, enabling them to effectively monitor and safeguard natural resources.",Land use and land cover,Landsat images,Geospatial techniques,,Land compositions,Random forest,Sustainable development goals,,,,,,,,,,,,,,,,,,,,,,,
Row_91,"Cyffka, B.",,,,,,,,,,,Experiences in the study of land cover transformation on Mediterranean Islands caused by change in land tenure,,2006,6,"The land cover of today is transforming at an accelerating rate. There are several reasons for it in the general Mediterranean region. The principle reason on the Mediterranean islands is a change in land use. The dominant directions of land use change are urban sprawl and land abandonment. The latter often finds its reason in the first one. Tourism is the driving force. The more tourism, the more urban sprawl, which also often leads to a loss in rural population because the job prospects in tourism are much better. So, tourism can often be called the economic backbone of islands. Natural and agricultural areas suffer from this development. This paper shows the development on the islands of Elba and Malta, and addresses the effects and consequences of the land cover transformation that are not as obvious as urban sprawl, but are certainly just as meaningful.",Land use,land cover transformation,Mediterranean islands,Environmental Security and Sustainable Land Use - with Special Reference to Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_92,"Yan, Yingwei","Schultz, Michael","Zipf, Alexander",,,,,,,,,An exploratory analysis of usability of Flickr tags for land use/land cover attribution,GEO-SPATIAL INFORMATION SCIENCE,2019,11,"This study explored the land use/land cover (LULC) separability by the machine-generated and user-generated Flickr photo tags (i.e. the auto-tags and the user-tags, respectively), based on an authoritative LULC dataset for San Diego County in the United States. Ten types of LULCs were derived from the authoritative dataset. It was observed that certain types of the reclassified LULCs had abundant tags (e.g. the parks) or a high tag density (e.g. the commercial lands), compared with the less populated ones (e.g. the agricultural lands). Certain highly weighted terms of the tags derived based on a term frequency-inverse document frequency weighting scheme were helpful for identifying specific types of the LULCs, especially for the commercial recreation lands (e.g. the zoos). However, given the 10 sets of tags retrieved from the corresponding 10 types of LULCs, one set of tags (all the tags located at one specific type of the LULCs) could not fully delineate the corresponding LULC due to semantic overlaps, according to a latent semantic analysis.",Land use/land cover,Flickr,quantitative,,semantics,volunteered geographic information,,,,,,,,,,,,,,,,,,,,,,,,
Row_93,"Buthelezi, Mthokozisi Ndumiso Mzuzuwentokozo","Lottering, Romano Trent","Peerbhay, Kabir Yunus","Mutanga, Onisimo",,,,,,,,Predicting land use and land cover change dynamics in the eThekwini Municipality: a machine learning approach with Landsat imagery,JOURNAL OF SPATIAL SCIENCE,JUL 2024,0,"Monitoring and providing accurate land use and land cover (LULC) change information is vital for sustainable environmental planning. This study used Landsat imagery from 2002 to 2022 to create updated LULC change maps for the eThekwini Municipality. Random Forest (RF), Support Vector Machine (SVM), and Extreme Gradient Boosting (XGBoost) were used to conduct these LULC classifications, with XGBoost achieving the highest accuracy (80.57%). The generated maps revealed a significant decrease in cropland and an increase in impervious surfaces. As such, this research established a framework for continuous LULC mapping and highlighted Landsat 9's potential in LULC classifications.",Land cover,land use,remote sensing,,machine learning,Landsat,,,,,,,,,,,,,,,,,,,,,,,,
Row_94,"Tollerud, Heather J.","Brown, Jesslyn F.","Loveland, Thomas R.",,,,,,,,,Investigating the Effects of Land Use and Land Cover on the Relationship between Moisture and Reflectance Using Landsat Time Series,REMOTE SENSING,JUN 2020,12,"To better understand the Earth system, it is important to investigate the interactions between precipitation, land use/land cover (LULC), and the land surface, especially vegetation. An improved understanding of these land-atmosphere interactions can aid understanding of the climate system and modeling of time series satellite data. Here, we investigate the effect of precipitation and LULC on the reflectance of the land surface in the northern U.S. Great Plains. We utilize time series satellite data from the 45 year Landsat archive. The length of the Landsat record allows for analysis of multiple periods of drought and wet conditions (reflecting climate, as well as weather), such that the precipitation-reflectance relationship can be investigated robustly for every individual pixel in the study area. The high spatial resolution of Landsat (30 m) allows for investigation of spatial patterns in weather (i.e., precipitation extremes) interactions with land surface reflectance at the scale of individual fields. Weather history is represented by a drought index that describes effective moisture availability, the Standardized Precipitation and Evaporation Index (SPEI). We find that effective moisture has a robust and consistent effect on reflectance over many types of land cover, with similar to 90% of all pixels having significantly (p<0.01) higher visible reflectance during dry periods than during wet, occurring in nearly all regional, temporal, and LULC categories investigated. In grassland, the relationship is especially strong; there is an average reflectance increase of more than a third between very wet and very dry conditions (red band), and similar to 99% of pixels have a significant relationship. In cropland, the effective moisture-reflectance relationship is more variable, suggesting that management decisions are an important factor in cropland-reflectance relationships.",Landsat,drought,land-atmosphere interaction,,land use and land cover,remote sensing,Great Plains,,,,,,,,,,,,,,,,,,,,,,,
Row_95,"Liu, Yuechen","Pei, Zhiyuan","Wu, Quan","Guo, Lin","Zhao, Hu","Chen, Xiwei",,,,,,Land Use/Land Cover Classification Based on Multi-resolution Remote Sensing Data,,2012,2,"The paper summarized pre-existing research works relating to land use/land cover classification based on multi-resolution remote sensing data. According to the features of regions, we carried out of the land use/land cover classification of level III classes in 148 group of Xinjiang agricultural reclamation eighth division. The land use/land cover classification system divided land in study area into 6 level I classes, 16 level II classes, and 22 level III classes with multi-spatial-resolution remote sensing data. Thus we set up a set of land use/land cover remote sensing classification and corresponding code system.",remote sensing classification,land use/land cover,classification system,"COMPUTER AND COMPUTING TECHNOLOGIES IN AGRICULTURE V, PT II",code system,,,,,,,,,,,,,,,,,,,,,,,,,
Row_96,"Soydan, Hilal","Duzgun, H. Sebnem","Ozdemir, Okan Bilge",,,,,,,,,ANALYSIS OF LAND USE LAND COVER CHANGES FOR AN ABANDONED MINE SITE,,2015,1,"The aim of this study is to the evaluate land use and the land cover changes of an abandoned coal mine in Central Anatolia. The mining activity in the region was started at 1987 and after working for 18 years, all the rights of the mine was passed to an another company which after a while the came up with no coal production since its concession was cancelled on February 2008. Unfortunately, during the life of the mine, there were no mine closure and reclamation activities on the field. There was only a limited afforestation work on the dump site performed by provincial special administration. As there were no appropriate closure and reclamation implementations during and after the mining activity, major environmental impacts detected on the mine field. This study investigates the land use land cover change due to mining operations between 1987 and 2000. Landsat ETM+ imagery is selected. Maximum Likelihood estimation based on the Bayesian theorem is used for classification purposes. Change maps are produced to observe the differences in land use and land cover changes in the study area in comparison with the baseline of the region.",Landsat ETM,Maximum Likelihood,Land Use,2015 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),Land Cover,,,,,,,,,,,,,,,,,,,,,,,,,
Row_97,"Jamal, Saleha","Ahmad, Wani Suhail",,,,,,,,,,Assessing land use land cover dynamics of wetland ecosystems using Landsat satellite data,SN APPLIED SCIENCES,OCT 26 2020,48,"In the light of growing debates over climate change, population growth, and associated activities, wetland ecosystems have gained immeasurable importance as they have potential to serve both environmentally and economically. Hence, the evaluation of wetland ecosystems dynamics and development of comprehensive management policies demand accurate assessment of land use-land cover changes over time and distinct hydrological processes taking place in such aquatic ecosystems. Assessment of such changes is imperative to deal with various perspectives of resource management, ecosystem conservation, sustainable development and land use planning, etc. The present study aims to examine the spatiotemporal dynamics of LULC in wetland ecosystems of Kashmir Valley using Landsat datasets of the period 1994-2018. Maximum likelihood classifier was used to quantify LULC changes in ERDAS IMAGINE (14). A total of seven categories were classified viz. forest, plantation, marshy land, water body, horticulture, agriculture, and built-up. From the present analysis, two patterns of LULC changes were observed in the study area (in both cases: Wular, as well as, Hokersar and Anchar): (1) Continuous increase in area of respective categories: agriculture, horticulture, and built-up (Wular Lake); forest, plantation, agriculture, and built-up (Hokersar and Anchar Lake); (2) a consistent decrease in categories like: forest, plantation, water body, and marshy land (Wular Lake); water body, marshy land, agriculture (Hokersar and Anchar Lake). Most significant change in terms of area has been observed in plantation -5378.18 ha, water body -3954.94 ha, and built-up +2556.18 (Wular Lake); horticulture +4884.3 ha, built-up +6071.96 ha, agriculture -11,605.43 ha, and water body -106.01 ha (Hokersar and Anchar Lake). The LULC transformation, mostly driven by human-induced factors, pose a severe threat to wetland ecosystems of Kashmir Valley. Anthropogenic activities threatening the wetland ecosystems may include urban development, agriculture and horticulture practices, impacts of insecticides and pesticides, fertilizers, climate change and invasion of alien species.",Wetland ecosystem,Kashmir valley,Land transformation,,Land use,land cover,,,,,,,,,,,,,,,,,,,,,,,,
Row_98,"Nigel, Rody","Rughooputh, Soonil D. D. V.","Boojhawon, Ravi",,,,,,,,,Land cover of Mauritius Island,JOURNAL OF MAPS,2015,14,"In this digital era, high-resolution imagery offers a rapid and inexpensive means of monitoring land use changes. Digitally monitoring dynamic landscape change is a versatile way of facilitating rapid strategic decision making in a sustainable manner in a world of increasing complexity. Whilst a cadastral land information system is useful as a database, its use is limited for research purposes involving the manipulation of images - such as in studying flood-prone areas or land erosion susceptibility. In this paper, we report a land cover map for Mauritius Island (1859 km 2), in the Indian Ocean, at a scale of 1: 100,000 (A1-size paper). Inputs used to create the map are a SPOT satellite image, published map series at 1: 25,000 scale, and selected ground truth surveys for validation. In total, 11 feature types, which are representative of the island's surface cover, have been mapped.",land cover,land use,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_99,"Verburg, Peter H.","Neumann, Kathleen","Nol, Linda",,,,,,,,,Challenges in using land use and land cover data for global change studies,GLOBAL CHANGE BIOLOGY,FEB 2011,445,"Land use and land cover data play a central role in climate change assessments. These data originate from different sources and inventory techniques. Each source of land use/cover data has its own domain of applicability and quality standards. Often data are selected without explicitly considering the suitability of the data for the specific application, the bias originating from data inventory and aggregation, and the effects of the uncertainty in the data on the results of the assessment. Uncertainties due to data selection and handling can be in the same order of magnitude as uncertainties related to the representation of the processes under investigation. While acknowledging the differences in data sources and the causes of inconsistencies, several methods have been developed to optimally extract information from the data and document the uncertainties. These methods include data integration, improved validation techniques and harmonization of classification systems. Based on the data needs of global change studies and the data availability, recommendations are formulated aimed at optimal use of current data and focused efforts for additional data collection. These include: improved documentation using classification systems for land use/cover data; careful selection of data given the specific application and the use of appropriate scaling and aggregation methods. In addition, the data availability may be improved by the combination of different data sources to optimize information content while collection of additional data must focus on validation of available data sets and improved coverage of regions and land cover types with a high level of uncertainty. Specific attention in data collection should be given to the representation of land management (systems) and mosaic landscapes.",climate change,emission inventory,integrated assessment,,land cover,land use,spatial data,,,,,,,,,,,,,,,,,,,,,,,
Row_100,"Regasa, Motuma Shiferaw","Nones, Michael",,,,,,,,,,"Land Use Land Cover Changes in the Fincha Basin, Ethiopia",LAND,2022,0,"Bare land expansion, increased surface runoff production and soil erosion are major environmental damages attributed to Land Use Land Cover Changes (LUCC) in the Fincha River Basin, in Ethiopia. In this area, characterized by an agriculture-based economy and a rapidly growing population, very rapid changes are recognizable and can be attributed to diverse factors, such as increasing population pressure, resettlement programs, planning strategies and climate changes. Indeed, the land is a critical resource for the livelihood of East Africans, and, following the demand for this resource, LULCC in this region resulted in a decline of natural forests to human settlements, urban centres, farmlands, and grazing lands.The present work investigates the changes that happened in the Fincha Basin during the last 30 years, comparing LULC maps of 1989, 2004 and 2019, as derived from Landsat satellites. For each satellite image, six classes were recognized via a maximum likelihood supervised classification method: agricultural land, built-up areas, forest, grass/swamp, shrub and sparse forest, water bodies. Preliminary results have shown a constant trend of increased areas covered by agricultural fields and settlements, with a significant reduction of forest and shrubs. The reduction of areas covered by forest contributed to an increment of soil erosion, with detrimental effects on the basin hillslopes, and an augmented sediment yield in the river, which is now causing problems in the hydropower reservoir of Fincha.The present results are under validation, which will be performed by comparing them with field evidence and information derived from very high resolute satellite images. Once validated, the LULC maps will be used for inferring information about potential future trends of LULC change to eventually study management policies and planning plans for sustainable management of the area at the basin scale.",Ethiopia,Fincha Basin,land use land cover,,remote sensing,,,,,,,,,,,,,,,,,,,,,,,,,
Row_101,"Regasa, Motuma Shiferaw","Nones, Michael",,,,,,,,,,"Land Use Land Cover Changes in the Fincha Basin, Ethiopia",,2022,0,"Bare land expansion, increased surface runoff production and soil erosion are major environmental damages attributed to Land Use Land Cover Changes (LUCC) in the Fincha River Basin, in Ethiopia. In this area, characterized by an agriculture-based economy and a rapidly growing population, very rapid changes are recognizable and can be attributed to diverse factors, such as increasing population pressure, resettlement programs, planning strategies and climate changes. Indeed, the land is a critical resource for the livelihood of East Africans, and, following the demand for this resource, LULCC in this region resulted in a decline of natural forests to human settlements, urban centres, farmlands, and grazing lands.The present work investigates the changes that happened in the Fincha Basin during the last 30 years, comparing LULC maps of 1989, 2004 and 2019, as derived from Landsat satellites. For each satellite image, six classes were recognized via a maximum likelihood supervised classification method: agricultural land, built-up areas, forest, grass/swamp, shrub and sparse forest, water bodies. Preliminary results have shown a constant trend of increased areas covered by agricultural fields and settlements, with a significant reduction of forest and shrubs. The reduction of areas covered by forest contributed to an increment of soil erosion, with detrimental effects on the basin hillslopes, and an augmented sediment yield in the river, which is now causing problems in the hydropower reservoir of Fincha.The present results are under validation, which will be performed by comparing them with field evidence and information derived from very high resolute satellite images. Once validated, the LULC maps will be used for inferring information about potential future trends of LULC change to eventually study management policies and planning plans for sustainable management of the area at the basin scale.",Ethiopia,Fincha Basin,land use land cover,PROCEEDINGS OF THE 39TH IAHR WORLD CONGRESS,remote sensing,,,,,,,,,,,,,,,,,,,,,,,,,
Row_102,Zhang Xiu-ying,Feng Xue-zhi,Deng Hui,,,,,,,,,LAND-COVER DENSITY-BASED APPROACH TO URBAN LAND USE MAPPING USING HIGH-RESOLUTION IMAGERY,CHINESE GEOGRAPHICAL SCIENCE,JUN 2005,2,"Nowadays, remote sensing imagery, especially with its high spatial resolution, has become an indispensable tool to provide timely up-gradation of urban land use and land cover information, which is a prerequisite for proper urban planning and management. The possible method described in the present paper to obtain urban land use types is based on the principle that land use can be derived from the land cover existing in a neighborhood. Here, moving window is used to represent the spatial pattern of land cover within a neighborhood and seven window sizes (61mx61 m, 68mx68m, 75mx75m, 87mx87m, 99mx99m, 110mx110m and 121mxl21m) are applied to determining the most proper window size. Then, the unsupervised method of ISODATA is employed to classify the layered land cover density maps obtained by the moving window. The results of accuracy evaluation show that the window size of 99mx99m is proper to infer urban land use categories and the proposed method has produced a land use map with a total accuracy of 85%.",urban land use,land cover density map,high-resolution image,,,,,,,,,,,,,,,,,,,,,,,,,,,
