,author1,author2,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author3,author4,author5,author6,author7,author8,keyword6,author9,author10,keyword7,conference,keyword8,keyword9,author11,keyword10,keyword11,keyword12,keyword13,author12,keyword14,keyword15,keyword16,keyword17,keyword18,author13,author14,author15
Row_419,"Boyd, Lara K.","Mao, Xueying",The complexity of prostate cancer: genomic alterations and heterogeneity,NATURE REVIEWS UROLOGY,NOV 2012,157,"Although prostate cancer is the most common malignancy to affect men in the Western world, the molecular mechanisms underlying its development and progression remain poorly understood. Like all cancers, prostate cancer is a genetic disease that is characterized by multiple genomic alterations, including point mutations, microsatellite variations, and chromosomal alterations such as translocations, insertions, duplications, and deletions. In prostate cancer, but not other carcinomas, these chromosome alterations result in a high frequency of gene fusion events. The development and application of novel high-resolution technologies has significantly accelerated the detection of genomic alterations, revealing the complex nature and heterogeneity of the disease. The clinical heterogeneity of prostate cancer can be partly explained by this underlying genetic heterogeneity, which has been observed between patients from different geographical and ethnic populations, different individuals within these populations, different tumour foci within the same patient, and different cells within the same tumour focus. The highly heterogeneous nature of prostate cancer provides a real challenge for clinical disease management and a detailed understanding of the genetic alterations in all cells, including small subpopulations, would be highly advantageous.",,,,,,"Lu, Yong-Jie",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_420,"Aguilee, Robin","Raoul, Gael",Pollen dispersal slows geographical range shift and accelerates ecological niche shift under climate change,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,SEP 27 2016,35,"Species may survive climate change by migrating to track favorable climates and/or adapting to different climates. Several quantitative genetics models predict that species escaping extinction will change their geographical distribution while keeping the same ecological niche. We introduce pollen dispersal in these models, which affects gene flow but not directly colonization. We show that plant populations may escape extinction because of both spatial range and ecological niche shifts. Exact analytical formulas predict that increasing pollen dispersal distance slows the expected spatial range shift and accelerates the ecological niche shift. There is an optimal distance of pollen dispersal, which maximizes the sustainable rate of climate change. These conclusions hold in simulations relaxing several strong assumptions of our analytical model. Our results imply that, for plants with long distance of pollen dispersal, models assuming niche conservatism may not accurately predict their future distribution under climate change.",adaptation,gene flow,spatial heterogeneity,cline,extinction threshold,"Rousset, Francois","Ronce, Ophelie",,,,,,,,,,,,,,,,,,,,,,,,,
Row_421,"Qian, Weiwen","Dong, Yinguo",Mutual recognition of geographical indications and China's agricultural exports-On the use of domestic and international markets,AGRIBUSINESS,APR 2024,1,"Geographical indication (GI) represents the specific good quality and reputation of the regional characteristics of agricultural products, which is a positive approach for stabilizing the export of agricultural products under China's new ""Dual Circulation"" pattern. This study used the propensity score matching-double difference (PSM-DID) method empirically testing the effect and mechanism of the mutual recognition of GIs between China and the EU on China's agricultural product export from 2000 to 2016 based on theoretical analysis of the effect mechanism of GI on agricultural product exports. The results show that: (1) The mutual recognition of GIs significantly increased the binary margin of China's agricultural exports, and the effect on the intensive margin was stronger than that on the extensive margin, and the effects on the three subvariables of the extensive margin are in the following order: old products exported to new markets > new products exported to old markets > new products exported to new markets; (2) The heterogeneity analysis shows that the mutual recognition of GIs contributes more to state-owned enterprises, enterprises in the eastern region and to export destinations in EU countries; (3) The mechanism analysis shows that domestic demand-driven, quality upgrading and signal transmission are important mechanisms in the export effect of mutual recognition of GIs. This research shows that vigorously promoting the mutual recognition of GIs between China and the EU are important factors in promoting the growth of China's agricultural exports and achieving high-quality agricultural development. [EconLit Citations: F14, Q17, Q18].",binary margin,export of agricultural product,mutual recognition of geographical indications,propensity score matching-double difference method,,"Liu, Yuchen",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_422,"Georganos, Stefanos","Kalogirou, Stamatis",A Forest of Forests: A Spatially Weighted and Computationally Efficient Formulation of Geographical Random Forests,ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,SEP 2022,28,The aim of this paper is to present developments of an advanced geospatial analytics algorithm that improves the prediction power of a random forest regression model while addressing the issue of spatial dependence commonly found in geographical data. We applied the methodology to a simple model of mean household income in the European Union regions to allow easy understanding and reproducibility of the analysis. The results are encouraging and suggest an improvement in the prediction power compared to previous techniques. The algorithm has been implemented in R and is available in the updated version of the SpatialML package in the CRAN repository.,spatial machine learning,random forest,spatial heterogeneity,spatial modelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_423,"Ferroni, Eliana","Gennaro, Nicola","Access to SARS-CoV-2 vaccination in immigrants in Italy, by geographical area of origin",VACCINE,JAN 12 2024,4,"Objective: Immigrants are commonly considered disadvantaged and at high risk of not receiving appropriate care, including vaccination. This study aimed to evaluate the access to SARS-CoV-2 vaccination in immigrants, by geographical area of origin, compared with Italian citizens. We also evaluated sex differences in vaccine's coverage by geographical area of origin. Methods: We performed a retrospective observational study in four Italian regions, including all resident subjects aged 5-69 years, and undergoing first dose SARS-CoV-2 vaccination in the period 28th December 2020- 3rd April 2022. We estimated cumulative coverage percentages, by age class and geographical area. To compare first-dose vaccine coverage by geographical area of origin, we estimated, through a Poisson analysis, Vaccine Coverage Ratios (VCR) with 95 % confidence intervals (95 %CI), adjusting for age and sex. Results: We included 16,294,785 Italian citizens and 2,534,351 immigrants aged 5-69 years and resident in the four regions considered. Regarding the geographical area of origin, 40.7 % of immigrants came from Eastern Europe, 13.5 % from North Africa and 13.1 % from Western Asia. A great variability in the first dose vaccine coverage emerged. We documented substantial heterogeneity in the first-dose vaccine coverage within immigrant's population, expressed with Italy as a reference, ranging from 0,768 (95 %CI: 0,766-0,769) in Eastern Europe countries to 1,013 (95 %CI: 1,009 - 1,018) in Eastern Asia. The chance of being vaccinated was found higher in males compared with females for African countries (VCR 1.07, 95 %CI 1.06-1.08) and Western Asian countries (VCR 1.08, 95 %CI 1.07-1.09). Conclusion: We observed substantial heterogeneity in first-dose SARS-CoV-2 vaccination coverage in immigrants, suggesting a different propensity to vaccines according to the geographical area of origin. These data can help define appropriate and tailored strategies in order to improve vaccine coverage in some specific immigrant groups at the local health district level.",Covid-19,Vaccination,Migrants,Coverage,,"Maifredi, Giovanni","Leoni, Olivia","Profili, Francesco","Stasi, Cristina","Cacciani, Laura","Calandrini, Enrico",,"di Napoli, Anteo","Petrelli, Alessio",,,,,"Zorzi, Manuel",,,,,,,,,,,,,
Row_424,"Biggs, Joseph","Raman, Jaishree",Serology reveals heterogeneity of Plasmodium falciparum transmission in northeastern South Africa: implications for malaria elimination,MALARIA JOURNAL,JAN 26 2017,18,"Background: It is widely acknowledged that modifications to existing control interventions are required if South Africa is to achieve malaria elimination. Targeting indoor residual spraying (IRS) to areas where cases have been detected is one strategy currently under investigation in northeastern South Africa. This seroprevalence baseline study, nested within a targeted IRS trial, was undertaken to provide insights into malaria transmission dynamics in South Africa and evaluate whether sero-epidemiological practices have the potential to be routinely incorporated into elimination programmes.Methods: Filter-paper blood spots, demographic and household survey data were collected from 2710 randomly selected households in 56 study wards located in the municipalities of Ba-Phalaborwa and Bushbuckridge. Blood spots were assayed for Plasmodium falciparum apical membrane antigen-1 and merozoite surface protein-1(19) blood-stage antigens using an enzyme linked immunosorbent assay. Seroprevalence data were analysed using a reverse catalytic model to determine malaria seroconversion rates (SCR). Geospatial cluster analysis was used to investigate transmission heterogeneity while random effects logistic regression identified risk factors associated with malaria exposure.Results: The overall SCR across the entire study site was 0.012 (95% CI 0.008-0.017) per year. Contrasting SCRs, corresponding to distinct geographical regions across the study site, ranging from <0.001 (95% CI <0.001-0.005) to 0.022 (95% CI 0.008-0.062) per annum revealed prominent transmission heterogeneity. Geospatial cluster analysis of household seroprevalence and age-adjusted antibody responses detected statistically significant (p < 0.05) spatial clusters of P. falciparum exposure. Formal secondary education was associated with lower malaria exposure in the sampled population (AOR 0.72, 95% CI 0.56-0.95, p = 0.018).Conclusions: Although overall transmission intensity and exposure to malaria was low across both study sites, malaria transmission intensity was highly heterogeneous and associated with low socio-economic status in the region. Findings suggest focal targeting of interventions has the potential to be an appropriate strategy to deploy in South Africa. Furthermore, routinely incorporating sero-epidemiological practices into elimination programmes may prove useful in monitoring malaria transmission intensity in South Africa, and other countries striving for malaria elimination.",Malaria,Elimination,Serology,PfAMA-1,PfMSP-1(19),"Cook, Jackie","Hlongwana, Khumbulani","Drakeley, Chris","Morris, Natashia","Serocharan, Ishen","Agubuzo, Eunice",Transmission,"Kruger, Philip","Mabuza, Aaron",Heterogeneity,,Hotspot,South Africa,"Zitha, Alpheus",,,,,"Machaba, Elliot",,,,,,"Coetzee, Maureen","Kleinschmidt, Immo",
Row_425,"Diniz, JAF","Bini, LM",Modelling geographical patterns in species richness using eigenvector-based spatial filters,GLOBAL ECOLOGY AND BIOGEOGRAPHY,MAR 2005,267,"Aim To test the mechanisms driving bird species richness at broad spatial scales using eigenvector-based spatial filtering.Location South America.Methods An eigenvector-based spatial filtering was applied to evaluate spatial patterns in South American bird species richness, taking into account spatial autocorrelation in the data. The method consists of using the geographical coordinates of a region, based on eigenanalyses of geographical distances, to establish a set of spatial filters (eigenvectors) expressing the spatial structure of the region at different spatial scales. These filters can then be used as predictors in multiple and partial regression analyses, taking into account spatial autocorrelation. Autocorrelation in filters and in the regression residuals can be used as stopping rules to define which filters will be used in the analyses.Results Environmental component alone explained 8% of variation in richness, whereas 77% of the variation could be attributed to an interaction between environment and geography expressed by the filters (which include mainly broad-scale climatic factors). Regression coefficients of environmental component were highest for AET. These results were unbiased by short-scale spatial autocorrelation. Also, there was a significant interaction between topographic heterogeneity and minimum temperature.Conclusion Eigenvector-based spatial filtering is a simple and suitable statistical protocol that can be used to analyse patterns in species richness taking into account spatial autocorrelation at different spatial scales. The results for South American birds are consistent with the climatic hypothesis, in general, and energy hypothesis, in particular. Habitat heterogeneity also has a significant effect on variation in species richness in warm tropical regions.",eigenanalysis,macroecology,spatial autocorrelation,spatial filtering,species richness,,,,,,,South American birds,,,,,,,,,,,,,,,,,,,,
Row_426,"Wang, Jianying","Dong, Lei",An extended exploration and preferential return model for human mobility simulation at individual and collective levels,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,NOV 15 2019,15,"Human mobility models have prevalent applications in traffic management, urban planning, and disease prevention. Modeling human mobility combining both the statistical physical mechanics and geographical constrains is not fully investigated. In this research, we extend the exploration and preferential return (EPR) model by considering both spatial heterogeneity and distance decay. The extended model takes rank distance in the distance decay function, and is validated in four cities based on the population distribution and the trajectory data. Our model not only reproduces the statistics of human mobility at both the individual and collective levels with high accuracy, but also has a robust prediction at both high and low resolutions. The study demonstrates the potential of applications of the human mobility models aggregating the collective and individual levels factors, and sheds light on the trade-off between 'simple' mobility rules and 'complex' geographical environments. (C) 2019 Elsevier B.V. All rights reserved.",Human mobility,Geographical constrains,Spatial heterogeneity,Exploration and preferential return model,,"Cheng, Ximeng","Yang, Weijun","Liu, Yu",,,,,,,,,,,,,,,,,,,,,,,,
Row_427,"Lu, Yu","Yang, Xiaohua","A novel approach for quantifying water resource spatial equilibrium based on the regional evaluation, spatiotemporal heterogeneity and geodetector analysis integrated model",JOURNAL OF CLEANER PRODUCTION,OCT 20 2023,14,"The distribution focuses of water resources, socio-economic development and environmental maintenance are usually mismatched, leading a gap between regional resources and the environment, as well as the disharmony of development. Water resource spatial equilibrium (WRSE) is an important yardstick for guiding regional water resource planning and sustainable utilization. However, research on the spatiotemporal heterogeneity and driving factors of WRSE is extremely lacking, and few existing studies have considered drought and flood disasters as the important reflection of WRSE. Therefore, this paper proposes a systematic integrated model for WRSE including regional evaluation, spatiotemporal heterogeneity and geodetector analysis functions, and constructs the evaluation index system considering droughts and floods. First, the performance of WRSE is quantified using the general deprivation index (GDI) innovatively. Then, combined with the Moran's I, the spatial patterns and regional differences of WRSE are analyzed. Last, the geographical detector models are employed to perform driving analysis of WRSE. The effectiveness of the model is verified in China. Results show that (1) from 2009 to 2021, the national average of WRSEI exhibits a declining trend from 0.879 in 2009 to 0.789 in 2021. (2) The areas with high WRSEI values are mainly distributed in the western provinces, whereas the eastern region has a higher percentage of imbalanced provinces. (3) Water resources per capita, added value of tertiary industry, urbanization rate and GDP per capita are key driving factors of China' WRSE. The study provides a novel insight for WRSE improvement and is greatly helpful for developing differentiated management measures to optimize resource allocation.",Water resource spatial equilibrium,General deprivation index,Spatial-temporal heterogeneity,Geodetector,,"Bian, Dehui","Chen, Yajing","Li, Yan","Yuan, Zixing","Wang, Kaiwen",,,,,,,,,,,,,,,,,,,,,,
Row_428,"Naghavi, Alireza","Ottaviano, Gianmarco","Firm Heterogeneity, Contract Enforcement, and the Industry Dynamics of Offshoring",SCANDINAVIAN JOURNAL OF ECONOMICS,2009,6,"We develop an endogenous growth model with R&D spillovers to study the long-run consequences of offshoring with firm heterogeneity and incomplete contracts. In so doing, we model offshoring as the geographical fragmentation of a firm's production chain between a home upstream division and a foreign downstream division. While there is always a positive correlation between upstream bargaining weight and offshoring activities, there is an inverted U-shaped relationship between these and growth. Whether offshoring with incomplete contracts also increases consumption depends on firm heterogeneity. As for welfare, whereas with complete contracts an R&D subsidy is enough to solve the inefficiency due to R&D spillovers, with incomplete contracts a production subsidy is also needed.",Offshoring,heterogeneous firms,incomplete contracts,industry dynamics,growth,,,,,,,D23,,,F23,,L23,O31,,O43,,,,,,,,,,,,
Row_429,"Yamasaki, T","Seno, T",High strain rate zone in central Honshu resulting from the viscosity heterogeneities in the crust and mantle,EARTH AND PLANETARY SCIENCE LETTERS,MAR 30 2005,37,"A linear zone with high strain rates along the backarc side of central Honshu (the so-called Niigata-Kobe Tectonic Zone) has been revealed by the dense GPS array (GEONET) operated by the Geographical Survey Institute of Japan. In order to explore the origin of this zone, we examine rheological heterogeneities in the crust or mantle above a subducting slab, which possibly contribute to the high strain rates. We calculate velocity profiles at the surface of the upper plate due to loading and unloading of the subducting Philippine Sea plate using a 2-dimensional finite element method. From the numerical experiments, we find that the high strain rates can be reproduced by viscosity heterogeneities either in the crust or the mantle. If viscosity heterogeneity in the crust is an origin, the conditions to be satisfied are (i) an effective elastic thickness of 5 km for short-term loading (10(2)-10(3) yr), (ii) a low viscosity (< 1019 Pa s) in the lower crust beneath the zone, with a normal Viscosity (> 10(21) Pa s) in the ambient lower crust, and (iii) a uniform viscosity of 1019 Pa s in the upper mantle. On the other hand, if viscosity heterogeneity in the mantle is an origin, the conditions to be satisfied are (i) an effective elastic thickness of similar to 30 km for short-term loading, (ii) a low viscosity (similar to 10(18) Pa s) at least down to a depth of 60 km in the zone and to a depth of 10 km further seaward below the Moho depth, and (iii) a Viscosity of 1020 Pa s in the ambient mantle. The crust heterogeneity model contradicts the 15-km cut-off depth of intraplate seismicity and the similar to 20-km effective elastic thickness previously inferred from gravity and topography in central Honshu. The fact that Quaternary active faults and intraplate earthquakes are not particularly concentrated in the zone also favours the mantle viscosity heterogeneity model. Thus, we prefer the mantle heterogeneity model. We suggest that upward movement of water dehydrated from the subducting Philippine Sea and Pacific plates, partial melting of the mantle above the Pacific plate, and serpentinization in the wedge mantle above the Philippine Sea plate are possible origins of the low viscous upper mantle. Possible low viscosities in the upper mantle wedge presented in this study seem to provide important constraints for subduction processes of oceanic plates and strain accumulation processes in the upper plate. (c) 2005 Elsevier B.V. All fights reserved.",high strain rate zone,viscosity heterogeneity,back-slip,Philippine Sea plate,wedge mantle,,,,,,,dehydration,,,serpentinization,,partial melt,Niigata-Kobe tectonic zone,,,,,,,,,,,,,,
Row_430,"Liu, D. Y.","Chiu, C. R.",Environmental performance measurement with technology heterogeneity: Cross-region evidence,ENERGY SOURCES PART B-ECONOMICS PLANNING AND POLICY,2017,5,"This paper explores the metafrontier environmental efficiency and group frontier environmental efficiency of the governments of the countries in Asia, the Americas, and Europe, adopting the directional distance function along with metafrontier analysis. The paper develops a new approach to measure technology heterogeneity between the environmental efficiency of the metafrontier and that of the group frontiers, namely technology gap. The 65 countries selected for this study include not only the countries in Annex B of the Kyoto Protocol, but also countries in Asia, the Americas, and Europe. According to the average values for environmental efficiency, based on these geographical locations, the empirical results show that European countries are superior to Asian and American countries, regardless of the environmental efficiency of the metafrontier or group frontiers. Also, the technology heterogeneity of European countries is lower than that of the other countries.",Carbon dioxide,directional distance function approach,environmental efficiency,metafrontier approach,technology gap,"Liou, J. L.",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_431,"Hasanzade, Vuesal","Elshiewy, Ossama",Is it just the distance? Consumer preference for geographical and social proximity of food production,ECOLOGICAL ECONOMICS,OCT 2022,7,"Consumption of locally-produced food is one important contribution to promote a more sustainable economy. Several previous studies have focused on distance declarations, denoted as geographical proximity of food production, and how it affects choice. All without consensus about what distance should hold for local food. Other previous research has identified social proximity as a local-related product characteristic that drives perception and choice (e.g., family-run farms). However, there is no previous study providing a clear picture regarding the choice behavior and preference relationship of geographical and social proximity attributes (particularly when the distance declaration of locally-produced food varies). To fill this research gap, we employed a between-subjects experiment (i.e., varying the distance declaration of local food) in combination with a choice-based conjoint analysis to understand consumer preferences for geographical and social proximity of food production in Germany. Results indicate a higher preference and willingness to pay for food with greater geographical and social proximity, with the effects more pronounced for geographical proximity. A follow-up analysis provides novel insights by explaining preference heterogeneity for geographical and social proximity attributes with important implications for research and practice.",Local food,Social proximity,Choice -based conjoint analysis,,,"Toporowski, Waldemar",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_432,"Wang, Min","Wu, Yingmei","Exploration of spatial heterogeneity in the effect of woodland proportion on PM2.5: An empirical study from the Yangtze River economic Belt, China",ATMOSPHERIC POLLUTION RESEARCH,DEC 2023,1,"Woodland is the most important land cover type for enhancing the environmental governance capacity and ecological protection benefits. Woodland proportion is crucial in reducing the quality and concentration of at-mospheric fine particulate matter (PM2.5) and improving the atmospheric environment. Existing studies have mostly examined the connection between the woodland proportion and PM2.5 on a global scale, while ignoring the geographical variability and differences in the scope and intensity of the effect. Therefore, this study investigated the regional features of the effect from the perspective of spatial heterogeneity, using a spatial agglomeration analysis method, and global and local regression analyses models with 1049 counties in the Yangtze River Economic Belt (YREB). The studies reveal that woodland proportion has a considerable impact on PM2.5, and the effect's direction is identical to that of the expectation at the global scale. The PM2.5 concentration falls by 0.017% for every 1% increase in the woodland proportion. The influence of woodland proportion on PM2.5 showed noticeable spatial heterogeneity, and the woodland proportion in 794 counties is strongly asso-ciated with PM2.5 concentration in local areas, with 66.44% of counties having the most obvious negative effect, and the areas with the greatest effect intensity are mostly distributed in mountainous areas. The concentration of PM2.5 in the YREB exhibiting a prominent characteristics of local spatial correlation and agglomeration, and a spatial characteristics of eastward peak and an westward low. Contrastingly, the distribution of the woodland proportion were the opposite-eastward high and westward low-with noticeable spatial variability. The findings of this study offer a foundation for decision-making and theoretical support for national or regional implementation of regionally differentiated and precise measures to prevent and reduce air pollution.",Woodland proportion,Spatial heterogeneity,Yangtze River economic Belt,,,"Wang, Yang","Hu, Pingping","Sun, Guiquan",,,,,,,,,,,,,,,,,,,,,,,,
Row_433,"Lu, Xingjian","Kong, Fanxin",Geographical Job Scheduling in Data Centers with Heterogeneous Demands and Servers,,2015,10,"The fast proliferation of cloud computing promotes the rapid development of large-scale commercial data centers. Tens or even hundreds of geographically distributed data centers have been deployed for better reliability and quality of services. This brings huge energy consumption for data centers. Previous research has proved that the geographical load balancing technique can achieve significant energy cost savings for geographically distributed data centers. However, existing methods for geographical load balancing often assume data centers with homogeneous servers, and workloads with single-dimension or uniform resource demands. This is an over-simplification in reality, especially when modern data centers are typically constructed from a variety of server classes. In this paper, we systematically study the problem of job scheduling for geographically distributed data centers to embrace the heterogeneity of underlying platforms and workloads. We develop a novel distributed algorithm to solve the problem efficiently based on the alternating direction method of multipliers. Extensive evaluations based on real-life data center topology, traffic traces, and electricity price data show high efficiency and efficacy of our method.",,,,,,"Yin, Jianwei","Liu, Xue","Yu, Huiqun","Fan, Guisheng",,,,,,,2015 IEEE 8TH INTERNATIONAL CONFERENCE ON CLOUD COMPUTING,,,,,,,,,,,,,,,,
Row_434,Shi Xiaoliang,Li Ying,"A method for spatial heterogeneity evaluation on landscape pattern of farmland shelterbelt networks: A case study in midwest of Jilin Province, China",CHINESE GEOGRAPHICAL SCIENCE,FEB 2011,12,"On the basis of landscape ecology, combining the Spot 5 high resolution satellite imagery with GIS, a method evaluating the spatial heterogeneity of shelterbelts distribution at landscape scale is put forward in this paper. The distance coefficients of reasonable and existing landscape indexes of farmland shelterbelt networks were computed, and then through the classification of the distance coefficients, and the establishment of evaluation rules, the spatial heterogeneity of farmland shelterbelts was evaluated. The method can improve the evaluating system of previous studies on shelterbelts distribution, resolve the disadvantages of lacking spatiality of overall evaluation, and make the evaluation results have more directive significance for shelterbelt management. Based on this method, spatial heterogeneity of shelterbelt networks was evaluated in the midwest of Jilin Province, China. The results show that the regions with fewer shelterbelts and no closed network account for 34.7% of the total area, but only 4.9% of the area has relative reasonable pattern of shelterbelt networks. Many problems exist in the distribution pattern of shelterbelts, therefore, much attention should be paid to construct farmland shelterbelts in the study area.",farmland shelterbelt,spatial heterogeneity,Spot 5,distance coefficient,,Deng Rongxin,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_435,"Sugiyama, Hiromi","Matsuda, Tomohiro",Temporal trend and geographical heterogeneity of rare cancer incidence in Japan: 2011-2018,CANCER SCIENCE,FEB 2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_436,"Blackburn, Tim M.","Cassey, Phillip",Variations on a theme: sources of heterogeneity in the form of the interspecific relationship between abundance and distribution,JOURNAL OF ANIMAL ECOLOGY,NOV 2006,117,"1. A positive interspecific relationship between abundance and distribution is widely considered to be one of the most general patterns in ecology. However, the relationship appears to vary considerably across assemblages, from significant positive to significant negative correlations and all shades in between.2. This variation has led to the suggestion that the abundance-distribution relationship has multiple forms, with the corollary that different patterns may inform about, or have different, causes. However, this variation has never been formally quantified, nor has it been determined whether the observed variation is indicative of sampling error in estimating a single effect or of real heterogeneity in such relationships. Here, we use the meta-analytical approach to assess variation in abundance-distribution relationships, and to test different hypotheses for it.3. Analysis of 279 relationships found a mean effect size of 0.655, which was both highly significantly different from zero and indicative of a strong positive association between abundance and distribution. However, effect sizes were highly heterogeneous, supporting the contention that this relationship does indeed have multiple forms.4. Most notably, relationships vary significantly in strength across realms, with the strongest in the marine and intertidal, intermediate relationships for terrestrial and parasitic assemblages, and the weakest relationships in freshwater systems. Effect sizes in all of the aquatic realms are homogeneous, suggesting that realm is an important source of the heterogeneity observed across all studies. We posit that this may be because the different spatial structure of the environment in each realm affects the opportunity for the dispersal of individuals between sites.5. Some of the remaining heterogeneity in effect sizes for terrestrial assemblages could be explained by partitioning assemblages by habitat, scale, biogeographical region and taxon, but considerable heterogeneity in effect sizes for terrestrial and parasitic assemblages remained unexplained.",density,geographical range size,macroecology,meta-analysis,occupancy,"Gaston, Kevin J.",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_437,"Huang, Xiaoyan","Kang, Chenchen",Influence of Transportation Accessibility on Urban-rural Income Disparity and Its Spatial Heterogeneity,CHINESE GEOGRAPHICAL SCIENCE,JUN 2024,3,"Transportation accessibility has been treated as an important means of reducing the urban-rural income disparity. However, only a few studies have examined the effects of different types of transportation accessibility on urban-rural income disparity and their spatial heterogeneity. Based on data from 285 prefecture-level (and above) Chinese cities in 2000, 2005, 2010, 2015, and 2020, this study uses spatial econometric models to examine how highway accessibility and railway accessibility influence the urban-rural income disparity and to identify their spatial heterogeneity. The result reveals that highway accessibility and railway accessibility have 'coreperiphery' ring-like circle structures. The urban-rural income disparity exhibits strong spatial clustering effects. Both highway accessibility and railway accessibility are negatively associated with urban-rural income disparity, and the former having a greater effect size. Moreover, there is a substitution effect between highway accessibility and railway accessibility in the whole sample. Furthermore, these associations differ in geographic regions. In the central region, highway accessibility is more important in reducing the urban-rural income disparity, but its effect is weakened with the increase of railway accessibility. In the western region, railway accessibility has a larger effect on narrowing the urban-rural income disparity, and this effect is strengthened by the increase of highway accessibility. We conclude that improving transportation accessibility is conducive to reducing the urban-rural income disparity but its effect is spatial heterogenetic. Highways and railways should be developed in a coordinated manner to promote an integrated transport network system.",transport accessibility,income gap,regional divergence,spatial heterogeneity,urban and rural areas,"Yin, Chun","Tang, Junqing",,,,,China,,,,,,,,,,,,,,,,,,,,
Row_438,"Magal, Pierre","Webb, Glenn F.",SPATIAL SPREAD OF EPIDEMIC DISEASES IN GEOGRAPHICAL SETTINGS: SEASONAL INFLUENZA EPIDEMICS IN PUERTO RICO,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B,JUN 2020,11,"A deterministic model is developed for the spatial spread of an epidemic disease in a geographical setting. The model is focused on outbreaks that arise from a small number of infected individuals in sub-regions of the geographical setting. The goal is to understand how spatial heterogeneity influences the transmission dynamics of susceptible and infected populations. The model consists of a system of partial differential equations with a diffusion term describing the spatial spread of an underlying microbial infectious agent. The model is applied to simulate the spatial spread of the 2016-2017 seasonal influenza epidemic in Puerto Rico. In this simulation, the reported case data from the Puerto Rican Department of Health are used to implement a numerical finite element scheme for the model. The model simulation explains the geographical evolution of this epidemic in Puerto Rico, consistent with the reported case data.",Kermack-McKendrick reaction-diffusion system,spatial spread of epidemic,non homogeneous environment,numerical simulations,,"Wu, Yixiang",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_439,"Duan, Shanyou","Liu, Qian",Exploring the Joint Impacts of Natural and Built Environments on PM2.5 Concentrations and Their Spatial Heterogeneity in the Context of High-Density Chinese Cities,SUSTAINABILITY,NOV 2021,7,"Air pollution in China has attracted wide interest from the public and academic communities. PM2.5 is the primary air pollutant across China. PM2.5 mainly comes from human activities, and the natural environment and urban built environment affect its distribution and diffusion. In contrast to American and European cities, Chinese cities are much denser, and studies on the relationships between urban form and air quality in high-density Chinese cities are still limited. In this paper, we used the ordinary least square (OLS) and geographical weighted regression (GWR) models, selected an already high-density city, Shenzhen, as the study area, and explored the effects of the natural and built environments on air pollution. The results showed that temperature always had a positive influence on PM2.5 and wind speed had a varied impact on PM2.5 within the city. Based on the natural factors analysis, the paper found that an increase in the floor area ratio (FAR) and road density may have caused the increase in the PM2.5 concentration in the central city. In terms of land use mix, land use policies should be adopted separately in the central city and suburban areas. Finally, in terms of spatial heterogeneity, the GWR models achieved much better performances than the global multivariate regression models, with lower AICc and RMSE values and higher adjusted R-2 values, ultimately explaining 60% of the variance across different city areas. The results indicated that policies and interventions should be more targeted to improve the air environment and reduce personal exposure according to the spatial geographical context.",natural and built environment,PM2,5 concentrations,spatial heterogeneity,,"Jiang, Dumei","Jiang, Yulin","Lin, Yinzhi","Gong, Ziying",,,,,,,,,,,,,,,,,,,,,,,
